Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-04,148481,2025080404000147,CGH,Trishakti Securities Public Limited,Dynamic Money Managers Securities Pvt. Ltd.,100,1000.2,100020.0,2025-08-04 11:00:55.373194
2025-08-04,148397,2025080404000173,CGH,Himalayan Brokerage Company Limited,Dynamic Money Managers Securities Pvt. Ltd.,65,1000.2,65013.0,2025-08-04 11:01:00.534693
2025-08-04,148084,2025080404000251,CGH,Trishakti Securities Public Limited,Trishakti Securities Public Limited,50,1010.0,50500.0,2025-08-04 11:01:22.603110
2025-08-04,146891,2025080404000572,CGH,Trishakti Securities Public Limited,Sani Securities Company Ltd.,50,1011.0,50550.0,2025-08-04 11:02:47.649644
2025-08-04,146109,2025080404000699,CGH,R.B.B. Securities Company Ltd,Imperial Securities Company Pvt. Ltd.,70,1010.0,70700.0,2025-08-04 11:03:30.662560
2025-08-04,146108,2025080404000700,CGH,R.B.B. Securities Company Ltd,Sundhara Securities Limited,10,1010.0,10100.0,2025-08-04 11:03:30.662673
2025-08-04,144539,2025080404000888,CGH,Investment Management Nepal Pvt. Ltd.,Sewa Securities Pvt. Ltd.,25,1009.0,25225.0,2025-08-04 11:04:49.185770
2025-08-04,142902,2025080404001044,CGH,Siprabi Securities Pvt. Ltd.,Sani Securities Company Ltd.,50,1011.0,50550.0,2025-08-04 11:06:02.741216
2025-08-04,142866,2025080404001049,CGH,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,30,1011.0,30330.0,2025-08-04 11:06:05.565777
2025-08-04,142595,2025080404001087,CGH,Investment Management Nepal Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,1009.0,10090.0,2025-08-04 11:06:19.815536
2025-08-04,142495,2025080404001110,CGH,Nepal Stock House (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,100,1010.9,101090.0,2025-08-04 11:06:24.847103
2025-08-04,142494,2025080404001111,CGH,Nepal Stock House (PVT) Ltd.,Sani Securities Company Ltd.,20,1011.0,20220.0,2025-08-04 11:06:24.847257
2025-08-04,142200,2025080404001143,CGH,Investment Management Nepal Pvt. Ltd.,Sani Securities Company Ltd.,165,1011.0,166815.0,2025-08-04 11:06:38.962075
2025-08-04,141996,2025080404001158,CGH,Himalayan Brokerage Company Limited,Sani Securities Company Ltd.,35,1011.0,35385.0,2025-08-04 11:06:47.697921
2025-08-04,141995,2025080404001159,CGH,Himalayan Brokerage Company Limited,Imperial Securities Company Pvt. Ltd.,40,1011.0,40440.0,2025-08-04 11:06:47.698044
2025-08-04,139843,2025080404001425,CGH,Trishakti Securities Public Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,50,1012.0,50600.0,2025-08-04 11:08:36.757521
2025-08-04,139293,2025080404001518,CGH,Online Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,66,1012.0,66792.0,2025-08-04 11:09:03.872270
2025-08-04,138674,2025080404001576,CGH,Nepal Stock House (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,25,1011.6,25290.0,2025-08-04 11:09:35.340588
2025-08-04,138673,2025080404001577,CGH,Kohinoor Investment & Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,25,1011.6,25290.0,2025-08-04 11:09:35.340686
2025-08-04,138648,2025080404001582,CGH,Trishakti Securities Public Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,1012.0,101200.0,2025-08-04 11:09:36.334816
2025-08-04,137882,2025080404001688,CGH,Kohinoor Investment & Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,1012.0,101200.0,2025-08-04 11:10:18.832091
2025-08-04,137791,2025080404001700,CGH,Nepal Stock House (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,50,1012.0,50600.0,2025-08-04 11:10:23.968588
2025-08-04,137498,2025080404001748,CGH,Nepal Stock House (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,134,1012.0,135608.0,2025-08-04 11:10:38.362198
2025-08-04,137285,2025080404001808,CGH,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,25,1012.0,25300.0,2025-08-04 11:10:50.540523
2025-08-04,137061,2025080404001837,CGH,Nepal Stock House (PVT) Ltd.,Sweta Securities Private Limited,10,1012.0,10120.0,2025-08-04 11:11:05.102724
2025-08-04,136369,2025080404001905,CGH,Opal Securities Investment (PVT) Ltd.,Primo Securities (PVT) Ltd.,55,1012.0,55660.0,2025-08-04 11:11:38.666214
2025-08-04,135926,2025080404001965,CGH,ABC Securities Private Limited,Primo Securities (PVT) Ltd.,400,1012.0,404800.0,2025-08-04 11:11:59.731546
2025-08-04,135843,2025080404001976,CGH,Himalayan Brokerage Company Limited,Deevyaa Securities & Stock House Pvt. Ltd,25,1011.0,25275.0,2025-08-04 11:12:04.221901
2025-08-04,135842,2025080404001977,CGH,South Asian Bulls Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,25,1011.0,25275.0,2025-08-04 11:12:04.222004
2025-08-04,135614,2025080404002016,CGH,KALASH STOCK MARKET PVT. LTD.,Primo Securities (PVT) Ltd.,10,1012.0,10120.0,2025-08-04 11:12:16.121444
2025-08-04,135406,2025080404002044,CGH,South Asian Bulls Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,12,1011.0,12132.0,2025-08-04 11:12:24.682724
2025-08-04,135108,2025080404002087,CGH,ABC Securities Private Limited,Primo Securities (PVT) Ltd.,35,1012.0,35420.0,2025-08-04 11:12:38.586590
2025-08-04,135092,2025080404002092,CGH,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,50,1012.0,50600.0,2025-08-04 11:12:39.356856
2025-08-04,134732,2025080404002141,CGH,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,90,1014.0,91260.0,2025-08-04 11:12:54.741325
2025-08-04,134157,2025080404002218,CGH,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,20,1014.0,20280.0,2025-08-04 11:13:16.000225
2025-08-04,133873,2025080404002294,CGH,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,30,1014.0,30420.0,2025-08-04 11:13:29.153488
2025-08-04,133710,2025080404002312,CGH,Sagarmatha Securities Private Limited,Imperial Securities Company Pvt. Ltd.,200,1014.0,202800.0,2025-08-04 11:13:36.805600
2025-08-04,133269,2025080404002387,CGH,Trishakti Securities Public Limited,Midas Stock Broking Company Private Limited,100,1013.0,101300.0,2025-08-04 11:13:55.477121
2025-08-04,133268,2025080404002388,CGH,South Asian Bulls Pvt. Ltd.,Midas Stock Broking Company Private Limited,13,1011.0,13143.0,2025-08-04 11:13:55.477191
2025-08-04,133267,2025080404002389,CGH,Secured Securities Ltd.,Midas Stock Broking Company Private Limited,72,1005.0,72360.0,2025-08-04 11:13:55.477220
2025-08-04,132022,2025080404002515,CGH,Secured Securities Ltd.,Vision Securities Pvt. Ltd,28,1005.0,28140.0,2025-08-04 11:14:42.413595
2025-08-04,132021,2025080404002516,CGH,Sweta Securities Private Limited,Vision Securities Pvt. Ltd,22,1005.0,22110.0,2025-08-04 11:14:42.413782
2025-08-04,131252,2025080404002569,CGH,Himalayan Brokerage Company Limited,Imperial Securities Company Pvt. Ltd.,50,1006.1,50305.0,2025-08-04 11:15:20.378905
2025-08-04,131251,2025080404002570,CGH,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,178,1005.0,178890.0,2025-08-04 11:15:20.379125
2025-08-04,131250,2025080404002571,CGH,Trishakti Securities Public Limited,Imperial Securities Company Pvt. Ltd.,100,1005.0,100500.0,2025-08-04 11:15:20.379238
2025-08-04,131249,2025080404002572,CGH,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,20,1005.0,20100.0,2025-08-04 11:15:20.379375
2025-08-04,131248,2025080404002573,CGH,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,152,1001.1,152167.2,2025-08-04 11:15:20.379545
2025-08-04,129753,2025080404002722,CGH,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,20,1003.0,20060.0,2025-08-04 11:16:34.125763
2025-08-04,129752,2025080404002723,CGH,Nagarik Stock Dealer ,Imperial Securities Company Pvt. Ltd.,35,1002.3,35080.5,2025-08-04 11:16:34.125877
2025-08-04,129751,2025080404002724,CGH,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,348,1001.1,348382.8,2025-08-04 11:16:34.125922
2025-08-04,129750,2025080404002725,CGH,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,10,1001.0,10010.0,2025-08-04 11:16:34.125965
2025-08-04,129749,2025080404002726,CGH,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,87,1001.0,87087.0,2025-08-04 11:16:34.126033
