Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-04,149270,2025080405000001,HIDCL,Kalika Securities Pvt. Ltd.,Roadshow securities limited,10,289.6,2896.0,2025-08-04 10:46:00.009066
2025-08-04,147590,2025080405000065,HIDCL,Kalika Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,73,295.0,21535.0,2025-08-04 11:02:09.052562
2025-08-04,147165,2025080405000086,HIDCL,Arun Securities (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,1000,300.0,300000.0,2025-08-04 11:02:35.059078
2025-08-04,146510,2025080405000103,HIDCL,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,500,300.7,150350.0,2025-08-04 11:03:07.375473
2025-08-04,146502,2025080405000104,HIDCL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,300,300.0,90000.0,2025-08-04 11:03:07.787967
2025-08-04,146265,2025080405000117,HIDCL,Dynamic Money Managers Securities Pvt. Ltd.,Kumari Securities Private Limited,50,299.0,14950.0,2025-08-04 11:03:24.992176
2025-08-04,146264,2025080405000118,HIDCL,Dynamic Money Managers Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,450,300.0,135000.0,2025-08-04 11:03:24.992269
2025-08-04,145878,2025080405000132,HIDCL,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,72,297.0,21384.0,2025-08-04 11:03:41.613592
2025-08-04,144530,2025080405000196,HIDCL,Online Securities Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,180,299.0,53820.0,2025-08-04 11:04:50.130055
2025-08-04,144371,2025080405000215,HIDCL,Nepal Investment And Securities Trading Private Limited,Sewa Securities Pvt. Ltd.,30,298.1,8943.0,2025-08-04 11:04:59.493142
2025-08-04,143529,2025080405000261,HIDCL,Premier Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,10,298.9,2989.0,2025-08-04 11:05:32.049282
2025-08-04,143528,2025080405000262,HIDCL,Premier Securities Company Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,157,299.0,46943.0,2025-08-04 11:05:32.049511
2025-08-04,141754,2025080405000371,HIDCL,Premier Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,333,299.0,99567.0,2025-08-04 11:07:00.128502
2025-08-04,141753,2025080405000372,HIDCL,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,1461,299.0,436839.0,2025-08-04 11:07:00.128647
2025-08-04,141752,2025080405000373,HIDCL,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,200,299.0,59800.0,2025-08-04 11:07:00.128698
2025-08-04,141729,2025080405000376,HIDCL,Sweta Securities Private Limited,Property Wiard Limited,50,299.8,14990.0,2025-08-04 11:07:01.303769
2025-08-04,141728,2025080405000377,HIDCL,Sweta Securities Private Limited,South Asian Bulls Pvt. Ltd.,100,299.9,29990.0,2025-08-04 11:07:01.303997
2025-08-04,141727,2025080405000378,HIDCL,Sweta Securities Private Limited,MILKY WAY SHARE BROKER COMPANY LTD ,350,299.9,104965.0,2025-08-04 11:07:01.304137
2025-08-04,141680,2025080405000387,HIDCL,Siprabi Securities Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,1000,299.9,299900.0,2025-08-04 11:07:04.066363
2025-08-04,140201,2025080405000488,HIDCL,Thrive Brokerage House Pvt. Ltd,Secured Securities Ltd.,200,299.8,59960.0,2025-08-04 11:08:12.735364
2025-08-04,139648,2025080405000542,HIDCL,ABC Securities Private Limited,Secured Securities Ltd.,20,299.0,5980.0,2025-08-04 11:08:47.169096
2025-08-04,139647,2025080405000543,HIDCL,S.P.S.A. Securities Limited,Secured Securities Ltd.,140,299.0,41860.0,2025-08-04 11:08:47.169408
2025-08-04,138497,2025080405000639,HIDCL,S.P.S.A. Securities Limited,Arun Securities (PVT) Ltd.,210,299.0,62790.0,2025-08-04 11:09:43.501211
2025-08-04,138496,2025080405000640,HIDCL,Nabil Stock Dealer Ltd.,Arun Securities (PVT) Ltd.,10,299.0,2990.0,2025-08-04 11:09:43.501374
2025-08-04,138495,2025080405000641,HIDCL,Kumari Securities Private Limited,Arun Securities (PVT) Ltd.,100,299.0,29900.0,2025-08-04 11:09:43.501457
2025-08-04,137830,2025080405000693,HIDCL,Dakshinkali Investment & Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,106,299.0,31694.0,2025-08-04 11:10:22.472512
2025-08-04,137829,2025080405000694,HIDCL,Dakshinkali Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,500,299.0,149500.0,2025-08-04 11:10:22.472651
2025-08-04,137828,2025080405000695,HIDCL,Dakshinkali Investment & Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,144,299.0,43056.0,2025-08-04 11:10:22.472705
2025-08-04,137335,2025080405000756,HIDCL,Trishakti Securities Public Limited,Arun Securities (PVT) Ltd.,420,299.0,125580.0,2025-08-04 11:10:48.220131
2025-08-04,136268,2025080405000922,HIDCL,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,500,299.0,149500.0,2025-08-04 11:11:43.293095
2025-08-04,136267,2025080405000923,HIDCL,Vision Securities Pvt. Ltd,Arun Securities (PVT) Ltd.,500,299.0,149500.0,2025-08-04 11:11:43.293251
2025-08-04,136003,2025080405000944,HIDCL,Primo Securities (PVT) Ltd.,Aryatara Investment & Securities,500,299.0,149500.0,2025-08-04 11:11:54.763507
2025-08-04,135989,2025080405000948,HIDCL,Nepal Investment And Securities Trading Private Limited,MILKY WAY SHARE BROKER COMPANY LTD ,220,298.1,65582.0,2025-08-04 11:11:55.252115
2025-08-04,135988,2025080405000949,HIDCL,Imperial Securities Company Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,228,297.0,67716.0,2025-08-04 11:11:55.252401
2025-08-04,135987,2025080405000950,HIDCL,Sumeru Securities Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,100,297.0,29700.0,2025-08-04 11:11:55.252589
2025-08-04,135986,2025080405000951,HIDCL,Sani Securities Company Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,50,297.0,14850.0,2025-08-04 11:11:55.252771
2025-08-04,135985,2025080405000952,HIDCL,Sundhara Securities Limited,MILKY WAY SHARE BROKER COMPANY LTD ,52,297.0,15444.0,2025-08-04 11:11:55.252940
2025-08-04,135802,2025080405000970,HIDCL,Sundhara Securities Limited,Thrive Brokerage House Pvt. Ltd,100,297.0,29700.0,2025-08-04 11:12:05.828035
2025-08-04,135695,2025080405000985,HIDCL,Sundhara Securities Limited,Trisul Securities & Invt. Ltd.,656,297.0,194832.0,2025-08-04 11:12:10.909303
2025-08-04,135694,2025080405000986,HIDCL,ABC Securities Private Limited,Trisul Securities & Invt. Ltd.,50,297.0,14850.0,2025-08-04 11:12:10.909464
