Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-04,145918,2025080401002359,NYADI,Nepal Stock House (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,440.0,44000.0,2025-08-04 11:03:39.713771
2025-08-04,144493,2025080401003469,NYADI,Swarna Laxmi Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,105,437.8,45969.0,2025-08-04 11:04:52.910696
2025-08-04,144492,2025080401003470,NYADI,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,49,437.8,21452.2,2025-08-04 11:04:52.910727
2025-08-04,142654,2025080401004896,NYADI,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,10,440.0,4400.0,2025-08-04 11:06:16.843420
2025-08-04,142115,2025080401005301,NYADI,Aakashbhairab Securities Ltd.,Primo Securities (PVT) Ltd.,10,445.0,4450.0,2025-08-04 11:06:41.930806
2025-08-04,141870,2025080401005463,NYADI,Kohinoor Investment & Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,446.0,4460.0,2025-08-04 11:06:55.312171
2025-08-04,140688,2025080401006383,NYADI,INDEX SECURITIES LIMITED,South Asian Bulls Pvt. Ltd.,10,454.9,4549.0,2025-08-04 11:07:48.120748
2025-08-04,138786,2025080401007688,NYADI,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,40,454.9,18196.0,2025-08-04 11:09:30.611725
2025-08-04,138785,2025080401007689,NYADI,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,10,460.0,4600.0,2025-08-04 11:09:30.611763
2025-08-04,138369,2025080401008007,NYADI,Kohinoor Investment & Securities Pvt. Ltd.,Trishakti Securities Public Limited,10,460.0,4600.0,2025-08-04 11:09:53.412073
2025-08-04,138368,2025080401008008,NYADI,Kohinoor Investment & Securities Pvt. Ltd.,Aryatara Investment & Securities,10,463.9,4639.0,2025-08-04 11:09:53.412103
2025-08-04,136610,2025080401009094,NYADI,Trisul Securities & Invt. Ltd.,Naasa Securities Co. Ltd.,10,457.0,4570.0,2025-08-04 11:11:27.043445
2025-08-04,136407,2025080401009225,NYADI,Trisul Securities & Invt. Ltd.,Market Securities & Exchange (PVT) Ltd.,90,457.0,41130.0,2025-08-04 11:11:36.184355
2025-08-04,135378,2025080401009907,NYADI,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,430,448.0,192640.0,2025-08-04 11:12:25.878493
2025-08-04,131720,2025080401012524,NYADI,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,10,448.2,4482.0,2025-08-04 11:14:56.683845
2025-08-04,130246,2025080401013656,NYADI,Imperial Securities Company Pvt. Ltd.,Premier Securities Company Ltd.,10,448.2,4482.0,2025-08-04 11:16:10.280220
2025-08-04,125544,2025080401017193,NYADI,Imperial Securities Company Pvt. Ltd.,Miyo Securities Pvt Ltd,20,453.9,9078.0,2025-08-04 11:20:17.709428
2025-08-04,121058,2025080401020539,NYADI,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,40,449.0,17960.0,2025-08-04 11:24:37.591251
