Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-04,147123,2025080404000544,TRH,Imperial Securities Company Pvt. Ltd.,Kalika Securities Pvt. Ltd.,10,994.0,9940.0,2025-08-04 11:02:37.477240
2025-08-04,140803,2025080404001290,TRH,KALASH STOCK MARKET PVT. LTD.,Naasa Securities Co. Ltd.,50,1000.0,50000.0,2025-08-04 11:07:40.012510
2025-08-04,140386,2025080404001340,TRH,KALASH STOCK MARKET PVT. LTD.,Agrawal Securities (PVT) Ltd.,157,1000.0,157000.0,2025-08-04 11:08:03.259027
2025-08-04,124731,2025080404003221,TRH,Trisul Securities & Invt. Ltd.,Linch Stock Market Ltd.,20,982.0,19640.0,2025-08-04 11:21:08.979029
2025-08-04,124730,2025080404003222,TRH,Indira securities pvt. ltd,Linch Stock Market Ltd.,80,980.0,78400.0,2025-08-04 11:21:08.979217
2025-08-04,123134,2025080404003354,TRH,Indira securities pvt. ltd,Naasa Securities Co. Ltd.,20,980.0,19600.0,2025-08-04 11:22:32.018660
2025-08-04,82657,2025080404009233,TRH,Sani Securities Company Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,10,975.1,9751.0,2025-08-04 12:16:16.551611
2025-08-04,79191,2025080404009906,TRH,South Asian Bulls Pvt. Ltd.,Midas Stock Broking Company Private Limited,10,975.0,9750.0,2025-08-04 12:21:45.031688
2025-08-04,78976,2025080404009956,TRH,Creative Securities Pvt Ltd,Midas Stock Broking Company Private Limited,10,974.4,9744.0,2025-08-04 12:22:11.475525
2025-08-04,78532,2025080404010040,TRH,Creative Securities Pvt Ltd,Midas Stock Broking Company Private Limited,10,974.4,9744.0,2025-08-04 12:23:07.159258
2025-08-04,78243,2025080404010094,TRH,Imperial Securities Company Pvt. Ltd.,Nagarik Stock Dealer ,10,978.0,9780.0,2025-08-04 12:23:38.114640
