Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-05,130945,2025080503000003,LBBL,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,11,627.2,6899.2,2025-08-05 10:46:00.023510
2025-08-05,129804,2025080503000021,LBBL,South Asian Bulls Pvt. Ltd.,Trishakti Securities Public Limited,63,620.0,39060.0,2025-08-05 11:01:08.519307
2025-08-05,128239,2025080503000036,LBBL,South Asian Bulls Pvt. Ltd.,Hatemalo Financial Services Private Limited,500,617.0,308500.0,2025-08-05 11:01:54.876806
2025-08-05,127590,2025080503000044,LBBL,South Asian Bulls Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,813,618.0,502434.0,2025-08-05 11:02:15.224221
2025-08-05,127589,2025080503000045,LBBL,South Asian Bulls Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,100,618.0,61800.0,2025-08-05 11:02:15.224284
2025-08-05,126747,2025080503000057,LBBL,ABC Securities Private Limited,Capital Max Securities Ltd,600,620.0,372000.0,2025-08-05 11:02:47.013830
2025-08-05,126746,2025080503000058,LBBL,ABC Securities Private Limited,SUN SECURITIES PVT LTD,300,620.0,186000.0,2025-08-05 11:02:47.013876
2025-08-05,126745,2025080503000059,LBBL,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,100,620.0,62000.0,2025-08-05 11:02:47.013900
2025-08-05,126125,2025080503000067,LBBL,SHUBHAKAMANA SECURITIES PVT. LTD,ABC Securities Private Limited,10,615.1,6151.0,2025-08-05 11:03:15.295470
2025-08-05,123934,2025080503000102,LBBL,SHUBHAKAMANA SECURITIES PVT. LTD,Naasa Securities Co. Ltd.,194,615.5,119407.0,2025-08-05 11:04:58.271436
2025-08-05,122641,2025080503000138,LBBL,SHUBHAKAMANA SECURITIES PVT. LTD,Siprabi Securities Pvt. Ltd.,100,618.0,61800.0,2025-08-05 11:06:07.551912
2025-08-05,120111,2025080503000221,LBBL,INDEX SECURITIES LIMITED,Capital Max Securities Ltd,1000,617.9,617900.0,2025-08-05 11:08:22.675896
2025-08-05,119237,2025080503000248,LBBL,SHUBHAKAMANA SECURITIES PVT. LTD,Imperial Securities Company Pvt. Ltd.,300,618.0,185400.0,2025-08-05 11:09:10.065261
2025-08-05,119236,2025080503000249,LBBL,SHUBHAKAMANA SECURITIES PVT. LTD,Midas Stock Broking Company Private Limited,100,618.0,61800.0,2025-08-05 11:09:10.065483
2025-08-05,119235,2025080503000250,LBBL,SHUBHAKAMANA SECURITIES PVT. LTD,Siprabi Securities Pvt. Ltd.,100,618.0,61800.0,2025-08-05 11:09:10.065618
2025-08-05,118875,2025080503000271,LBBL,SHUBHAKAMANA SECURITIES PVT. LTD,Neev Securities Pvt. Ltd.,296,615.9,182306.4,2025-08-05 11:09:31.195819
2025-08-05,118874,2025080503000272,LBBL,Trishakti Securities Public Limited,Neev Securities Pvt. Ltd.,304,615.8,187203.2,2025-08-05 11:09:31.195920
2025-08-05,117285,2025080503000354,LBBL,Trishakti Securities Public Limited,ABC Securities Private Limited,196,615.8,120696.8,2025-08-05 11:11:11.075361
2025-08-05,117284,2025080503000355,LBBL,Malla & Malla Stock Broking Company Pvt. Limited,ABC Securities Private Limited,100,615.6,61560.0,2025-08-05 11:11:11.075466
2025-08-05,117171,2025080503000365,LBBL,Sani Securities Company Ltd.,ABC Securities Private Limited,500,615.2,307600.0,2025-08-05 11:11:21.209401
2025-08-05,117170,2025080503000366,LBBL,INDEX SECURITIES LIMITED,ABC Securities Private Limited,500,615.1,307550.0,2025-08-05 11:11:21.209503
2025-08-05,117048,2025080503000372,LBBL,INDEX SECURITIES LIMITED,ABC Securities Private Limited,400,615.1,246040.0,2025-08-05 11:11:28.326259
2025-08-05,116843,2025080503000379,LBBL,Sanima Securities Limited,ABC Securities Private Limited,200,615.3,123060.0,2025-08-05 11:11:40.519120
2025-08-05,116425,2025080503000393,LBBL,Sanima Securities Limited,Imperial Securities Company Pvt. Ltd.,550,615.3,338415.0,2025-08-05 11:11:54.108427
2025-08-05,116424,2025080503000394,LBBL,INDEX SECURITIES LIMITED,Imperial Securities Company Pvt. Ltd.,100,615.1,61510.0,2025-08-05 11:11:54.108685
2025-08-05,116423,2025080503000395,LBBL,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,750,615.0,461250.0,2025-08-05 11:11:54.108838
2025-08-05,116422,2025080503000396,LBBL,Sri Hari Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,40,615.0,24600.0,2025-08-05 11:11:54.108977
2025-08-05,116421,2025080503000397,LBBL,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,100,615.0,61500.0,2025-08-05 11:11:54.109124
2025-08-05,116420,2025080503000398,LBBL,Nagarik Stock Dealer ,Imperial Securities Company Pvt. Ltd.,460,615.0,282900.0,2025-08-05 11:11:54.109256
2025-08-05,116238,2025080503000409,LBBL,Nagarik Stock Dealer ,Vision Securities Pvt. Ltd,340,615.0,209100.0,2025-08-05 11:12:08.553351
2025-08-05,114779,2025080503000485,LBBL,Pragyan Securities (PVT) Ltd.,Neev Securities Pvt. Ltd.,200,614.7,122940.0,2025-08-05 11:13:29.130115
2025-08-05,114669,2025080503000495,LBBL,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,80,615.0,49200.0,2025-08-05 11:13:38.113064
2025-08-05,114647,2025080503000500,LBBL,Pragyan Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,300,614.7,184410.0,2025-08-05 11:13:40.137613
2025-08-05,114460,2025080503000515,LBBL,Sundhara Securities Limited,Online Securities Pvt. Ltd.,60,614.7,36882.0,2025-08-05 11:13:52.619405
