Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-05,126241,2025080504000124,SPDL,Siprabi Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,416.9,4169.0,2025-08-05 11:03:09.746041
2025-08-05,122000,2025080504000332,SPDL,Agrawal Securities (PVT) Ltd.,Capital Max Securities Ltd,200,410.0,82000.0,2025-08-05 11:06:43.258865
2025-08-05,120150,2025080504000409,SPDL,Agrawal Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,501,409.0,204909.0,2025-08-05 11:08:19.668479
2025-08-05,118814,2025080504000487,SPDL,Midas Stock Broking Company Private Limited,ABC Securities Private Limited,10,415.9,4159.0,2025-08-05 11:09:34.016359
2025-08-05,114714,2025080504000792,SPDL,Midas Stock Broking Company Private Limited,South Asian Bulls Pvt. Ltd.,10,411.0,4110.0,2025-08-05 11:13:34.972721
2025-08-05,114713,2025080504000793,SPDL,Miyo Securities Pvt Ltd,South Asian Bulls Pvt. Ltd.,16,410.3,6564.8,2025-08-05 11:13:34.972900
2025-08-05,111092,2025080504001239,SPDL,Midas Stock Broking Company Private Limited,Linch Stock Market Ltd.,10,412.6,4126.0,2025-08-05 11:18:05.065706
2025-08-05,109316,2025080504001433,SPDL,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,240,410.0,98400.0,2025-08-05 11:20:43.073425
2025-08-05,109315,2025080504001434,SPDL,Primo Securities (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,20,410.0,8200.0,2025-08-05 11:20:43.073493
2025-08-05,109314,2025080504001435,SPDL,ABC Securities Private Limited,Opal Securities Investment (PVT) Ltd.,55,410.0,22550.0,2025-08-05 11:20:43.073517
2025-08-05,108330,2025080504001580,SPDL,Dynamic Money Managers Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,15,412.0,6180.0,2025-08-05 11:22:09.144963
2025-08-05,105035,2025080504001960,SPDL,ABC Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,125,410.0,51250.0,2025-08-05 11:26:33.003499
2025-08-05,105034,2025080504001961,SPDL,Dynamic Money Managers Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,410.0,82000.0,2025-08-05 11:26:33.003590
2025-08-05,105033,2025080504001962,SPDL,Agrawal Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,499,409.0,204091.0,2025-08-05 11:26:33.003629
2025-08-05,105032,2025080504001963,SPDL,Himalayan Brokerage Company Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,409.0,20450.0,2025-08-05 11:26:33.003665
2025-08-05,105031,2025080504001964,SPDL,Cristal Kanchanjanga Securites Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,409.0,40900.0,2025-08-05 11:26:33.003700
2025-08-05,102171,2025080504002358,SPDL,Agrawal Securities (PVT) Ltd.,Trishakti Securities Public Limited,19,410.0,7790.0,2025-08-05 11:32:12.611516
2025-08-05,101920,2025080504002393,SPDL,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,145,410.0,59450.0,2025-08-05 11:32:45.847434
2025-08-05,101849,2025080504002415,SPDL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sundhara Securities Limited,250,410.0,102500.0,2025-08-05 11:32:50.267252
