Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-05,114146,2025080505001672,TPC,ABC Securities Private Limited,Sri Hari Securities Pvt. Ltd.,10,392.0,3920.0,2025-08-05 11:14:09.065810
2025-08-05,114145,2025080505001673,TPC,Linch Stock Market Ltd.,Sri Hari Securities Pvt. Ltd.,215,392.0,84280.0,2025-08-05 11:14:09.065921
2025-08-05,114144,2025080505001674,TPC,Neev Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,20,392.0,7840.0,2025-08-05 11:14:09.066003
2025-08-05,100778,2025080505004220,TPC,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,10,392.0,3920.0,2025-08-05 11:34:47.371055
2025-08-05,100777,2025080505004221,TPC,Siprabi Securities Pvt. Ltd.,Asian Securities Private Ltd.,28,392.0,10976.0,2025-08-05 11:34:47.371141
2025-08-05,99817,2025080505004490,TPC,Online Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,100,391.0,39100.0,2025-08-05 11:36:25.573179
2025-08-05,99816,2025080505004491,TPC,Market Securities & Exchange (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,100,391.0,39100.0,2025-08-05 11:36:25.573339
2025-08-05,94804,2025080505005825,TPC,Market Securities & Exchange (PVT) Ltd.,Online Securities Pvt. Ltd.,10,391.0,3910.0,2025-08-05 11:47:23.124844
2025-08-05,93017,2025080505006175,TPC,Secured Securities Ltd.,Asian Securities Private Ltd.,10,392.0,3920.0,2025-08-05 11:50:51.012755
2025-08-05,92439,2025080505006239,TPC,Imperial Securities Company Pvt. Ltd.,Asian Securities Private Ltd.,53,392.0,20776.0,2025-08-05 11:51:47.851148
2025-08-05,91926,2025080505006369,TPC,Market Securities & Exchange (PVT) Ltd.,Online Securities Pvt. Ltd.,10,391.0,3910.0,2025-08-05 11:52:52.357894
2025-08-05,91591,2025080505006453,TPC,Market Securities & Exchange (PVT) Ltd.,Naasa Securities Co. Ltd.,380,391.0,148580.0,2025-08-05 11:53:41.280403
2025-08-05,91438,2025080505006505,TPC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,45,390.0,17550.0,2025-08-05 11:53:57.566832
2025-08-05,91267,2025080505006554,TPC,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,20,389.0,7780.0,2025-08-05 11:54:20.534150
2025-08-05,91266,2025080505006555,TPC,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,295,386.2,113929.0,2025-08-05 11:54:20.534293
2025-08-05,90819,2025080505006685,TPC,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,705,386.2,272271.0,2025-08-05 11:55:08.554370
2025-08-05,90672,2025080505006719,TPC,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,1000,386.1,386100.0,2025-08-05 11:55:32.943654
2025-08-05,90492,2025080505006774,TPC,Investment Management Nepal Pvt. Ltd.,Naasa Securities Co. Ltd.,500,386.3,193150.0,2025-08-05 11:56:01.243293
2025-08-05,90444,2025080505006787,TPC,R.B.B. Securities Company Ltd,Naasa Securities Co. Ltd.,500,386.3,193150.0,2025-08-05 11:56:10.927935
2025-08-05,90405,2025080505006796,TPC,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,100,386.0,38600.0,2025-08-05 11:56:17.574797
2025-08-05,90404,2025080505006797,TPC,Ashutosh Brokerage & Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,900,386.0,347400.0,2025-08-05 11:56:17.574881
2025-08-05,89988,2025080505006929,TPC,Ashutosh Brokerage & Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,95,386.0,36670.0,2025-08-05 11:57:14.728171
2025-08-05,89748,2025080505006984,TPC,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,500,385.2,192600.0,2025-08-05 11:57:37.144101
2025-08-05,89434,2025080505007085,TPC,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,500,385.1,192550.0,2025-08-05 11:58:20.794049
2025-08-05,89344,2025080505007117,TPC,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,100,385.0,38500.0,2025-08-05 11:58:33.081359
2025-08-05,89343,2025080505007118,TPC,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,500,385.0,192500.0,2025-08-05 11:58:33.081458
2025-08-05,89342,2025080505007119,TPC,Sundhara Securities Limited,Naasa Securities Co. Ltd.,200,385.0,77000.0,2025-08-05 11:58:33.081491
2025-08-05,89341,2025080505007120,TPC,Malla & Malla Stock Broking Company Pvt. Limited,Naasa Securities Co. Ltd.,300,385.0,115500.0,2025-08-05 11:58:33.081519
2025-08-05,89114,2025080505007191,TPC,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,50,384.2,19210.0,2025-08-05 11:59:04.613875
2025-08-05,89113,2025080505007192,TPC,Swarna Laxmi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,50,384.2,19210.0,2025-08-05 11:59:04.613931
2025-08-05,84794,2025080505008559,TPC,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,300,387.0,116100.0,2025-08-05 12:09:46.096766
2025-08-05,84317,2025080505008692,TPC,Dakshinkali Investment & Securities Pvt. Ltd.,Secured Securities Ltd.,10,386.3,3863.0,2025-08-05 12:10:57.609012
2025-08-05,83803,2025080505008869,TPC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Naasa Securities Co. Ltd.,50,387.0,19350.0,2025-08-05 12:12:22.302072
2025-08-05,83802,2025080505008870,TPC,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,100,387.0,38700.0,2025-08-05 12:12:22.302169
2025-08-05,83634,2025080505008914,TPC,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,250,387.1,96775.0,2025-08-05 12:12:53.666536
2025-08-05,82755,2025080505009176,TPC,Market Securities & Exchange (PVT) Ltd.,Sewa Securities Pvt. Ltd.,10,391.0,3910.0,2025-08-05 12:14:57.013425
2025-08-05,82378,2025080505009271,TPC,Secured Securities Ltd.,Sewa Securities Pvt. Ltd.,50,391.0,19550.0,2025-08-05 12:15:41.749446
2025-08-05,82371,2025080505009274,TPC,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,40,386.6,15464.0,2025-08-05 12:15:42.764599
2025-08-05,82370,2025080505009275,TPC,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,15,386.3,5794.5,2025-08-05 12:15:42.764696
2025-08-05,82369,2025080505009276,TPC,Creative Securities Pvt Ltd,Naasa Securities Co. Ltd.,100,386.3,38630.0,2025-08-05 12:15:42.764736
2025-08-05,82368,2025080505009277,TPC,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,30,386.2,11586.0,2025-08-05 12:15:42.764774
2025-08-05,82367,2025080505009278,TPC,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,55,386.2,21241.0,2025-08-05 12:15:42.764809
2025-08-05,82366,2025080505009279,TPC,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,500,386.0,193000.0,2025-08-05 12:15:42.764846
2025-08-05,82365,2025080505009280,TPC,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,101,386.0,38986.0,2025-08-05 12:15:42.764881
2025-08-05,82364,2025080505009281,TPC,Neev Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,40,386.0,15440.0,2025-08-05 12:15:42.764965
2025-08-05,82363,2025080505009282,TPC,Nagarik Stock Dealer ,Naasa Securities Co. Ltd.,40,385.3,15412.0,2025-08-05 12:15:42.765004
