Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-06,92187,2025080603000130,CORBL,Asian Securities Private Ltd.,Hatemalo Financial Services Private Limited,10,2055.0,20550.0,2025-08-06 11:03:17.362416
2025-08-06,87156,2025080603000793,CORBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,10,2066.0,20660.0,2025-08-06 11:15:36.826204
2025-08-06,85195,2025080603001115,CORBL,Vision Securities Pvt. Ltd,Deevyaa Securities & Stock House Pvt. Ltd,50,2107.3,105365.0,2025-08-06 11:20:50.601930
2025-08-06,84141,2025080603001303,CORBL,Kohinoor Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,15,2120.0,31800.0,2025-08-06 11:23:56.253469
2025-08-06,82811,2025080603001499,CORBL,Nepal Stock House (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,10,2119.4,21194.0,2025-08-06 11:27:28.320934
2025-08-06,82770,2025080603001506,CORBL,Nepal Stock House (PVT) Ltd.,Capital Max Securities Ltd,50,2119.5,105975.0,2025-08-06 11:27:36.426833
2025-08-06,80733,2025080603001877,CORBL,ABC Securities Private Limited,Agrawal Securities (PVT) Ltd.,10,2114.0,21140.0,2025-08-06 11:32:29.317344
2025-08-06,77222,2025080603002448,CORBL,Naasa Securities Co. Ltd.,Nabil Stock Dealer Ltd.,38,2110.0,80180.0,2025-08-06 11:42:44.466910
2025-08-06,77101,2025080603002469,CORBL,Aryatara Investment & Securities,Hatemalo Financial Services Private Limited,10,2087.0,20870.0,2025-08-06 11:43:12.072693
2025-08-06,75118,2025080603002777,CORBL,SHUBHAKAMANA SECURITIES PVT. LTD,Agrawal Securities (PVT) Ltd.,20,2110.0,42200.0,2025-08-06 11:49:14.585722
2025-08-06,75117,2025080603002778,CORBL,SHUBHAKAMANA SECURITIES PVT. LTD,Ashutosh Brokerage & Securities (PVT) Ltd.,30,2110.0,63300.0,2025-08-06 11:49:14.585925
