Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-06,92260,2025080601000363,EBL,Primo Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,70,703.8,49266.0,2025-08-06 11:03:04.455620
2025-08-06,90112,2025080601000994,EBL,Beni Securities Pvt.Ltd.,Asian Securities Private Ltd.,10,713.9,7139.0,2025-08-06 11:09:00.035350
2025-08-06,85232,2025080601002650,EBL,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,446,712.0,317552.0,2025-08-06 11:20:43.961425
2025-08-06,85231,2025080601002651,EBL,Online Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,100,713.0,71300.0,2025-08-06 11:20:43.961535
2025-08-06,85230,2025080601002652,EBL,Online Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,100,713.0,71300.0,2025-08-06 11:20:43.961591
2025-08-06,85229,2025080601002653,EBL,Online Securities Pvt. Ltd.,Asian Securities Private Ltd.,40,713.9,28556.0,2025-08-06 11:20:43.961641
2025-08-06,85228,2025080601002654,EBL,Online Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,314,713.9,224164.6,2025-08-06 11:20:43.961689
2025-08-06,83694,2025080601003176,EBL,Linch Stock Market Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,100,710.2,71020.0,2025-08-06 11:24:59.918271
2025-08-06,83610,2025080601003201,EBL,Sani Securities Company Ltd.,Aryatara Investment & Securities,10,710.1,7101.0,2025-08-06 11:25:17.630170
2025-08-06,83230,2025080601003308,EBL,Beni Securities Pvt.Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,713.0,7130.0,2025-08-06 11:26:25.677669
2025-08-06,83144,2025080601003337,EBL,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,13,710.1,9231.3,2025-08-06 11:26:42.569544
2025-08-06,83143,2025080601003338,EBL,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,12,710.1,8521.2,2025-08-06 11:26:42.569711
2025-08-06,83142,2025080601003339,EBL,Premier Securities Company Ltd.,Vision Securities Pvt. Ltd,100,710.0,71000.0,2025-08-06 11:26:42.569768
2025-08-06,82759,2025080601003467,EBL,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,50,710.0,35500.0,2025-08-06 11:27:37.149192
2025-08-06,82749,2025080601003470,EBL,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,20,710.0,14200.0,2025-08-06 11:27:38.157438
2025-08-06,82458,2025080601003515,EBL,Agrawal Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,19,710.0,13490.0,2025-08-06 11:28:13.815553
2025-08-06,80235,2025080601004104,EBL,ABC Securities Private Limited,Creative Securities Pvt Ltd,81,708.0,57348.0,2025-08-06 11:33:56.868858
2025-08-06,79350,2025080601004332,EBL,Beni Securities Pvt.Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,709.9,7099.0,2025-08-06 11:36:33.484837
2025-08-06,78089,2025080601004689,EBL,Premier Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,200,709.0,141800.0,2025-08-06 11:40:15.733180
2025-08-06,77749,2025080601004802,EBL,Beni Securities Pvt.Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,709.9,7099.0,2025-08-06 11:40:59.249666
2025-08-06,77743,2025080601004803,EBL,ABC Securities Private Limited,Dynamic Money Managers Securities Pvt. Ltd.,319,708.0,225852.0,2025-08-06 11:40:59.928581
2025-08-06,77742,2025080601004804,EBL,Neev Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,200,708.0,141600.0,2025-08-06 11:40:59.928729
2025-08-06,77741,2025080601004805,EBL,ABC Securities Private Limited,Dynamic Money Managers Securities Pvt. Ltd.,70,708.0,49560.0,2025-08-06 11:40:59.928789
2025-08-06,77538,2025080601004868,EBL,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2,700.0,1400.0,2025-08-06 11:41:39.940984
2025-08-06,77522,2025080601004877,EBL,Sundhara Securities Limited,Dynamic Money Managers Securities Pvt. Ltd.,37,709.9,26266.3,2025-08-06 11:41:42.605697
