Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-06,91216,2025080604000263,KPCL,Agrawal Securities (PVT) Ltd.,Kalika Securities Pvt. Ltd.,137,627.0,85899.0,2025-08-06 11:06:02.881820
2025-08-06,91157,2025080604000284,KPCL,Agrawal Securities (PVT) Ltd.,Prabhu Stock Market Limited,1000,627.0,627000.0,2025-08-06 11:06:14.210805
2025-08-06,91086,2025080604000306,KPCL,Agrawal Securities (PVT) Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,200,627.0,125400.0,2025-08-06 11:06:23.071516
2025-08-06,91009,2025080604000324,KPCL,Agrawal Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,663,627.0,415701.0,2025-08-06 11:06:37.655854
2025-08-06,90929,2025080604000329,KPCL,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,337,626.0,210962.0,2025-08-06 11:06:47.483420
2025-08-06,90806,2025080604000355,KPCL,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,163,630.0,102690.0,2025-08-06 11:07:01.843827
2025-08-06,90403,2025080604000419,KPCL,Kumari Securities Private Limited,Vision Securities Pvt. Ltd,337,630.0,212310.0,2025-08-06 11:08:08.809293
2025-08-06,90402,2025080604000420,KPCL,Kumari Securities Private Limited,Vision Securities Pvt. Ltd,163,632.0,103016.0,2025-08-06 11:08:08.809430
2025-08-06,90263,2025080604000440,KPCL,Aryatara Investment & Securities,KALASH STOCK MARKET PVT. LTD.,99,631.9,62558.1,2025-08-06 11:08:34.606209
2025-08-06,89696,2025080604000509,KPCL,Vision Securities Pvt. Ltd,Prabhu Stock Market Limited,500,626.0,313000.0,2025-08-06 11:09:45.852189
2025-08-06,89455,2025080604000529,KPCL,Sundhara Securities Limited,Kalika Securities Pvt. Ltd.,51,626.0,31926.0,2025-08-06 11:10:22.783564
2025-08-06,88756,2025080604000605,KPCL,Nagarik Stock Dealer ,Midas Stock Broking Company Private Limited,1000,631.0,631000.0,2025-08-06 11:11:49.192770
2025-08-06,88458,2025080604000655,KPCL,KALASH STOCK MARKET PVT. LTD.,Naasa Securities Co. Ltd.,1000,627.0,627000.0,2025-08-06 11:12:31.553020
2025-08-06,88347,2025080604000664,KPCL,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,500,627.0,313500.0,2025-08-06 11:12:48.629433
2025-08-06,88136,2025080604000689,KPCL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,500,627.0,313500.0,2025-08-06 11:13:10.640434
2025-08-06,88052,2025080604000696,KPCL,Nagarik Stock Dealer ,Naasa Securities Co. Ltd.,1000,627.0,627000.0,2025-08-06 11:13:17.846191
2025-08-06,88037,2025080604000698,KPCL,Sundhara Securities Limited,Siprabi Securities Pvt. Ltd.,49,626.0,30674.0,2025-08-06 11:13:20.737069
2025-08-06,88036,2025080604000699,KPCL,Neev Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,100,625.0,62500.0,2025-08-06 11:13:20.737166
2025-08-06,88035,2025080604000700,KPCL,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,5000,625.0,3125000.0,2025-08-06 11:13:20.737206
2025-08-06,88034,2025080604000701,KPCL,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,2000,625.0,1250000.0,2025-08-06 11:13:20.737243
2025-08-06,88033,2025080604000702,KPCL,Nagarik Stock Dealer ,Siprabi Securities Pvt. Ltd.,500,625.0,312500.0,2025-08-06 11:13:20.737276
2025-08-06,88032,2025080604000703,KPCL,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,500,625.0,312500.0,2025-08-06 11:13:20.737346
2025-08-06,88031,2025080604000704,KPCL,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,10,624.0,6240.0,2025-08-06 11:13:20.737383
2025-08-06,88030,2025080604000705,KPCL,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,10000,624.0,6240000.0,2025-08-06 11:13:20.737417
2025-08-06,88029,2025080604000706,KPCL,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,150,624.0,93600.0,2025-08-06 11:13:20.737450
2025-08-06,88028,2025080604000707,KPCL,Imperial Securities Company Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,100,621.0,62100.0,2025-08-06 11:13:20.737483
2025-08-06,88027,2025080604000708,KPCL,Vision Securities Pvt. Ltd,Siprabi Securities Pvt. Ltd.,200,621.0,124200.0,2025-08-06 11:13:20.737517
2025-08-06,88026,2025080604000709,KPCL,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,21799,621.0,13537179.0,2025-08-06 11:13:20.737549
2025-08-06,87819,2025080604000739,KPCL,Nagarik Stock Dealer ,Naasa Securities Co. Ltd.,2000,627.0,1254000.0,2025-08-06 11:13:59.075974
2025-08-06,87793,2025080604000740,KPCL,Sumeru Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,440,622.0,273680.0,2025-08-06 11:14:05.226985
2025-08-06,87461,2025080604000773,KPCL,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,21,625.0,13125.0,2025-08-06 11:14:54.882850
2025-08-06,86779,2025080604000900,KPCL,Vision Securities Pvt. Ltd,KALASH STOCK MARKET PVT. LTD.,197,630.7,124247.9,2025-08-06 11:16:32.815887
2025-08-06,86709,2025080604000912,KPCL,Capital Max Securities Ltd,Kalika Securities Pvt. Ltd.,400,630.8,252320.0,2025-08-06 11:16:42.589243
2025-08-06,86708,2025080604000913,KPCL,Capital Max Securities Ltd,Aryatara Investment & Securities,300,630.9,189270.0,2025-08-06 11:16:42.589439
2025-08-06,86707,2025080604000914,KPCL,Capital Max Securities Ltd,Midas Stock Broking Company Private Limited,200,631.0,126200.0,2025-08-06 11:16:42.589562
2025-08-06,86706,2025080604000915,KPCL,Capital Max Securities Ltd,Nepal Investment And Securities Trading Private Limited,40,631.0,25240.0,2025-08-06 11:16:42.589694
2025-08-06,86679,2025080604000918,KPCL,Capital Max Securities Ltd,Kalika Securities Pvt. Ltd.,60,631.0,37860.0,2025-08-06 11:16:46.804693
2025-08-06,86678,2025080604000919,KPCL,Vision Securities Pvt. Ltd,Kalika Securities Pvt. Ltd.,67,630.7,42256.9,2025-08-06 11:16:46.804818
2025-08-06,86617,2025080604000932,KPCL,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,236,630.7,148845.2,2025-08-06 11:16:56.849633
2025-08-06,86596,2025080604000938,KPCL,Sumeru Securities Pvt. Ltd.,Trishakti Securities Public Limited,50,630.6,31530.0,2025-08-06 11:17:00.955592
2025-08-06,86553,2025080604000942,KPCL,Capital Max Securities Ltd,Trishakti Securities Public Limited,1000,630.6,630600.0,2025-08-06 11:17:07.809330
2025-08-06,86541,2025080604000947,KPCL,Deevyaa Securities & Stock House Pvt. Ltd,Trishakti Securities Public Limited,100,630.6,63060.0,2025-08-06 11:17:09.084602
2025-08-06,86538,2025080604000948,KPCL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,500,628.0,314000.0,2025-08-06 11:17:09.650804
2025-08-06,86537,2025080604000949,KPCL,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,100,628.0,62800.0,2025-08-06 11:17:09.650915
2025-08-06,86504,2025080604000954,KPCL,Citizens Share Broker Limited,Naasa Securities Co. Ltd.,500,627.0,313500.0,2025-08-06 11:17:17.334179
2025-08-06,86390,2025080604000968,KPCL,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,100,627.0,62700.0,2025-08-06 11:17:36.411928
2025-08-06,86328,2025080604000978,KPCL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,200,627.0,125400.0,2025-08-06 11:17:43.987781
2025-08-06,86189,2025080604000998,KPCL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,200,627.0,125400.0,2025-08-06 11:18:00.833430
2025-08-06,86137,2025080604001002,KPCL,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,50,627.0,31350.0,2025-08-06 11:18:12.430258
2025-08-06,85852,2025080604001051,KPCL,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,500,627.0,313500.0,2025-08-06 11:19:01.531801
2025-08-06,85809,2025080604001055,KPCL,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,1000,627.0,627000.0,2025-08-06 11:19:08.265260
2025-08-06,85748,2025080604001065,KPCL,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,1000,627.0,627000.0,2025-08-06 11:19:16.291722
2025-08-06,85746,2025080604001066,KPCL,Secured Securities Ltd.,Naasa Securities Co. Ltd.,1000,627.0,627000.0,2025-08-06 11:19:17.734843
2025-08-06,85698,2025080604001075,KPCL,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,1000,627.0,627000.0,2025-08-06 11:19:24.336426
2025-08-06,85608,2025080604001098,KPCL,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,1000,627.0,627000.0,2025-08-06 11:19:37.402139
2025-08-06,85560,2025080604001110,KPCL,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,250,627.0,156750.0,2025-08-06 11:19:45.105638
2025-08-06,85513,2025080604001119,KPCL,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,1000,627.0,627000.0,2025-08-06 11:19:55.477147
2025-08-06,85311,2025080604001141,KPCL,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,500,627.0,313500.0,2025-08-06 11:20:27.618668
2025-08-06,85298,2025080604001143,KPCL,Aryatara Investment & Securities,Nepal Stock House (PVT) Ltd.,200,626.0,125200.0,2025-08-06 11:20:32.101462
2025-08-06,85180,2025080604001156,KPCL,Prabhu Stock Market Limited,Trishakti Securities Public Limited,114,626.0,71364.0,2025-08-06 11:20:53.950774
2025-08-06,84846,2025080604001219,KPCL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,600,627.0,376200.0,2025-08-06 11:21:53.545088
2025-08-06,83355,2025080604001443,KPCL,Prabhu Stock Market Limited,Sharepro Securities Private Limited,886,626.0,554636.0,2025-08-06 11:26:00.523020
2025-08-06,83354,2025080604001444,KPCL,Aryatara Investment & Securities,Sharepro Securities Private Limited,2000,625.1,1250200.0,2025-08-06 11:26:00.523123
2025-08-06,83353,2025080604001445,KPCL,Naasa Securities Co. Ltd.,Sharepro Securities Private Limited,3114,625.0,1946250.0,2025-08-06 11:26:00.523167
2025-08-06,83268,2025080604001471,KPCL,NIMB Stock Markets Limited,Prabhu Stock Market Limited,1000,626.9,626900.0,2025-08-06 11:26:15.801500
2025-08-06,82361,2025080604001630,KPCL,MILKY WAY SHARE BROKER COMPANY LTD ,Secured Securities Ltd.,150,626.0,93900.0,2025-08-06 11:28:27.775436
