Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-06,92261,2025080601000362,MBL,Linch Stock Market Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,100,262.7,26270.0,2025-08-06 11:03:03.917750
2025-08-06,91684,2025080601000549,MBL,Premier Securities Company Ltd.,Aakashbhairab Securities Ltd.,150,262.0,39300.0,2025-08-06 11:04:52.572056
2025-08-06,91440,2025080601000611,MBL,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,65,261.0,16965.0,2025-08-06 11:05:30.816685
2025-08-06,91229,2025080601000674,MBL,Pragyan Securities (PVT) Ltd.,Aakashbhairab Securities Ltd.,200,262.0,52400.0,2025-08-06 11:05:58.929218
2025-08-06,91225,2025080601000676,MBL,Trisul Securities & Invt. Ltd.,Primo Securities (PVT) Ltd.,500,260.3,130150.0,2025-08-06 11:06:00.227961
2025-08-06,91132,2025080601000693,MBL,Trisul Securities & Invt. Ltd.,Secured Securities Ltd.,371,260.3,96571.3,2025-08-06 11:06:18.387674
2025-08-06,91099,2025080601000697,MBL,Aryatara Investment & Securities,Aakashbhairab Securities Ltd.,40,262.0,10480.0,2025-08-06 11:06:22.178402
2025-08-06,90834,2025080601000762,MBL,Aryatara Investment & Securities,Aakashbhairab Securities Ltd.,110,262.0,28820.0,2025-08-06 11:06:58.562547
2025-08-06,90833,2025080601000763,MBL,Aryatara Investment & Securities,Capital Max Securities Ltd,40,262.5,10500.0,2025-08-06 11:06:58.562673
2025-08-06,90399,2025080601000896,MBL,Creative Securities Pvt Ltd,Arun Securities (PVT) Ltd.,500,261.0,130500.0,2025-08-06 11:08:09.383523
2025-08-06,90283,2025080601000933,MBL,Sani Securities Company Ltd.,Capital Max Securities Ltd,300,260.5,78150.0,2025-08-06 11:08:32.112429
2025-08-06,90120,2025080601000991,MBL,Market Securities & Exchange (PVT) Ltd.,Capital Max Securities Ltd,160,260.5,41680.0,2025-08-06 11:08:57.744809
2025-08-06,89682,2025080601001173,MBL,Naasa Securities Co. Ltd.,J.F. Securites (PVT) Ltd.,10,262.4,2624.0,2025-08-06 11:09:48.051873
2025-08-06,89642,2025080601001188,MBL,Sundhara Securities Limited,Capital Max Securities Ltd,500,262.0,131000.0,2025-08-06 11:09:55.452692
2025-08-06,89588,2025080601001210,MBL,Sundhara Securities Limited,Naasa Securities Co. Ltd.,229,262.0,59998.0,2025-08-06 11:10:00.560902
2025-08-06,89515,2025080601001235,MBL,Sundhara Securities Limited,Capital Max Securities Ltd,403,262.0,105586.0,2025-08-06 11:10:11.520098
2025-08-06,87868,2025080601001841,MBL,ABC Securities Private Limited,Premier Securities Company Ltd.,100,261.5,26150.0,2025-08-06 11:13:48.684137
2025-08-06,87867,2025080601001842,MBL,Market Securities & Exchange (PVT) Ltd.,Premier Securities Company Ltd.,340,261.0,88740.0,2025-08-06 11:13:48.684247
2025-08-06,87866,2025080601001843,MBL,Malla & Malla Stock Broking Company Pvt. Limited,Premier Securities Company Ltd.,86,261.0,22446.0,2025-08-06 11:13:48.684304
2025-08-06,87662,2025080601001924,MBL,Malla & Malla Stock Broking Company Pvt. Limited,Capital Hub P. Ltd,14,261.0,3654.0,2025-08-06 11:14:26.255676
2025-08-06,87661,2025080601001925,MBL,Sumeru Securities Pvt. Ltd.,Capital Hub P. Ltd,240,261.0,62640.0,2025-08-06 11:14:26.255792
2025-08-06,87343,2025080601002061,MBL,Naasa Securities Co. Ltd.,Capital Hub P. Ltd,40,261.0,10440.0,2025-08-06 11:15:16.968331
2025-08-06,87328,2025080601002067,MBL,ABC Securities Private Limited,Capital Hub P. Ltd,100,261.0,26100.0,2025-08-06 11:15:19.114415
2025-08-06,87157,2025080601002126,MBL,Aakashbhairab Securities Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,2000,260.7,521400.0,2025-08-06 11:15:36.810217
2025-08-06,87033,2025080601002165,MBL,Kalika Securities Pvt. Ltd.,Capital Hub P. Ltd,100,261.0,26100.0,2025-08-06 11:16:03.502490
2025-08-06,87010,2025080601002170,MBL,Beni Securities Pvt.Ltd.,Capital Max Securities Ltd,10,262.0,2620.0,2025-08-06 11:16:05.083840
2025-08-06,86464,2025080601002329,MBL,Premier Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,200,261.9,52380.0,2025-08-06 11:17:24.257410
2025-08-06,86130,2025080601002407,MBL,Kalika Securities Pvt. Ltd.,Capital Max Securities Ltd,87,261.0,22707.0,2025-08-06 11:18:13.093627
2025-08-06,85942,2025080601002445,MBL,Kalika Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,100,261.0,26100.0,2025-08-06 11:18:43.122791
2025-08-06,85660,2025080601002519,MBL,Kalika Securities Pvt. Ltd.,Linch Stock Market Ltd.,213,261.0,55593.0,2025-08-06 11:19:30.228723
2025-08-06,85659,2025080601002520,MBL,Sundhara Securities Limited,Linch Stock Market Ltd.,100,261.0,26100.0,2025-08-06 11:19:30.228980
2025-08-06,85159,2025080601002672,MBL,Sundhara Securities Limited,Nagarik Stock Dealer ,50,261.0,13050.0,2025-08-06 11:20:59.766960
2025-08-06,83979,2025080601003020,MBL,Aryatara Investment & Securities,Nagarik Stock Dealer ,40,261.0,10440.0,2025-08-06 11:24:21.119403
2025-08-06,83766,2025080601003157,MBL,Sweta Securities Private Limited,Capital Max Securities Ltd,900,260.6,234540.0,2025-08-06 11:24:44.610716
2025-08-06,83765,2025080601003158,MBL,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,100,260.6,26060.0,2025-08-06 11:24:44.610846
2025-08-06,83748,2025080601003160,MBL,Malla & Malla Stock Broking Company Pvt. Limited,Nagarik Stock Dealer ,50,260.5,13025.0,2025-08-06 11:24:46.469962
2025-08-06,83379,2025080601003274,MBL,Malla & Malla Stock Broking Company Pvt. Limited,ABC Securities Private Limited,50,260.5,13025.0,2025-08-06 11:25:56.242214
2025-08-06,83378,2025080601003275,MBL,Sani Securities Company Ltd.,ABC Securities Private Limited,500,260.4,130200.0,2025-08-06 11:25:56.242524
2025-08-06,83260,2025080601003300,MBL,Siprabi Securities Pvt. Ltd.,ABC Securities Private Limited,14,260.4,3645.6,2025-08-06 11:26:18.153348
2025-08-06,83198,2025080601003320,MBL,Trisul Securities & Invt. Ltd.,Sipla Securities Private Limited,200,260.3,52060.0,2025-08-06 11:26:32.636071
2025-08-06,82959,2025080601003414,MBL,Sani Securities Company Ltd.,ABC Securities Private Limited,25,260.4,6510.0,2025-08-06 11:27:05.868178
2025-08-06,82817,2025080601003449,MBL,Trisul Securities & Invt. Ltd.,Sundhara Securities Limited,100,260.3,26030.0,2025-08-06 11:27:27.317998
2025-08-06,82815,2025080601003451,MBL,Dynamic Money Managers Securities Pvt. Ltd.,ABC Securities Private Limited,411,260.4,107024.4,2025-08-06 11:27:27.498564
