Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-06,91779,2025080603000192,MNBBL,Sani Securities Company Ltd.,K.B.L. Securities Limited ,50,440.1,22005.0,2025-08-06 11:04:37.295019
2025-08-06,91778,2025080603000193,MNBBL,Himalayan Securities Limited,K.B.L. Securities Limited ,50,440.1,22005.0,2025-08-06 11:04:37.295081
2025-08-06,91218,2025080603000290,MNBBL,Primo Securities (PVT) Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,500,440.2,220100.0,2025-08-06 11:06:02.848843
2025-08-06,90338,2025080603000389,MNBBL,Trishakti Securities Public Limited,Kohinoor Investment & Securities Pvt. Ltd.,16,441.0,7056.0,2025-08-06 11:08:20.399005
2025-08-06,90142,2025080603000411,MNBBL,Trishakti Securities Public Limited,Oxford Securities Pvt. Ltd.,84,441.0,37044.0,2025-08-06 11:08:53.212521
2025-08-06,90141,2025080603000412,MNBBL,Agrawal Securities (PVT) Ltd.,Oxford Securities Pvt. Ltd.,66,441.0,29106.0,2025-08-06 11:08:53.212660
2025-08-06,89238,2025080603000516,MNBBL,Naasa Securities Co. Ltd.,Aakashbhairab Securities Ltd.,10,445.0,4450.0,2025-08-06 11:10:50.818378
2025-08-06,88953,2025080603000550,MNBBL,Asian Securities Private Ltd.,Aakashbhairab Securities Ltd.,490,445.0,218050.0,2025-08-06 11:11:28.871310
2025-08-06,88952,2025080603000551,MNBBL,Asian Securities Private Ltd.,Trishakti Securities Public Limited,10,445.0,4450.0,2025-08-06 11:11:28.871443
2025-08-06,87893,2025080603000687,MNBBL,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,90,445.0,40050.0,2025-08-06 11:13:43.947260
2025-08-06,85079,2025080603001132,MNBBL,Capital Max Securities Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,445.0,4450.0,2025-08-06 11:21:13.202800
2025-08-06,85078,2025080603001133,MNBBL,Premier Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,445.0,4450.0,2025-08-06 11:21:13.202981
2025-08-06,84199,2025080603001293,MNBBL,Creative Securities Pvt Ltd,Imperial Securities Company Pvt. Ltd.,250,444.0,111000.0,2025-08-06 11:23:46.407202
2025-08-06,83978,2025080603001317,MNBBL,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,300,444.0,133200.0,2025-08-06 11:24:21.163704
2025-08-06,83959,2025080603001318,MNBBL,Imperial Securities Company Pvt. Ltd.,Nagarik Stock Dealer ,210,443.2,93072.0,2025-08-06 11:24:24.418316
2025-08-06,83958,2025080603001319,MNBBL,K.B.L. Securities Limited ,Nagarik Stock Dealer ,1100,443.2,487520.0,2025-08-06 11:24:24.418409
2025-08-06,83957,2025080603001320,MNBBL,Himalayan Securities Limited,Nagarik Stock Dealer ,690,443.0,305670.0,2025-08-06 11:24:24.418465
