Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-06,93166,2025080605000011,NIFRA,Sri Hari Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,290.7,2907.0,2025-08-06 10:46:00.032583
2025-08-06,91800,2025080605000526,NIFRA,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,10,288.0,2880.0,2025-08-06 11:04:32.188983
2025-08-06,91594,2025080605000603,NIFRA,Kumari Securities Private Limited,Trishakti Securities Public Limited,21,285.3,5991.3,2025-08-06 11:05:07.636373
2025-08-06,91407,2025080605000670,NIFRA,Sewa Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,64,285.0,18240.0,2025-08-06 11:05:35.408596
2025-08-06,91002,2025080605000823,NIFRA,Sewa Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,16,285.0,4560.0,2025-08-06 11:06:38.859595
2025-08-06,91001,2025080605000824,NIFRA,Linch Stock Market Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,84,285.0,23940.0,2025-08-06 11:06:38.859735
2025-08-06,90915,2025080605000872,NIFRA,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,16,285.0,4560.0,2025-08-06 11:06:49.342870
2025-08-06,90914,2025080605000873,NIFRA,Nepal Stock House (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,38,285.0,10830.0,2025-08-06 11:06:49.342971
2025-08-06,90756,2025080605000940,NIFRA,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,112,285.0,31920.0,2025-08-06 11:07:10.333776
2025-08-06,90755,2025080605000941,NIFRA,J.F. Securites (PVT) Ltd.,Naasa Securities Co. Ltd.,100,285.0,28500.0,2025-08-06 11:07:10.333913
2025-08-06,90754,2025080605000942,NIFRA,Secured Securities Ltd.,Naasa Securities Co. Ltd.,38,285.0,10830.0,2025-08-06 11:07:10.333968
2025-08-06,90718,2025080605000955,NIFRA,Secured Securities Ltd.,Sani Securities Company Ltd.,262,285.0,74670.0,2025-08-06 11:07:14.659364
2025-08-06,90717,2025080605000956,NIFRA,Secured Securities Ltd.,Sani Securities Company Ltd.,200,285.0,57000.0,2025-08-06 11:07:14.659498
2025-08-06,90558,2025080605001007,NIFRA,Linch Stock Market Ltd.,Sundhara Securities Limited,50,284.9,14245.0,2025-08-06 11:07:42.617633
2025-08-06,90160,2025080605001185,NIFRA,Kumari Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,284.0,14200.0,2025-08-06 11:08:49.236920
2025-08-06,89932,2025080605001288,NIFRA,Kumari Securities Private Limited,Opal Securities Investment (PVT) Ltd.,10,283.0,2830.0,2025-08-06 11:09:27.064537
2025-08-06,89626,2025080605001380,NIFRA,Online Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,150,283.1,42465.0,2025-08-06 11:09:57.365129
2025-08-06,89625,2025080605001381,NIFRA,Online Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,50,283.1,14155.0,2025-08-06 11:09:57.564535
2025-08-06,89624,2025080605001382,NIFRA,Kohinoor Investment & Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,50,283.1,14155.0,2025-08-06 11:09:57.564675
2025-08-06,89467,2025080605001453,NIFRA,Kohinoor Investment & Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,50,283.1,14155.0,2025-08-06 11:10:20.982429
2025-08-06,89466,2025080605001454,NIFRA,Kumari Securities Private Limited,Sumeru Securities Pvt. Ltd.,290,283.0,82070.0,2025-08-06 11:10:20.982721
2025-08-06,89465,2025080605001455,NIFRA,Online Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,400,283.0,113200.0,2025-08-06 11:10:20.982936
2025-08-06,89462,2025080605001456,NIFRA,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,600,283.0,169800.0,2025-08-06 11:10:22.303766
2025-08-06,89396,2025080605001488,NIFRA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,938,283.0,265454.0,2025-08-06 11:10:31.652895
2025-08-06,89247,2025080605001528,NIFRA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,54,283.0,15282.0,2025-08-06 11:10:49.298479
2025-08-06,89163,2025080605001562,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Aryatara Investment & Securities,1000,284.8,284800.0,2025-08-06 11:11:02.535942
2025-08-06,88981,2025080605001640,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Aryatara Investment & Securities,490,284.9,139601.0,2025-08-06 11:11:24.601966
2025-08-06,88881,2025080605001710,NIFRA,Property Wiard Limited,Naasa Securities Co. Ltd.,200,283.5,56700.0,2025-08-06 11:11:32.921550
2025-08-06,88848,2025080605001718,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,100,283.5,28350.0,2025-08-06 11:11:36.919212
2025-08-06,88843,2025080605001719,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Naasa Securities Co. Ltd.,700,283.5,198450.0,2025-08-06 11:11:38.642888
2025-08-06,88842,2025080605001720,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Online Securities Pvt. Ltd.,54,283.5,15309.0,2025-08-06 11:11:38.643230
2025-08-06,88484,2025080605001846,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,30,284.5,8535.0,2025-08-06 11:12:27.334067
2025-08-06,88380,2025080605001891,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Trishakti Securities Public Limited,1400,284.5,398300.0,2025-08-06 11:12:42.642478
2025-08-06,88091,2025080605001990,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Siprabi Securities Pvt. Ltd.,30,285.0,8550.0,2025-08-06 11:13:14.853365
2025-08-06,88090,2025080605001991,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Investment Management Nepal Pvt. Ltd.,54,285.0,15390.0,2025-08-06 11:13:14.853545
2025-08-06,88089,2025080605001992,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Online Securities Pvt. Ltd.,54,285.0,15390.0,2025-08-06 11:13:14.853629
2025-08-06,88088,2025080605001993,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Vision Securities Pvt. Ltd,54,285.0,15390.0,2025-08-06 11:13:14.853712
2025-08-06,88087,2025080605001994,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Sipla Securities Private Limited,30,285.0,8550.0,2025-08-06 11:13:14.853790
2025-08-06,88086,2025080605001995,NIFRA,MILKY WAY SHARE BROKER COMPANY LTD ,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,64,285.0,18240.0,2025-08-06 11:13:14.853873
