Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-06,91429,2025080604000222,PPCL,Deevyaa Securities & Stock House Pvt. Ltd,Kalika Securities Pvt. Ltd.,30,346.0,10380.0,2025-08-06 11:05:32.032256
2025-08-06,91196,2025080604000269,PPCL,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,30,346.0,10380.0,2025-08-06 11:06:07.658014
2025-08-06,90185,2025080604000446,PPCL,Deevyaa Securities & Stock House Pvt. Ltd,Swarna Laxmi Securities Pvt. Ltd.,500,346.0,173000.0,2025-08-06 11:08:45.463729
2025-08-06,88922,2025080604000587,PPCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sri Hari Securities Pvt. Ltd.,100,349.0,34900.0,2025-08-06 11:11:29.381258
2025-08-06,88468,2025080604000654,PPCL,Nepal Stock House (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,100,349.0,34900.0,2025-08-06 11:12:30.867160
2025-08-06,87842,2025080604000738,PPCL,Nepal Stock House (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,50,349.0,17450.0,2025-08-06 11:13:53.994886
2025-08-06,85907,2025080604001045,PPCL,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,100,349.1,34910.0,2025-08-06 11:18:48.884772
2025-08-06,85752,2025080604001064,PPCL,Nepal Stock House (PVT) Ltd.,Asian Securities Private Ltd.,10,349.0,3490.0,2025-08-06 11:19:14.181734
2025-08-06,83164,2025080604001494,PPCL,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,10,350.0,3500.0,2025-08-06 11:26:38.503982
2025-08-06,81799,2025080604001732,PPCL,Vision Securities Pvt. Ltd,Dakshinkali Investment & Securities Pvt. Ltd.,190,350.0,66500.0,2025-08-06 11:29:50.619499
2025-08-06,76323,2025080604002747,PPCL,Asian Securities Private Ltd.,Sri Hari Securities Pvt. Ltd.,300,348.0,104400.0,2025-08-06 11:45:40.995363
2025-08-06,76322,2025080604002748,PPCL,Premier Securities Company Ltd.,Sri Hari Securities Pvt. Ltd.,280,347.0,97160.0,2025-08-06 11:45:40.995481
2025-08-06,73810,2025080604003192,PPCL,Sani Securities Company Ltd.,Sundhara Securities Limited,10,347.1,3471.0,2025-08-06 11:52:41.865489
2025-08-06,73766,2025080604003198,PPCL,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,15,347.0,5205.0,2025-08-06 11:52:48.339216
2025-08-06,73186,2025080604003302,PPCL,Premier Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,205,347.0,71135.0,2025-08-06 11:54:22.401031
2025-08-06,73185,2025080604003303,PPCL,Linch Stock Market Ltd.,Nepal Investment And Securities Trading Private Limited,30,347.0,10410.0,2025-08-06 11:54:22.401115
2025-08-06,63842,2025080604004753,PPCL,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,100,348.0,34800.0,2025-08-06 12:18:56.111386
2025-08-06,61021,2025080604005316,PPCL,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,20,348.0,6960.0,2025-08-06 12:28:31.730138
2025-08-06,60922,2025080604005335,PPCL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,23,348.0,8004.0,2025-08-06 12:28:55.122830
2025-08-06,60921,2025080604005336,PPCL,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,38,347.5,13205.0,2025-08-06 12:28:55.123015
2025-08-06,60920,2025080604005337,PPCL,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,50,347.5,17375.0,2025-08-06 12:28:55.123118
2025-08-06,60919,2025080604005338,PPCL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,147,347.4,51067.8,2025-08-06 12:28:55.123228
2025-08-06,60709,2025080604005357,PPCL,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,353,347.4,122632.2,2025-08-06 12:29:36.193971
2025-08-06,60539,2025080604005368,PPCL,Trishakti Securities Public Limited,Kohinoor Investment & Securities Pvt. Ltd.,77,347.2,26734.4,2025-08-06 12:30:00.385652
2025-08-06,57590,2025080604005824,PPCL,Trishakti Securities Public Limited,Creative Securities Pvt Ltd,423,347.2,146865.6,2025-08-06 12:41:13.643450
2025-08-06,57589,2025080604005825,PPCL,Trisul Securities & Invt. Ltd.,Creative Securities Pvt Ltd,300,346.1,103830.0,2025-08-06 12:41:13.643565
2025-08-06,57588,2025080604005826,PPCL,Siprabi Securities Pvt. Ltd.,Creative Securities Pvt Ltd,200,346.1,69220.0,2025-08-06 12:41:13.643610
2025-08-06,57587,2025080604005827,PPCL,Siprabi Securities Pvt. Ltd.,Creative Securities Pvt Ltd,100,346.1,34610.0,2025-08-06 12:41:13.643653
2025-08-06,57586,2025080604005828,PPCL,Deevyaa Securities & Stock House Pvt. Ltd,Creative Securities Pvt Ltd,440,346.0,152240.0,2025-08-06 12:41:13.643693
2025-08-06,57585,2025080604005829,PPCL,Sumeru Securities Pvt. Ltd.,Creative Securities Pvt Ltd,100,346.0,34600.0,2025-08-06 12:41:13.643732
2025-08-06,57250,2025080604005907,PPCL,Trishakti Securities Public Limited,Creative Securities Pvt Ltd,100,345.1,34510.0,2025-08-06 12:42:24.042504
2025-08-06,57249,2025080604005908,PPCL,Imperial Securities Company Pvt. Ltd.,Creative Securities Pvt Ltd,337,345.0,116265.0,2025-08-06 12:42:24.042681
2025-08-06,53181,2025080604006600,PPCL,Capital Max Securities Ltd,Sani Securities Company Ltd.,50,345.1,17255.0,2025-08-06 12:54:36.981938
2025-08-06,53180,2025080604006601,PPCL,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,163,345.0,56235.0,2025-08-06 12:54:36.982049
2025-08-06,53179,2025080604006602,PPCL,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,108,345.0,37260.0,2025-08-06 12:54:36.982094
2025-08-06,53178,2025080604006603,PPCL,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,20,345.0,6900.0,2025-08-06 12:54:36.982133
2025-08-06,53177,2025080604006604,PPCL,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,254,345.0,87630.0,2025-08-06 12:54:36.982175
2025-08-06,53176,2025080604006605,PPCL,South Asian Bulls Pvt. Ltd.,Sani Securities Company Ltd.,50,345.0,17250.0,2025-08-06 12:54:36.982212
2025-08-06,49483,2025080604007242,PPCL,Capital Max Securities Ltd,Sani Securities Company Ltd.,30,345.1,10353.0,2025-08-06 13:03:23.581723
2025-08-06,47912,2025080604007515,PPCL,Oxford Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,500,346.2,173100.0,2025-08-06 13:07:24.120099
2025-08-06,43247,2025080604008377,PPCL,Midas Stock Broking Company Private Limited,Linch Stock Market Ltd.,50,349.0,17450.0,2025-08-06 13:19:43.398734
2025-08-06,43023,2025080604008436,PPCL,Capital Max Securities Ltd,Linch Stock Market Ltd.,20,349.0,6980.0,2025-08-06 13:20:22.978495
