Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-06,93157,2025080603000008,SINDU,J.F. Securites (PVT) Ltd.,Vision Securities Pvt. Ltd,10,793.0,7930.0,2025-08-06 10:46:00.048089
2025-08-06,93156,2025080603000009,SINDU,J.F. Securites (PVT) Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,10,793.0,7930.0,2025-08-06 10:46:00.048134
2025-08-06,91670,2025080603000213,SINDU,Swarna Laxmi Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,10,808.8,8088.0,2025-08-06 11:04:56.083450
2025-08-06,89416,2025080603000493,SINDU,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,20,814.0,16280.0,2025-08-06 11:10:29.091466
2025-08-06,89297,2025080603000501,SINDU,Dakshinkali Investment & Securities Pvt. Ltd.,Linch Stock Market Ltd.,10,814.0,8140.0,2025-08-06 11:10:43.026614
2025-08-06,89178,2025080603000525,SINDU,Kalika Securities Pvt. Ltd.,Linch Stock Market Ltd.,70,814.0,56980.0,2025-08-06 11:11:01.944185
2025-08-06,89112,2025080603000531,SINDU,Kalika Securities Pvt. Ltd.,Secured Securities Ltd.,10,814.0,8140.0,2025-08-06 11:11:10.405001
2025-08-06,88901,2025080603000554,SINDU,Kalika Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,94,814.0,76516.0,2025-08-06 11:11:30.718222
2025-08-06,88487,2025080603000610,SINDU,Kalika Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,26,814.0,21164.0,2025-08-06 11:12:26.510847
2025-08-06,88263,2025080603000658,SINDU,Online Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,80,812.0,64960.0,2025-08-06 11:12:56.203310
2025-08-06,87886,2025080603000691,SINDU,Nepal Stock House (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,70,812.0,56840.0,2025-08-06 11:13:45.222239
2025-08-06,87245,2025080603000784,SINDU,Online Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,24,814.8,19555.2,2025-08-06 11:15:27.586919
2025-08-06,87108,2025080603000800,SINDU,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,26,815.0,21190.0,2025-08-06 11:15:48.882569
2025-08-06,87042,2025080603000812,SINDU,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,25,815.0,20375.0,2025-08-06 11:16:01.028736
2025-08-06,86790,2025080603000847,SINDU,Imperial Securities Company Pvt. Ltd.,Kalika Securities Pvt. Ltd.,20,812.0,16240.0,2025-08-06 11:16:31.574868
2025-08-06,86050,2025080603000976,SINDU,Primo Securities (PVT) Ltd.,Kalika Securities Pvt. Ltd.,10,813.0,8130.0,2025-08-06 11:18:23.548824
2025-08-06,85197,2025080603001114,SINDU,Bhrikuti Stock Broking Co. Pvt. Ltd.,Kalika Securities Pvt. Ltd.,25,810.0,20250.0,2025-08-06 11:20:49.579278
2025-08-06,85147,2025080603001125,SINDU,Vision Securities Pvt. Ltd,Kalika Securities Pvt. Ltd.,100,809.0,80900.0,2025-08-06 11:21:02.990483
2025-08-06,85146,2025080603001126,SINDU,Magnet Securities and Investment Company Private Limited,Kalika Securities Pvt. Ltd.,90,809.0,72810.0,2025-08-06 11:21:02.990655
2025-08-06,84959,2025080603001152,SINDU,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,15,810.0,12150.0,2025-08-06 11:21:38.459482
2025-08-06,84958,2025080603001153,SINDU,Magnet Securities and Investment Company Private Limited,Naasa Securities Co. Ltd.,10,809.0,8090.0,2025-08-06 11:21:38.459528
2025-08-06,84957,2025080603001154,SINDU,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,150,808.0,121200.0,2025-08-06 11:21:38.459557
2025-08-06,84956,2025080603001155,SINDU,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,200,805.0,161000.0,2025-08-06 11:21:38.459586
2025-08-06,84955,2025080603001156,SINDU,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,10,805.0,8050.0,2025-08-06 11:21:38.459612
2025-08-06,84954,2025080603001157,SINDU,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,10,804.5,8045.0,2025-08-06 11:21:38.459636
2025-08-06,84953,2025080603001158,SINDU,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,50,804.1,40205.0,2025-08-06 11:21:38.459660
2025-08-06,84952,2025080603001159,SINDU,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,50,803.0,40150.0,2025-08-06 11:21:38.459686
2025-08-06,84951,2025080603001160,SINDU,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,75,802.0,60150.0,2025-08-06 11:21:38.459714
2025-08-06,84950,2025080603001161,SINDU,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,100,801.1,80110.0,2025-08-06 11:21:38.459739
2025-08-06,84949,2025080603001162,SINDU,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,30,801.0,24030.0,2025-08-06 11:21:38.459768
2025-08-06,83712,2025080603001352,SINDU,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,100,802.1,80210.0,2025-08-06 11:24:56.514373
2025-08-06,82880,2025080603001484,SINDU,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,10,806.0,8060.0,2025-08-06 11:27:16.289499
2025-08-06,82231,2025080603001609,SINDU,Sewa Securities Pvt. Ltd.,Capital Max Securities Ltd,20,805.0,16100.0,2025-08-06 11:28:51.580233
2025-08-06,82156,2025080603001621,SINDU,Aryatara Investment & Securities,Opal Securities Investment (PVT) Ltd.,10,803.1,8031.0,2025-08-06 11:28:59.831971
2025-08-06,82155,2025080603001622,SINDU,Bhrikuti Stock Broking Co. Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,22,803.0,17666.0,2025-08-06 11:28:59.832122
2025-08-06,81968,2025080603001641,SINDU,Oxford Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,35,802.0,28070.0,2025-08-06 11:29:21.932104
2025-08-06,81859,2025080603001665,SINDU,Swarna Laxmi Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,43,801.7,34473.1,2025-08-06 11:29:43.077301
2025-08-06,81668,2025080603001696,SINDU,Vision Securities Pvt. Ltd,Capital Max Securities Ltd,80,805.0,64400.0,2025-08-06 11:30:14.555861
2025-08-06,81509,2025080603001732,SINDU,Market Securities & Exchange (PVT) Ltd.,Kalika Securities Pvt. Ltd.,50,803.1,40155.0,2025-08-06 11:30:37.350444
2025-08-06,80118,2025080603002005,SINDU,Sani Securities Company Ltd.,Kalika Securities Pvt. Ltd.,100,810.0,81000.0,2025-08-06 11:34:17.273519
2025-08-06,79902,2025080603002037,SINDU,Cristal Kanchanjanga Securites Pvt. Ltd.,Online Securities Pvt. Ltd.,18,811.0,14598.0,2025-08-06 11:34:54.007241
2025-08-06,79756,2025080603002059,SINDU,Deevyaa Securities & Stock House Pvt. Ltd,Online Securities Pvt. Ltd.,10,811.0,8110.0,2025-08-06 11:35:20.781360
2025-08-06,79585,2025080603002084,SINDU,Siprabi Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,72,811.0,58392.0,2025-08-06 11:35:49.157048
2025-08-06,79391,2025080603002142,SINDU,SUN SECURITIES PVT LTD,Kalika Securities Pvt. Ltd.,20,812.0,16240.0,2025-08-06 11:36:25.850621
2025-08-06,78838,2025080603002210,SINDU,J.F. Securites (PVT) Ltd.,Miyo Securities Pvt Ltd,5,800.0,4000.0,2025-08-06 11:38:13.846975
2025-08-06,78440,2025080603002280,SINDU,Indira securities pvt. ltd,Kohinoor Investment & Securities Pvt. Ltd.,10,812.0,8120.0,2025-08-06 11:39:21.870904
2025-08-06,78013,2025080603002334,SINDU,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,25,810.0,20250.0,2025-08-06 11:40:27.894166
2025-08-06,77469,2025080603002405,SINDU,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,170,812.0,138040.0,2025-08-06 11:41:54.898172
2025-08-06,75582,2025080603002658,SINDU,Deevyaa Securities & Stock House Pvt. Ltd,Asian Securities Private Ltd.,100,811.0,81100.0,2025-08-06 11:47:47.259662
2025-08-06,75543,2025080603002661,SINDU,Swarna Laxmi Securities Pvt. Ltd.,Aryatara Investment & Securities,57,810.5,46198.5,2025-08-06 11:47:53.795391
2025-08-06,75542,2025080603002662,SINDU,Sani Securities Company Ltd.,Aryatara Investment & Securities,475,810.0,384750.0,2025-08-06 11:47:53.795575
2025-08-06,75541,2025080603002663,SINDU,Sani Securities Company Ltd.,Aryatara Investment & Securities,473,810.0,383130.0,2025-08-06 11:47:53.795654
2025-08-06,75222,2025080603002752,SINDU,Sani Securities Company Ltd.,Sagarmatha Securities Private Limited,100,810.0,81000.0,2025-08-06 11:48:57.899929
2025-08-06,71854,2025080603003306,SINDU,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,100,810.3,81030.0,2025-08-06 11:56:36.340668
2025-08-06,70321,2025080603003552,SINDU,Swarna Laxmi Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,50,814.0,40700.0,2025-08-06 11:59:32.817874
2025-08-06,70320,2025080603003553,SINDU,Swarna Laxmi Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,10,814.0,8140.0,2025-08-06 11:59:32.818196
2025-08-06,70267,2025080603003562,SINDU,Cristal Kanchanjanga Securites Pvt. Ltd.,Naasa Securities Co. Ltd.,339,815.0,276285.0,2025-08-06 11:59:39.978646
2025-08-06,70266,2025080603003563,SINDU,Cristal Kanchanjanga Securites Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,61,815.0,49715.0,2025-08-06 11:59:39.978858
2025-08-06,69790,2025080603003689,SINDU,Cristal Kanchanjanga Securites Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,814.0,8140.0,2025-08-06 12:00:43.367825
2025-08-06,69789,2025080603003690,SINDU,Cristal Kanchanjanga Securites Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,25,815.0,20375.0,2025-08-06 12:00:43.368168
2025-08-06,68677,2025080603003877,SINDU,Capital Max Securities Ltd,Sumeru Securities Pvt. Ltd.,14,815.0,11410.0,2025-08-06 12:03:37.920909
2025-08-06,67399,2025080603004163,SINDU,Sani Securities Company Ltd.,Kumari Securities Private Limited,35,815.0,28525.0,2025-08-06 12:07:26.582559
2025-08-06,67398,2025080603004164,SINDU,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,10,815.0,8150.0,2025-08-06 12:07:26.582737
2025-08-06,67397,2025080603004165,SINDU,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,30,817.0,24510.0,2025-08-06 12:07:26.582813
2025-08-06,67396,2025080603004166,SINDU,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,100,817.0,81700.0,2025-08-06 12:07:26.582886
2025-08-06,67395,2025080603004167,SINDU,Sani Securities Company Ltd.,Capital Max Securities Ltd,100,819.0,81900.0,2025-08-06 12:07:26.582958
2025-08-06,67394,2025080603004168,SINDU,Sani Securities Company Ltd.,Aryatara Investment & Securities,550,819.0,450450.0,2025-08-06 12:07:26.583037
2025-08-06,67393,2025080603004169,SINDU,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,150,820.0,123000.0,2025-08-06 12:07:26.583111
2025-08-06,66622,2025080603004271,SINDU,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,30,820.0,24600.0,2025-08-06 12:09:59.517288
2025-08-06,63905,2025080603004739,SINDU,Aryatara Investment & Securities,Asian Securities Private Ltd.,100,814.0,81400.0,2025-08-06 12:18:44.500765
2025-08-06,63785,2025080603004760,SINDU,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,100,814.0,81400.0,2025-08-06 12:19:09.439292
