Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-07,92235,2025080705001136,CIT,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,25,1970.0,49250.0,2025-08-07 11:12:02.647994
2025-08-07,92123,2025080705001184,CIT,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,100,1970.0,197000.0,2025-08-07 11:12:27.860699
2025-08-07,91878,2025080705001265,CIT,ABC Securities Private Limited,Naasa Securities Co. Ltd.,10,1970.0,19700.0,2025-08-07 11:13:14.177964
2025-08-07,90058,2025080705001866,CIT,Malla & Malla Stock Broking Company Pvt. Limited,Sani Securities Company Ltd.,10,1969.9,19699.0,2025-08-07 11:18:49.377212
2025-08-07,89970,2025080705001892,CIT,Aakashbhairab Securities Ltd.,Naasa Securities Co. Ltd.,250,1970.0,492500.0,2025-08-07 11:19:02.113279
2025-08-07,89840,2025080705001925,CIT,Aakashbhairab Securities Ltd.,Naasa Securities Co. Ltd.,115,1970.0,226550.0,2025-08-07 11:19:21.172925
2025-08-07,89839,2025080705001926,CIT,Aakashbhairab Securities Ltd.,Primo Securities (PVT) Ltd.,100,1970.0,197000.0,2025-08-07 11:19:21.173138
2025-08-07,89732,2025080705001963,CIT,Sweta Securities Private Limited,Trisul Securities & Invt. Ltd.,10,1970.0,19700.0,2025-08-07 11:19:35.551111
2025-08-07,89311,2025080705002074,CIT,Malla & Malla Stock Broking Company Pvt. Limited,Aryatara Investment & Securities,10,1969.0,19690.0,2025-08-07 11:20:30.979163
2025-08-07,88596,2025080705002279,CIT,Sweta Securities Private Limited,Secured Securities Ltd.,20,1966.1,39322.0,2025-08-07 11:22:23.134270
2025-08-07,88595,2025080705002280,CIT,Siprabi Securities Pvt. Ltd.,Secured Securities Ltd.,19,1966.0,37354.0,2025-08-07 11:22:23.134340
2025-08-07,88515,2025080705002293,CIT,Dakshinkali Investment & Securities Pvt. Ltd.,Sundhara Securities Limited,10,1969.0,19690.0,2025-08-07 11:22:36.800827
2025-08-07,87913,2025080705002507,CIT,Midas Stock Broking Company Private Limited,Trisul Securities & Invt. Ltd.,25,1970.0,49250.0,2025-08-07 11:24:14.816560
2025-08-07,87850,2025080705002537,CIT,Linch Stock Market Ltd.,Sani Securities Company Ltd.,20,1967.0,39340.0,2025-08-07 11:24:24.794724
2025-08-07,87849,2025080705002538,CIT,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,60,1965.1,117906.0,2025-08-07 11:24:24.794766
2025-08-07,87565,2025080705002631,CIT,Malla & Malla Stock Broking Company Pvt. Limited,Sewa Securities Pvt. Ltd.,10,1965.2,19652.0,2025-08-07 11:25:26.312212
2025-08-07,87564,2025080705002632,CIT,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sewa Securities Pvt. Ltd.,40,1965.1,78604.0,2025-08-07 11:25:26.312379
2025-08-07,87563,2025080705002633,CIT,Vision Securities Pvt. Ltd,Sewa Securities Pvt. Ltd.,10,1965.0,19650.0,2025-08-07 11:25:26.312433
2025-08-07,87562,2025080705002634,CIT,Kumari Securities Private Limited,Sewa Securities Pvt. Ltd.,10,1965.0,19650.0,2025-08-07 11:25:26.312482
2025-08-07,87561,2025080705002635,CIT,Kumari Securities Private Limited,Sewa Securities Pvt. Ltd.,50,1965.0,98250.0,2025-08-07 11:25:26.312530
2025-08-07,87560,2025080705002636,CIT,South Asian Bulls Pvt. Ltd.,Sewa Securities Pvt. Ltd.,90,1965.0,176850.0,2025-08-07 11:25:26.312599
2025-08-07,86854,2025080705002870,CIT,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,1,1966.0,1966.0,2025-08-07 11:27:45.890450
2025-08-07,86794,2025080705002894,CIT,South Asian Bulls Pvt. Ltd.,Naasa Securities Co. Ltd.,10,1965.0,19650.0,2025-08-07 11:27:56.845926
2025-08-07,86370,2025080705003051,CIT,Agrawal Securities (PVT) Ltd.,Sani Securities Company Ltd.,100,1965.1,196510.0,2025-08-07 11:29:26.455002
2025-08-07,86047,2025080705003144,CIT,Agrawal Securities (PVT) Ltd.,Sani Securities Company Ltd.,200,1965.1,393020.0,2025-08-07 11:30:18.128035
2025-08-07,85679,2025080705003278,CIT,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,200,1965.1,393020.0,2025-08-07 11:31:13.732265
2025-08-07,85678,2025080705003279,CIT,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,20,1965.0,39300.0,2025-08-07 11:31:13.732405
2025-08-07,85677,2025080705003280,CIT,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,20,1965.0,39300.0,2025-08-07 11:31:13.732458
2025-08-07,85376,2025080705003355,CIT,Bhrikuti Stock Broking Co. Pvt. Ltd.,Naasa Securities Co. Ltd.,100,1965.0,196500.0,2025-08-07 11:32:00.574340
2025-08-07,85148,2025080705003407,CIT,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,100,1965.0,196500.0,2025-08-07 11:32:40.029679
2025-08-07,84423,2025080705003609,CIT,Malla & Malla Stock Broking Company Pvt. Limited,Naasa Securities Co. Ltd.,10,1965.0,19650.0,2025-08-07 11:35:14.261593
2025-08-07,84384,2025080705003629,CIT,Asian Securities Private Ltd.,Siprabi Securities Pvt. Ltd.,37,1963.1,72634.7,2025-08-07 11:35:25.104208
2025-08-07,84349,2025080705003636,CIT,Malla & Malla Stock Broking Company Pvt. Limited,Naasa Securities Co. Ltd.,10,1965.0,19650.0,2025-08-07 11:35:30.328341
2025-08-07,84043,2025080705003775,CIT,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,13,1963.1,25520.3,2025-08-07 11:36:24.431098
2025-08-07,84042,2025080705003776,CIT,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,20,1963.0,39260.0,2025-08-07 11:36:24.431234
2025-08-07,83947,2025080705003822,CIT,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,17,1963.0,33371.0,2025-08-07 11:36:43.628515
2025-08-07,82488,2025080705004305,CIT,Secured Securities Ltd.,Imperial Securities Company Pvt. Ltd.,1,1950.0,1950.0,2025-08-07 11:40:51.230552
2025-08-07,82293,2025080705004385,CIT,Siprabi Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,5,1975.0,9875.0,2025-08-07 11:41:28.696169
2025-08-07,81196,2025080705004738,CIT,Malla & Malla Stock Broking Company Pvt. Limited,Sundhara Securities Limited,10,1963.0,19630.0,2025-08-07 11:45:04.024791
2025-08-07,80910,2025080705004814,CIT,Nepal Investment And Securities Trading Private Limited,Naasa Securities Co. Ltd.,20,1963.0,39260.0,2025-08-07 11:46:03.395124
2025-08-07,80909,2025080705004815,CIT,J.F. Securites (PVT) Ltd.,Naasa Securities Co. Ltd.,15,1962.3,29434.5,2025-08-07 11:46:03.395279
2025-08-07,80908,2025080705004816,CIT,ABC Securities Private Limited,Naasa Securities Co. Ltd.,100,1962.1,196210.0,2025-08-07 11:46:03.395399
2025-08-07,80907,2025080705004817,CIT,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,1961.0,19610.0,2025-08-07 11:46:03.395460
2025-08-07,80906,2025080705004818,CIT,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,10,1961.0,19610.0,2025-08-07 11:46:03.395518
2025-08-07,80905,2025080705004819,CIT,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,50,1960.1,98005.0,2025-08-07 11:46:03.395575
2025-08-07,80904,2025080705004820,CIT,Creative Securities Pvt Ltd,Naasa Securities Co. Ltd.,30,1960.1,58803.0,2025-08-07 11:46:03.395634
2025-08-07,80903,2025080705004821,CIT,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,100,1960.0,196000.0,2025-08-07 11:46:03.395698
2025-08-07,80902,2025080705004822,CIT,South Asian Bulls Pvt. Ltd.,Naasa Securities Co. Ltd.,50,1960.0,98000.0,2025-08-07 11:46:03.395756
2025-08-07,80901,2025080705004823,CIT,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,100,1960.0,196000.0,2025-08-07 11:46:03.395831
2025-08-07,80900,2025080705004824,CIT,Midas Stock Broking Company Private Limited,Naasa Securities Co. Ltd.,62,1960.0,121520.0,2025-08-07 11:46:03.395886
2025-08-07,80899,2025080705004825,CIT,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,10,1960.0,19600.0,2025-08-07 11:46:03.395944
2025-08-07,80898,2025080705004826,CIT,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,20,1960.0,39200.0,2025-08-07 11:46:03.395999
