Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-07,93185,2025080703000372,GMFIL,Blue Chip Securities Ltd,Aryatara Investment & Securities,10,508.0,5080.0,2025-08-07 11:09:01.190962
2025-08-07,92391,2025080703000530,GMFIL,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,270,507.9,137133.0,2025-08-07 11:11:23.531612
2025-08-07,90990,2025080703000762,GMFIL,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,200,507.9,101580.0,2025-08-07 11:15:52.985989
2025-08-07,90562,2025080703000829,GMFIL,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,50,507.9,25395.0,2025-08-07 11:17:15.270672
2025-08-07,90449,2025080703000869,GMFIL,Malla & Malla Stock Broking Company Pvt. Limited,Vision Securities Pvt. Ltd,10,497.8,4978.0,2025-08-07 11:17:33.145495
2025-08-07,89919,2025080703000988,GMFIL,Blue Chip Securities Ltd,Naasa Securities Co. Ltd.,10,507.9,5079.0,2025-08-07 11:19:06.891074
2025-08-07,88517,2025080703001284,GMFIL,Online Securities Pvt. Ltd.,Premier Securities Company Ltd.,10,498.0,4980.0,2025-08-07 11:22:36.257714
2025-08-07,87451,2025080703001498,GMFIL,Online Securities Pvt. Ltd.,Linch Stock Market Ltd.,30,498.0,14940.0,2025-08-07 11:25:51.412802
2025-08-07,87450,2025080703001499,GMFIL,Malla & Malla Stock Broking Company Pvt. Limited,Linch Stock Market Ltd.,30,497.8,14934.0,2025-08-07 11:25:51.412865
2025-08-07,85097,2025080703001888,GMFIL,Sweta Securities Private Limited,Beni Securities Pvt.Ltd.,200,498.5,99700.0,2025-08-07 11:32:51.262263
2025-08-07,85096,2025080703001889,GMFIL,Sri Hari Securities Pvt. Ltd.,Beni Securities Pvt.Ltd.,550,498.0,273900.0,2025-08-07 11:32:51.262411
2025-08-07,82776,2025080703002239,GMFIL,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,170,498.0,84660.0,2025-08-07 11:39:56.194103
2025-08-07,67526,2025080703004630,GMFIL,Kohinoor Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,500,503.0,251500.0,2025-08-07 12:23:26.659635
2025-08-07,64582,2025080703005178,GMFIL,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,200,503.1,100620.0,2025-08-07 12:31:44.160213
2025-08-07,64151,2025080703005255,GMFIL,Sani Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,200,503.0,100600.0,2025-08-07 12:32:47.484760
2025-08-07,63776,2025080703005313,GMFIL,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,50,503.2,25160.0,2025-08-07 12:33:48.771725
