Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-07,94322,2025080704000159,RHPL,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,20,325.3,6506.0,2025-08-07 11:05:15.375006
2025-08-07,94321,2025080704000160,RHPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Online Securities Pvt. Ltd.,20,325.1,6502.0,2025-08-07 11:05:15.375078
2025-08-07,94320,2025080704000161,RHPL,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,20,325.1,6502.0,2025-08-07 11:05:15.375110
2025-08-07,94319,2025080704000162,RHPL,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,130,325.0,42250.0,2025-08-07 11:05:15.375139
2025-08-07,94318,2025080704000163,RHPL,Kumari Securities Private Limited,Online Securities Pvt. Ltd.,100,325.0,32500.0,2025-08-07 11:05:15.375168
2025-08-07,94317,2025080704000164,RHPL,Aakashbhairab Securities Ltd.,Online Securities Pvt. Ltd.,20,325.0,6500.0,2025-08-07 11:05:15.375196
2025-08-07,94316,2025080704000165,RHPL,Arun Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,292,324.5,94754.0,2025-08-07 11:05:15.375224
2025-08-07,94315,2025080704000166,RHPL,Trisul Securities & Invt. Ltd.,Online Securities Pvt. Ltd.,30,324.4,9732.0,2025-08-07 11:05:15.375267
2025-08-07,94314,2025080704000167,RHPL,Siprabi Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2000,324.4,648800.0,2025-08-07 11:05:15.375295
2025-08-07,94313,2025080704000168,RHPL,Asian Securities Private Ltd.,Online Securities Pvt. Ltd.,200,324.1,64820.0,2025-08-07 11:05:15.375330
2025-08-07,94312,2025080704000169,RHPL,Agrawal Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,100,324.0,32400.0,2025-08-07 11:05:15.375359
2025-08-07,94311,2025080704000170,RHPL,Trisul Securities & Invt. Ltd.,Online Securities Pvt. Ltd.,30,324.0,9720.0,2025-08-07 11:05:15.375386
2025-08-07,94310,2025080704000171,RHPL,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,520,324.0,168480.0,2025-08-07 11:05:15.375410
2025-08-07,94231,2025080704000198,RHPL,Asian Securities Private Ltd.,Online Securities Pvt. Ltd.,100,323.0,32300.0,2025-08-07 11:05:34.542755
2025-08-07,94230,2025080704000199,RHPL,Dakshinkali Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,90,323.0,29070.0,2025-08-07 11:05:34.542804
2025-08-07,94229,2025080704000200,RHPL,Agrawal Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,200,323.0,64600.0,2025-08-07 11:05:34.542831
2025-08-07,94228,2025080704000201,RHPL,Opal Securities Investment (PVT) Ltd.,Online Securities Pvt. Ltd.,300,323.0,96900.0,2025-08-07 11:05:34.542862
2025-08-07,94227,2025080704000202,RHPL,Trisul Securities & Invt. Ltd.,Online Securities Pvt. Ltd.,30,323.0,9690.0,2025-08-07 11:05:34.542893
2025-08-07,94226,2025080704000203,RHPL,Agrawal Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,76,322.6,24517.6,2025-08-07 11:05:34.542937
2025-08-07,92817,2025080704000443,RHPL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,30,326.1,9783.0,2025-08-07 11:10:04.573088
2025-08-07,92553,2025080704000495,RHPL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,80,326.0,26080.0,2025-08-07 11:10:56.513054
2025-08-07,92540,2025080704000496,RHPL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,20,326.0,6520.0,2025-08-07 11:10:58.574795
2025-08-07,92058,2025080704000608,RHPL,Malla & Malla Stock Broking Company Pvt. Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,30,328.9,9867.0,2025-08-07 11:12:40.414574
2025-08-07,91983,2025080704000621,RHPL,Sani Securities Company Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,10,328.9,3289.0,2025-08-07 11:12:55.977040
2025-08-07,91188,2025080704000758,RHPL,Market Securities & Exchange (PVT) Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,100,328.9,32890.0,2025-08-07 11:15:07.063227
2025-08-07,91079,2025080704000777,RHPL,Neev Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,300,328.0,98400.0,2025-08-07 11:15:33.937604
2025-08-07,90210,2025080704000908,RHPL,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,70,327.0,22890.0,2025-08-07 11:18:21.319574
2025-08-07,90093,2025080704000927,RHPL,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,200,327.0,65400.0,2025-08-07 11:18:40.827191
2025-08-07,89466,2025080704001072,RHPL,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,80,327.0,26160.0,2025-08-07 11:20:10.019620
2025-08-07,88021,2025080704001396,RHPL,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,40,327.0,13080.0,2025-08-07 11:23:56.180461
2025-08-07,87948,2025080704001413,RHPL,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,100,327.0,32700.0,2025-08-07 11:24:08.676974
2025-08-07,87915,2025080704001416,RHPL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,10,327.0,3270.0,2025-08-07 11:24:14.692155
2025-08-07,87914,2025080704001417,RHPL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,30,326.3,9789.0,2025-08-07 11:24:14.692248
2025-08-07,87798,2025080704001442,RHPL,Oxford Securities Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,10,328.9,3289.0,2025-08-07 11:24:31.940890
2025-08-07,87248,2025080704001532,RHPL,Imperial Securities Company Pvt. Ltd.,Neev Securities Pvt. Ltd.,20,326.3,6526.0,2025-08-07 11:26:33.767240
2025-08-07,87247,2025080704001533,RHPL,Deevyaa Securities & Stock House Pvt. Ltd,Neev Securities Pvt. Ltd.,20,326.2,6524.0,2025-08-07 11:26:33.767385
