Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-11,98522,2025081104000001,NHPC,J.F. Securites (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,219.0,2190.0,2025-08-11 10:46:00.008968
2025-08-11,97654,2025081104000140,NHPC,J.F. Securites (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,290,218.0,63220.0,2025-08-11 11:03:00.182372
2025-08-11,97107,2025081104000227,NHPC,J.F. Securites (PVT) Ltd.,Indira securities pvt. ltd,56,218.0,12208.0,2025-08-11 11:04:34.552772
2025-08-11,97065,2025081104000238,NHPC,J.F. Securites (PVT) Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,63,218.0,13734.0,2025-08-11 11:04:39.171210
2025-08-11,97040,2025081104000240,NHPC,J.F. Securites (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,171,218.0,37278.0,2025-08-11 11:04:42.604951
2025-08-11,96868,2025081104000273,NHPC,J.F. Securites (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,29,218.0,6322.0,2025-08-11 11:05:08.014982
2025-08-11,96729,2025081104000312,NHPC,J.F. Securites (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,50,219.0,10950.0,2025-08-11 11:05:25.099868
2025-08-11,96203,2025081104000426,NHPC,J.F. Securites (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,50,219.0,10950.0,2025-08-11 11:06:42.506898
2025-08-11,95631,2025081104000542,NHPC,Malla & Malla Stock Broking Company Pvt. Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,200,219.0,43800.0,2025-08-11 11:07:58.549936
2025-08-11,95630,2025081104000543,NHPC,Malla & Malla Stock Broking Company Pvt. Limited,Imperial Securities Company Pvt. Ltd.,100,219.0,21900.0,2025-08-11 11:07:58.550018
2025-08-11,94708,2025081104000772,NHPC,ABC Securities Private Limited,Aryatara Investment & Securities,48,219.0,10512.0,2025-08-11 11:10:09.330459
2025-08-11,93563,2025081104000977,NHPC,Agrawal Securities (PVT) Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,500,216.0,108000.0,2025-08-11 11:12:43.284527
2025-08-11,93562,2025081104000978,NHPC,Global IME Securities Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,33,216.0,7128.0,2025-08-11 11:12:43.284572
2025-08-11,91763,2025081104001472,NHPC,Agrawal Securities (PVT) Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,220,217.0,47740.0,2025-08-11 11:16:47.172235
2025-08-11,90629,2025081104001689,NHPC,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,100,216.5,21650.0,2025-08-11 11:19:37.774129
