Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-11,98486,2025081104000010,UMHL,Kohinoor Investment & Securities Pvt. Ltd.,Capital Max Securities Ltd,50,584.0,29200.0,2025-08-11 10:46:00.036859
2025-08-11,98485,2025081104000011,UMHL,Kohinoor Investment & Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,108,584.0,63072.0,2025-08-11 10:46:00.036917
2025-08-11,98395,2025081104000020,UMHL,Kohinoor Investment & Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,20,587.0,11740.0,2025-08-11 11:00:14.153759
2025-08-11,98389,2025081104000021,UMHL,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,50,589.3,29465.0,2025-08-11 11:00:17.529901
2025-08-11,98376,2025081104000022,UMHL,Kalika Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,150,589.3,88395.0,2025-08-11 11:00:24.440187
2025-08-11,98245,2025081104000044,UMHL,Capital Hub P. Ltd,SHUBHAKAMANA SECURITIES PVT. LTD,200,589.0,117800.0,2025-08-11 11:01:02.626862
2025-08-11,98238,2025081104000045,UMHL,Stoxkarts Securities Limited,SHUBHAKAMANA SECURITIES PVT. LTD,300,589.0,176700.0,2025-08-11 11:01:03.432875
2025-08-11,98237,2025081104000046,UMHL,Stoxkarts Securities Limited,SHUBHAKAMANA SECURITIES PVT. LTD,200,589.0,117800.0,2025-08-11 11:01:03.432949
2025-08-11,98208,2025081104000051,UMHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,262,589.0,154318.0,2025-08-11 11:01:11.646807
2025-08-11,98202,2025081104000053,UMHL,Vision Securities Pvt. Ltd,SHUBHAKAMANA SECURITIES PVT. LTD,38,589.0,22382.0,2025-08-11 11:01:13.956486
2025-08-11,98201,2025081104000054,UMHL,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,12,589.3,7071.6,2025-08-11 11:01:13.956536
2025-08-11,98200,2025081104000055,UMHL,Vision Securities Pvt. Ltd,Sumeru Securities Pvt. Ltd.,200,588.0,117600.0,2025-08-11 11:01:13.985034
2025-08-11,98199,2025081104000056,UMHL,Kohinoor Investment & Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,22,587.0,12914.0,2025-08-11 11:01:13.985083
2025-08-11,98198,2025081104000057,UMHL,Kumari Securities Private Limited,Sumeru Securities Pvt. Ltd.,320,587.0,187840.0,2025-08-11 11:01:13.985127
2025-08-11,98197,2025081104000058,UMHL,Capital Max Securities Ltd,Sumeru Securities Pvt. Ltd.,458,585.0,267930.0,2025-08-11 11:01:13.985163
2025-08-11,98157,2025081104000062,UMHL,Kalika Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,700,589.0,412300.0,2025-08-11 11:01:22.045272
2025-08-11,98156,2025081104000063,UMHL,Capital Max Securities Ltd,Sumeru Securities Pvt. Ltd.,542,585.0,317070.0,2025-08-11 11:01:22.045383
2025-08-11,98155,2025081104000064,UMHL,Trisul Securities & Invt. Ltd.,Sumeru Securities Pvt. Ltd.,50,584.0,29200.0,2025-08-11 11:01:22.045417
2025-08-11,98154,2025081104000065,UMHL,Nabil Stock Dealer Ltd.,Sumeru Securities Pvt. Ltd.,40,583.0,23320.0,2025-08-11 11:01:22.045444
2025-08-11,98153,2025081104000066,UMHL,Nabil Stock Dealer Ltd.,Sumeru Securities Pvt. Ltd.,20,583.0,11660.0,2025-08-11 11:01:22.045468
2025-08-11,98152,2025081104000067,UMHL,Capital Max Securities Ltd,Sumeru Securities Pvt. Ltd.,148,582.0,86136.0,2025-08-11 11:01:22.045491
2025-08-11,98123,2025081104000070,UMHL,Sanima Securities Limited,Midas Stock Broking Company Private Limited,200,589.3,117860.0,2025-08-11 11:01:26.638905
2025-08-11,98101,2025081104000073,UMHL,Capital Max Securities Ltd,Sumeru Securities Pvt. Ltd.,700,582.0,407400.0,2025-08-11 11:01:31.128779
2025-08-11,98040,2025081104000081,UMHL,Kalika Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,338,589.3,199183.4,2025-08-11 11:01:43.240555
2025-08-11,97986,2025081104000085,UMHL,Midas Stock Broking Company Private Limited,Sumeru Securities Pvt. Ltd.,1000,583.0,583000.0,2025-08-11 11:01:52.261285
2025-08-11,97915,2025081104000091,UMHL,Blue Chip Securities Ltd,Indira securities pvt. ltd,55,584.0,32120.0,2025-08-11 11:02:09.028006
2025-08-11,97891,2025081104000094,UMHL,Blue Chip Securities Ltd,Capital Max Securities Ltd,145,584.0,84680.0,2025-08-11 11:02:13.951014
2025-08-11,97890,2025081104000095,UMHL,Capital Hub P. Ltd,Capital Max Securities Ltd,100,584.0,58400.0,2025-08-11 11:02:13.951064
2025-08-11,97889,2025081104000096,UMHL,Trisul Securities & Invt. Ltd.,Capital Max Securities Ltd,50,583.2,29160.0,2025-08-11 11:02:13.951085
2025-08-11,97888,2025081104000097,UMHL,Trishakti Securities Public Limited,Capital Max Securities Ltd,905,583.1,527705.5,2025-08-11 11:02:13.951106
2025-08-11,97758,2025081104000118,UMHL,Global IME Securities Limited,Indira securities pvt. ltd,500,585.1,292550.0,2025-08-11 11:02:38.142622
2025-08-11,97757,2025081104000119,UMHL,Cristal Kanchanjanga Securites Pvt. Ltd.,Indira securities pvt. ltd,80,585.0,46800.0,2025-08-11 11:02:38.142786
2025-08-11,97576,2025081104000149,UMHL,Cristal Kanchanjanga Securites Pvt. Ltd.,Indira securities pvt. ltd,70,585.0,40950.0,2025-08-11 11:03:14.248717
2025-08-11,97442,2025081104000170,UMHL,Trishakti Securities Public Limited,Indira securities pvt. ltd,95,585.1,55584.5,2025-08-11 11:03:38.338426
2025-08-11,97441,2025081104000171,UMHL,Cristal Kanchanjanga Securites Pvt. Ltd.,Indira securities pvt. ltd,50,585.0,29250.0,2025-08-11 11:03:38.338513
2025-08-11,97440,2025081104000172,UMHL,Vision Securities Pvt. Ltd,Indira securities pvt. ltd,100,585.0,58500.0,2025-08-11 11:03:38.338572
2025-08-11,97439,2025081104000173,UMHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Indira securities pvt. ltd,172,585.0,100620.0,2025-08-11 11:03:38.338614
2025-08-11,97438,2025081104000174,UMHL,Sanima Securities Limited,Indira securities pvt. ltd,50,585.0,29250.0,2025-08-11 11:03:38.338652
2025-08-11,97362,2025081104000183,UMHL,Trishakti Securities Public Limited,Deevyaa Securities & Stock House Pvt. Ltd,55,584.0,32120.0,2025-08-11 11:03:52.457051
