Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-11,97204,2025081104000206,UPCL,Sewa Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,200,411.0,82200.0,2025-08-11 11:04:18.004467
2025-08-11,97086,2025081104000228,UPCL,Vision Securities Pvt. Ltd,Secured Securities Ltd.,1000,409.0,409000.0,2025-08-11 11:04:36.462227
2025-08-11,97066,2025081104000237,UPCL,Opal Securities Investment (PVT) Ltd.,Secured Securities Ltd.,200,409.0,81800.0,2025-08-11 11:04:38.766433
2025-08-11,96890,2025081104000271,UPCL,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,227,410.0,93070.0,2025-08-11 11:05:04.085974
2025-08-11,96041,2025081104000459,UPCL,Opal Securities Investment (PVT) Ltd.,BHOLE GANESH SECURITIES LTD,73,410.0,29930.0,2025-08-11 11:07:02.295736
2025-08-11,96040,2025081104000460,UPCL,Online Securities Pvt. Ltd.,BHOLE GANESH SECURITIES LTD,927,408.1,378308.7,2025-08-11 11:07:02.295807
2025-08-11,95329,2025081104000610,UPCL,Vision Securities Pvt. Ltd,Sri Hari Securities Pvt. Ltd.,1000,410.0,410000.0,2025-08-11 11:08:43.032738
2025-08-11,95328,2025081104000611,UPCL,Online Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,473,408.1,193031.3,2025-08-11 11:08:43.032876
2025-08-11,95327,2025081104000612,UPCL,Sani Securities Company Ltd.,Sri Hari Securities Pvt. Ltd.,1000,408.1,408100.0,2025-08-11 11:08:43.032917
2025-08-11,95326,2025081104000613,UPCL,Secured Securities Ltd.,Sri Hari Securities Pvt. Ltd.,1000,408.0,408000.0,2025-08-11 11:08:43.032971
2025-08-11,95325,2025081104000614,UPCL,Aryatara Investment & Securities,Sri Hari Securities Pvt. Ltd.,1000,408.0,408000.0,2025-08-11 11:08:43.033010
2025-08-11,95324,2025081104000615,UPCL,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,175,408.0,71400.0,2025-08-11 11:08:43.033047
2025-08-11,95323,2025081104000616,UPCL,MILKY WAY SHARE BROKER COMPANY LTD ,Sri Hari Securities Pvt. Ltd.,1000,407.5,407500.0,2025-08-11 11:08:43.033085
2025-08-11,95322,2025081104000617,UPCL,Kohinoor Investment & Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,700,407.5,285250.0,2025-08-11 11:08:43.033119
2025-08-11,95321,2025081104000618,UPCL,Global IME Securities Limited,Sri Hari Securities Pvt. Ltd.,1000,407.4,407400.0,2025-08-11 11:08:43.033151
2025-08-11,95320,2025081104000619,UPCL,Thrive Brokerage House Pvt. Ltd,Sri Hari Securities Pvt. Ltd.,1000,407.3,407300.0,2025-08-11 11:08:43.033188
2025-08-11,95319,2025081104000620,UPCL,Kohinoor Investment & Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,600,407.0,244200.0,2025-08-11 11:08:43.033226
2025-08-11,95318,2025081104000621,UPCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sri Hari Securities Pvt. Ltd.,50,407.0,20350.0,2025-08-11 11:08:43.033256
2025-08-11,95250,2025081104000639,UPCL,J.F. Securites (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,1000,407.0,407000.0,2025-08-11 11:08:57.023807
2025-08-11,91566,2025081104001525,UPCL,Kohinoor Investment & Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,100,408.0,40800.0,2025-08-11 11:17:20.717061
2025-08-11,90875,2025081104001647,UPCL,ABC Securities Private Limited,Sumeru Securities Pvt. Ltd.,200,410.0,82000.0,2025-08-11 11:18:58.270551
2025-08-11,89463,2025081104001897,UPCL,Online Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,200,410.0,82000.0,2025-08-11 11:22:15.784322
2025-08-11,89462,2025081104001898,UPCL,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,286,410.0,117260.0,2025-08-11 11:22:15.784467
2025-08-11,88990,2025081104002006,UPCL,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,14,410.0,5740.0,2025-08-11 11:23:41.994474
2025-08-11,88989,2025081104002007,UPCL,Siprabi Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,90,410.0,36900.0,2025-08-11 11:23:41.994617
2025-08-11,88988,2025081104002008,UPCL,Siprabi Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,108,410.0,44280.0,2025-08-11 11:23:41.994670
2025-08-11,88987,2025081104002009,UPCL,Siprabi Securities Pvt. Ltd.,Elite Stock House Limited,300,411.0,123300.0,2025-08-11 11:23:41.994719
2025-08-11,88986,2025081104002010,UPCL,Siprabi Securities Pvt. Ltd.,Sani Securities Company Ltd.,25,411.0,10275.0,2025-08-11 11:23:41.994769
2025-08-11,88985,2025081104002011,UPCL,Siprabi Securities Pvt. Ltd.,Sharepro Securities Private Limited,963,412.0,396756.0,2025-08-11 11:23:41.994818
2025-08-11,87710,2025081104002243,UPCL,Nepal Investment And Securities Trading Private Limited,Sharepro Securities Private Limited,87,412.0,35844.0,2025-08-11 11:26:40.008154
2025-08-11,87709,2025081104002244,UPCL,Nepal Investment And Securities Trading Private Limited,Premier Securities Company Ltd.,65,412.0,26780.0,2025-08-11 11:26:40.008285
2025-08-11,87708,2025081104002245,UPCL,Nepal Investment And Securities Trading Private Limited,BHOLE GANESH SECURITIES LTD,500,412.5,206250.0,2025-08-11 11:26:40.008365
2025-08-11,87590,2025081104002266,UPCL,Nepal Investment And Securities Trading Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,48,413.0,19824.0,2025-08-11 11:26:58.153533
2025-08-11,87162,2025081104002338,UPCL,Nepal Stock House (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,10,412.0,4120.0,2025-08-11 11:28:04.264532
2025-08-11,87161,2025081104002339,UPCL,Nepal Stock House (PVT) Ltd.,Midas Stock Broking Company Private Limited,40,412.5,16500.0,2025-08-11 11:28:04.264676
2025-08-11,86863,2025081104002416,UPCL,Deevyaa Securities & Stock House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,44,410.0,18040.0,2025-08-11 11:28:48.012833
2025-08-11,86773,2025081104002435,UPCL,Deevyaa Securities & Stock House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,410.0,4100.0,2025-08-11 11:29:01.099052
2025-08-11,86471,2025081104002483,UPCL,Machhapuchchhre Securities Limited,Midas Stock Broking Company Private Limited,10,412.5,4125.0,2025-08-11 11:29:29.847809
2025-08-11,81069,2025081104003788,UPCL,Nepal Investment And Securities Trading Private Limited,Sharepro Securities Private Limited,50,411.5,20575.0,2025-08-11 11:41:37.797060
2025-08-11,81068,2025081104003789,UPCL,Aryatara Investment & Securities,Sharepro Securities Private Limited,500,411.5,205750.0,2025-08-11 11:41:37.797393
2025-08-11,81067,2025081104003790,UPCL,Imperial Securities Company Pvt. Ltd.,Sharepro Securities Private Limited,100,411.2,41120.0,2025-08-11 11:41:37.797579
2025-08-11,81066,2025081104003791,UPCL,Property Wiard Limited,Sharepro Securities Private Limited,500,411.1,205550.0,2025-08-11 11:41:37.797760
2025-08-11,81065,2025081104003792,UPCL,Siprabi Securities Pvt. Ltd.,Sharepro Securities Private Limited,500,411.0,205500.0,2025-08-11 11:41:37.797930
2025-08-11,81064,2025081104003793,UPCL,Trishakti Securities Public Limited,Sharepro Securities Private Limited,350,411.0,143850.0,2025-08-11 11:41:37.798103
2025-08-11,81045,2025081104003805,UPCL,Trishakti Securities Public Limited,Aakashbhairab Securities Ltd.,250,411.0,102750.0,2025-08-11 11:41:39.779741
2025-08-11,81044,2025081104003806,UPCL,Sumeru Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,200,411.0,82200.0,2025-08-11 11:41:39.780027
2025-08-11,81043,2025081104003807,UPCL,Kohinoor Investment & Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,500,410.1,205050.0,2025-08-11 11:41:39.780216
2025-08-11,81042,2025081104003808,UPCL,Deevyaa Securities & Stock House Pvt. Ltd,Aakashbhairab Securities Ltd.,1946,410.0,797860.0,2025-08-11 11:41:39.780441
2025-08-11,80796,2025081104003863,UPCL,Trademow Securities Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,409.1,40910.0,2025-08-11 11:42:13.753740
2025-08-11,80598,2025081104003914,UPCL,Trademow Securities Private Limited,Aakashbhairab Securities Ltd.,1952,409.1,798563.2,2025-08-11 11:42:46.989266
2025-08-11,80597,2025081104003915,UPCL,Malla & Malla Stock Broking Company Pvt. Limited,Aakashbhairab Securities Ltd.,48,409.0,19632.0,2025-08-11 11:42:46.989429
2025-08-11,79686,2025081104004145,UPCL,Siprabi Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,504,410.0,206640.0,2025-08-11 11:44:51.352387
2025-08-11,78627,2025081104004316,UPCL,Siprabi Securities Pvt. Ltd.,Secured Securities Ltd.,496,410.0,203360.0,2025-08-11 11:47:48.387773
2025-08-11,78626,2025081104004317,UPCL,Malla & Malla Stock Broking Company Pvt. Limited,Secured Securities Ltd.,204,410.0,83640.0,2025-08-11 11:47:48.387948
2025-08-11,78251,2025081104004395,UPCL,Machhapuchchhre Securities Limited,Sharepro Securities Private Limited,10,411.0,4110.0,2025-08-11 11:48:49.569179
2025-08-11,78100,2025081104004426,UPCL,Malla & Malla Stock Broking Company Pvt. Limited,Asian Securities Private Ltd.,96,410.0,39360.0,2025-08-11 11:49:16.027454
2025-08-11,78099,2025081104004427,UPCL,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,11,410.0,4510.0,2025-08-11 11:49:16.027646
2025-08-11,77477,2025081104004542,UPCL,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,37,410.0,15170.0,2025-08-11 11:50:46.825686
2025-08-11,77476,2025081104004543,UPCL,Siprabi Securities Pvt. Ltd.,Asian Securities Private Ltd.,863,410.0,353830.0,2025-08-11 11:50:46.825857
2025-08-11,77397,2025081104004555,UPCL,Siprabi Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,40,410.0,16400.0,2025-08-11 11:50:58.177925
2025-08-11,76615,2025081104004700,UPCL,Siprabi Securities Pvt. Ltd.,Sharepro Securities Private Limited,97,410.0,39770.0,2025-08-11 11:52:52.371096
2025-08-11,76614,2025081104004701,UPCL,Siprabi Securities Pvt. Ltd.,Sharepro Securities Private Limited,893,410.0,366130.0,2025-08-11 11:52:52.371414
2025-08-11,75677,2025081104004912,UPCL,Machhapuchchhre Securities Limited,Naasa Securities Co. Ltd.,10,411.0,4110.0,2025-08-11 11:55:01.490800
2025-08-11,75633,2025081104004919,UPCL,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,107,410.0,43870.0,2025-08-11 11:55:11.944357
