Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-12,76625,2025081203000139,MLBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sri Hari Securities Pvt. Ltd.,100,400.0,40000.0,2025-08-12 11:06:31.846528
2025-08-12,76624,2025081203000140,MLBL,J.F. Securites (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,50,400.0,20000.0,2025-08-12 11:06:31.846596
2025-08-12,76623,2025081203000141,MLBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,100,396.4,39640.0,2025-08-12 11:06:31.846630
2025-08-12,75328,2025081203000304,MLBL,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,50,402.0,20100.0,2025-08-12 11:11:19.550635
2025-08-12,75327,2025081203000305,MLBL,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,150,402.0,60300.0,2025-08-12 11:11:19.550716
2025-08-12,75313,2025081203000308,MLBL,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,50,402.0,20100.0,2025-08-12 11:11:22.941872
2025-08-12,74492,2025081203000418,MLBL,Malla & Malla Stock Broking Company Pvt. Limited,Siprabi Securities Pvt. Ltd.,24,402.0,9648.0,2025-08-12 11:14:44.816779
2025-08-12,74331,2025081203000451,MLBL,Malla & Malla Stock Broking Company Pvt. Limited,Nagarik Stock Dealer ,25,407.2,10180.0,2025-08-12 11:15:19.945668
2025-08-12,73574,2025081203000598,MLBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Nagarik Stock Dealer ,170,404.0,68680.0,2025-08-12 11:18:02.822267
2025-08-12,73573,2025081203000599,MLBL,Imperial Securities Company Pvt. Ltd.,Nagarik Stock Dealer ,250,403.0,100750.0,2025-08-12 11:18:02.822363
2025-08-12,73572,2025081203000600,MLBL,Opal Securities Investment (PVT) Ltd.,Nagarik Stock Dealer ,120,403.0,48360.0,2025-08-12 11:18:02.822410
2025-08-12,73452,2025081203000618,MLBL,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,50,400.2,20010.0,2025-08-12 11:18:28.009744
2025-08-12,73244,2025081203000669,MLBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nagarik Stock Dealer ,50,400.0,20000.0,2025-08-12 11:19:10.068709
2025-08-12,73243,2025081203000670,MLBL,Aryatara Investment & Securities,Nagarik Stock Dealer ,300,400.0,120000.0,2025-08-12 11:19:10.068910
2025-08-12,73242,2025081203000671,MLBL,Sani Securities Company Ltd.,Nagarik Stock Dealer ,85,400.0,34000.0,2025-08-12 11:19:10.069054
2025-08-12,72662,2025081203000777,MLBL,Sani Securities Company Ltd.,Kalika Securities Pvt. Ltd.,115,400.0,46000.0,2025-08-12 11:20:39.323257
2025-08-12,72661,2025081203000778,MLBL,Nepal Stock House (PVT) Ltd.,Kalika Securities Pvt. Ltd.,185,400.0,74000.0,2025-08-12 11:20:39.323382
2025-08-12,72570,2025081203000798,MLBL,Nepal Stock House (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,15,400.0,6000.0,2025-08-12 11:20:54.725433
2025-08-12,72377,2025081203000828,MLBL,Naasa Securities Co. Ltd.,KALASH STOCK MARKET PVT. LTD.,10,399.1,3991.0,2025-08-12 11:21:26.881494
2025-08-12,72376,2025081203000829,MLBL,Kalika Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,50,399.1,19955.0,2025-08-12 11:21:26.881594
2025-08-12,72375,2025081203000830,MLBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,KALASH STOCK MARKET PVT. LTD.,43,398.1,17118.3,2025-08-12 11:21:26.881647
2025-08-12,71962,2025081203000881,MLBL,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,75,400.0,30000.0,2025-08-12 11:22:42.499576
2025-08-12,71865,2025081203000891,MLBL,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,500,398.1,199050.0,2025-08-12 11:23:01.845260
2025-08-12,71864,2025081203000892,MLBL,Neev Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,500,398.0,199000.0,2025-08-12 11:23:01.845370
2025-08-12,71642,2025081203000961,MLBL,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,210,398.0,83580.0,2025-08-12 11:23:34.029690
2025-08-12,71144,2025081203001062,MLBL,Nepal Stock House (PVT) Ltd.,Kalika Securities Pvt. Ltd.,1000,399.0,399000.0,2025-08-12 11:24:52.580221
2025-08-12,70570,2025081203001151,MLBL,Trishakti Securities Public Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,50,398.5,19925.0,2025-08-12 11:26:19.633529
2025-08-12,70569,2025081203001152,MLBL,Nepal Investment And Securities Trading Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,152,398.1,60511.2,2025-08-12 11:26:19.633616
2025-08-12,70110,2025081203001281,MLBL,Dynamic Money Managers Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,100,398.2,39820.0,2025-08-12 11:27:24.644718
2025-08-12,70019,2025081203001292,MLBL,Nepal Investment And Securities Trading Private Limited,Kalika Securities Pvt. Ltd.,348,398.1,138538.8,2025-08-12 11:27:38.352657
2025-08-12,70018,2025081203001293,MLBL,Deevyaa Securities & Stock House Pvt. Ltd,Kalika Securities Pvt. Ltd.,290,398.0,115420.0,2025-08-12 11:27:38.352798
2025-08-12,70017,2025081203001294,MLBL,Neev Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,200,398.0,79600.0,2025-08-12 11:27:38.352870
2025-08-12,70016,2025081203001295,MLBL,Primo Securities (PVT) Ltd.,Kalika Securities Pvt. Ltd.,62,398.0,24676.0,2025-08-12 11:27:38.352930
2025-08-12,69996,2025081203001304,MLBL,Primo Securities (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,28,398.0,11144.0,2025-08-12 11:27:40.754873
2025-08-12,67923,2025081203001744,MLBL,Primo Securities (PVT) Ltd.,Kalika Securities Pvt. Ltd.,10,398.0,3980.0,2025-08-12 11:33:08.631563
2025-08-12,67922,2025081203001745,MLBL,Vision Securities Pvt. Ltd,Kalika Securities Pvt. Ltd.,100,398.0,39800.0,2025-08-12 11:33:08.631708
2025-08-12,67741,2025081203001779,MLBL,Midas Stock Broking Company Private Limited,Nepal Investment And Securities Trading Private Limited,200,397.4,79480.0,2025-08-12 11:33:35.865041
2025-08-12,67740,2025081203001780,MLBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Investment And Securities Trading Private Limited,17,397.3,6754.1,2025-08-12 11:33:35.865301
2025-08-12,67739,2025081203001781,MLBL,Midas Stock Broking Company Private Limited,Nepal Investment And Securities Trading Private Limited,1000,397.3,397300.0,2025-08-12 11:33:35.865521
2025-08-12,67738,2025081203001782,MLBL,Vision Securities Pvt. Ltd,Nepal Investment And Securities Trading Private Limited,83,397.2,32967.6,2025-08-12 11:33:35.865735
2025-08-12,66530,2025081203002035,MLBL,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,50,397.3,19865.0,2025-08-12 11:36:56.228835
2025-08-12,65213,2025081203002289,MLBL,Midas Stock Broking Company Private Limited,Dakshinkali Investment & Securities Pvt. Ltd.,100,398.0,39800.0,2025-08-12 11:40:40.393296
2025-08-12,65212,2025081203002290,MLBL,Siprabi Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,745,398.0,296510.0,2025-08-12 11:40:40.393452
2025-08-12,65171,2025081203002306,MLBL,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2,395.0,790.0,2025-08-12 11:40:46.910107
2025-08-12,63610,2025081203002513,MLBL,Sumeru Securities Pvt. Ltd.,Himalayan Brokerage Company Limited,1,391.0,391.0,2025-08-12 11:45:24.142095
2025-08-12,62495,2025081203002711,MLBL,Sumeru Securities Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,1,398.0,398.0,2025-08-12 11:48:24.849731
2025-08-12,62494,2025081203002712,MLBL,Sharepro Securities Private Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,500,402.0,201000.0,2025-08-12 11:48:25.531282
2025-08-12,62493,2025081203002713,MLBL,Sharepro Securities Private Limited,Sani Securities Company Ltd.,340,402.0,136680.0,2025-08-12 11:48:25.531380
2025-08-12,62492,2025081203002714,MLBL,Sharepro Securities Private Limited,Nagarik Stock Dealer ,1000,402.9,402900.0,2025-08-12 11:48:25.531454
2025-08-12,62491,2025081203002715,MLBL,Sharepro Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2160,403.0,870480.0,2025-08-12 11:48:25.531521
2025-08-12,60036,2025081203003154,MLBL,Imperial Securities Company Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,50,400.1,20005.0,2025-08-12 11:56:18.249562
2025-08-12,59727,2025081203003205,MLBL,Midas Stock Broking Company Private Limited,Sani Securities Company Ltd.,10,402.0,4020.0,2025-08-12 11:57:30.535528
2025-08-12,59726,2025081203003206,MLBL,Midas Stock Broking Company Private Limited,Nagarik Stock Dealer ,10,404.0,4040.0,2025-08-12 11:57:30.535697
2025-08-12,58295,2025081203003456,MLBL,Imperial Securities Company Pvt. Ltd.,Nagarik Stock Dealer ,50,400.1,20005.0,2025-08-12 12:02:39.009701
2025-08-12,58294,2025081203003457,MLBL,Oxford Securities Pvt. Ltd.,Nagarik Stock Dealer ,300,400.1,120030.0,2025-08-12 12:02:39.009939
2025-08-12,58293,2025081203003458,MLBL,Naasa Securities Co. Ltd.,Nagarik Stock Dealer ,50,400.0,20000.0,2025-08-12 12:02:39.010010
2025-08-12,58292,2025081203003459,MLBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nagarik Stock Dealer ,200,400.0,80000.0,2025-08-12 12:02:39.010087
2025-08-12,58291,2025081203003460,MLBL,Trishakti Securities Public Limited,Nagarik Stock Dealer ,30,400.0,12000.0,2025-08-12 12:02:39.010143
2025-08-12,58138,2025081203003491,MLBL,Arun Securities (PVT) Ltd.,Nagarik Stock Dealer ,1000,399.0,399000.0,2025-08-12 12:03:10.104766
2025-08-12,58074,2025081203003506,MLBL,Oxford Securities Pvt. Ltd.,Nagarik Stock Dealer ,98,398.6,39062.8,2025-08-12 12:03:25.176861
2025-08-12,57016,2025081203003734,MLBL,Oxford Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,1000,398.9,398900.0,2025-08-12 12:06:39.499622
2025-08-12,55736,2025081203003999,MLBL,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,4,398.6,1594.4,2025-08-12 12:10:20.765832
2025-08-12,53884,2025081203004352,MLBL,Midas Stock Broking Company Private Limited,Investment Management Nepal Pvt. Ltd.,15,400.0,6000.0,2025-08-12 12:16:40.498159
2025-08-12,51722,2025081203004755,MLBL,Agrawal Securities (PVT) Ltd.,Capital Max Securities Ltd,100,399.0,39900.0,2025-08-12 12:24:38.711712
2025-08-12,51721,2025081203004756,MLBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Capital Max Securities Ltd,100,398.9,39890.0,2025-08-12 12:24:38.711987
2025-08-12,50316,2025081203005028,MLBL,Premier Securities Company Ltd.,Shree Krishna Securities Ltd.,100,399.0,39900.0,2025-08-12 12:29:53.548319
2025-08-12,49745,2025081203005131,MLBL,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,354,399.0,141246.0,2025-08-12 12:31:56.586018
2025-08-12,48900,2025081203005329,MLBL,Sumeru Securities Pvt. Ltd.,K.B.L. Securities Limited ,2,398.0,796.0,2025-08-12 12:35:00.682690
2025-08-12,48247,2025081203005473,MLBL,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,46,399.0,18354.0,2025-08-12 12:37:28.019338
2025-08-12,47937,2025081203005533,MLBL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,300,399.0,119700.0,2025-08-12 12:38:38.773423
2025-08-12,45556,2025081203005954,MLBL,Money World Share Exchange PVT Ltd,Shree Krishna Securities Ltd.,48,400.0,19200.0,2025-08-12 12:46:14.523215
2025-08-12,45555,2025081203005955,MLBL,Money World Share Exchange PVT Ltd,Aryatara Investment & Securities,329,401.0,131929.0,2025-08-12 12:46:14.523283
2025-08-12,45554,2025081203005956,MLBL,Money World Share Exchange PVT Ltd,Nepal Investment And Securities Trading Private Limited,48,402.0,19296.0,2025-08-12 12:46:14.523316
2025-08-12,45553,2025081203005957,MLBL,Money World Share Exchange PVT Ltd,Vision Securities Pvt. Ltd,150,402.8,60420.0,2025-08-12 12:46:14.523343
2025-08-12,45552,2025081203005958,MLBL,Money World Share Exchange PVT Ltd,Nepal Stock House (PVT) Ltd.,100,402.8,40280.0,2025-08-12 12:46:14.523365
2025-08-12,45551,2025081203005959,MLBL,Money World Share Exchange PVT Ltd,Nagarik Stock Dealer ,325,402.9,130942.5,2025-08-12 12:46:14.523393
2025-08-12,44712,2025081203006088,MLBL,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,10,400.0,4000.0,2025-08-12 12:49:20.901183
2025-08-12,44559,2025081203006102,MLBL,Dynamic Money Managers Securities Pvt. Ltd.,Sipla Securities Private Limited,66,398.8,26320.8,2025-08-12 12:49:50.540237
2025-08-12,43729,2025081203006238,MLBL,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,34,398.8,13559.2,2025-08-12 12:53:00.935986
2025-08-12,43728,2025081203006239,MLBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Naasa Securities Co. Ltd.,266,398.7,106054.2,2025-08-12 12:53:00.936048
2025-08-12,43671,2025081203006246,MLBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Oxford Securities Pvt. Ltd.,134,398.7,53425.8,2025-08-12 12:53:18.536037
2025-08-12,43670,2025081203006247,MLBL,Oxford Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,866,398.6,345187.6,2025-08-12 12:53:18.536221
