Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-12,75645,2025081203000272,SHINE,Aryatara Investment & Securities,Indira securities pvt. ltd,100,431.0,43100.0,2025-08-12 11:10:02.844261
2025-08-12,75423,2025081203000288,SHINE,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,6,427.0,2562.0,2025-08-12 11:10:56.984943
2025-08-12,74110,2025081203000481,SHINE,Shree Krishna Securities Ltd.,Naasa Securities Co. Ltd.,20,432.0,8640.0,2025-08-12 11:16:08.689944
2025-08-12,73281,2025081203000661,SHINE,Deevyaa Securities & Stock House Pvt. Ltd,Dakshinkali Investment & Securities Pvt. Ltd.,100,431.1,43110.0,2025-08-12 11:19:01.275888
2025-08-12,72940,2025081203000729,SHINE,Himalayan Securities Limited,SHUBHAKAMANA SECURITIES PVT. LTD,50,431.9,21595.0,2025-08-12 11:19:56.443039
2025-08-12,72939,2025081203000730,SHINE,Himalayan Securities Limited,Naasa Securities Co. Ltd.,20,432.0,8640.0,2025-08-12 11:19:56.443122
2025-08-12,72193,2025081203000859,SHINE,Himalayan Securities Limited,Premier Securities Company Ltd.,30,432.0,12960.0,2025-08-12 11:21:57.552350
2025-08-12,71405,2025081203001000,SHINE,Deevyaa Securities & Stock House Pvt. Ltd,Malla & Malla Stock Broking Company Pvt. Limited,20,431.1,8622.0,2025-08-12 11:24:08.531273
2025-08-12,71101,2025081203001066,SHINE,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,12,431.0,5172.0,2025-08-12 11:25:01.117988
2025-08-12,70789,2025081203001112,SHINE,Aryatara Investment & Securities,Premier Securities Company Ltd.,119,431.0,51289.0,2025-08-12 11:25:50.765949
2025-08-12,70788,2025081203001113,SHINE,Neev Securities Pvt. Ltd.,Premier Securities Company Ltd.,100,431.0,43100.0,2025-08-12 11:25:50.766071
2025-08-12,70787,2025081203001114,SHINE,Neev Securities Pvt. Ltd.,Premier Securities Company Ltd.,40,431.0,17240.0,2025-08-12 11:25:50.766115
2025-08-12,70786,2025081203001115,SHINE,Sani Securities Company Ltd.,Premier Securities Company Ltd.,500,430.1,215050.0,2025-08-12 11:25:50.766151
2025-08-12,70308,2025081203001229,SHINE,Online Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,200,430.0,86000.0,2025-08-12 11:26:57.086041
2025-08-12,69294,2025081203001469,SHINE,Aryatara Investment & Securities,SHUBHAKAMANA SECURITIES PVT. LTD,90,429.0,38610.0,2025-08-12 11:29:30.274931
2025-08-12,68953,2025081203001534,SHINE,Aryatara Investment & Securities,Citizens Share Broker Limited,109,429.0,46761.0,2025-08-12 11:30:16.195669
2025-08-12,68904,2025081203001543,SHINE,Dynamic Money Managers Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,20,429.0,8580.0,2025-08-12 11:30:21.308927
2025-08-12,68750,2025081203001592,SHINE,Capital Max Securities Ltd,Linch Stock Market Ltd.,500,428.0,214000.0,2025-08-12 11:30:47.620959
2025-08-12,68692,2025081203001605,SHINE,Dakshinkali Investment & Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,300,427.1,128130.0,2025-08-12 11:31:00.501772
2025-08-12,68215,2025081203001694,SHINE,Dakshinkali Investment & Securities Pvt. Ltd.,Kumari Securities Private Limited,500,427.1,213550.0,2025-08-12 11:32:19.518840
2025-08-12,67930,2025081203001741,SHINE,Dakshinkali Investment & Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,480,427.1,205008.0,2025-08-12 11:33:06.759783
2025-08-12,67790,2025081203001775,SHINE,Kumari Securities Private Limited,Trishakti Securities Public Limited,1000,428.0,428000.0,2025-08-12 11:33:29.974429
2025-08-12,67209,2025081203001906,SHINE,Kumari Securities Private Limited,Trishakti Securities Public Limited,100,428.0,42800.0,2025-08-12 11:35:05.148046
2025-08-12,67044,2025081203001952,SHINE,Online Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,10,429.0,4290.0,2025-08-12 11:35:30.407249
2025-08-12,66860,2025081203001980,SHINE,Online Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,100,429.0,42900.0,2025-08-12 11:35:58.586906
2025-08-12,66476,2025081203002045,SHINE,Sri Hari Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,60,429.0,25740.0,2025-08-12 11:37:04.717529
2025-08-12,65881,2025081203002157,SHINE,Kumari Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,515,428.0,220420.0,2025-08-12 11:38:46.786096
2025-08-12,63401,2025081203002541,SHINE,Sumeru Securities Pvt. Ltd.,Sewa Securities Pvt. Ltd.,1,420.0,420.0,2025-08-12 11:45:55.283982
2025-08-12,61835,2025081203002830,SHINE,Sani Securities Company Ltd.,Shree Krishna Securities Ltd.,54,428.5,23139.0,2025-08-12 11:50:20.029536
2025-08-12,61671,2025081203002849,SHINE,Sweta Securities Private Limited,Linch Stock Market Ltd.,20,434.8,8696.0,2025-08-12 11:50:46.407325
2025-08-12,60852,2025081203002993,SHINE,South Asian Bulls Pvt. Ltd.,Linch Stock Market Ltd.,100,434.8,43480.0,2025-08-12 11:53:29.806315
2025-08-12,58457,2025081203003435,SHINE,Aryatara Investment & Securities,Agrawal Securities (PVT) Ltd.,1,429.0,429.0,2025-08-12 12:02:03.053157
2025-08-12,58290,2025081203003461,SHINE,Linch Stock Market Ltd.,KALASH STOCK MARKET PVT. LTD.,50,429.1,21455.0,2025-08-12 12:02:39.564348
2025-08-12,58244,2025081203003465,SHINE,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,100,433.0,43300.0,2025-08-12 12:02:48.008016
2025-08-12,55681,2025081203004010,SHINE,Naasa Securities Co. Ltd.,Trisul Securities & Invt. Ltd.,156,433.0,67548.0,2025-08-12 12:10:29.918657
2025-08-12,54794,2025081203004192,SHINE,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,7,428.7,3000.9,2025-08-12 12:13:17.437254
2025-08-12,54047,2025081203004323,SHINE,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Pragyan Securities (PVT) Ltd.,45,429.2,19314.0,2025-08-12 12:16:04.058452
2025-08-12,53306,2025081203004436,SHINE,Sewa Securities Pvt. Ltd.,Aryatara Investment & Securities,40,429.4,17176.0,2025-08-12 12:18:50.800143
2025-08-12,53305,2025081203004437,SHINE,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,105,429.2,45066.0,2025-08-12 12:18:50.800357
2025-08-12,53304,2025081203004438,SHINE,Linch Stock Market Ltd.,Aryatara Investment & Securities,50,429.1,21455.0,2025-08-12 12:18:50.800504
2025-08-12,53149,2025081203004479,SHINE,Sumeru Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,1,425.0,425.0,2025-08-12 12:19:28.693814
2025-08-12,52330,2025081203004653,SHINE,K.B.L. Securities Limited ,South Asian Bulls Pvt. Ltd.,54,429.1,23171.4,2025-08-12 12:22:31.424044
2025-08-12,51108,2025081203004857,SHINE,K.B.L. Securities Limited ,Naasa Securities Co. Ltd.,40,429.1,17164.0,2025-08-12 12:26:59.450649
2025-08-12,48265,2025081203005458,SHINE,Sumeru Securities Pvt. Ltd.,K.B.L. Securities Limited ,2,425.0,850.0,2025-08-12 12:37:24.031988
2025-08-12,47935,2025081203005534,SHINE,K.B.L. Securities Limited ,Opal Securities Investment (PVT) Ltd.,150,429.1,64365.0,2025-08-12 12:38:39.966181
2025-08-12,44739,2025081203006081,SHINE,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,1,425.0,425.0,2025-08-12 12:49:13.031230
2025-08-12,44008,2025081203006181,SHINE,K.B.L. Securities Limited ,Naasa Securities Co. Ltd.,56,429.1,24029.6,2025-08-12 12:52:01.155387
2025-08-12,44007,2025081203006182,SHINE,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,944,429.1,405070.4,2025-08-12 12:52:01.155515
2025-08-12,43303,2025081203006327,SHINE,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,96,431.0,41376.0,2025-08-12 12:54:46.676186
2025-08-12,43302,2025081203006328,SHINE,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,103,431.0,44393.0,2025-08-12 12:54:46.676468
2025-08-12,43301,2025081203006329,SHINE,Naasa Securities Co. Ltd.,Swarna Laxmi Securities Pvt. Ltd.,1,431.0,431.0,2025-08-12 12:54:46.676720
2025-08-12,42636,2025081203006438,SHINE,Online Securities Pvt. Ltd.,Asian Securities Private Ltd.,10,429.1,4291.0,2025-08-12 12:57:45.876701
2025-08-12,41802,2025081203006570,SHINE,Sumeru Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,1,425.0,425.0,2025-08-12 13:01:23.035561
2025-08-12,41262,2025081203006652,SHINE,Online Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,46,429.1,19738.6,2025-08-12 13:03:20.441433
2025-08-12,41261,2025081203006653,SHINE,Aryatara Investment & Securities,Dynamic Money Managers Securities Pvt. Ltd.,100,429.0,42900.0,2025-08-12 13:03:20.441583
2025-08-12,41260,2025081203006654,SHINE,Agrawal Securities (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,60,429.0,25740.0,2025-08-12 13:03:20.441643
2025-08-12,39766,2025081203006909,SHINE,Opal Securities Investment (PVT) Ltd.,Aryatara Investment & Securities,19,430.0,8170.0,2025-08-12 13:09:58.055503
2025-08-12,39765,2025081203006910,SHINE,Opal Securities Investment (PVT) Ltd.,Aryatara Investment & Securities,20,430.0,8600.0,2025-08-12 13:09:58.055786
2025-08-12,39764,2025081203006911,SHINE,Opal Securities Investment (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,191,431.0,82321.0,2025-08-12 13:09:58.055945
2025-08-12,38417,2025081203007085,SHINE,Agrawal Securities (PVT) Ltd.,Premier Securities Company Ltd.,12,429.0,5148.0,2025-08-12 13:15:16.851617
2025-08-12,38247,2025081203007108,SHINE,Aryatara Investment & Securities,Secured Securities Ltd.,27,429.1,11585.7,2025-08-12 13:16:07.367949
2025-08-12,38246,2025081203007109,SHINE,Agrawal Securities (PVT) Ltd.,Secured Securities Ltd.,28,429.0,12012.0,2025-08-12 13:16:07.368097
2025-08-12,38245,2025081203007110,SHINE,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Secured Securities Ltd.,45,429.0,19305.0,2025-08-12 13:16:07.368179
2025-08-12,37874,2025081203007169,SHINE,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trisul Securities & Invt. Ltd.,55,429.0,23595.0,2025-08-12 13:17:49.454281
2025-08-12,37873,2025081203007170,SHINE,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trisul Securities & Invt. Ltd.,100,429.0,42900.0,2025-08-12 13:17:49.454576
2025-08-12,37872,2025081203007171,SHINE,Neev Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,100,429.0,42900.0,2025-08-12 13:17:49.454730
2025-08-12,37871,2025081203007172,SHINE,Sani Securities Company Ltd.,Trisul Securities & Invt. Ltd.,75,429.0,32175.0,2025-08-12 13:17:49.454878
2025-08-12,37622,2025081203007216,SHINE,Capital Max Securities Ltd,Agrawal Securities (PVT) Ltd.,200,429.1,85820.0,2025-08-12 13:19:06.586440
2025-08-12,34302,2025081203007901,SHINE,Capital Max Securities Ltd,Sumeru Securities Pvt. Ltd.,100,429.5,42950.0,2025-08-12 13:34:29.758322
2025-08-12,33937,2025081203007996,SHINE,Capital Max Securities Ltd,Sumeru Securities Pvt. Ltd.,100,429.5,42950.0,2025-08-12 13:36:08.138558
2025-08-12,32328,2025081203008377,SHINE,Kumari Securities Private Limited,Infinity Securities Limited,100,430.0,43000.0,2025-08-12 13:43:39.565223
2025-08-12,32327,2025081203008378,SHINE,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,450,430.0,193500.0,2025-08-12 13:43:39.565395
2025-08-12,32219,2025081203008408,SHINE,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,21,430.0,9030.0,2025-08-12 13:44:02.197761
2025-08-12,32121,2025081203008425,SHINE,Kumari Securities Private Limited,Trishakti Securities Public Limited,505,430.0,217150.0,2025-08-12 13:44:37.723107
2025-08-12,32026,2025081203008454,SHINE,Kumari Securities Private Limited,Trishakti Securities Public Limited,10,430.0,4300.0,2025-08-12 13:45:00.830697
2025-08-12,30785,2025081203008749,SHINE,Kumari Securities Private Limited,Linch Stock Market Ltd.,18,430.0,7740.0,2025-08-12 13:48:57.051549
2025-08-12,30496,2025081203008783,SHINE,Thrive Brokerage House Pvt. Ltd,Asian Securities Private Ltd.,100,430.2,43020.0,2025-08-12 13:49:57.447831
2025-08-12,30495,2025081203008784,SHINE,Thrive Brokerage House Pvt. Ltd,Secured Securities Ltd.,100,430.2,43020.0,2025-08-12 13:49:57.448074
2025-08-12,29197,2025081203009117,SHINE,Sunrise Securities Limited,Online Securities Pvt. Ltd.,200,430.1,86020.0,2025-08-12 13:54:26.570031
2025-08-12,28700,2025081203009202,SHINE,KALASH STOCK MARKET PVT. LTD.,Sundhara Securities Limited,10,430.4,4304.0,2025-08-12 13:55:41.685905
2025-08-12,28699,2025081203009203,SHINE,KALASH STOCK MARKET PVT. LTD.,Ashutosh Brokerage & Securities (PVT) Ltd.,286,430.5,123123.0,2025-08-12 13:55:41.686077
2025-08-12,28698,2025081203009204,SHINE,KALASH STOCK MARKET PVT. LTD.,Shree Krishna Securities Ltd.,204,430.8,87883.2,2025-08-12 13:55:41.686139
2025-08-12,28532,2025081203009259,SHINE,Sunrise Securities Limited,Shree Krishna Securities Ltd.,796,430.8,342916.8,2025-08-12 13:56:17.524677
2025-08-12,28531,2025081203009260,SHINE,Sunrise Securities Limited,Midas Stock Broking Company Private Limited,94,430.8,40495.2,2025-08-12 13:56:17.524828
2025-08-12,27625,2025081203009406,SHINE,Naasa Securities Co. Ltd.,Creative Securities Pvt Ltd,100,430.2,43020.0,2025-08-12 13:58:32.609649
2025-08-12,26502,2025081203009630,SHINE,Secured Securities Ltd.,Imperial Securities Company Pvt. Ltd.,50,431.0,21550.0,2025-08-12 14:02:08.721085
2025-08-12,26501,2025081203009631,SHINE,Secured Securities Ltd.,Asian Securities Private Ltd.,10,431.0,4310.0,2025-08-12 14:02:08.721366
2025-08-12,26009,2025081203009708,SHINE,Secured Securities Ltd.,Thrive Brokerage House Pvt. Ltd,40,431.0,17240.0,2025-08-12 14:03:22.112413
2025-08-12,25429,2025081203009827,SHINE,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,800,430.3,344240.0,2025-08-12 14:05:05.549715
2025-08-12,25428,2025081203009828,SHINE,Sunrise Securities Limited,Vision Securities Pvt. Ltd,700,430.1,301070.0,2025-08-12 14:05:05.549865
2025-08-12,24534,2025081203009982,SHINE,Sunrise Securities Limited,Thrive Brokerage House Pvt. Ltd,300,430.1,129030.0,2025-08-12 14:08:15.441564
2025-08-12,24533,2025081203009983,SHINE,Kumari Securities Private Limited,Thrive Brokerage House Pvt. Ltd,281,430.0,120830.0,2025-08-12 14:08:15.441725
2025-08-12,24532,2025081203009984,SHINE,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Thrive Brokerage House Pvt. Ltd,25,430.0,10750.0,2025-08-12 14:08:15.441790
2025-08-12,24531,2025081203009985,SHINE,Imperial Securities Company Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,52,430.0,22360.0,2025-08-12 14:08:15.441857
2025-08-12,24530,2025081203009986,SHINE,Asian Securities Private Ltd.,Thrive Brokerage House Pvt. Ltd,38,430.0,16340.0,2025-08-12 14:08:15.441955
2025-08-12,24529,2025081203009987,SHINE,Primo Securities (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,100,430.0,43000.0,2025-08-12 14:08:15.442185
2025-08-12,24528,2025081203009988,SHINE,Sunrise Securities Limited,Thrive Brokerage House Pvt. Ltd,204,430.0,87720.0,2025-08-12 14:08:15.442372
2025-08-12,24501,2025081203009993,SHINE,Sunrise Securities Limited,Thrive Brokerage House Pvt. Ltd,296,430.0,127280.0,2025-08-12 14:08:20.465210
2025-08-12,24494,2025081203009994,SHINE,Naasa Securities Co. Ltd.,Thrive Brokerage House Pvt. Ltd,50,430.0,21500.0,2025-08-12 14:08:21.459128
2025-08-12,23998,2025081203010053,SHINE,Sumeru Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,1,421.5,421.5,2025-08-12 14:09:49.582610
2025-08-12,23568,2025081203010098,SHINE,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,100,430.0,43000.0,2025-08-12 14:11:05.313671
2025-08-12,23567,2025081203010099,SHINE,Sunrise Securities Limited,Online Securities Pvt. Ltd.,200,429.6,85920.0,2025-08-12 14:11:05.313712
2025-08-12,23258,2025081203010140,SHINE,Sunrise Securities Limited,Agrawal Securities (PVT) Ltd.,800,429.6,343680.0,2025-08-12 14:11:48.401978
2025-08-12,23257,2025081203010141,SHINE,Capital Max Securities Ltd,Agrawal Securities (PVT) Ltd.,300,429.5,128850.0,2025-08-12 14:11:48.402134
2025-08-12,23256,2025081203010142,SHINE,Sweta Securities Private Limited,Agrawal Securities (PVT) Ltd.,450,429.2,193140.0,2025-08-12 14:11:48.402190
2025-08-12,23255,2025081203010143,SHINE,Sipla Securities Private Limited,Agrawal Securities (PVT) Ltd.,50,429.2,21460.0,2025-08-12 14:11:48.402246
2025-08-12,23254,2025081203010144,SHINE,Capital Max Securities Ltd,Agrawal Securities (PVT) Ltd.,127,429.1,54495.7,2025-08-12 14:11:48.402300
2025-08-12,22104,2025081203010407,SHINE,Capital Max Securities Ltd,Opal Securities Investment (PVT) Ltd.,173,429.1,74234.3,2025-08-12 14:15:57.639563
2025-08-12,22103,2025081203010408,SHINE,Sani Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,327,429.0,140283.0,2025-08-12 14:15:57.639878
2025-08-12,22091,2025081203010410,SHINE,Sani Securities Company Ltd.,Sani Securities Company Ltd.,98,429.0,42042.0,2025-08-12 14:15:58.637130
2025-08-12,22090,2025081203010411,SHINE,ABC Securities Private Limited,Sani Securities Company Ltd.,150,429.0,64350.0,2025-08-12 14:15:58.637277
2025-08-12,22089,2025081203010412,SHINE,Asian Securities Private Ltd.,Sani Securities Company Ltd.,50,429.0,21450.0,2025-08-12 14:15:58.637341
2025-08-12,22088,2025081203010413,SHINE,Siprabi Securities Pvt. Ltd.,Sani Securities Company Ltd.,100,429.0,42900.0,2025-08-12 14:15:58.637423
2025-08-12,22087,2025081203010414,SHINE,Malla & Malla Stock Broking Company Pvt. Limited,Sani Securities Company Ltd.,300,429.0,128700.0,2025-08-12 14:15:58.637499
2025-08-12,21813,2025081203010450,SHINE,Secured Securities Ltd.,Sani Securities Company Ltd.,100,429.0,42900.0,2025-08-12 14:16:55.302934
2025-08-12,21607,2025081203010485,SHINE,Sunrise Securities Limited,Sani Securities Company Ltd.,200,429.0,85800.0,2025-08-12 14:17:32.923061
2025-08-12,21604,2025081203010487,SHINE,Investment Management Nepal Pvt. Ltd.,Naasa Securities Co. Ltd.,155,428.5,66417.5,2025-08-12 14:17:33.561337
