Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-13,69763,2025081303000034,GRDBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Hatemalo Financial Services Private Limited,10,1150.0,11500.0,2025-08-13 11:01:29.426959
2025-08-13,68936,2025081303000122,GRDBL,MILKY WAY SHARE BROKER COMPANY LTD ,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,203,1173.0,238119.0,2025-08-13 11:06:51.729148
2025-08-13,68389,2025081303000199,GRDBL,Linch Stock Market Ltd.,Sani Securities Company Ltd.,10,1193.0,11930.0,2025-08-13 11:09:40.089081
2025-08-13,68388,2025081303000200,GRDBL,Linch Stock Market Ltd.,Thrive Brokerage House Pvt. Ltd,10,1196.0,11960.0,2025-08-13 11:09:40.089120
2025-08-13,68387,2025081303000201,GRDBL,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,60,1196.4,71784.0,2025-08-13 11:09:40.089147
2025-08-13,68152,2025081303000238,GRDBL,Imperial Securities Company Pvt. Ltd.,Shree Krishna Securities Ltd.,20,1190.0,23800.0,2025-08-13 11:11:01.390727
2025-08-13,66872,2025081303000419,GRDBL,Vision Securities Pvt. Ltd,Nagarik Stock Dealer ,100,1174.1,117410.0,2025-08-13 11:16:57.759161
2025-08-13,66798,2025081303000429,GRDBL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,10,1180.0,11800.0,2025-08-13 11:17:14.580760
2025-08-13,66698,2025081303000441,GRDBL,Agrawal Securities (PVT) Ltd.,Nagarik Stock Dealer ,100,1174.0,117400.0,2025-08-13 11:17:32.884128
2025-08-13,66590,2025081303000461,GRDBL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,100,1180.0,118000.0,2025-08-13 11:18:12.171459
2025-08-13,65656,2025081303000594,GRDBL,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,10,1175.0,11750.0,2025-08-13 11:21:46.194585
2025-08-13,65501,2025081303000621,GRDBL,Arun Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,31,1180.0,36580.0,2025-08-13 11:22:19.798529
2025-08-13,65363,2025081303000635,GRDBL,Arun Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,100,1180.0,118000.0,2025-08-13 11:22:38.175016
2025-08-13,65270,2025081303000659,GRDBL,Arun Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,119,1180.0,140420.0,2025-08-13 11:22:53.217639
2025-08-13,64823,2025081303000725,GRDBL,Imperial Securities Company Pvt. Ltd.,Midas Stock Broking Company Private Limited,60,1173.0,70380.0,2025-08-13 11:24:48.603193
2025-08-13,64822,2025081303000726,GRDBL,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,340,1170.0,397800.0,2025-08-13 11:24:48.603257
2025-08-13,64715,2025081303000745,GRDBL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,20,1170.0,23400.0,2025-08-13 11:25:07.471724
2025-08-13,64442,2025081303000782,GRDBL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,10,1170.0,11700.0,2025-08-13 11:26:23.084571
2025-08-13,64104,2025081303000830,GRDBL,Sani Securities Company Ltd.,Primo Securities (PVT) Ltd.,14,1170.0,16380.0,2025-08-13 11:27:43.852471
2025-08-13,63937,2025081303000853,GRDBL,Sani Securities Company Ltd.,Nagarik Stock Dealer ,41,1170.0,47970.0,2025-08-13 11:28:24.769947
