Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-13,68327,2025081303000209,LICN,Market Securities & Exchange (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,865.2,8652.0,2025-08-13 11:10:02.823376
2025-08-13,68326,2025081303000210,LICN,Vision Securities Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,100,865.1,86510.0,2025-08-13 11:10:02.823446
2025-08-13,68325,2025081303000211,LICN,Aryatara Investment & Securities,Dynamic Money Managers Securities Pvt. Ltd.,20,865.0,17300.0,2025-08-13 11:10:02.823479
2025-08-13,68324,2025081303000212,LICN,Vision Securities Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,100,865.0,86500.0,2025-08-13 11:10:02.823508
2025-08-13,68240,2025081303000228,LICN,J.F. Securites (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,70,860.1,60207.0,2025-08-13 11:10:32.764196
2025-08-13,68064,2025081303000245,LICN,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,10,860.2,8602.0,2025-08-13 11:11:27.643320
2025-08-13,63925,2025081303000858,LICN,Sweta Securities Private Limited,Aryatara Investment & Securities,70,870.0,60900.0,2025-08-13 11:28:25.996124
2025-08-13,63173,2025081303000968,LICN,Imperial Securities Company Pvt. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,10,863.0,8630.0,2025-08-13 11:30:56.696768
2025-08-13,63172,2025081303000969,LICN,Trisul Securities & Invt. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,15,862.3,12934.5,2025-08-13 11:30:56.696874
2025-08-13,61032,2025081303001266,LICN,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,45,865.0,38925.0,2025-08-13 11:38:58.593978
2025-08-13,56833,2025081303001925,LICN,Naasa Securities Co. Ltd.,Sumeru Securities Pvt. Ltd.,95,870.0,82650.0,2025-08-13 11:55:45.077963
2025-08-13,56618,2025081303001955,LICN,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,100,874.0,87400.0,2025-08-13 11:56:34.034128
