Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-14,76542,2025081403000001,NABBC,Miyo Securities Pvt Ltd,Sri Hari Securities Pvt. Ltd.,10,1555.3,15553.0,2025-08-14 10:46:00.005591
2025-08-14,76404,2025081403000015,NABBC,Asian Securities Private Ltd.,Sipla Securities Private Limited,10,1525.0,15250.0,2025-08-14 11:00:52.608533
2025-08-14,76201,2025081403000029,NABBC,Sipla Securities Private Limited,ABC Securities Private Limited,10,1586.4,15864.0,2025-08-14 11:01:56.773859
2025-08-14,76174,2025081403000033,NABBC,Asian Securities Private Ltd.,Sipla Securities Private Limited,10,1525.0,15250.0,2025-08-14 11:02:03.792060
2025-08-14,76161,2025081403000034,NABBC,Asian Securities Private Ltd.,ABC Securities Private Limited,10,1525.0,15250.0,2025-08-14 11:02:04.943738
2025-08-14,76099,2025081403000039,NABBC,Sipla Securities Private Limited,ABC Securities Private Limited,10,1618.0,16180.0,2025-08-14 11:02:37.869416
2025-08-14,76073,2025081403000042,NABBC,Capital Hub P. Ltd,Sipla Securities Private Limited,10,1525.1,15251.0,2025-08-14 11:02:43.885073
2025-08-14,76071,2025081403000043,NABBC,Capital Hub P. Ltd,ABC Securities Private Limited,10,1525.1,15251.0,2025-08-14 11:02:46.179899
2025-08-14,75671,2025081403000075,NABBC,Sipla Securities Private Limited,Sweta Securities Private Limited,250,1615.0,403750.0,2025-08-14 11:05:20.259144
2025-08-14,75670,2025081403000076,NABBC,Sipla Securities Private Limited,Sweta Securities Private Limited,250,1615.0,403750.0,2025-08-14 11:05:20.259183
2025-08-14,75669,2025081403000077,NABBC,Sipla Securities Private Limited,ABC Securities Private Limited,10,1650.0,16500.0,2025-08-14 11:05:20.259208
2025-08-14,75657,2025081403000080,NABBC,Property Wiard Limited,Sipla Securities Private Limited,10,1528.0,15280.0,2025-08-14 11:05:24.272915
2025-08-14,75656,2025081403000081,NABBC,Property Wiard Limited,Shree Krishna Securities Ltd.,10,1528.0,15280.0,2025-08-14 11:05:24.579357
2025-08-14,75613,2025081403000085,NABBC,Sipla Securities Private Limited,ABC Securities Private Limited,10,1650.0,16500.0,2025-08-14 11:05:37.306359
2025-08-14,75612,2025081403000086,NABBC,Sipla Securities Private Limited,Online Securities Pvt. Ltd.,15000,1682.0,25230000.0,2025-08-14 11:05:37.306467
2025-08-14,75603,2025081403000087,NABBC,SUN SECURITIES PVT LTD,Sipla Securities Private Limited,10,1528.1,15281.0,2025-08-14 11:05:40.315154
2025-08-14,75364,2025081403000130,NABBC,Indira securities pvt. ltd,ABC Securities Private Limited,20,1558.6,31172.0,2025-08-14 11:06:57.438836
2025-08-14,75223,2025081403000146,NABBC,Naasa Securities Co. Ltd.,ABC Securities Private Limited,10,1531.6,15316.0,2025-08-14 11:07:40.115539
2025-08-14,72118,2025081403000410,NABBC,Naasa Securities Co. Ltd.,Sipla Securities Private Limited,16000,1550.0,24800000.0,2025-08-14 11:18:48.295749
2025-08-14,70835,2025081403000572,NABBC,J.F. Securites (PVT) Ltd.,ABC Securities Private Limited,15,1560.0,23400.0,2025-08-14 11:24:22.454282
2025-08-14,69172,2025081403000710,NABBC,Capital Hub P. Ltd,ABC Securities Private Limited,100,1545.1,154510.0,2025-08-14 11:28:20.217114
2025-08-14,69171,2025081403000711,NABBC,Bhrikuti Stock Broking Co. Pvt. Ltd.,ABC Securities Private Limited,100,1545.0,154500.0,2025-08-14 11:28:20.217265
2025-08-14,69170,2025081403000712,NABBC,J.F. Securites (PVT) Ltd.,ABC Securities Private Limited,23,1540.2,35424.6,2025-08-14 11:28:20.217363
2025-08-14,68516,2025081403000756,NABBC,Imperial Securities Company Pvt. Ltd.,ABC Securities Private Limited,14,1559.9,21838.6,2025-08-14 11:30:35.285174
2025-08-14,68351,2025081403000769,NABBC,Bhrikuti Stock Broking Co. Pvt. Ltd.,ABC Securities Private Limited,66,1559.9,102953.4,2025-08-14 11:31:29.300777
2025-08-14,68350,2025081403000770,NABBC,Bhrikuti Stock Broking Co. Pvt. Ltd.,ABC Securities Private Limited,19,1560.0,29640.0,2025-08-14 11:31:29.300848
2025-08-14,67328,2025081403000902,NABBC,Sumeru Securities Pvt. Ltd.,ABC Securities Private Limited,66,1560.0,102960.0,2025-08-14 11:36:37.369867
2025-08-14,67327,2025081403000903,NABBC,Sumeru Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,134,1560.0,209040.0,2025-08-14 11:36:37.369949
2025-08-14,65888,2025081403001116,NABBC,Nagarik Stock Dealer ,Shree Krishna Securities Ltd.,66,1560.0,102960.0,2025-08-14 11:43:21.975888
2025-08-14,65887,2025081403001117,NABBC,Nagarik Stock Dealer ,Shree Krishna Securities Ltd.,34,1560.0,53040.0,2025-08-14 11:43:21.975964
2025-08-14,65727,2025081403001149,NABBC,SHUBHAKAMANA SECURITIES PVT. LTD,Sipla Securities Private Limited,900,1550.0,1395000.0,2025-08-14 11:44:21.297422
2025-08-14,64696,2025081403001294,NABBC,Infinity Securities Limited,ABC Securities Private Limited,50,1548.0,77400.0,2025-08-14 11:48:07.469395
2025-08-14,64051,2025081403001402,NABBC,Shree Krishna Securities Ltd.,Sri Hari Securities Pvt. Ltd.,2000,1555.0,3110000.0,2025-08-14 11:51:07.412933
2025-08-14,63941,2025081403001428,NABBC,Sri Hari Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2000,1554.0,3108000.0,2025-08-14 11:51:54.417861
2025-08-14,63794,2025081403001457,NABBC,Vision Securities Pvt. Ltd,ABC Securities Private Limited,30,1550.1,46503.0,2025-08-14 11:52:48.344907
2025-08-14,63793,2025081403001458,NABBC,Capital Max Securities Ltd,ABC Securities Private Limited,100,1550.0,155000.0,2025-08-14 11:52:48.345013
