Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-14,76541,2025081404000001,NHPC,Blue Chip Securities Ltd,Vision Securities Pvt. Ltd,10,206.4,2064.0,2025-08-14 10:46:00.006044
2025-08-14,75673,2025081404000162,NHPC,Vision Securities Pvt. Ltd,Investment Management Nepal Pvt. Ltd.,10,210.5,2105.0,2025-08-14 11:05:19.814117
2025-08-14,75136,2025081404000227,NHPC,Trisul Securities & Invt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,213.0,2130.0,2025-08-14 11:07:53.875022
2025-08-14,74644,2025081404000308,NHPC,Vision Securities Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,290,213.0,61770.0,2025-08-14 11:09:38.124655
2025-08-14,74146,2025081404000370,NHPC,Naasa Securities Co. Ltd.,Hatemalo Financial Services Private Limited,100,213.1,21310.0,2025-08-14 11:11:15.997874
2025-08-14,74145,2025081404000371,NHPC,Vision Securities Pvt. Ltd,Hatemalo Financial Services Private Limited,100,213.0,21300.0,2025-08-14 11:11:15.998124
2025-08-14,73530,2025081404000438,NHPC,Vision Securities Pvt. Ltd,Hatemalo Financial Services Private Limited,110,213.0,23430.0,2025-08-14 11:13:31.426121
2025-08-14,73529,2025081404000439,NHPC,Vision Securities Pvt. Ltd,Hatemalo Financial Services Private Limited,190,213.0,40470.0,2025-08-14 11:13:31.426466
2025-08-14,73443,2025081404000440,NHPC,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,810,213.0,172530.0,2025-08-14 11:13:39.819505
2025-08-14,73144,2025081404000482,NHPC,Malla & Malla Stock Broking Company Pvt. Limited,Aryatara Investment & Securities,300,212.0,63600.0,2025-08-14 11:15:00.557280
2025-08-14,73088,2025081404000490,NHPC,Malla & Malla Stock Broking Company Pvt. Limited,Midas Stock Broking Company Private Limited,700,212.0,148400.0,2025-08-14 11:15:12.531655
2025-08-14,73087,2025081404000491,NHPC,Shree Krishna Securities Ltd.,Midas Stock Broking Company Private Limited,275,211.0,58025.0,2025-08-14 11:15:12.531728
2025-08-14,73086,2025081404000492,NHPC,Opal Securities Investment (PVT) Ltd.,Midas Stock Broking Company Private Limited,25,211.0,5275.0,2025-08-14 11:15:12.531754
