Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-14,75592,2025081401000245,SANIMA,Vision Securities Pvt. Ltd,K.B.L. Securities Limited ,25,368.1,9202.5,2025-08-14 11:05:44.955059
2025-08-14,75591,2025081401000246,SANIMA,Imperial Securities Company Pvt. Ltd.,K.B.L. Securities Limited ,175,368.0,64400.0,2025-08-14 11:05:44.955142
2025-08-14,74701,2025081401000436,SANIMA,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,1000,368.0,368000.0,2025-08-14 11:09:24.486623
2025-08-14,74509,2025081401000481,SANIMA,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,425,368.0,156400.0,2025-08-14 11:10:05.758392
2025-08-14,74508,2025081401000482,SANIMA,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,75,368.0,27600.0,2025-08-14 11:10:05.758504
2025-08-14,74118,2025081401000586,SANIMA,Cristal Kanchanjanga Securites Pvt. Ltd.,Arun Securities (PVT) Ltd.,225,368.0,82800.0,2025-08-14 11:11:27.626211
2025-08-14,74117,2025081401000587,SANIMA,Sundhara Securities Limited,Arun Securities (PVT) Ltd.,13,368.0,4784.0,2025-08-14 11:11:27.626299
2025-08-14,73967,2025081401000636,SANIMA,Sundhara Securities Limited,Sri Hari Securities Pvt. Ltd.,11,368.0,4048.0,2025-08-14 11:12:10.930224
2025-08-14,73258,2025081401000784,SANIMA,Sundhara Securities Limited,Nepal Investment And Securities Trading Private Limited,76,368.0,27968.0,2025-08-14 11:14:25.459420
2025-08-14,73257,2025081401000785,SANIMA,Online Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,50,368.0,18400.0,2025-08-14 11:14:25.459635
2025-08-14,73256,2025081401000786,SANIMA,Opal Securities Investment (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,54,368.0,19872.0,2025-08-14 11:14:25.459765
2025-08-14,72614,2025081401000918,SANIMA,Neev Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,100,367.1,36710.0,2025-08-14 11:16:37.436910
2025-08-14,72613,2025081401000919,SANIMA,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,273,367.0,100191.0,2025-08-14 11:16:37.437125
2025-08-14,72612,2025081401000920,SANIMA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sri Hari Securities Pvt. Ltd.,40,365.3,14612.0,2025-08-14 11:16:37.437261
2025-08-14,72611,2025081401000921,SANIMA,Kumari Securities Private Limited,Sri Hari Securities Pvt. Ltd.,250,365.3,91325.0,2025-08-14 11:16:37.437389
2025-08-14,72610,2025081401000922,SANIMA,Dynamic Money Managers Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,74,365.2,27024.8,2025-08-14 11:16:37.437521
2025-08-14,72104,2025081401001074,SANIMA,Primo Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,50,366.0,18300.0,2025-08-14 11:18:54.919146
2025-08-14,71939,2025081401001125,SANIMA,Cristal Kanchanjanga Securites Pvt. Ltd.,Online Securities Pvt. Ltd.,450,366.0,164700.0,2025-08-14 11:19:30.536259
2025-08-14,71411,2025081401001237,SANIMA,Online Securities Pvt. Ltd.,Sundhara Securities Limited,50,370.0,18500.0,2025-08-14 11:21:44.251720
2025-08-14,68676,2025081401001751,SANIMA,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,370.0,37000.0,2025-08-14 11:29:59.370873
2025-08-14,68675,2025081401001752,SANIMA,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,900,370.0,333000.0,2025-08-14 11:29:59.371146
2025-08-14,68674,2025081401001753,SANIMA,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,600,370.0,222000.0,2025-08-14 11:29:59.371305
2025-08-14,68428,2025081401001856,SANIMA,Kalika Securities Pvt. Ltd.,Premier Securities Company Ltd.,10,370.0,3700.0,2025-08-14 11:31:02.510452
2025-08-14,67966,2025081401001985,SANIMA,Kalika Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,17,370.0,6290.0,2025-08-14 11:33:14.223825
2025-08-14,65628,2025081401002668,SANIMA,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,102,370.0,37740.0,2025-08-14 11:44:41.024367
2025-08-14,64555,2025081401002971,SANIMA,Imperial Securities Company Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,50,370.0,18500.0,2025-08-14 11:48:47.138536
2025-08-14,64554,2025081401002972,SANIMA,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,50,370.0,18500.0,2025-08-14 11:48:47.138697
2025-08-14,64298,2025081401003025,SANIMA,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,40,370.0,14800.0,2025-08-14 11:49:56.497531
2025-08-14,64205,2025081401003046,SANIMA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sewa Securities Pvt. Ltd.,60,369.1,22146.0,2025-08-14 11:50:26.288299
2025-08-14,64204,2025081401003047,SANIMA,Pragyan Securities (PVT) Ltd.,Sewa Securities Pvt. Ltd.,50,369.0,18450.0,2025-08-14 11:50:26.288648
2025-08-14,64203,2025081401003048,SANIMA,Magnet Securities and Investment Company Private Limited,Sewa Securities Pvt. Ltd.,10,368.9,3689.0,2025-08-14 11:50:26.288851
2025-08-14,64202,2025081401003049,SANIMA,Vision Securities Pvt. Ltd,Sewa Securities Pvt. Ltd.,380,368.8,140144.0,2025-08-14 11:50:26.289065
2025-08-14,64106,2025081401003067,SANIMA,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,100,368.8,36880.0,2025-08-14 11:50:48.186492
2025-08-14,63987,2025081401003096,SANIMA,Machhapuchchhre Securities Limited,Naasa Securities Co. Ltd.,10,370.0,3700.0,2025-08-14 11:51:31.703883
2025-08-14,63949,2025081401003105,SANIMA,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,10,368.8,3688.0,2025-08-14 11:51:47.760453
2025-08-14,63088,2025081401003276,SANIMA,Sani Securities Company Ltd.,ABC Securities Private Limited,10,370.0,3700.0,2025-08-14 11:55:19.292672
2025-08-14,63087,2025081401003277,SANIMA,Sani Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,10,370.0,3700.0,2025-08-14 11:55:19.292838
2025-08-14,62989,2025081401003300,SANIMA,Machhapuchchhre Securities Limited,Opal Securities Investment (PVT) Ltd.,10,370.0,3700.0,2025-08-14 11:55:44.338017
2025-08-14,62954,2025081401003307,SANIMA,Naasa Securities Co. Ltd.,Arun Securities (PVT) Ltd.,2,362.6,725.2,2025-08-14 11:55:54.308510
2025-08-14,62825,2025081401003343,SANIMA,Thrive Brokerage House Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,50,370.0,18500.0,2025-08-14 11:56:27.987254
2025-08-14,62820,2025081401003346,SANIMA,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,80,370.0,29600.0,2025-08-14 11:56:30.308155
