Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-17,81059,2025081704001000,DHPL,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,10,308.0,3080.0,2025-08-17 11:16:24.682107
2025-08-17,81058,2025081704001001,DHPL,Sani Securities Company Ltd.,Kalika Securities Pvt. Ltd.,10,310.9,3109.0,2025-08-17 11:16:24.682160
2025-08-17,80619,2025081704001096,DHPL,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,10,317.1,3171.0,2025-08-17 11:17:47.356223
2025-08-17,80618,2025081704001097,DHPL,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,341,317.1,108131.1,2025-08-17 11:17:47.356286
2025-08-17,80607,2025081704001099,DHPL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,10,317.1,3171.0,2025-08-17 11:17:50.572576
2025-08-17,78627,2025081704001427,DHPL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,50,310.8,15540.0,2025-08-17 11:22:54.004184
2025-08-17,76346,2025081704001846,DHPL,Linch Stock Market Ltd.,Neev Securities Pvt. Ltd.,100,311.0,31100.0,2025-08-17 11:28:50.349018
2025-08-17,74162,2025081704002234,DHPL,Linch Stock Market Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,60,311.0,18660.0,2025-08-17 11:34:16.100831
2025-08-17,74161,2025081704002235,DHPL,Nepal Stock House (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,30,310.3,9309.0,2025-08-17 11:34:16.100973
2025-08-17,74160,2025081704002236,DHPL,Nepal Stock House (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,30,310.2,9306.0,2025-08-17 11:34:16.101032
2025-08-17,74159,2025081704002237,DHPL,Trisul Securities & Invt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,500,310.1,155050.0,2025-08-17 11:34:16.101135
2025-08-17,74158,2025081704002238,DHPL,Capital Max Securities Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,680,310.0,210800.0,2025-08-17 11:34:16.101205
2025-08-17,74017,2025081704002265,DHPL,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,30,310.4,9312.0,2025-08-17 11:34:37.422225
2025-08-17,74016,2025081704002266,DHPL,Capital Max Securities Ltd,Vision Securities Pvt. Ltd,320,310.0,99200.0,2025-08-17 11:34:37.422333
