Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-17,86649,2025081701000001,NICA,Capital Max Securities Ltd,Online Securities Pvt. Ltd.,300,358.4,107520.0,2025-08-17 10:46:00.020973
2025-08-17,86648,2025081701000002,NICA,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,150,358.4,53760.0,2025-08-17 10:46:00.021036
2025-08-17,86647,2025081701000003,NICA,Midas Stock Broking Company Private Limited,Online Securities Pvt. Ltd.,200,358.4,71680.0,2025-08-17 10:46:00.021079
2025-08-17,86646,2025081701000004,NICA,ABC Securities Private Limited,Online Securities Pvt. Ltd.,200,358.4,71680.0,2025-08-17 10:46:00.021110
2025-08-17,86645,2025081701000005,NICA,Cristal Kanchanjanga Securites Pvt. Ltd.,Online Securities Pvt. Ltd.,150,358.4,53760.0,2025-08-17 10:46:00.021136
2025-08-17,86644,2025081701000006,NICA,Cristal Kanchanjanga Securites Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,5,358.4,1792.0,2025-08-17 10:46:00.021167
2025-08-17,86643,2025081701000007,NICA,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,50,358.4,17920.0,2025-08-17 10:46:00.021196
2025-08-17,86642,2025081701000008,NICA,Premier Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,55,358.4,19712.0,2025-08-17 10:46:00.021224
2025-08-17,86641,2025081701000009,NICA,Kohinoor Investment & Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,200,358.4,71680.0,2025-08-17 10:46:00.021250
2025-08-17,86529,2025081701000060,NICA,Linch Stock Market Ltd.,Nepal Stock House (PVT) Ltd.,50,358.4,17920.0,2025-08-17 10:46:00.228001
2025-08-17,86415,2025081701000111,NICA,Global IME Securities Limited,Sweta Securities Private Limited,15,357.0,5355.0,2025-08-17 11:00:47.771287
2025-08-17,86406,2025081701000115,NICA,Aryatara Investment & Securities,Opal Securities Investment (PVT) Ltd.,100,352.0,35200.0,2025-08-17 11:00:51.248609
2025-08-17,86366,2025081701000130,NICA,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,100,352.5,35250.0,2025-08-17 11:01:00.746828
2025-08-17,86365,2025081701000131,NICA,Midas Stock Broking Company Private Limited,Vision Securities Pvt. Ltd,100,351.4,35140.0,2025-08-17 11:01:00.746891
2025-08-17,86364,2025081701000132,NICA,S.P.S.A. Securities Limited,Vision Securities Pvt. Ltd,200,351.3,70260.0,2025-08-17 11:01:00.746917
2025-08-17,86363,2025081701000133,NICA,Malla & Malla Stock Broking Company Pvt. Limited,Vision Securities Pvt. Ltd,30,351.3,10539.0,2025-08-17 11:01:00.746941
2025-08-17,86356,2025081701000134,NICA,Online Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,200,352.0,70400.0,2025-08-17 11:01:02.996393
2025-08-17,86339,2025081701000139,NICA,Malla & Malla Stock Broking Company Pvt. Limited,Kohinoor Investment & Securities Pvt. Ltd.,20,351.3,7026.0,2025-08-17 11:01:08.125595
2025-08-17,86338,2025081701000140,NICA,Sundhara Securities Limited,Kohinoor Investment & Securities Pvt. Ltd.,30,351.3,10539.0,2025-08-17 11:01:08.125656
2025-08-17,86337,2025081701000141,NICA,Thrive Brokerage House Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,40,351.3,14052.0,2025-08-17 11:01:08.125676
2025-08-17,86321,2025081701000145,NICA,Thrive Brokerage House Pvt. Ltd,Vision Securities Pvt. Ltd,10,351.3,3513.0,2025-08-17 11:01:13.982296
2025-08-17,86320,2025081701000146,NICA,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,100,351.3,35130.0,2025-08-17 11:01:13.982337
2025-08-17,86319,2025081701000147,NICA,Ashutosh Brokerage & Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,25,351.3,8782.5,2025-08-17 11:01:13.982364
2025-08-17,86309,2025081701000151,NICA,Miyo Securities Pvt Ltd,Trishakti Securities Public Limited,100,350.0,35000.0,2025-08-17 11:01:16.264679
2025-08-17,86306,2025081701000154,NICA,Premier Securities Company Ltd.,Trishakti Securities Public Limited,100,350.0,35000.0,2025-08-17 11:01:16.579329
2025-08-17,86297,2025081701000158,NICA,Asian Securities Private Ltd.,Vision Securities Pvt. Ltd,100,345.1,34510.0,2025-08-17 11:01:18.033399
2025-08-17,86296,2025081701000159,NICA,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,300,345.0,103500.0,2025-08-17 11:01:18.033521
2025-08-17,86295,2025081701000160,NICA,Kohinoor Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,400,345.0,138000.0,2025-08-17 11:01:18.033596
2025-08-17,86189,2025081701000196,NICA,Sagarmatha Securities Private Limited,Oxford Securities Pvt. Ltd.,50,347.0,17350.0,2025-08-17 11:01:42.806642
2025-08-17,86188,2025081701000197,NICA,Aryatara Investment & Securities,Oxford Securities Pvt. Ltd.,20,346.0,6920.0,2025-08-17 11:01:42.806724
2025-08-17,86166,2025081701000203,NICA,Sundhara Securities Limited,Trishakti Securities Public Limited,200,348.0,69600.0,2025-08-17 11:01:46.283637
2025-08-17,86165,2025081701000204,NICA,Aryatara Investment & Securities,Trishakti Securities Public Limited,80,346.0,27680.0,2025-08-17 11:01:46.283687
2025-08-17,86164,2025081701000205,NICA,Online Securities Pvt. Ltd.,Trishakti Securities Public Limited,100,346.0,34600.0,2025-08-17 11:01:46.283712
2025-08-17,86163,2025081701000206,NICA,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,200,346.0,69200.0,2025-08-17 11:01:46.283737
2025-08-17,86162,2025081701000207,NICA,Linch Stock Market Ltd.,Trishakti Securities Public Limited,10,345.1,3451.0,2025-08-17 11:01:46.283786
2025-08-17,86161,2025081701000208,NICA,Midas Stock Broking Company Private Limited,Trishakti Securities Public Limited,200,345.1,69020.0,2025-08-17 11:01:46.283810
2025-08-17,86160,2025081701000209,NICA,Kohinoor Investment & Securities Pvt. Ltd.,Trishakti Securities Public Limited,100,345.0,34500.0,2025-08-17 11:01:46.283835
2025-08-17,86159,2025081701000210,NICA,Kohinoor Investment & Securities Pvt. Ltd.,Trishakti Securities Public Limited,500,345.0,172500.0,2025-08-17 11:01:46.283857
2025-08-17,86158,2025081701000211,NICA,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,100,345.0,34500.0,2025-08-17 11:01:46.283877
2025-08-17,86157,2025081701000212,NICA,Hatemalo Financial Services Private Limited,Trishakti Securities Public Limited,100,345.0,34500.0,2025-08-17 11:01:46.283900
2025-08-17,86156,2025081701000213,NICA,Miyo Securities Pvt Ltd,Trishakti Securities Public Limited,50,345.0,17250.0,2025-08-17 11:01:46.283921
2025-08-17,86155,2025081701000214,NICA,Thrive Brokerage House Pvt. Ltd,Trishakti Securities Public Limited,500,345.0,172500.0,2025-08-17 11:01:46.283942
