Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-17,86669,2025081704000001,OHL,Oxford Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,100,852.2,85220.0,2025-08-17 10:46:00.004625
2025-08-17,86668,2025081704000002,OHL,Dynamic Money Managers Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,91,852.2,77550.2,2025-08-17 10:46:00.004686
2025-08-17,86667,2025081704000003,OHL,Ashutosh Brokerage & Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,400,852.2,340880.0,2025-08-17 10:46:00.004732
2025-08-17,86666,2025081704000004,OHL,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,35,852.2,29827.0,2025-08-17 10:46:00.004753
2025-08-17,86665,2025081704000005,OHL,South Asian Bulls Pvt. Ltd.,Vision Securities Pvt. Ltd,50,852.2,42610.0,2025-08-17 10:46:00.004785
2025-08-17,86582,2025081704000029,OHL,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,300,852.2,255660.0,2025-08-17 10:46:00.115607
2025-08-17,86581,2025081704000030,OHL,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,25,852.2,21305.0,2025-08-17 10:46:00.116234
2025-08-17,86400,2025081704000053,OHL,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,100,852.2,85220.0,2025-08-17 11:00:52.066292
2025-08-17,86304,2025081704000068,OHL,Himalayan Brokerage Company Limited,Vision Securities Pvt. Ltd,100,852.2,85220.0,2025-08-17 11:01:16.676132
2025-08-17,86104,2025081704000093,OHL,Sundhara Securities Limited,Vision Securities Pvt. Ltd,69,852.2,58801.8,2025-08-17 11:01:54.286025
2025-08-17,84061,2025081704000424,OHL,Malla & Malla Stock Broking Company Pvt. Limited,Vision Securities Pvt. Ltd,300,857.0,257100.0,2025-08-17 11:07:51.259143
2025-08-17,83173,2025081704000578,OHL,Garima Securities Limited,Vision Securities Pvt. Ltd,58,860.0,49880.0,2025-08-17 11:10:28.513243
2025-08-17,82818,2025081704000643,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,500,860.1,430050.0,2025-08-17 11:11:28.966517
2025-08-17,76819,2025081704001735,OHL,Investment Management Nepal Pvt. Ltd.,Blue Chip Securities Ltd,30,863.0,25890.0,2025-08-17 11:27:36.310203
2025-08-17,75841,2025081704001937,OHL,Sumeru Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,55,863.3,47481.5,2025-08-17 11:30:05.631007
2025-08-17,75102,2025081704002055,OHL,Sumeru Securities Pvt. Ltd.,Capital Max Securities Ltd,345,863.3,297838.5,2025-08-17 11:31:45.041561
2025-08-17,75101,2025081704002056,OHL,Investment Management Nepal Pvt. Ltd.,Capital Max Securities Ltd,85,863.0,73355.0,2025-08-17 11:31:45.041689
2025-08-17,74939,2025081704002081,OHL,Investment Management Nepal Pvt. Ltd.,Naasa Securities Co. Ltd.,10,863.0,8630.0,2025-08-17 11:32:03.660158
2025-08-17,72906,2025081704002490,OHL,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,58,862.1,50001.8,2025-08-17 11:37:24.015536
2025-08-17,72762,2025081704002512,OHL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,50,862.0,43100.0,2025-08-17 11:37:51.196201
2025-08-17,72761,2025081704002513,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,1000,862.0,862000.0,2025-08-17 11:37:51.196307
2025-08-17,70630,2025081704002950,OHL,Sewa Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,10,865.0,8650.0,2025-08-17 11:44:07.018063
2025-08-17,67291,2025081704003471,OHL,Sagarmatha Securities Private Limited,Online Securities Pvt. Ltd.,26,862.3,22419.8,2025-08-17 11:54:39.244938
2025-08-17,67217,2025081704003485,OHL,Sagarmatha Securities Private Limited,Indira securities pvt. ltd,74,862.3,63810.2,2025-08-17 11:54:58.288531
2025-08-17,67136,2025081704003504,OHL,Sumeru Securities Pvt. Ltd.,Indira securities pvt. ltd,50,862.3,43115.0,2025-08-17 11:55:17.623014
2025-08-17,66873,2025081704003561,OHL,Sumeru Securities Pvt. Ltd.,Indira securities pvt. ltd,20,862.3,17246.0,2025-08-17 11:55:59.752284
2025-08-17,66048,2025081704003735,OHL,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,50,863.5,43175.0,2025-08-17 11:58:25.817902
2025-08-17,65922,2025081704003753,OHL,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,50,863.4,43170.0,2025-08-17 11:58:50.921670
2025-08-17,65877,2025081704003758,OHL,Sumeru Securities Pvt. Ltd.,Indira securities pvt. ltd,11,862.3,9485.3,2025-08-17 11:58:58.170798
2025-08-17,65286,2025081704003819,OHL,Sumeru Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,19,863.4,16404.6,2025-08-17 12:00:51.842602
2025-08-17,64114,2025081704003998,OHL,Oxford Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,30,863.4,25902.0,2025-08-17 12:04:27.947542
2025-08-17,63883,2025081704004044,OHL,Aryatara Investment & Securities,Secured Securities Ltd.,50,862.5,43125.0,2025-08-17 12:05:04.867804
2025-08-17,63796,2025081704004049,OHL,Opal Securities Investment (PVT) Ltd.,Secured Securities Ltd.,10,862.5,8625.0,2025-08-17 12:05:17.476721
2025-08-17,63678,2025081704004064,OHL,Oxford Securities Pvt. Ltd.,Secured Securities Ltd.,40,862.5,34500.0,2025-08-17 12:05:38.385375
2025-08-17,62293,2025081704004316,OHL,Oxford Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,10,862.5,8625.0,2025-08-17 12:10:06.370860
2025-08-17,62292,2025081704004317,OHL,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,100,862.2,86220.0,2025-08-17 12:10:06.370977
2025-08-17,62291,2025081704004318,OHL,Sumeru Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,50,862.1,43105.0,2025-08-17 12:10:06.371024
2025-08-17,62290,2025081704004319,OHL,Premier Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,102,862.0,87924.0,2025-08-17 12:10:06.371065
2025-08-17,62289,2025081704004320,OHL,Malla & Malla Stock Broking Company Pvt. Limited,Nepal Stock House (PVT) Ltd.,20,862.0,17240.0,2025-08-17 12:10:06.371128
2025-08-17,62288,2025081704004321,OHL,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,24,862.0,20688.0,2025-08-17 12:10:06.371175
2025-08-17,61830,2025081704004411,OHL,Sani Securities Company Ltd.,SUN SECURITIES PVT LTD,26,862.0,22412.0,2025-08-17 12:11:27.500009
2025-08-17,61829,2025081704004412,OHL,Sumeru Securities Pvt. Ltd.,SUN SECURITIES PVT LTD,20,861.4,17228.0,2025-08-17 12:11:27.500118
2025-08-17,61828,2025081704004413,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,SUN SECURITIES PVT LTD,154,861.3,132640.2,2025-08-17 12:11:27.500162
2025-08-17,56990,2025081704005301,OHL,Linch Stock Market Ltd.,Neev Securities Pvt. Ltd.,20,861.4,17228.0,2025-08-17 12:25:05.092238
2025-08-17,56989,2025081704005302,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Neev Securities Pvt. Ltd.,80,861.3,68904.0,2025-08-17 12:25:05.092376
2025-08-17,55473,2025081704005571,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,130,861.3,111969.0,2025-08-17 12:30:16.092843
2025-08-17,55189,2025081704005647,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Agrawal Securities (PVT) Ltd.,136,861.3,117136.8,2025-08-17 12:31:16.138490
2025-08-17,55188,2025081704005648,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Agrawal Securities (PVT) Ltd.,64,861.3,55123.2,2025-08-17 12:31:16.138628
2025-08-17,52948,2025081704006074,OHL,Premier Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,36,861.4,31010.4,2025-08-17 12:39:09.930052
2025-08-17,52947,2025081704006075,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Stock House (PVT) Ltd.,436,861.3,375526.8,2025-08-17 12:39:09.930162
2025-08-17,52946,2025081704006076,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Stock House (PVT) Ltd.,10,861.2,8612.0,2025-08-17 12:39:09.930208
2025-08-17,52467,2025081704006164,OHL,Sumeru Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,50,860.1,43005.0,2025-08-17 12:40:59.193510
2025-08-17,52466,2025081704006165,OHL,Neev Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,60,860.0,51600.0,2025-08-17 12:40:59.193636
2025-08-17,50151,2025081704006679,OHL,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,70,860.1,60207.0,2025-08-17 12:50:32.845161
2025-08-17,50150,2025081704006680,OHL,Oxford Securities Pvt. Ltd.,Sani Securities Company Ltd.,100,860.0,86000.0,2025-08-17 12:50:32.845261
2025-08-17,50149,2025081704006681,OHL,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,130,860.0,111800.0,2025-08-17 12:50:32.845306
2025-08-17,46546,2025081704007442,OHL,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,20,860.0,17200.0,2025-08-17 13:03:43.419191
2025-08-17,46545,2025081704007443,OHL,Dakshinkali Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,140,860.0,120400.0,2025-08-17 13:03:43.419427
2025-08-17,45656,2025081704007599,OHL,Online Securities Pvt. Ltd.,Premier Securities Company Ltd.,18,859.1,15463.8,2025-08-17 13:05:52.710355
2025-08-17,45655,2025081704007600,OHL,Himalayan Brokerage Company Limited,Premier Securities Company Ltd.,82,858.1,70364.2,2025-08-17 13:05:52.710583
2025-08-17,42704,2025081704008337,OHL,Sani Securities Company Ltd.,Premier Securities Company Ltd.,300,858.2,257460.0,2025-08-17 13:13:49.713143
2025-08-17,42552,2025081704008383,OHL,Sani Securities Company Ltd.,Premier Securities Company Ltd.,300,858.2,257460.0,2025-08-17 13:14:18.947849
2025-08-17,42335,2025081704008424,OHL,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,1008,858.2,865065.6,2025-08-17 13:15:11.219159
2025-08-17,38674,2025081704009101,OHL,Shree Krishna Securities Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,858.4,8584.0,2025-08-17 13:25:59.301141
2025-08-17,38673,2025081704009102,OHL,Linch Stock Market Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,20,858.3,17166.0,2025-08-17 13:25:59.301278
2025-08-17,38672,2025081704009103,OHL,Sani Securities Company Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,380,858.2,326116.0,2025-08-17 13:25:59.301333
2025-08-17,36844,2025081704009563,OHL,J.F. Securites (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,140,860.0,120400.0,2025-08-17 13:32:11.732873
2025-08-17,34964,2025081704009978,OHL,Shree Krishna Securities Ltd.,J.F. Securites (PVT) Ltd.,10,858.3,8583.0,2025-08-17 13:38:41.003466
2025-08-17,34963,2025081704009979,OHL,Sani Securities Company Ltd.,J.F. Securites (PVT) Ltd.,12,858.2,10298.4,2025-08-17 13:38:41.003615
2025-08-17,34962,2025081704009980,OHL,Himalayan Brokerage Company Limited,J.F. Securites (PVT) Ltd.,18,858.1,15445.8,2025-08-17 13:38:41.003661
2025-08-17,34961,2025081704009981,OHL,Vision Securities Pvt. Ltd,J.F. Securites (PVT) Ltd.,10,858.0,8580.0,2025-08-17 13:38:41.003706
2025-08-17,31487,2025081704010713,OHL,Vision Securities Pvt. Ltd,N.M.B. SECURITIES LIMITED,40,858.0,34320.0,2025-08-17 13:50:44.715207
2025-08-17,31486,2025081704010714,OHL,Malla & Malla Stock Broking Company Pvt. Limited,N.M.B. SECURITIES LIMITED,20,858.0,17160.0,2025-08-17 13:50:44.715346
2025-08-17,31485,2025081704010715,OHL,ABC Securities Private Limited,N.M.B. SECURITIES LIMITED,10,858.0,8580.0,2025-08-17 13:50:44.715391
2025-08-17,31484,2025081704010716,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,N.M.B. SECURITIES LIMITED,30,857.5,25725.0,2025-08-17 13:50:44.715445
2025-08-17,25743,2025081704011889,OHL,J.F. Securites (PVT) Ltd.,Citizens Share Broker Limited,35,860.0,30100.0,2025-08-17 14:10:25.594457
2025-08-17,24864,2025081704012087,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,100,860.0,86000.0,2025-08-17 14:13:16.823305
2025-08-17,16591,2025081704014077,OHL,Shree Krishna Securities Ltd.,Midas Stock Broking Company Private Limited,10,856.2,8562.0,2025-08-17 14:35:39.431202
2025-08-17,16590,2025081704014078,OHL,Cristal Kanchanjanga Securites Pvt. Ltd.,Midas Stock Broking Company Private Limited,10,856.2,8562.0,2025-08-17 14:35:39.431259
2025-08-17,12551,2025081704015214,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,87,858.9,74724.3,2025-08-17 14:43:49.870567
2025-08-17,7839,2025081704016479,OHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Imperial Securities Company Pvt. Ltd.,100,858.9,85890.0,2025-08-17 14:51:51.603292
2025-08-17,7785,2025081704016495,OHL,Sharepro Securities Private Limited,Creative Securities Pvt Ltd,50,857.1,42855.0,2025-08-17 14:51:57.495564
2025-08-17,7784,2025081704016496,OHL,NIMB Stock Markets Limited,Creative Securities Pvt Ltd,60,857.0,51420.0,2025-08-17 14:51:57.495692
2025-08-17,7431,2025081704016564,OHL,NIMB Stock Markets Limited,ABC Securities Private Limited,50,857.0,42850.0,2025-08-17 14:52:24.754183
2025-08-17,5093,2025081704017110,OHL,Premier Securities Company Ltd.,Asian Securities Private Ltd.,30,858.0,25740.0,2025-08-17 14:55:46.900857
2025-08-17,4944,2025081704017132,OHL,NIMB Stock Markets Limited,Asian Securities Private Ltd.,10,857.0,8570.0,2025-08-17 14:56:01.974465
2025-08-17,4943,2025081704017133,OHL,Nepal Investment And Securities Trading Private Limited,Asian Securities Private Ltd.,75,857.0,64275.0,2025-08-17 14:56:01.974580
2025-08-17,4942,2025081704017134,OHL,Shree Krishna Securities Ltd.,Asian Securities Private Ltd.,10,856.2,8562.0,2025-08-17 14:56:01.974646
2025-08-17,4941,2025081704017135,OHL,Aryatara Investment & Securities,Asian Securities Private Ltd.,50,856.1,42805.0,2025-08-17 14:56:01.974702
2025-08-17,4940,2025081704017136,OHL,Ashutosh Brokerage & Securities (PVT) Ltd.,Asian Securities Private Ltd.,20,856.1,17122.0,2025-08-17 14:56:01.974752
2025-08-17,4939,2025081704017137,OHL,Trishakti Securities Public Limited,Asian Securities Private Ltd.,30,856.1,25683.0,2025-08-17 14:56:01.974801
2025-08-17,4938,2025081704017138,OHL,South Asian Bulls Pvt. Ltd.,Asian Securities Private Ltd.,25,856.0,21400.0,2025-08-17 14:56:01.974855
2025-08-17,4937,2025081704017139,OHL,Sani Securities Company Ltd.,Asian Securities Private Ltd.,15,856.0,12840.0,2025-08-17 14:56:01.974911
2025-08-17,4936,2025081704017140,OHL,Himalayan Brokerage Company Limited,Asian Securities Private Ltd.,100,856.0,85600.0,2025-08-17 14:56:01.974960
2025-08-17,4935,2025081704017141,OHL,Online Securities Pvt. Ltd.,Asian Securities Private Ltd.,25,855.2,21380.0,2025-08-17 14:56:01.975011
2025-08-17,4934,2025081704017142,OHL,Sumeru Securities Pvt. Ltd.,Asian Securities Private Ltd.,50,855.1,42755.0,2025-08-17 14:56:01.975062
2025-08-17,4933,2025081704017143,OHL,Oxford Securities Pvt. Ltd.,Asian Securities Private Ltd.,90,855.0,76950.0,2025-08-17 14:56:01.975113
2025-08-17,4725,2025081704017197,OHL,Oxford Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,10,855.0,8550.0,2025-08-17 14:56:18.198108
2025-08-17,4724,2025081704017198,OHL,Malla & Malla Stock Broking Company Pvt. Limited,Opal Securities Investment (PVT) Ltd.,90,855.0,76950.0,2025-08-17 14:56:18.198159
2025-08-17,4670,2025081704017205,OHL,Malla & Malla Stock Broking Company Pvt. Limited,Sani Securities Company Ltd.,110,855.0,94050.0,2025-08-17 14:56:22.289283
2025-08-17,4669,2025081704017206,OHL,Garima Securities Limited,Sani Securities Company Ltd.,30,855.0,25650.0,2025-08-17 14:56:22.289482
2025-08-17,4174,2025081704017315,OHL,Sri Hari Securities Pvt. Ltd.,Asian Securities Private Ltd.,125,858.0,107250.0,2025-08-17 14:56:59.247667
2025-08-17,4042,2025081704017351,OHL,Garima Securities Limited,Asian Securities Private Ltd.,12,855.0,10260.0,2025-08-17 14:57:06.177274
2025-08-17,4041,2025081704017352,OHL,Opal Securities Investment (PVT) Ltd.,Asian Securities Private Ltd.,50,855.0,42750.0,2025-08-17 14:57:06.177381
2025-08-17,4040,2025081704017353,OHL,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,100,855.0,85500.0,2025-08-17 14:57:06.177429
2025-08-17,4039,2025081704017354,OHL,ABC Securities Private Limited,Asian Securities Private Ltd.,200,855.0,171000.0,2025-08-17 14:57:06.177494
2025-08-17,4038,2025081704017355,OHL,Primo Securities (PVT) Ltd.,Asian Securities Private Ltd.,138,854.0,117852.0,2025-08-17 14:57:06.177541
