Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-18,67268,2025081804000162,API,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,94,296.1,27833.4,2025-08-18T11:05:19.090724
2025-08-18,66909,2025081804000225,API,Kumari Securities Private Limited,Oxford Securities Pvt. Ltd.,606,296.1,179436.6,2025-08-18T11:07:08.036322
2025-08-18,66908,2025081804000226,API,Vision Securities Pvt. Ltd,Oxford Securities Pvt. Ltd.,121,296.1,35828.1,2025-08-18T11:07:08.036411
2025-08-18,66790,2025081804000257,API,Asian Securities Private Ltd.,Creative Securities Pvt Ltd,15,297.5,4462.5,2025-08-18T11:07:39.035688
2025-08-18,66789,2025081804000258,API,Asian Securities Private Ltd.,J.F. Securites (PVT) Ltd.,50,298.9,14945.0,2025-08-18T11:07:39.035751
2025-08-18,66712,2025081804000275,API,Sharepro Securities Private Limited,South Asian Bulls Pvt. Ltd.,100,298.0,29800.0,2025-08-18T11:07:58.445715
2025-08-18,66481,2025081804000353,API,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,55,296.1,16285.5,2025-08-18T11:08:49.573017
2025-08-18,66361,2025081804000383,API,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,224,296.1,66326.4,2025-08-18T11:09:29.639481
2025-08-18,66121,2025081804000448,API,Citizens Share Broker Limited,Nepal Investment And Securities Trading Private Limited,43,295.5,12706.5,2025-08-18T11:10:30.265289
2025-08-18,64393,2025081804000858,API,SUN SECURITIES PVT LTD,Trishakti Securities Public Limited,15,295.6,4434.0,2025-08-18T11:19:25.932756
2025-08-18,64392,2025081804000859,API,Citizens Share Broker Limited,Trishakti Securities Public Limited,22,295.5,6501.0,2025-08-18T11:19:25.932924
2025-08-18,64092,2025081804000929,API,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,20,296.0,5920.0,2025-08-18T11:20:57.865734
2025-08-18,63711,2025081804001030,API,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,30,296.0,8880.0,2025-08-18T11:22:20.600332
2025-08-18,63632,2025081804001039,API,Imperial Securities Company Pvt. Ltd.,Kalika Securities Pvt. Ltd.,100,297.0,29700.0,2025-08-18T11:22:39.820074
2025-08-18,63631,2025081804001040,API,Imperial Securities Company Pvt. Ltd.,Sundhara Securities Limited,63,297.0,18711.0,2025-08-18T11:22:39.820226
2025-08-18,63630,2025081804001041,API,Imperial Securities Company Pvt. Ltd.,Premier Securities Company Ltd.,12,297.0,3564.0,2025-08-18T11:22:39.820285
2025-08-18,63548,2025081804001066,API,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,21,296.0,6216.0,2025-08-18T11:23:00.18281
2025-08-18,63349,2025081804001118,API,Malla & Malla Stock Broking Company Pvt. Limited,Online Securities Pvt. Ltd.,10,297.5,2975.0,2025-08-18T11:23:54.133035
2025-08-18,63330,2025081804001120,API,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,35,296.0,10360.0,2025-08-18T11:23:59.856159
