Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-18,67723,2025081805000083,CHDC,SUN SECURITIES PVT LTD,Agrawal Securities (PVT) Ltd.,25,2589.0,64725.0,2025-08-18T11:01:46.625816
2025-08-18,66912,2025081805000377,CHDC,Secured Securities Ltd.,Agrawal Securities (PVT) Ltd.,12,2582.0,30984.0,2025-08-18T11:07:07.205393
2025-08-18,66779,2025081805000436,CHDC,Asian Securities Private Ltd.,Shree Krishna Securities Ltd.,2,2537.3,5074.6,2025-08-18T11:07:41.046934
2025-08-18,66313,2025081805000610,CHDC,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,10,2584.0,25840.0,2025-08-18T11:09:42.714545
2025-08-18,66224,2025081805000631,CHDC,Asian Securities Private Ltd.,Siprabi Securities Pvt. Ltd.,1,2550.0,2550.0,2025-08-18T11:10:01.693185
2025-08-18,65639,2025081805000870,CHDC,SUN SECURITIES PVT LTD,Shree Krishna Securities Ltd.,12,2600.0,31200.0,2025-08-18T11:13:08.12914
2025-08-18,65596,2025081805000883,CHDC,SUN SECURITIES PVT LTD,Stoxkarts Securities Limited,10,2599.0,25990.0,2025-08-18T11:13:19.198694
2025-08-18,65349,2025081805000987,CHDC,SUN SECURITIES PVT LTD,Opal Securities Investment (PVT) Ltd.,78,2588.1,201871.8,2025-08-18T11:14:53.695502
2025-08-18,65348,2025081805000988,CHDC,Siprabi Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,1300,2588.0,3364400.0,2025-08-18T11:14:53.695614
2025-08-18,65261,2025081805001029,CHDC,Capital Max Securities Ltd,Opal Securities Investment (PVT) Ltd.,22,2588.0,56936.0,2025-08-18T11:15:14.055723
2025-08-18,64100,2025081805001465,CHDC,Asian Securities Private Ltd.,Sewa Securities Pvt. Ltd.,1,2560.0,2560.0,2025-08-18T11:20:53.258476
2025-08-18,63638,2025081805001657,CHDC,Kohinoor Investment & Securities Pvt. Ltd.,Sweta Securities Private Limited,10,2619.0,26190.0,2025-08-18T11:22:36.140226
2025-08-18,63584,2025081805001682,CHDC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Sweta Securities Private Limited,10,2619.0,26190.0,2025-08-18T11:22:51.364353
2025-08-18,63388,2025081805001746,CHDC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Online Securities Pvt. Ltd.,12,2619.0,31428.0,2025-08-18T11:23:45.837438
2025-08-18,63206,2025081805001824,CHDC,Shree Krishna Securities Ltd.,Imperial Securities Company Pvt. Ltd.,38,2620.0,99560.0,2025-08-18T11:24:21.812705
2025-08-18,61805,2025081805002349,CHDC,Himalayan Brokerage Company Limited,Pragyan Securities (PVT) Ltd.,12,2600.0,31200.0,2025-08-18T11:30:05.575461
