Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-19,61035,2025081903000090,JFL,Global IME Securities Limited,Sani Securities Company Ltd.,155,478.0,74090.0,2025-08-19 11:05:07.045435
2025-08-19,60782,2025081903000112,JFL,Sundhara Securities Limited,Aryatara Investment & Securities,100,475.0,47500.0,2025-08-19 11:06:48.536616
2025-08-19,60079,2025081903000164,JFL,Oxford Securities Pvt. Ltd.,Sani Securities Company Ltd.,10,478.0,4780.0,2025-08-19 11:10:56.823747
2025-08-19,59674,2025081903000197,JFL,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,35,478.0,16730.0,2025-08-19 11:13:03.324979
2025-08-19,59580,2025081903000200,JFL,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,400,478.0,191200.0,2025-08-19 11:13:33.139486
2025-08-19,58702,2025081903000289,JFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,J.F. Securites (PVT) Ltd.,30,480.0,14400.0,2025-08-19 11:18:02.025121
2025-08-19,58680,2025081903000292,JFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,10,480.0,4800.0,2025-08-19 11:18:07.865204
2025-08-19,58648,2025081903000296,JFL,Ashutosh Brokerage & Securities (PVT) Ltd.,Aryatara Investment & Securities,10,480.0,4800.0,2025-08-19 11:18:18.652369
2025-08-19,58408,2025081903000322,JFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,10,480.0,4800.0,2025-08-19 11:19:24.625005
2025-08-19,55626,2025081903000712,JFL,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,70,475.0,33250.0,2025-08-19 11:31:53.351621
2025-08-19,55516,2025081903000728,JFL,Sumeru Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,100,475.0,47500.0,2025-08-19 11:32:19.198313
2025-08-19,55351,2025081903000753,JFL,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,30,475.0,14250.0,2025-08-19 11:33:02.611821
2025-08-19,55350,2025081903000754,JFL,Creative Securities Pvt Ltd,Naasa Securities Co. Ltd.,30,474.1,14223.0,2025-08-19 11:33:02.611905
2025-08-19,55349,2025081903000755,JFL,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,500,474.0,237000.0,2025-08-19 11:33:02.611942
2025-08-19,55348,2025081903000756,JFL,Secured Securities Ltd.,Naasa Securities Co. Ltd.,100,473.0,47300.0,2025-08-19 11:33:02.611971
2025-08-19,55347,2025081903000757,JFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,70,473.0,33110.0,2025-08-19 11:33:02.612002
2025-08-19,55346,2025081903000758,JFL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,50,472.0,23600.0,2025-08-19 11:33:02.612038
2025-08-19,55345,2025081903000759,JFL,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,25,472.0,11800.0,2025-08-19 11:33:02.612068
2025-08-19,55180,2025081903000778,JFL,Siprabi Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,55,472.0,25960.0,2025-08-19 11:33:47.702904
2025-08-19,55179,2025081903000779,JFL,Kumari Securities Private Limited,Online Securities Pvt. Ltd.,100,472.0,47200.0,2025-08-19 11:33:47.703072
2025-08-19,55178,2025081903000780,JFL,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,45,471.1,21199.5,2025-08-19 11:33:47.703176
2025-08-19,49730,2025081903001468,JFL,Secured Securities Ltd.,Sani Securities Company Ltd.,82,476.0,39032.0,2025-08-19 12:00:08.280356
2025-08-19,49729,2025081903001469,JFL,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,40,475.0,19000.0,2025-08-19 12:00:08.280419
2025-08-19,49728,2025081903001470,JFL,Midas Stock Broking Company Private Limited,Sani Securities Company Ltd.,100,475.0,47500.0,2025-08-19 12:00:08.280461
