Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-20,53764,2025082004000027,AHPC,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,10,300.0,3000.0,2025-08-20 11:00:42.458073
2025-08-20,53763,2025082004000028,AHPC,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,10,297.1,2971.0,2025-08-20 11:00:42.458178
2025-08-20,53741,2025082004000038,AHPC,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,10,302.9,3029.0,2025-08-20 11:01:04.753534
2025-08-20,53660,2025082004000061,AHPC,Aryatara Investment & Securities,Deevyaa Securities & Stock House Pvt. Ltd,599,298.1,178561.9,2025-08-20 11:02:04.498877
2025-08-20,53650,2025082004000067,AHPC,Naasa Securities Co. Ltd.,Sharepro Securities Private Limited,10,302.8,3028.0,2025-08-20 11:02:12.211662
2025-08-20,53622,2025082004000079,AHPC,Kumari Securities Private Limited,Miyo Securities Pvt Ltd,30,299.0,8970.0,2025-08-20 11:02:36.419238
2025-08-20,53621,2025082004000080,AHPC,NIMB Stock Markets Limited,Miyo Securities Pvt Ltd,497,298.2,148205.4,2025-08-20 11:02:36.419370
2025-08-20,53609,2025082004000084,AHPC,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,10,302.7,3027.0,2025-08-20 11:02:44.300608
2025-08-20,53273,2025082004000168,AHPC,Aryatara Investment & Securities,Kumari Securities Private Limited,50,300.0,15000.0,2025-08-20 11:05:32.032352
2025-08-20,53187,2025082004000185,AHPC,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,10,302.0,3020.0,2025-08-20 11:06:05.598218
2025-08-20,53053,2025082004000222,AHPC,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,500,301.0,150500.0,2025-08-20 11:07:15.314833
2025-08-20,52985,2025082004000236,AHPC,Swarna Laxmi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,200,301.0,60200.0,2025-08-20 11:07:47.442908
2025-08-20,52884,2025082004000277,AHPC,ABC Securities Private Limited,Naasa Securities Co. Ltd.,70,301.0,21070.0,2025-08-20 11:08:28.096675
