Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-20,53643,2025082004000069,HURJA,Imperial Securities Company Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,240,243.0,58320.0,2025-08-20 11:02:19.678429
2025-08-20,51340,2025082004000774,HURJA,K.B.L. Securities Limited ,Opal Securities Investment (PVT) Ltd.,30,241.9,7257.0,2025-08-20 11:18:41.736093
2025-08-20,49661,2025082004001238,HURJA,ABC Securities Private Limited,Siprabi Securities Pvt. Ltd.,20,241.5,4830.0,2025-08-20 11:28:16.183817
2025-08-20,49660,2025082004001239,HURJA,ABC Securities Private Limited,Opal Securities Investment (PVT) Ltd.,80,241.9,19352.0,2025-08-20 11:28:16.184005
2025-08-20,47519,2025082004001783,HURJA,ABC Securities Private Limited,Kumari Securities Private Limited,500,240.0,120000.0,2025-08-20 11:39:39.799095
2025-08-20,46554,2025082004002044,HURJA,Sani Securities Company Ltd.,J.F. Securites (PVT) Ltd.,40,240.0,9600.0,2025-08-20 11:44:22.889831
2025-08-20,44031,2025082004002764,HURJA,Kalika Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,150,240.3,36045.0,2025-08-20 11:57:33.040721
2025-08-20,44030,2025082004002765,HURJA,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,10,240.0,2400.0,2025-08-20 11:57:33.040876
2025-08-20,44029,2025082004002766,HURJA,Sagarmatha Securities Private Limited,Online Securities Pvt. Ltd.,10,240.0,2400.0,2025-08-20 11:57:33.040935
2025-08-20,43484,2025082004002904,HURJA,Secured Securities Ltd.,Online Securities Pvt. Ltd.,100,239.2,23920.0,2025-08-20 12:00:21.648792
2025-08-20,43483,2025082004002905,HURJA,Arun Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,104,239.1,24866.4,2025-08-20 12:00:21.649143
2025-08-20,43482,2025082004002906,HURJA,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,126,239.1,30126.6,2025-08-20 12:00:21.649296
2025-08-20,43449,2025082004002914,HURJA,Linch Stock Market Ltd.,Sani Securities Company Ltd.,20,239.1,4782.0,2025-08-20 12:00:32.642551
2025-08-20,42284,2025082004003194,HURJA,Linch Stock Market Ltd.,Opal Securities Investment (PVT) Ltd.,590,239.1,141069.0,2025-08-20 12:06:59.583866
2025-08-20,42195,2025082004003205,HURJA,Linch Stock Market Ltd.,Opal Securities Investment (PVT) Ltd.,86,239.1,20562.6,2025-08-20 12:07:25.659638
2025-08-20,42057,2025082004003235,HURJA,Linch Stock Market Ltd.,Aryatara Investment & Securities,183,239.1,43755.3,2025-08-20 12:08:18.804974
2025-08-20,42056,2025082004003236,HURJA,Agrawal Securities (PVT) Ltd.,Aryatara Investment & Securities,10,239.0,2390.0,2025-08-20 12:08:18.805156
2025-08-20,42036,2025082004003241,HURJA,KALASH STOCK MARKET PVT. LTD.,Linch Stock Market Ltd.,50,240.0,12000.0,2025-08-20 12:08:30.960915
2025-08-20,35452,2025082004004840,HURJA,ABC Securities Private Limited,Sani Securities Company Ltd.,41,239.1,9803.1,2025-08-20 12:42:37.651054
2025-08-20,34197,2025082004005186,HURJA,Opal Securities Investment (PVT) Ltd.,Primo Securities (PVT) Ltd.,440,239.2,105248.0,2025-08-20 12:49:39.138508
2025-08-20,34196,2025082004005187,HURJA,ABC Securities Private Limited,Primo Securities (PVT) Ltd.,459,239.1,109746.9,2025-08-20 12:49:39.138571
2025-08-20,34195,2025082004005188,HURJA,ABC Securities Private Limited,Primo Securities (PVT) Ltd.,300,239.0,71700.0,2025-08-20 12:49:39.138599
2025-08-20,34194,2025082004005189,HURJA,Sani Securities Company Ltd.,Primo Securities (PVT) Ltd.,1000,239.0,239000.0,2025-08-20 12:49:39.138624
2025-08-20,34193,2025082004005190,HURJA,Secured Securities Ltd.,Primo Securities (PVT) Ltd.,95,239.0,22705.0,2025-08-20 12:49:39.138650
2025-08-20,34192,2025082004005191,HURJA,Sani Securities Company Ltd.,Primo Securities (PVT) Ltd.,760,239.0,181640.0,2025-08-20 12:49:39.138675
