Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-20,53016,2025082005000371,NYADI,Naasa Securities Co. Ltd.,Miyo Securities Pvt Ltd,10,422.1,4221.0,2025-08-20 11:07:35.518674
2025-08-20,52271,2025082005000600,NYADI,Nepal Investment And Securities Trading Private Limited,Naasa Securities Co. Ltd.,10,422.5,4225.0,2025-08-20 11:12:42.312911
2025-08-20,51918,2025082005000722,NYADI,Dakshinkali Investment & Securities Pvt. Ltd.,Sundhara Securities Limited,140,425.1,59514.0,2025-08-20 11:14:56.830643
2025-08-20,51521,2025082005000896,NYADI,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,10,430.0,4300.0,2025-08-20 11:17:32.495806
2025-08-20,51520,2025082005000897,NYADI,Sri Hari Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,430.5,4305.0,2025-08-20 11:17:32.495929
2025-08-20,51519,2025082005000898,NYADI,Sri Hari Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,40,430.9,17236.0,2025-08-20 11:17:32.496019
2025-08-20,51240,2025082005001015,NYADI,Sri Hari Securities Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,10,432.0,4320.0,2025-08-20 11:19:10.617303
2025-08-20,51153,2025082005001046,NYADI,Sani Securities Company Ltd.,Primo Securities (PVT) Ltd.,100,434.5,43450.0,2025-08-20 11:19:42.591347
2025-08-20,51112,2025082005001067,NYADI,Sani Securities Company Ltd.,Swarna Laxmi Securities Pvt. Ltd.,50,434.9,21745.0,2025-08-20 11:19:58.765051
2025-08-20,51111,2025082005001068,NYADI,Sani Securities Company Ltd.,Sajilo Broker Limited,100,438.0,43800.0,2025-08-20 11:19:58.765080
2025-08-20,51110,2025082005001069,NYADI,Sani Securities Company Ltd.,Swarna Laxmi Securities Pvt. Ltd.,102,439.0,44778.0,2025-08-20 11:19:58.765101
2025-08-20,51109,2025082005001070,NYADI,Sani Securities Company Ltd.,Sajilo Broker Limited,100,439.0,43900.0,2025-08-20 11:19:58.765123
2025-08-20,50661,2025082005001250,NYADI,Sani Securities Company Ltd.,Sani Securities Company Ltd.,10,434.5,4345.0,2025-08-20 11:22:49.828236
2025-08-20,50546,2025082005001311,NYADI,Sani Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,50,434.5,21725.0,2025-08-20 11:23:26.921881
2025-08-20,50455,2025082005001336,NYADI,Sani Securities Company Ltd.,Linch Stock Market Ltd.,340,434.5,147730.0,2025-08-20 11:23:57.589019
2025-08-20,50454,2025082005001337,NYADI,Nepal Stock House (PVT) Ltd.,Linch Stock Market Ltd.,30,434.5,13035.0,2025-08-20 11:23:57.589106
2025-08-20,50453,2025082005001338,NYADI,Sani Securities Company Ltd.,Linch Stock Market Ltd.,630,433.0,272790.0,2025-08-20 11:23:57.589163
2025-08-20,50361,2025082005001371,NYADI,Midas Stock Broking Company Private Limited,Sri Hari Securities Pvt. Ltd.,400,439.0,175600.0,2025-08-20 11:24:25.123517
2025-08-20,49241,2025082005001885,NYADI,Online Securities Pvt. Ltd.,Himalayan Brokerage Company Limited,100,433.3,43330.0,2025-08-20 11:30:42.195547
2025-08-20,49240,2025082005001886,NYADI,Sharepro Securities Private Limited,Himalayan Brokerage Company Limited,75,433.3,32497.5,2025-08-20 11:30:42.195628
2025-08-20,49093,2025082005001935,NYADI,Sharepro Securities Private Limited,Sundhara Securities Limited,30,433.3,12999.0,2025-08-20 11:31:27.821391
2025-08-20,48651,2025082005002142,NYADI,Nabil Stock Dealer Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,500,435.0,217500.0,2025-08-20 11:33:35.313228
2025-08-20,46752,2025082005002844,NYADI,Nagarik Stock Dealer ,Shree Krishna Securities Ltd.,50,437.9,21895.0,2025-08-20 11:43:27.321638
2025-08-20,46751,2025082005002845,NYADI,Nagarik Stock Dealer ,Investment Management Nepal Pvt. Ltd.,250,438.0,109500.0,2025-08-20 11:43:27.321808
2025-08-20,46750,2025082005002846,NYADI,Nagarik Stock Dealer ,Vision Securities Pvt. Ltd,30,438.0,13140.0,2025-08-20 11:43:27.321932
2025-08-20,46749,2025082005002847,NYADI,Nagarik Stock Dealer ,Naasa Securities Co. Ltd.,10,438.9,4389.0,2025-08-20 11:43:27.322045
2025-08-20,46748,2025082005002848,NYADI,Nagarik Stock Dealer ,Neev Securities Pvt. Ltd.,50,438.9,21945.0,2025-08-20 11:43:27.322156
2025-08-20,46747,2025082005002849,NYADI,Nagarik Stock Dealer ,Trisul Securities & Invt. Ltd.,100,438.9,43890.0,2025-08-20 11:43:27.322266
2025-08-20,46746,2025082005002850,NYADI,Nagarik Stock Dealer ,Thrive Brokerage House Pvt. Ltd,100,439.0,43900.0,2025-08-20 11:43:27.322424
2025-08-20,46745,2025082005002851,NYADI,Nagarik Stock Dealer ,Online Securities Pvt. Ltd.,49,439.0,21511.0,2025-08-20 11:43:27.322531
2025-08-20,46744,2025082005002852,NYADI,Nagarik Stock Dealer ,Nepal Investment And Securities Trading Private Limited,50,439.0,21950.0,2025-08-20 11:43:27.322636
2025-08-20,46743,2025082005002853,NYADI,Nagarik Stock Dealer ,Primo Securities (PVT) Ltd.,50,439.0,21950.0,2025-08-20 11:43:27.322742
