Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-20,51708,2025082003000240,PFL,Sani Securities Company Ltd.,Asian Securities Private Ltd.,15,408.0,6120.0,2025-08-20 11:16:29.884533
2025-08-20,49991,2025082003000434,PFL,South Asian Bulls Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,407.0,20350.0,2025-08-20 11:26:08.867575
2025-08-20,49901,2025082003000440,PFL,Midas Stock Broking Company Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,1,399.9,399.9,2025-08-20 11:26:42.924765
2025-08-20,49730,2025082003000455,PFL,South Asian Bulls Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,407.0,20350.0,2025-08-20 11:27:43.612390
2025-08-20,48492,2025082003000568,PFL,Online Securities Pvt. Ltd.,Himalayan Securities Limited,14,407.0,5698.0,2025-08-20 11:34:22.159011
2025-08-20,47709,2025082003000676,PFL,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,20,407.1,8142.0,2025-08-20 11:38:43.214246
2025-08-20,46956,2025082003000776,PFL,Deevyaa Securities & Stock House Pvt. Ltd,Neev Securities Pvt. Ltd.,650,408.2,265330.0,2025-08-20 11:42:35.511422
2025-08-20,46727,2025082003000831,PFL,Asian Securities Private Ltd.,Sewa Securities Pvt. Ltd.,50,408.3,20415.0,2025-08-20 11:43:28.477808
2025-08-20,46593,2025082003000855,PFL,Asian Securities Private Ltd.,Sewa Securities Pvt. Ltd.,30,408.3,12249.0,2025-08-20 11:44:08.576711
2025-08-20,46458,2025082003000864,PFL,Asian Securities Private Ltd.,Property Wiard Limited,50,408.3,20415.0,2025-08-20 11:44:55.762671
2025-08-20,42864,2025082003001381,PFL,Kalika Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,11,409.0,4499.0,2025-08-20 12:03:40.886327
2025-08-20,42863,2025082003001382,PFL,Kalika Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,145,409.0,59305.0,2025-08-20 12:03:40.886525
