Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-20,47639,2025082005002547,TPC,Trisul Securities & Invt. Ltd.,Imperial Securities Company Pvt. Ltd.,10,366.3,3663.0,2025-08-20 11:39:01.854288
2025-08-20,42624,2025082005004409,TPC,Trisul Securities & Invt. Ltd.,Nepal Investment And Securities Trading Private Limited,90,366.3,32967.0,2025-08-20 12:05:09.645959
2025-08-20,42623,2025082005004410,TPC,Aryatara Investment & Securities,Nepal Investment And Securities Trading Private Limited,10,366.3,3663.0,2025-08-20 12:05:09.646139
2025-08-20,42585,2025082005004430,TPC,Agrawal Securities (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,50,366.0,18300.0,2025-08-20 12:05:23.669743
2025-08-20,42584,2025082005004431,TPC,Oxford Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,1095,366.0,400770.0,2025-08-20 12:05:23.669902
2025-08-20,42544,2025082005004446,TPC,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,10,365.7,3657.0,2025-08-20 12:05:37.720472
2025-08-20,42526,2025082005004457,TPC,Aryatara Investment & Securities,Trisul Securities & Invt. Ltd.,10,365.6,3656.0,2025-08-20 12:05:47.665746
2025-08-20,42498,2025082005004465,TPC,Aryatara Investment & Securities,Nepal Investment And Securities Trading Private Limited,15,365.6,5484.0,2025-08-20 12:05:53.750508
2025-08-20,42458,2025082005004485,TPC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,500,365.5,182750.0,2025-08-20 12:06:05.778494
2025-08-20,42426,2025082005004493,TPC,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,10,365.1,3651.0,2025-08-20 12:06:15.798475
2025-08-20,42389,2025082005004512,TPC,SHUBHAKAMANA SECURITIES PVT. LTD,Nepal Investment And Securities Trading Private Limited,35,365.0,12775.0,2025-08-20 12:06:29.830833
2025-08-20,42388,2025082005004513,TPC,Sani Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,25,365.0,9125.0,2025-08-20 12:06:29.831003
2025-08-20,42387,2025082005004514,TPC,KALASH STOCK MARKET PVT. LTD.,Nepal Investment And Securities Trading Private Limited,100,365.0,36500.0,2025-08-20 12:06:29.831156
2025-08-20,42386,2025082005004515,TPC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Investment And Securities Trading Private Limited,25,365.0,9125.0,2025-08-20 12:06:29.831247
2025-08-20,42323,2025082005004536,TPC,Online Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,1000,365.0,365000.0,2025-08-20 12:06:43.963295
2025-08-20,41243,2025082005004997,TPC,Sipla Securities Private Limited,KALASH STOCK MARKET PVT. LTD.,10,363.2,3632.0,2025-08-20 12:12:57.433611
2025-08-20,41242,2025082005004998,TPC,Sumeru Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,3035,365.0,1107775.0,2025-08-20 12:12:57.957787
2025-08-20,39363,2025082005005859,TPC,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,10,364.0,3640.0,2025-08-20 12:23:10.868690
2025-08-20,38600,2025082005006212,TPC,Dakshinkali Investment & Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,365.0,36500.0,2025-08-20 12:27:38.290473
2025-08-20,36136,2025082005007094,TPC,Dakshinkali Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,10,364.0,3640.0,2025-08-20 12:39:30.388659
2025-08-20,30971,2025082005009068,TPC,Sundhara Securities Limited,Malla & Malla Stock Broking Company Pvt. Limited,40,365.0,14600.0,2025-08-20 13:06:57.613545
2025-08-20,30919,2025082005009088,TPC,Sumeru Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,60,365.0,21900.0,2025-08-20 13:07:13.400101
2025-08-20,28989,2025082005009917,TPC,South Asian Bulls Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,250,364.6,91150.0,2025-08-20 13:18:39.705826
2025-08-20,28988,2025082005009918,TPC,Sumeru Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,265,364.5,96592.5,2025-08-20 13:18:39.705883
2025-08-20,28987,2025082005009919,TPC,Sri Hari Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,500,364.4,182200.0,2025-08-20 13:18:39.705931
2025-08-20,28986,2025082005009920,TPC,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,30,364.3,10929.0,2025-08-20 13:18:39.705955
2025-08-20,28985,2025082005009921,TPC,Sumeru Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,155,364.3,56466.5,2025-08-20 13:18:39.706001
2025-08-20,28807,2025082005010011,TPC,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,11,365.0,4015.0,2025-08-20 13:19:32.038878
2025-08-20,25775,2025082005010981,TPC,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,10,365.1,3651.0,2025-08-20 13:36:07.046844
2025-08-20,25627,2025082005011027,TPC,Imperial Securities Company Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,89,365.3,32511.7,2025-08-20 13:36:58.040089
2025-08-20,25626,2025082005011028,TPC,Sumeru Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,131,365.1,47828.1,2025-08-20 13:36:58.040198
2025-08-20,24804,2025082005011306,TPC,Imperial Securities Company Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,365.5,3655.0,2025-08-20 13:41:20.129373
2025-08-20,24597,2025082005011372,TPC,Sumeru Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,365.2,3652.0,2025-08-20 13:42:42.861061
2025-08-20,22474,2025082005012135,TPC,Sumeru Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,365.4,3654.0,2025-08-20 13:54:02.325874
2025-08-20,21887,2025082005012310,TPC,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,400,367.0,146800.0,2025-08-20 13:57:03.994792
2025-08-20,15257,2025082005014677,TPC,Sumeru Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,114,365.7,41689.8,2025-08-20 14:27:42.326685
2025-08-20,15256,2025082005014678,TPC,Primo Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,100,365.7,36570.0,2025-08-20 14:27:42.326820
2025-08-20,15255,2025082005014679,TPC,South Asian Bulls Pvt. Ltd.,Vision Securities Pvt. Ltd,86,365.7,31450.2,2025-08-20 14:27:42.326868
2025-08-20,14638,2025082005014868,TPC,South Asian Bulls Pvt. Ltd.,Arun Securities (PVT) Ltd.,10,365.7,3657.0,2025-08-20 14:30:22.243928
2025-08-20,14184,2025082005014986,TPC,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,600,365.8,219480.0,2025-08-20 14:32:25.895942
2025-08-20,14183,2025082005014987,TPC,South Asian Bulls Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,77,365.7,28158.9,2025-08-20 14:32:25.896098
2025-08-20,14182,2025082005014988,TPC,Sumeru Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,365.6,36560.0,2025-08-20 14:32:25.896146
2025-08-20,14181,2025082005014989,TPC,Infinity Securities Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,473,365.5,172881.5,2025-08-20 14:32:25.896212
2025-08-20,13390,2025082005015233,TPC,Sumeru Securities Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,10,367.0,3670.0,2025-08-20 14:34:59.055874
2025-08-20,13248,2025082005015267,TPC,South Asian Bulls Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,171,365.7,62534.7,2025-08-20 14:35:30.059904
2025-08-20,13247,2025082005015268,TPC,Infinity Securities Limited,Siprabi Securities Pvt. Ltd.,27,365.5,9868.5,2025-08-20 14:35:30.060116
2025-08-20,13246,2025082005015269,TPC,Midas Stock Broking Company Private Limited,Siprabi Securities Pvt. Ltd.,100,365.5,36550.0,2025-08-20 14:35:30.060251
2025-08-20,13245,2025082005015270,TPC,Sharepro Securities Private Limited,Siprabi Securities Pvt. Ltd.,50,365.2,18260.0,2025-08-20 14:35:30.060390
2025-08-20,13244,2025082005015271,TPC,Nepal Investment And Securities Trading Private Limited,Siprabi Securities Pvt. Ltd.,100,365.0,36500.0,2025-08-20 14:35:30.060521
2025-08-20,13243,2025082005015272,TPC,Market Securities & Exchange (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,30,365.0,10950.0,2025-08-20 14:35:30.060643
2025-08-20,13242,2025082005015273,TPC,Trishakti Securities Public Limited,Siprabi Securities Pvt. Ltd.,50,365.0,18250.0,2025-08-20 14:35:30.060765
2025-08-20,13241,2025082005015274,TPC,SHUBHAKAMANA SECURITIES PVT. LTD,Siprabi Securities Pvt. Ltd.,100,365.0,36500.0,2025-08-20 14:35:30.060884
