Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-21,48804,2025082103001152,CFCL,Opal Securities Investment (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,10,511.0,5110.0,2025-08-21 11:56:05.390380
2025-08-21,48803,2025082103001153,CFCL,Dynamic Money Managers Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,70,509.0,35630.0,2025-08-21 11:56:05.390475
2025-08-21,48802,2025082103001154,CFCL,Aryatara Investment & Securities,Opal Securities Investment (PVT) Ltd.,20,508.0,10160.0,2025-08-21 11:56:05.390550
2025-08-21,43986,2025082103001828,CFCL,Sani Securities Company Ltd.,Premier Securities Company Ltd.,100,508.3,50830.0,2025-08-21 12:21:49.568604
2025-08-21,43943,2025082103001833,CFCL,KALASH STOCK MARKET PVT. LTD.,Premier Securities Company Ltd.,50,508.2,25410.0,2025-08-21 12:22:02.624000
2025-08-21,42604,2025082103002076,CFCL,Aryatara Investment & Securities,Secured Securities Ltd.,850,509.5,433075.0,2025-08-21 12:29:30.355169
2025-08-21,42060,2025082103002163,CFCL,Imperial Securities Company Pvt. Ltd.,Sharepro Securities Private Limited,200,508.3,101660.0,2025-08-21 12:32:30.750213
2025-08-21,42059,2025082103002164,CFCL,KALASH STOCK MARKET PVT. LTD.,Sharepro Securities Private Limited,50,508.2,25410.0,2025-08-21 12:32:30.750348
2025-08-21,42058,2025082103002165,CFCL,Online Securities Pvt. Ltd.,Sharepro Securities Private Limited,100,508.0,50800.0,2025-08-21 12:32:30.750395
2025-08-21,42057,2025082103002166,CFCL,Aryatara Investment & Securities,Sharepro Securities Private Limited,10,508.0,5080.0,2025-08-21 12:32:30.750438
2025-08-21,42056,2025082103002167,CFCL,Imperial Securities Company Pvt. Ltd.,Sharepro Securities Private Limited,140,508.0,71120.0,2025-08-21 12:32:30.750499
2025-08-21,41454,2025082103002295,CFCL,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,500,509.0,254500.0,2025-08-21 12:36:15.102794
2025-08-21,34527,2025082103003336,CFCL,Vision Securities Pvt. Ltd,Malla & Malla Stock Broking Company Pvt. Limited,280,509.0,142520.0,2025-08-21 13:06:39.750545
2025-08-21,34526,2025082103003337,CFCL,Sweta Securities Private Limited,Malla & Malla Stock Broking Company Pvt. Limited,200,509.0,101800.0,2025-08-21 13:06:39.750765
2025-08-21,33721,2025082103003482,CFCL,Imperial Securities Company Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,10,508.0,5080.0,2025-08-21 13:11:33.880419
2025-08-21,33136,2025082103003575,CFCL,Imperial Securities Company Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,50,508.0,25400.0,2025-08-21 13:15:05.704345
2025-08-21,30623,2025082103004119,CFCL,Sani Securities Company Ltd.,Aryatara Investment & Securities,30,508.5,15255.0,2025-08-21 13:29:23.630577
2025-08-21,25448,2025082103005076,CFCL,Sweta Securities Private Limited,Primo Securities (PVT) Ltd.,30,508.0,15240.0,2025-08-21 13:55:01.945037
2025-08-21,25343,2025082103005083,CFCL,Aryatara Investment & Securities,Ashutosh Brokerage & Securities (PVT) Ltd.,291,508.5,147973.5,2025-08-21 13:55:24.779101
2025-08-21,22364,2025082103005530,CFCL,Agrawal Securities (PVT) Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,40,508.1,20324.0,2025-08-21 14:09:38.242679
2025-08-21,22363,2025082103005531,CFCL,Sweta Securities Private Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,20,508.0,10160.0,2025-08-21 14:09:38.242877
2025-08-21,22362,2025082103005532,CFCL,Vision Securities Pvt. Ltd,Ashutosh Brokerage & Securities (PVT) Ltd.,200,507.6,101520.0,2025-08-21 14:09:38.243010
2025-08-21,22361,2025082103005533,CFCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,200,507.5,101500.0,2025-08-21 14:09:38.243163
2025-08-21,22360,2025082103005534,CFCL,Naasa Securities Co. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,100,507.4,50740.0,2025-08-21 14:09:38.243299
2025-08-21,22359,2025082103005535,CFCL,Kalika Securities Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,10,507.3,5073.0,2025-08-21 14:09:38.243420
2025-08-21,22358,2025082103005536,CFCL,Sumeru Securities Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,430,507.1,218053.0,2025-08-21 14:09:38.243552
2025-08-21,17684,2025082103006225,CFCL,Midas Stock Broking Company Private Limited,Premier Securities Company Ltd.,200,508.2,101640.0,2025-08-21 14:28:35.148251
2025-08-21,17682,2025082103006226,CFCL,ABC Securities Private Limited,Premier Securities Company Ltd.,10,508.2,5082.0,2025-08-21 14:28:35.148401
2025-08-21,17681,2025082103006227,CFCL,Aryatara Investment & Securities,Premier Securities Company Ltd.,500,508.0,254000.0,2025-08-21 14:28:35.148483
2025-08-21,17680,2025082103006228,CFCL,Sagarmatha Securities Private Limited,Premier Securities Company Ltd.,100,508.0,50800.0,2025-08-21 14:28:35.148538
2025-08-21,17679,2025082103006229,CFCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Premier Securities Company Ltd.,5290,507.3,2683617.0,2025-08-21 14:28:35.148582
2025-08-21,17548,2025082103006251,CFCL,Sumeru Securities Pvt. Ltd.,Premier Securities Company Ltd.,55,507.1,27890.5,2025-08-21 14:29:12.347865
2025-08-21,17453,2025082103006271,CFCL,Sumeru Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,1000,507.1,507100.0,2025-08-21 14:29:35.087152
2025-08-21,17379,2025082103006294,CFCL,Trishakti Securities Public Limited,Linch Stock Market Ltd.,10,507.5,5075.0,2025-08-21 14:29:56.282406
2025-08-21,17378,2025082103006295,CFCL,Sumeru Securities Pvt. Ltd.,Linch Stock Market Ltd.,425,507.1,215517.5,2025-08-21 14:29:56.282534
2025-08-21,15865,2025082103006539,CFCL,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,56,508.0,28448.0,2025-08-21 14:35:20.354240
2025-08-21,12644,2025082103007153,CFCL,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,10,508.2,5082.0,2025-08-21 14:42:44.185498
2025-08-21,8699,2025082103007912,CFCL,K.B.L. Securities Limited ,Nepal Investment And Securities Trading Private Limited,161,508.3,81836.3,2025-08-21 14:50:11.255092
2025-08-21,8519,2025082103007957,CFCL,K.B.L. Securities Limited ,Aryatara Investment & Securities,39,508.3,19823.7,2025-08-21 14:50:30.337618
2025-08-21,8455,2025082103007972,CFCL,South Asian Bulls Pvt. Ltd.,Aryatara Investment & Securities,31,508.3,15757.3,2025-08-21 14:50:37.297955
2025-08-21,7649,2025082103008124,CFCL,South Asian Bulls Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,112,508.4,56940.8,2025-08-21 14:52:15.025613
2025-08-21,7403,2025082103008181,CFCL,Sani Securities Company Ltd.,Asian Securities Private Ltd.,90,508.2,45738.0,2025-08-21 14:52:42.258814
2025-08-21,7402,2025082103008182,CFCL,Imperial Securities Company Pvt. Ltd.,Asian Securities Private Ltd.,44,508.0,22352.0,2025-08-21 14:52:42.258858
2025-08-21,7401,2025082103008183,CFCL,Nepal Stock House (PVT) Ltd.,Asian Securities Private Ltd.,166,508.0,84328.0,2025-08-21 14:52:42.258885
