Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-21,56790,2025082104000019,LEC,Naasa Securities Co. Ltd.,pahiinvestment,227,239.9,54457.3,2025-08-21 10:46:00.064297
2025-08-21,56731,2025082104000040,LEC,Nabil Stock Dealer Ltd.,Naasa Securities Co. Ltd.,10,237.0,2370.0,2025-08-21 11:01:06.133533
2025-08-21,56669,2025082104000055,LEC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,pahiinvestment,100,238.0,23800.0,2025-08-21 11:01:57.947287
2025-08-21,56580,2025082104000083,LEC,Kohinoor Investment & Securities Pvt. Ltd.,pahiinvestment,148,238.0,35224.0,2025-08-21 11:02:52.035899
2025-08-21,56572,2025082104000086,LEC,Imperial Securities Company Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,20,237.2,4744.0,2025-08-21 11:02:56.469937
2025-08-21,56509,2025082104000121,LEC,Midas Stock Broking Company Private Limited,Miyo Securities Pvt Ltd,11,238.0,2618.0,2025-08-21 11:03:25.589334
2025-08-21,56365,2025082104000176,LEC,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,10,237.2,2372.0,2025-08-21 11:05:00.124568
2025-08-21,56105,2025082104000294,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Vision Securities Pvt. Ltd,400,239.0,95600.0,2025-08-21 11:07:42.122059
2025-08-21,56066,2025082104000298,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Vision Securities Pvt. Ltd,400,239.0,95600.0,2025-08-21 11:07:58.282420
2025-08-21,56051,2025082104000299,LEC,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,120,239.0,28680.0,2025-08-21 11:08:01.539776
2025-08-21,56031,2025082104000309,LEC,Cristal Kanchanjanga Securites Pvt. Ltd.,Vision Securities Pvt. Ltd,80,239.0,19120.0,2025-08-21 11:08:13.073505
2025-08-21,56020,2025082104000312,LEC,Cristal Kanchanjanga Securites Pvt. Ltd.,Oxford Securities Pvt. Ltd.,20,240.0,4800.0,2025-08-21 11:08:27.124337
2025-08-21,56019,2025082104000313,LEC,Cristal Kanchanjanga Securites Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,200,240.0,48000.0,2025-08-21 11:08:27.124423
2025-08-21,56018,2025082104000314,LEC,Cristal Kanchanjanga Securites Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,500,240.0,120000.0,2025-08-21 11:08:27.124462
2025-08-21,56017,2025082104000315,LEC,Cristal Kanchanjanga Securites Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,80,240.0,19200.0,2025-08-21 11:08:27.124502
2025-08-21,56006,2025082104000319,LEC,Kumari Securities Private Limited,Dynamic Money Managers Securities Pvt. Ltd.,19,240.0,4560.0,2025-08-21 11:08:31.864102
2025-08-21,55967,2025082104000332,LEC,Hatemalo Financial Services Private Limited,Creative Securities Pvt Ltd,150,240.0,36000.0,2025-08-21 11:08:58.053085
2025-08-21,55860,2025082104000363,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Vision Securities Pvt. Ltd,47,239.9,11275.3,2025-08-21 11:09:49.052875
2025-08-21,55820,2025082104000372,LEC,ABC Securities Private Limited,Naasa Securities Co. Ltd.,10,238.0,2380.0,2025-08-21 11:10:10.657411
2025-08-21,55767,2025082104000386,LEC,ABC Securities Private Limited,Secured Securities Ltd.,100,238.0,23800.0,2025-08-21 11:10:35.092423
2025-08-21,55703,2025082104000415,LEC,J.F. Securites (PVT) Ltd.,Miyo Securities Pvt Ltd,4,235.0,940.0,2025-08-21 11:11:00.845276
2025-08-21,55550,2025082104000464,LEC,ABC Securities Private Limited,Naasa Securities Co. Ltd.,10,238.0,2380.0,2025-08-21 11:12:23.561769
2025-08-21,55471,2025082104000491,LEC,ABC Securities Private Limited,South Asian Bulls Pvt. Ltd.,80,238.0,19040.0,2025-08-21 11:13:08.223847
2025-08-21,55470,2025082104000492,LEC,ABC Securities Private Limited,South Asian Bulls Pvt. Ltd.,20,238.0,4760.0,2025-08-21 11:13:08.223996
2025-08-21,54916,2025082104000687,LEC,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,60,238.1,14286.0,2025-08-21 11:17:11.766633
2025-08-21,54630,2025082104000787,LEC,Primo Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,45,239.0,10755.0,2025-08-21 11:19:07.586014
2025-08-21,54618,2025082104000789,LEC,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,10,238.2,2382.0,2025-08-21 11:19:16.464733
2025-08-21,54339,2025082104000850,LEC,Primo Securities (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,15,239.0,3585.0,2025-08-21 11:21:11.982819
2025-08-21,54317,2025082104000855,LEC,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,10,238.2,2382.0,2025-08-21 11:21:19.163458
2025-08-21,54253,2025082104000868,LEC,Sharepro Securities Private Limited,Linch Stock Market Ltd.,15,238.2,3573.0,2025-08-21 11:21:50.612947
2025-08-21,54243,2025082104000870,LEC,Linch Stock Market Ltd.,Creative Securities Pvt Ltd,1000,239.4,239400.0,2025-08-21 11:21:53.637749
2025-08-21,54221,2025082104000879,LEC,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,10,238.2,2382.0,2025-08-21 11:22:09.494263
2025-08-21,53971,2025082104000933,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Creative Securities Pvt Ltd,10,239.4,2394.0,2025-08-21 11:23:56.624796
2025-08-21,53938,2025082104000943,LEC,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,30,239.0,7170.0,2025-08-21 11:24:10.531198
2025-08-21,53937,2025082104000944,LEC,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,10,238.2,2382.0,2025-08-21 11:24:10.531279
2025-08-21,53872,2025082104000958,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Creative Securities Pvt Ltd,10,239.4,2394.0,2025-08-21 11:24:36.898380
2025-08-21,53849,2025082104000961,LEC,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,10,238.2,2382.0,2025-08-21 11:24:43.807145
2025-08-21,53822,2025082104000966,LEC,Naasa Securities Co. Ltd.,Creative Securities Pvt Ltd,500,239.4,119700.0,2025-08-21 11:24:54.888590
2025-08-21,53792,2025082104000977,LEC,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,10,238.2,2382.0,2025-08-21 11:25:05.988357
2025-08-21,53566,2025082104001036,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Naasa Securities Co. Ltd.,10,239.3,2393.0,2025-08-21 11:26:52.893231
2025-08-21,53565,2025082104001037,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Naasa Securities Co. Ltd.,10,239.0,2390.0,2025-08-21 11:26:52.893320
2025-08-21,53564,2025082104001038,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Naasa Securities Co. Ltd.,10,238.7,2387.0,2025-08-21 11:26:52.893347
2025-08-21,53563,2025082104001039,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Naasa Securities Co. Ltd.,10,238.6,2386.0,2025-08-21 11:26:52.893411
2025-08-21,53562,2025082104001040,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Naasa Securities Co. Ltd.,10,238.5,2385.0,2025-08-21 11:26:52.893441
2025-08-21,53545,2025082104001044,LEC,Bhrikuti Stock Broking Co. Pvt. Ltd.,Naasa Securities Co. Ltd.,10,238.5,2385.0,2025-08-21 11:27:00.970955
2025-08-21,53544,2025082104001045,LEC,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,10,238.2,2382.0,2025-08-21 11:27:00.971000
2025-08-21,53514,2025082104001053,LEC,Primo Securities (PVT) Ltd.,Creative Securities Pvt Ltd,50,239.4,11970.0,2025-08-21 11:27:12.121058
2025-08-21,53464,2025082104001086,LEC,Sharepro Securities Private Limited,Naasa Securities Co. Ltd.,10,238.2,2382.0,2025-08-21 11:27:22.097494
2025-08-21,53426,2025082104001099,LEC,Primo Securities (PVT) Ltd.,Creative Securities Pvt Ltd,10,239.4,2394.0,2025-08-21 11:27:35.181101
2025-08-21,53394,2025082104001102,LEC,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,10,238.3,2383.0,2025-08-21 11:27:48.238262
2025-08-21,53324,2025082104001137,LEC,Thrive Brokerage House Pvt. Ltd,Vision Securities Pvt. Ltd,153,238.3,36459.9,2025-08-21 11:28:08.710691
2025-08-21,53033,2025082104001234,LEC,Nepal Investment And Securities Trading Private Limited,Sewa Securities Pvt. Ltd.,10,239.0,2390.0,2025-08-21 11:29:48.526712
2025-08-21,53005,2025082104001240,LEC,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,10,238.3,2383.0,2025-08-21 11:29:58.200815
2025-08-21,52977,2025082104001247,LEC,Thrive Brokerage House Pvt. Ltd,Creative Securities Pvt Ltd,260,238.3,61958.0,2025-08-21 11:30:08.269496
