Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-24,57630,2025082404000056,MHNL,Sweta Securities Private Limited,Vision Securities Pvt. Ltd,10,266.1,2661.0,2025-08-24 11:03:36.896241
2025-08-24,56893,2025082404000149,MHNL,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,10,274.9,2749.0,2025-08-24 11:08:42.477942
2025-08-24,56718,2025082404000188,MHNL,Imperial Securities Company Pvt. Ltd.,Neev Securities Pvt. Ltd.,100,274.0,27400.0,2025-08-24 11:09:51.720719
2025-08-24,56590,2025082404000213,MHNL,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,10,267.0,2670.0,2025-08-24 11:10:28.402782
2025-08-24,56468,2025082404000239,MHNL,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,10,272.3,2723.0,2025-08-24 11:11:23.946480
2025-08-24,56422,2025082404000249,MHNL,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,10,270.0,2700.0,2025-08-24 11:11:34.810045
2025-08-24,56421,2025082404000250,MHNL,Nabil Stock Dealer Ltd.,Premier Securities Company Ltd.,10,267.1,2671.0,2025-08-24 11:11:34.810109
2025-08-24,55314,2025082404000477,MHNL,Nabil Stock Dealer Ltd.,Online Securities Pvt. Ltd.,190,268.1,50939.0,2025-08-24 11:16:38.081623
2025-08-24,55276,2025082404000489,MHNL,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,110,268.0,29480.0,2025-08-24 11:16:48.199125
2025-08-24,55229,2025082404000492,MHNL,Agrawal Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,78,267.2,20841.6,2025-08-24 11:17:01.324949
2025-08-24,52192,2025082404001073,MHNL,Nabil Stock Dealer Ltd.,Naasa Securities Co. Ltd.,79,267.6,21140.4,2025-08-24 11:31:55.416240
2025-08-24,52191,2025082404001074,MHNL,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,1000,267.5,267500.0,2025-08-24 11:31:55.416303
2025-08-24,52190,2025082404001075,MHNL,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,182,267.1,48612.2,2025-08-24 11:31:55.416333
2025-08-24,52189,2025082404001076,MHNL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,739,267.0,197313.0,2025-08-24 11:31:55.416356
2025-08-24,52130,2025082404001095,MHNL,Sani Securities Company Ltd.,Capital Max Securities Ltd,10,267.0,2670.0,2025-08-24 11:32:16.245717
2025-08-24,51202,2025082404001290,MHNL,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,40,267.2,10688.0,2025-08-24 11:37:12.190291
2025-08-24,50701,2025082404001397,MHNL,Premier Securities Company Ltd.,Sani Securities Company Ltd.,100,268.0,26800.0,2025-08-24 11:40:11.600420
2025-08-24,49821,2025082404001606,MHNL,Vision Securities Pvt. Ltd,Neev Securities Pvt. Ltd.,100,268.1,26810.0,2025-08-24 11:44:23.479111
2025-08-24,49820,2025082404001607,MHNL,Premier Securities Company Ltd.,Neev Securities Pvt. Ltd.,73,268.0,19564.0,2025-08-24 11:44:23.479285
2025-08-24,46941,2025082404002245,MHNL,Premier Securities Company Ltd.,Sundhara Securities Limited,150,270.0,40500.0,2025-08-24 11:58:36.118931
2025-08-24,46474,2025082404002366,MHNL,KALASH STOCK MARKET PVT. LTD.,Midas Stock Broking Company Private Limited,12,268.5,3222.0,2025-08-24 12:01:34.919350
2025-08-24,45594,2025082404002580,MHNL,Premier Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,10,271.0,2710.0,2025-08-24 12:06:27.456651
2025-08-24,45593,2025082404002581,MHNL,Premier Securities Company Ltd.,J.F. Securites (PVT) Ltd.,10,271.0,2710.0,2025-08-24 12:06:27.456724
2025-08-24,42913,2025082404003107,MHNL,Aryatara Investment & Securities,Neev Securities Pvt. Ltd.,100,269.0,26900.0,2025-08-24 12:22:17.950092
2025-08-24,41284,2025082404003434,MHNL,Premier Securities Company Ltd.,Capital Max Securities Ltd,150,269.0,40350.0,2025-08-24 12:32:19.813701
2025-08-24,41039,2025082404003477,MHNL,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,100,268.0,26800.0,2025-08-24 12:33:40.516583
2025-08-24,40960,2025082404003495,MHNL,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,27,268.0,7236.0,2025-08-24 12:34:00.759545
2025-08-24,40959,2025082404003496,MHNL,Nabil Stock Dealer Ltd.,Imperial Securities Company Pvt. Ltd.,200,267.3,53460.0,2025-08-24 12:34:00.759621
2025-08-24,40958,2025082404003497,MHNL,Kohinoor Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,173,267.2,46225.6,2025-08-24 12:34:00.759655
2025-08-24,39448,2025082404003841,MHNL,Sani Securities Company Ltd.,Neev Securities Pvt. Ltd.,1300,269.0,349700.0,2025-08-24 12:41:52.364466
2025-08-24,39282,2025082404003870,MHNL,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,200,269.0,53800.0,2025-08-24 12:42:55.791781
2025-08-24,39281,2025082404003871,MHNL,Sani Securities Company Ltd.,Aryatara Investment & Securities,40,269.6,10784.0,2025-08-24 12:42:55.791923
2025-08-24,39280,2025082404003872,MHNL,Sani Securities Company Ltd.,Aryatara Investment & Securities,11,269.7,2966.7,2025-08-24 12:42:55.791970
2025-08-24,39107,2025082404003912,MHNL,Nabil Stock Dealer Ltd.,Neev Securities Pvt. Ltd.,19,269.0,5111.0,2025-08-24 12:44:01.893842
2025-08-24,38548,2025082404004007,MHNL,Kohinoor Investment & Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,10,267.2,2672.0,2025-08-24 12:47:14.581401
2025-08-24,38547,2025082404004008,MHNL,Premier Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,100,267.1,26710.0,2025-08-24 12:47:14.581543
2025-08-24,38546,2025082404004009,MHNL,Aryatara Investment & Securities,Opal Securities Investment (PVT) Ltd.,10,267.0,2670.0,2025-08-24 12:47:14.581590
2025-08-24,38545,2025082404004010,MHNL,Kohinoor Investment & Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,150,267.0,40050.0,2025-08-24 12:47:14.581636
2025-08-24,38544,2025082404004011,MHNL,Sri Hari Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,150,266.4,39960.0,2025-08-24 12:47:14.581675
2025-08-24,38543,2025082404004012,MHNL,Sumeru Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,200,266.4,53280.0,2025-08-24 12:47:14.581765
2025-08-24,38542,2025082404004013,MHNL,Nabil Stock Dealer Ltd.,Opal Securities Investment (PVT) Ltd.,580,266.4,154512.0,2025-08-24 12:47:14.581804
2025-08-24,38428,2025082404004033,MHNL,Nabil Stock Dealer Ltd.,Neev Securities Pvt. Ltd.,11,269.0,2959.0,2025-08-24 12:47:47.502634
2025-08-24,35854,2025082404004570,MHNL,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,30,267.1,8013.0,2025-08-24 12:59:20.656388
2025-08-24,34981,2025082404004758,MHNL,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,40,267.1,10684.0,2025-08-24 13:03:00.686197
2025-08-24,34494,2025082404004869,MHNL,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,30,267.1,8013.0,2025-08-24 13:05:02.814589
2025-08-24,34493,2025082404004870,MHNL,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,100,267.1,26710.0,2025-08-24 13:05:02.814623
2025-08-24,32713,2025082404005295,MHNL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,20,267.0,5340.0,2025-08-24 13:13:56.202031
2025-08-24,32440,2025082404005354,MHNL,Sani Securities Company Ltd.,Sajilo Broker Limited,125,267.0,33375.0,2025-08-24 13:15:14.093610
2025-08-24,32099,2025082404005448,MHNL,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,55,267.0,14685.0,2025-08-24 13:16:40.914850
2025-08-24,32098,2025082404005449,MHNL,Premier Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,99,267.0,26433.0,2025-08-24 13:16:40.915064
2025-08-24,31781,2025082404005541,MHNL,Agrawal Securities (PVT) Ltd.,Neev Securities Pvt. Ltd.,1450,268.0,388600.0,2025-08-24 13:17:58.063310
2025-08-24,31711,2025082404005561,MHNL,Kumari Securities Private Limited,Sani Securities Company Ltd.,800,266.2,212960.0,2025-08-24 13:18:11.491940
2025-08-24,31488,2025082404005597,MHNL,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,100,267.0,26700.0,2025-08-24 13:19:20.958256
2025-08-24,30251,2025082404005871,MHNL,Premier Securities Company Ltd.,Aryatara Investment & Securities,100,266.3,26630.0,2025-08-24 13:25:06.344629
2025-08-24,30250,2025082404005872,MHNL,Kumari Securities Private Limited,Aryatara Investment & Securities,900,266.2,239580.0,2025-08-24 13:25:06.344882
2025-08-24,30027,2025082404005921,MHNL,Kohinoor Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,1000,266.1,266100.0,2025-08-24 13:26:27.868897
2025-08-24,28980,2025082404006187,MHNL,Premier Securities Company Ltd.,Neev Securities Pvt. Ltd.,20,268.0,5360.0,2025-08-24 13:31:55.938002
2025-08-24,28979,2025082404006188,MHNL,Premier Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,10,268.4,2684.0,2025-08-24 13:31:55.938080
2025-08-24,25723,2025082404006941,MHNL,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,80,265.0,21200.0,2025-08-24 13:49:11.026792
2025-08-24,25722,2025082404006942,MHNL,Nabil Stock Dealer Ltd.,Aryatara Investment & Securities,100,264.9,26490.0,2025-08-24 13:49:11.026910
2025-08-24,25585,2025082404006991,MHNL,Trisul Securities & Invt. Ltd.,Aryatara Investment & Securities,100,264.8,26480.0,2025-08-24 13:49:45.569422
2025-08-24,24428,2025082404007342,MHNL,Premier Securities Company Ltd.,Shree Krishna Securities Ltd.,10,267.7,2677.0,2025-08-24 13:55:11.261782
2025-08-24,24347,2025082404007355,MHNL,Kohinoor Investment & Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,90,267.7,24093.0,2025-08-24 13:55:33.783535
2025-08-24,24346,2025082404007356,MHNL,Kohinoor Investment & Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,410,267.9,109839.0,2025-08-24 13:55:33.783683
2025-08-24,24256,2025082404007387,MHNL,Kohinoor Investment & Securities Pvt. Ltd.,Premier Securities Company Ltd.,100,267.7,26770.0,2025-08-24 13:56:03.600985
2025-08-24,24226,2025082404007389,MHNL,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,10,268.3,2683.0,2025-08-24 13:56:17.053718
2025-08-24,19688,2025082404008456,MHNL,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,20,264.6,5292.0,2025-08-24 14:12:18.493328
2025-08-24,19565,2025082404008485,MHNL,Premier Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,10,268.0,2680.0,2025-08-24 14:12:50.097865
2025-08-24,18190,2025082404008839,MHNL,Nabil Stock Dealer Ltd.,Imperial Securities Company Pvt. Ltd.,190,264.1,50179.0,2025-08-24 14:17:25.265197
2025-08-24,18023,2025082404008863,MHNL,Nabil Stock Dealer Ltd.,Linch Stock Market Ltd.,59,264.1,15581.9,2025-08-24 14:17:56.193947
2025-08-24,15707,2025082404009534,MHNL,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,75,264.5,19837.5,2025-08-24 14:25:13.076929
2025-08-24,15706,2025082404009535,MHNL,Asian Securities Private Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,264.5,13225.0,2025-08-24 14:25:13.077054
2025-08-24,15705,2025082404009536,MHNL,Nabil Stock Dealer Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,51,264.1,13469.1,2025-08-24 14:25:13.077101
2025-08-24,15704,2025082404009537,MHNL,Dynamic Money Managers Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,74,264.0,19536.0,2025-08-24 14:25:13.077144
2025-08-24,15498,2025082404009606,MHNL,Dynamic Money Managers Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,25,264.0,6600.0,2025-08-24 14:25:55.474449
2025-08-24,14701,2025082404009806,MHNL,Nabil Stock Dealer Ltd.,Naasa Securities Co. Ltd.,10,267.0,2670.0,2025-08-24 14:28:25.583009
2025-08-24,14666,2025082404009828,MHNL,Nabil Stock Dealer Ltd.,Nepal Investment And Securities Trading Private Limited,10,268.0,2680.0,2025-08-24 14:28:30.614042
2025-08-24,14628,2025082404009844,MHNL,Dynamic Money Managers Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,10,264.0,2640.0,2025-08-24 14:28:38.643686
2025-08-24,14021,2025082404009997,MHNL,Dynamic Money Managers Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,30,264.0,7920.0,2025-08-24 14:30:31.404982
2025-08-24,13144,2025082404010248,MHNL,Nabil Stock Dealer Ltd.,Nepal Investment And Securities Trading Private Limited,11,268.0,2948.0,2025-08-24 14:33:22.579302
2025-08-24,12094,2025082404010505,MHNL,Nabil Stock Dealer Ltd.,Naasa Securities Co. Ltd.,98,264.1,25881.8,2025-08-24 14:36:50.870533
2025-08-24,11505,2025082404010646,MHNL,Premier Securities Company Ltd.,Aryatara Investment & Securities,10,267.9,2679.0,2025-08-24 14:39:01.732817
2025-08-24,9683,2025082404011082,MHNL,Nabil Stock Dealer Ltd.,Aryatara Investment & Securities,190,267.9,50901.0,2025-08-24 14:44:44.043046
2025-08-24,9682,2025082404011083,MHNL,Nabil Stock Dealer Ltd.,Nepal Investment And Securities Trading Private Limited,10,268.0,2680.0,2025-08-24 14:44:44.043129
2025-08-24,8912,2025082404011283,MHNL,Nabil Stock Dealer Ltd.,Nepal Investment And Securities Trading Private Limited,109,268.0,29212.0,2025-08-24 14:46:30.423274
2025-08-24,8593,2025082404011336,MHNL,Premier Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,500,268.0,134000.0,2025-08-24 14:47:08.110488
2025-08-24,8107,2025082404011476,MHNL,Himalayan Brokerage Company Limited,Nepal Investment And Securities Trading Private Limited,341,268.0,91388.0,2025-08-24 14:48:15.735589
2025-08-24,8106,2025082404011477,MHNL,Himalayan Brokerage Company Limited,Kohinoor Investment & Securities Pvt. Ltd.,30,268.0,8040.0,2025-08-24 14:48:15.735791
2025-08-24,8105,2025082404011478,MHNL,Himalayan Brokerage Company Limited,ABC Securities Private Limited,500,268.5,134250.0,2025-08-24 14:48:15.735918
2025-08-24,8104,2025082404011479,MHNL,Himalayan Brokerage Company Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,15,269.0,4035.0,2025-08-24 14:48:15.736063
2025-08-24,8103,2025082404011480,MHNL,Himalayan Brokerage Company Limited,Secured Securities Ltd.,114,269.0,30666.0,2025-08-24 14:48:15.736177
2025-08-24,1262,2025082404013329,MHNL,Imperial Securities Company Pvt. Ltd.,Kumari Securities Private Limited,200,265.0,53000.0,2025-08-24 14:59:09.178453
2025-08-24,1261,2025082404013330,MHNL,Sumeru Securities Pvt. Ltd.,Kumari Securities Private Limited,40,264.3,10572.0,2025-08-24 14:59:09.178588
2025-08-24,1260,2025082404013331,MHNL,Vision Securities Pvt. Ltd,Kumari Securities Private Limited,1000,264.3,264300.0,2025-08-24 14:59:09.178673
2025-08-24,1259,2025082404013332,MHNL,Sweta Securities Private Limited,Kumari Securities Private Limited,460,264.3,121578.0,2025-08-24 14:59:09.178761
2025-08-24,1181,2025082404013365,MHNL,Premier Securities Company Ltd.,Kumari Securities Private Limited,10,268.9,2689.0,2025-08-24 14:59:13.637864
2025-08-24,726,2025082404013488,MHNL,Premier Securities Company Ltd.,Secured Securities Ltd.,10,269.0,2690.0,2025-08-24 14:59:31.881976
