Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-24,56974,2025082401000198,NMB,Secured Securities Ltd.,Online Securities Pvt. Ltd.,100,245.2,24520.0,2025-08-24 11:08:06.241057
2025-08-24,56973,2025082401000199,NMB,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,100,245.1,24510.0,2025-08-24 11:08:06.241178
2025-08-24,56972,2025082401000200,NMB,Agrawal Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,300,245.0,73500.0,2025-08-24 11:08:06.241256
2025-08-24,56971,2025082401000201,NMB,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,500,245.0,122500.0,2025-08-24 11:08:06.241330
2025-08-24,56970,2025082401000202,NMB,Investment Management Nepal Pvt. Ltd.,Online Securities Pvt. Ltd.,50,245.0,12250.0,2025-08-24 11:08:06.241416
2025-08-24,56969,2025082401000203,NMB,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,111,245.0,27195.0,2025-08-24 11:08:06.241489
2025-08-24,56389,2025082401000305,NMB,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,10,245.3,2453.0,2025-08-24 11:11:44.685907
2025-08-24,56255,2025082401000327,NMB,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,25,246.1,6152.5,2025-08-24 11:12:34.266654
2025-08-24,56016,2025082401000354,NMB,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,475,246.1,116897.5,2025-08-24 11:13:25.868090
2025-08-24,55996,2025082401000359,NMB,Premier Securities Company Ltd.,Kumari Securities Private Limited,2000,246.0,492000.0,2025-08-24 11:13:31.082992
2025-08-24,55995,2025082401000360,NMB,Imperial Securities Company Pvt. Ltd.,Kumari Securities Private Limited,100,246.0,24600.0,2025-08-24 11:13:31.083092
2025-08-24,55986,2025082401000361,NMB,Secured Securities Ltd.,Kumari Securities Private Limited,400,246.0,98400.0,2025-08-24 11:13:34.672227
2025-08-24,55967,2025082401000363,NMB,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kumari Securities Private Limited,75,246.0,18450.0,2025-08-24 11:13:41.228751
2025-08-24,55871,2025082401000380,NMB,Machhapuchchhre Securities Limited,Naasa Securities Co. Ltd.,10,250.0,2500.0,2025-08-24 11:14:00.594647
2025-08-24,55822,2025082401000386,NMB,Machhapuchchhre Securities Limited,Nepal Investment And Securities Trading Private Limited,10,252.0,2520.0,2025-08-24 11:14:18.643940
2025-08-24,55400,2025082401000466,NMB,S.P.S.A. Securities Limited,Nepal Investment And Securities Trading Private Limited,20,252.0,5040.0,2025-08-24 11:16:06.393257
2025-08-24,53863,2025082401000757,NMB,Sweta Securities Private Limited,Siprabi Securities Pvt. Ltd.,100,248.0,24800.0,2025-08-24 11:23:54.438218
2025-08-24,53862,2025082401000758,NMB,Trishakti Securities Public Limited,Siprabi Securities Pvt. Ltd.,400,247.1,98840.0,2025-08-24 11:23:54.438371
2025-08-24,53515,2025082401000818,NMB,Trishakti Securities Public Limited,Kumari Securities Private Limited,200,247.1,49420.0,2025-08-24 11:25:53.349006
2025-08-24,53514,2025082401000819,NMB,Aryatara Investment & Securities,Kumari Securities Private Limited,75,247.0,18525.0,2025-08-24 11:25:53.349119
2025-08-24,53513,2025082401000820,NMB,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kumari Securities Private Limited,1000,247.0,247000.0,2025-08-24 11:25:53.349200
2025-08-24,53512,2025082401000821,NMB,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,10,247.0,2470.0,2025-08-24 11:25:53.349255
2025-08-24,53511,2025082401000822,NMB,Agrawal Securities (PVT) Ltd.,Kumari Securities Private Limited,144,247.0,35568.0,2025-08-24 11:25:53.349304
2025-08-24,53510,2025082401000823,NMB,Primo Securities (PVT) Ltd.,Kumari Securities Private Limited,100,247.0,24700.0,2025-08-24 11:25:53.349339
2025-08-24,53509,2025082401000824,NMB,Imperial Securities Company Pvt. Ltd.,Kumari Securities Private Limited,1000,247.0,247000.0,2025-08-24 11:25:53.349372
2025-08-24,53434,2025082401000834,NMB,Agrawal Securities (PVT) Ltd.,Kumari Securities Private Limited,521,247.0,128687.0,2025-08-24 11:26:14.431916
2025-08-24,53149,2025082401000893,NMB,Machhapuchchhre Securities Limited,Sewa Securities Pvt. Ltd.,10,250.0,2500.0,2025-08-24 11:27:19.451937
2025-08-24,49871,2025082401001612,NMB,Naasa Securities Co. Ltd.,Property Wiard Limited,100,249.5,24950.0,2025-08-24 11:44:07.684331
2025-08-24,48216,2025082401002032,NMB,Trishakti Securities Public Limited,Siprabi Securities Pvt. Ltd.,10,248.0,2480.0,2025-08-24 11:52:01.702430
2025-08-24,46990,2025082401002345,NMB,Machhapuchchhre Securities Limited,Property Wiard Limited,10,248.9,2489.0,2025-08-24 11:58:17.937353
2025-08-24,45935,2025082401002582,NMB,Premier Securities Company Ltd.,Property Wiard Limited,10,248.0,2480.0,2025-08-24 12:04:29.832393
2025-08-24,45599,2025082401002637,NMB,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,3,246.0,738.0,2025-08-24 12:06:25.089541
2025-08-24,45577,2025082401002642,NMB,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,1,246.0,246.0,2025-08-24 12:06:38.216312
2025-08-24,45003,2025082401002796,NMB,Vision Securities Pvt. Ltd,Sewa Securities Pvt. Ltd.,555,247.8,137529.0,2025-08-24 12:10:13.099285
2025-08-24,45002,2025082401002797,NMB,Vision Securities Pvt. Ltd,Property Wiard Limited,380,248.0,94240.0,2025-08-24 12:10:13.099463
2025-08-24,44727,2025082401002866,NMB,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,100,248.0,24800.0,2025-08-24 12:11:59.836376
2025-08-24,44688,2025082401002881,NMB,Machhapuchchhre Securities Limited,Vision Securities Pvt. Ltd,10,249.0,2490.0,2025-08-24 12:12:11.903324
2025-08-24,44203,2025082401003000,NMB,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,1,245.0,245.0,2025-08-24 12:15:05.242625
2025-08-24,43408,2025082401003156,NMB,Kumari Securities Private Limited,Vision Securities Pvt. Ltd,100,249.0,24900.0,2025-08-24 12:19:30.083308
2025-08-24,42436,2025082401003354,NMB,Nepal Investment And Securities Trading Private Limited,Vision Securities Pvt. Ltd,30,249.0,7470.0,2025-08-24 12:25:13.552542
2025-08-24,42419,2025082401003358,NMB,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,335,248.0,83080.0,2025-08-24 12:25:17.566111
2025-08-24,42362,2025082401003372,NMB,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,252,248.0,62496.0,2025-08-24 12:25:37.309841
2025-08-24,42051,2025082401003445,NMB,Machhapuchchhre Securities Limited,Vision Securities Pvt. Ltd,10,249.0,2490.0,2025-08-24 12:27:34.975913
2025-08-24,41815,2025082401003514,NMB,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,50,249.0,12450.0,2025-08-24 12:29:07.576547
2025-08-24,41814,2025082401003515,NMB,Aryatara Investment & Securities,Trishakti Securities Public Limited,50,249.0,12450.0,2025-08-24 12:29:07.576803
2025-08-24,41784,2025082401003526,NMB,Vision Securities Pvt. Ltd,ABC Securities Private Limited,200,248.0,49600.0,2025-08-24 12:29:17.261018
2025-08-24,41207,2025082401003667,NMB,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,500,248.0,124000.0,2025-08-24 12:32:45.380013
2025-08-24,41125,2025082401003692,NMB,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,56,248.0,13888.0,2025-08-24 12:33:12.463995
2025-08-24,41049,2025082401003701,NMB,Vision Securities Pvt. Ltd,KALASH STOCK MARKET PVT. LTD.,400,248.0,99200.0,2025-08-24 12:33:38.010173
2025-08-24,40516,2025082401003818,NMB,Vision Securities Pvt. Ltd,Shree Krishna Securities Ltd.,500,248.0,124000.0,2025-08-24 12:36:07.501151
2025-08-24,40274,2025082401003891,NMB,Shree Krishna Securities Ltd.,ABC Securities Private Limited,200,248.2,49640.0,2025-08-24 12:37:18.739571
2025-08-24,40212,2025082401003899,NMB,Shree Krishna Securities Ltd.,Midas Stock Broking Company Private Limited,450,248.2,111690.0,2025-08-24 12:37:34.629140
2025-08-24,39785,2025082401003997,NMB,Shree Krishna Securities Ltd.,Asian Securities Private Ltd.,300,248.2,74460.0,2025-08-24 12:39:52.071617
2025-08-24,39673,2025082401004026,NMB,Machhapuchchhre Securities Limited,Trishakti Securities Public Limited,10,249.0,2490.0,2025-08-24 12:40:33.363243
2025-08-24,39378,2025082401004127,NMB,Property Wiard Limited,J.F. Securites (PVT) Ltd.,1,245.0,245.0,2025-08-24 12:42:11.504221
