Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-24,56689,2025082401000249,SCB,Secured Securities Ltd.,Nepal Stock House (PVT) Ltd.,25,624.0,15600.0,2025-08-24 11:10:01.672267
2025-08-24,55976,2025082401000362,SCB,Aryatara Investment & Securities,K.B.L. Securities Limited ,20,624.6,12492.0,2025-08-24 11:13:38.625601
2025-08-24,55893,2025082401000378,SCB,J.F. Securites (PVT) Ltd.,K.B.L. Securities Limited ,10,624.6,6246.0,2025-08-24 11:13:57.818044
2025-08-24,55749,2025082401000392,SCB,Aryatara Investment & Securities,K.B.L. Securities Limited ,10,624.6,6246.0,2025-08-24 11:14:39.064363
2025-08-24,54829,2025082401000552,SCB,J.F. Securites (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,1,614.0,614.0,2025-08-24 11:18:45.103089
2025-08-24,54148,2025082401000710,SCB,Sundhara Securities Limited,Oxford Securities Pvt. Ltd.,10,626.0,6260.0,2025-08-24 11:22:25.969495
2025-08-24,53252,2025082401000859,SCB,Sundhara Securities Limited,Kohinoor Investment & Securities Pvt. Ltd.,15,626.0,9390.0,2025-08-24 11:26:56.385860
2025-08-24,53202,2025082401000865,SCB,Sundhara Securities Limited,Imperial Securities Company Pvt. Ltd.,50,626.0,31300.0,2025-08-24 11:27:07.316274
2025-08-24,53173,2025082401000877,SCB,Sundhara Securities Limited,Nepal Stock House (PVT) Ltd.,55,626.0,34430.0,2025-08-24 11:27:12.602963
2025-08-24,52751,2025082401000969,SCB,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,45,626.0,28170.0,2025-08-24 11:29:08.496214
2025-08-24,52457,2025082401001022,SCB,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,50,626.0,31300.0,2025-08-24 11:30:26.862566
2025-08-24,51346,2025082401001269,SCB,Aryatara Investment & Securities,Magnet Securities and Investment Company Private Limited,10,625.3,6253.0,2025-08-24 11:36:33.841422
