Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-24,57262,2025082405000539,SPC,Aryatara Investment & Securities,ABC Securities Private Limited,10,530.0,5300.0,2025-08-24 11:05:43.072961
2025-08-24,56315,2025082405001017,SPC,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,50,532.0,26600.0,2025-08-24 11:12:10.988303
2025-08-24,54484,2025082405001907,SPC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,70,532.0,37240.0,2025-08-24 11:20:39.307068
2025-08-24,53925,2025082405002146,SPC,Himalayan Brokerage Company Limited,Sewa Securities Pvt. Ltd.,100,533.0,53300.0,2025-08-24 11:23:32.235846
2025-08-24,52807,2025082405002666,SPC,Himalayan Brokerage Company Limited,Online Securities Pvt. Ltd.,85,533.0,45305.0,2025-08-24 11:28:49.651671
2025-08-24,52632,2025082405002751,SPC,Nabil Stock Dealer Ltd.,Roadshow securities limited,500,539.0,269500.0,2025-08-24 11:29:47.442104
2025-08-24,52631,2025082405002752,SPC,Nabil Stock Dealer Ltd.,Linch Stock Market Ltd.,100,539.9,53990.0,2025-08-24 11:29:47.442195
2025-08-24,52630,2025082405002753,SPC,Nabil Stock Dealer Ltd.,Imperial Securities Company Pvt. Ltd.,200,540.0,108000.0,2025-08-24 11:29:47.442250
2025-08-24,52629,2025082405002754,SPC,Nabil Stock Dealer Ltd.,Naasa Securities Co. Ltd.,700,540.0,378000.0,2025-08-24 11:29:47.442288
2025-08-24,52628,2025082405002755,SPC,Nabil Stock Dealer Ltd.,ABC Securities Private Limited,500,540.0,270000.0,2025-08-24 11:29:47.442348
2025-08-24,49141,2025082405004154,SPC,Nabil Stock Dealer Ltd.,Aryatara Investment & Securities,210,533.6,112056.0,2025-08-24 11:47:50.979620
2025-08-24,48765,2025082405004326,SPC,Premier Securities Company Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,533.5,5335.0,2025-08-24 11:49:29.968100
2025-08-24,46892,2025082405005056,SPC,Premier Securities Company Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,533.5,5335.0,2025-08-24 11:58:52.586349
2025-08-24,46717,2025082405005123,SPC,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,58,533.5,30943.0,2025-08-24 12:00:08.399561
2025-08-24,46356,2025082405005253,SPC,Premier Securities Company Ltd.,Sri Hari Securities Pvt. Ltd.,10,533.5,5335.0,2025-08-24 12:02:09.237878
2025-08-24,46141,2025082405005319,SPC,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,256,533.5,136576.0,2025-08-24 12:03:19.925745
2025-08-24,45582,2025082405005558,SPC,Premier Securities Company Ltd.,Aryatara Investment & Securities,100,533.5,53350.0,2025-08-24 12:06:32.242407
2025-08-24,45511,2025082405005587,SPC,Elite Stock House Limited,Online Securities Pvt. Ltd.,10,534.0,5340.0,2025-08-24 12:06:57.745488
2025-08-24,43542,2025082405006358,SPC,Premier Securities Company Ltd.,Premier Securities Company Ltd.,10,533.5,5335.0,2025-08-24 12:18:37.734747
2025-08-24,41031,2025082405007415,SPC,Nabil Stock Dealer Ltd.,Global IME Securities Limited,10,533.6,5336.0,2025-08-24 12:33:42.776332
2025-08-24,40054,2025082405007743,SPC,Nabil Stock Dealer Ltd.,Vision Securities Pvt. Ltd,183,533.6,97648.8,2025-08-24 12:38:20.302335
2025-08-24,39944,2025082405007785,SPC,Nabil Stock Dealer Ltd.,Vision Securities Pvt. Ltd,10,533.6,5336.0,2025-08-24 12:38:53.473251
2025-08-24,39640,2025082405007874,SPC,Nabil Stock Dealer Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,10,533.6,5336.0,2025-08-24 12:40:45.791570
2025-08-24,39345,2025082405007974,SPC,Nabil Stock Dealer Ltd.,Sumeru Securities Pvt. Ltd.,10,533.6,5336.0,2025-08-24 12:42:29.853840
2025-08-24,39216,2025082405008022,SPC,Nabil Stock Dealer Ltd.,Global IME Securities Limited,10,533.6,5336.0,2025-08-24 12:43:20.328874
2025-08-24,38202,2025082405008374,SPC,Nabil Stock Dealer Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,10,533.6,5336.0,2025-08-24 12:49:15.566498
2025-08-24,38173,2025082405008394,SPC,Nabil Stock Dealer Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,10,533.6,5336.0,2025-08-24 12:49:30.619860
2025-08-24,38139,2025082405008403,SPC,Nabil Stock Dealer Ltd.,Trishakti Securities Public Limited,37,533.6,19743.2,2025-08-24 12:49:46.158537
2025-08-24,38138,2025082405008404,SPC,Miyo Securities Pvt Ltd,Trishakti Securities Public Limited,200,533.6,106720.0,2025-08-24 12:49:46.158719
2025-08-24,37985,2025082405008453,SPC,Imperial Securities Company Pvt. Ltd.,Linch Stock Market Ltd.,10,533.5,5335.0,2025-08-24 12:50:36.947649
2025-08-24,37984,2025082405008454,SPC,South Asian Bulls Pvt. Ltd.,Linch Stock Market Ltd.,10,533.5,5335.0,2025-08-24 12:50:36.947789
2025-08-24,37983,2025082405008455,SPC,Himalayan Brokerage Company Limited,Linch Stock Market Ltd.,1030,533.0,548990.0,2025-08-24 12:50:36.947842
2025-08-24,37891,2025082405008486,SPC,Himalayan Brokerage Company Limited,Linch Stock Market Ltd.,50,533.0,26650.0,2025-08-24 12:51:03.060157
2025-08-24,37563,2025082405008603,SPC,Himalayan Brokerage Company Limited,J.F. Securites (PVT) Ltd.,10,533.0,5330.0,2025-08-24 12:52:10.431792
2025-08-24,36395,2025082405009047,SPC,Himalayan Brokerage Company Limited,Nepal Stock House (PVT) Ltd.,50,533.0,26650.0,2025-08-24 12:57:17.401253
2025-08-24,36060,2025082405009192,SPC,Himalayan Brokerage Company Limited,Naasa Securities Co. Ltd.,10,533.0,5330.0,2025-08-24 12:58:33.747117
2025-08-24,35411,2025082405009429,SPC,Himalayan Brokerage Company Limited,SUN SECURITIES PVT LTD,100,533.0,53300.0,2025-08-24 13:01:10.827952
