Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-25,51169,2025082503002444,GFCL,KALASH STOCK MARKET PVT. LTD.,Kumari Securities Private Limited,20,630.1,12602.0,2025-08-25 11:28:46.413712
2025-08-25,48169,2025082503003243,GFCL,Kumari Securities Private Limited,Linch Stock Market Ltd.,10,630.2,6302.0,2025-08-25 11:42:37.762152
2025-08-25,47485,2025082503003413,GFCL,Online Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,20,630.3,12606.0,2025-08-25 11:45:44.112616
2025-08-25,47484,2025082503003414,GFCL,Kumari Securities Private Limited,Oxford Securities Pvt. Ltd.,40,630.2,25208.0,2025-08-25 11:45:44.112688
2025-08-25,47483,2025082503003415,GFCL,KALASH STOCK MARKET PVT. LTD.,Oxford Securities Pvt. Ltd.,280,630.1,176428.0,2025-08-25 11:45:44.112739
2025-08-25,47482,2025082503003416,GFCL,Premier Securities Company Ltd.,Oxford Securities Pvt. Ltd.,40,630.0,25200.0,2025-08-25 11:45:44.112776
2025-08-25,46310,2025082503003633,GFCL,Premier Securities Company Ltd.,Shree Krishna Securities Ltd.,96,630.0,60480.0,2025-08-25 11:51:20.379206
2025-08-25,45480,2025082503003806,GFCL,Premier Securities Company Ltd.,Sani Securities Company Ltd.,100,630.0,63000.0,2025-08-25 11:54:56.320914
2025-08-25,39386,2025082503005126,GFCL,Sani Securities Company Ltd.,Linch Stock Market Ltd.,10,631.0,6310.0,2025-08-25 12:28:08.817862
2025-08-25,38854,2025082503005208,GFCL,Sani Securities Company Ltd.,ABC Securities Private Limited,35,631.0,22085.0,2025-08-25 12:31:15.908068
2025-08-25,38853,2025082503005209,GFCL,Deevyaa Securities & Stock House Pvt. Ltd,ABC Securities Private Limited,200,630.1,126020.0,2025-08-25 12:31:15.908146
2025-08-25,38852,2025082503005210,GFCL,Premier Securities Company Ltd.,ABC Securities Private Limited,264,630.0,166320.0,2025-08-25 12:31:15.908183
2025-08-25,38851,2025082503005211,GFCL,Premier Securities Company Ltd.,ABC Securities Private Limited,500,630.0,315000.0,2025-08-25 12:31:15.908214
2025-08-25,38850,2025082503005212,GFCL,Shree Krishna Securities Ltd.,ABC Securities Private Limited,25,630.0,15750.0,2025-08-25 12:31:15.908245
2025-08-25,38849,2025082503005213,GFCL,Shree Krishna Securities Ltd.,ABC Securities Private Limited,295,630.0,185850.0,2025-08-25 12:31:15.908312
2025-08-25,38848,2025082503005214,GFCL,Kohinoor Investment & Securities Pvt. Ltd.,ABC Securities Private Limited,15,628.0,9420.0,2025-08-25 12:31:15.908354
2025-08-25,38847,2025082503005215,GFCL,Sani Securities Company Ltd.,ABC Securities Private Limited,70,625.0,43750.0,2025-08-25 12:31:15.908386
2025-08-25,38846,2025082503005216,GFCL,Aryatara Investment & Securities,ABC Securities Private Limited,50,625.0,31250.0,2025-08-25 12:31:15.908413
2025-08-25,38845,2025082503005217,GFCL,Agrawal Securities (PVT) Ltd.,ABC Securities Private Limited,100,625.0,62500.0,2025-08-25 12:31:15.908443
2025-08-25,37834,2025082503005422,GFCL,Sri Hari Securities Pvt. Ltd.,ABC Securities Private Limited,55,625.0,34375.0,2025-08-25 12:37:10.235550
2025-08-25,37548,2025082503005483,GFCL,Agrawal Securities (PVT) Ltd.,ABC Securities Private Limited,50,625.0,31250.0,2025-08-25 12:38:43.933317
2025-08-25,36932,2025082503005609,GFCL,Vision Securities Pvt. Ltd,ABC Securities Private Limited,300,625.0,187500.0,2025-08-25 12:42:26.336691
2025-08-25,36910,2025082503005614,GFCL,South Asian Bulls Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,20,624.0,12480.0,2025-08-25 12:42:35.138776
2025-08-25,36847,2025082503005630,GFCL,Neev Securities Pvt. Ltd.,ABC Securities Private Limited,284,625.0,177500.0,2025-08-25 12:42:58.211074
2025-08-25,36795,2025082503005637,GFCL,South Asian Bulls Pvt. Ltd.,ABC Securities Private Limited,100,625.0,62500.0,2025-08-25 12:43:20.816951
2025-08-25,36613,2025082503005660,GFCL,K.B.L. Securities Limited ,ABC Securities Private Limited,207,625.0,129375.0,2025-08-25 12:44:19.155704
2025-08-25,36446,2025082503005683,GFCL,Online Securities Pvt. Ltd.,ABC Securities Private Limited,300,625.0,187500.0,2025-08-25 12:45:07.778950
2025-08-25,36224,2025082503005725,GFCL,Siprabi Securities Pvt. Ltd.,ABC Securities Private Limited,100,625.0,62500.0,2025-08-25 12:46:12.304570
2025-08-25,36139,2025082503005739,GFCL,Capital Max Securities Ltd,ABC Securities Private Limited,200,625.0,125000.0,2025-08-25 12:46:45.689679
2025-08-25,35971,2025082503005763,GFCL,Capital Max Securities Ltd,ABC Securities Private Limited,80,625.0,50000.0,2025-08-25 12:47:28.855197
2025-08-25,28895,2025082503007092,GFCL,ABC Securities Private Limited,Global IME Securities Limited,5,623.0,3115.0,2025-08-25 13:20:16.765884
2025-08-25,28389,2025082503007222,GFCL,Capital Max Securities Ltd,Deevyaa Securities & Stock House Pvt. Ltd,20,630.0,12600.0,2025-08-25 13:22:31.854981
2025-08-25,24990,2025082503007830,GFCL,Aryatara Investment & Securities,Bhrikuti Stock Broking Co. Pvt. Ltd.,15,630.0,9450.0,2025-08-25 13:39:33.708061
2025-08-25,24504,2025082503007922,GFCL,Nabil Stock Dealer Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,510,630.0,321300.0,2025-08-25 13:41:39.989325
2025-08-25,23957,2025082503008036,GFCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Linch Stock Market Ltd.,40,630.0,25200.0,2025-08-25 13:43:44.735748
2025-08-25,23240,2025082503008181,GFCL,Sani Securities Company Ltd.,Premier Securities Company Ltd.,10,635.0,6350.0,2025-08-25 13:47:23.899039
2025-08-25,22877,2025082503008239,GFCL,Capital Max Securities Ltd,Premier Securities Company Ltd.,200,635.0,127000.0,2025-08-25 13:49:00.314007
2025-08-25,22613,2025082503008277,GFCL,Nabil Stock Dealer Ltd.,Premier Securities Company Ltd.,40,635.0,25400.0,2025-08-25 13:50:06.358222
2025-08-25,22612,2025082503008278,GFCL,Nabil Stock Dealer Ltd.,Market Securities & Exchange (PVT) Ltd.,100,635.0,63500.0,2025-08-25 13:50:06.358362
2025-08-25,18480,2025082503009035,GFCL,Trishakti Securities Public Limited,Online Securities Pvt. Ltd.,500,633.2,316600.0,2025-08-25 14:06:56.481481
2025-08-25,18479,2025082503009036,GFCL,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,175,633.2,110810.0,2025-08-25 14:06:56.481829
2025-08-25,18478,2025082503009037,GFCL,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,25,632.1,15802.5,2025-08-25 14:06:56.481957
