Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-25,55087,2025082503001155,PROFL,Aryatara Investment & Securities,Bhrikuti Stock Broking Co. Pvt. Ltd.,20,500.0,10000.0,2025-08-25 11:09:40.440446
2025-08-25,54502,2025082503001404,PROFL,Himalayan Brokerage Company Limited,Naasa Securities Co. Ltd.,100,490.0,49000.0,2025-08-25 11:12:40.838313
2025-08-25,52941,2025082503001962,PROFL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,50,490.0,24500.0,2025-08-25 11:20:33.892729
2025-08-25,48656,2025082503003128,PROFL,Aryatara Investment & Securities,Pragyan Securities (PVT) Ltd.,91,488.0,44408.0,2025-08-25 11:40:15.683640
2025-08-25,44827,2025082503003941,PROFL,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,10,487.0,4870.0,2025-08-25 11:58:08.309093
2025-08-25,44826,2025082503003942,PROFL,Thrive Brokerage House Pvt. Ltd,Naasa Securities Co. Ltd.,25,487.0,12175.0,2025-08-25 11:58:08.309200
2025-08-25,44342,2025082503004055,PROFL,Swarna Laxmi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,100,486.0,48600.0,2025-08-25 12:00:56.480230
2025-08-25,44341,2025082503004056,PROFL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,20,486.0,9720.0,2025-08-25 12:00:56.480396
2025-08-25,41903,2025082503004514,PROFL,Aryatara Investment & Securities,Kumari Securities Private Limited,10,487.0,4870.0,2025-08-25 12:13:41.026191
2025-08-25,41902,2025082503004515,PROFL,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,70,486.0,34020.0,2025-08-25 12:13:41.026295
2025-08-25,41901,2025082503004516,PROFL,Ashutosh Brokerage & Securities (PVT) Ltd.,Kumari Securities Private Limited,30,486.0,14580.0,2025-08-25 12:13:41.026339
2025-08-25,41900,2025082503004517,PROFL,Opal Securities Investment (PVT) Ltd.,Kumari Securities Private Limited,20,486.0,9720.0,2025-08-25 12:13:41.026375
2025-08-25,41899,2025082503004518,PROFL,Sumeru Securities Pvt. Ltd.,Kumari Securities Private Limited,470,486.0,228420.0,2025-08-25 12:13:41.026426
2025-08-25,41242,2025082503004689,PROFL,Sumeru Securities Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,15,486.0,7290.0,2025-08-25 12:17:24.847772
2025-08-25,41086,2025082503004722,PROFL,Sumeru Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,15,486.0,7290.0,2025-08-25 12:18:29.971742
2025-08-25,40961,2025082503004739,PROFL,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,185,486.0,89910.0,2025-08-25 12:19:01.222243
2025-08-25,38955,2025082503005190,PROFL,ABC Securities Private Limited,J.F. Securites (PVT) Ltd.,40,489.0,19560.0,2025-08-25 12:30:34.645476
2025-08-25,38954,2025082503005191,PROFL,ABC Securities Private Limited,Vision Securities Pvt. Ltd,26,490.0,12740.0,2025-08-25 12:30:34.645685
2025-08-25,38953,2025082503005192,PROFL,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,46,490.0,22540.0,2025-08-25 12:30:34.645809
2025-08-25,38952,2025082503005193,PROFL,ABC Securities Private Limited,Aryatara Investment & Securities,88,490.0,43120.0,2025-08-25 12:30:34.645928
2025-08-25,37621,2025082503005469,PROFL,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,30,486.1,14583.0,2025-08-25 12:38:22.672635
2025-08-25,37620,2025082503005470,PROFL,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,315,486.0,153090.0,2025-08-25 12:38:22.672855
2025-08-25,37619,2025082503005471,PROFL,Sumeru Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,470,486.0,228420.0,2025-08-25 12:38:22.672985
2025-08-25,33414,2025082503006164,PROFL,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,10,490.0,4900.0,2025-08-25 12:58:45.902881
