Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-26,45100,2025082604000007,AKJCL,Shree Krishna Securities Ltd.,ABC Securities Private Limited,15,201.0,3015.0,2025-08-26 10:46:00.034841
2025-08-26,45006,2025082604000018,AKJCL,Opal Securities Investment (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,25,201.1,5027.5,2025-08-26 11:01:15.283486
2025-08-26,44961,2025082604000028,AKJCL,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,10,205.0,2050.0,2025-08-26 11:01:55.125504
2025-08-26,44206,2025082604000175,AKJCL,Ashutosh Brokerage & Securities (PVT) Ltd.,Citizens Share Broker Limited,220,203.6,44792.0,2025-08-26 11:09:48.602740
2025-08-26,44205,2025082604000176,AKJCL,Sewa Securities Pvt. Ltd.,Citizens Share Broker Limited,10,203.5,2035.0,2025-08-26 11:09:48.602782
2025-08-26,44204,2025082604000177,AKJCL,Sweta Securities Private Limited,Citizens Share Broker Limited,70,203.4,14238.0,2025-08-26 11:09:48.602810
2025-08-26,43528,2025082604000334,AKJCL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,15,204.0,3060.0,2025-08-26 11:14:54.319161
2025-08-26,43500,2025082604000337,AKJCL,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,100,204.0,20400.0,2025-08-26 11:15:02.949103
2025-08-26,43398,2025082604000354,AKJCL,Kumari Securities Private Limited,Vision Securities Pvt. Ltd,200,204.0,40800.0,2025-08-26 11:15:49.095238
2025-08-26,43249,2025082604000380,AKJCL,Kohinoor Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,33,204.0,6732.0,2025-08-26 11:17:12.247225
2025-08-26,43185,2025082604000385,AKJCL,Linch Stock Market Ltd.,Capital Max Securities Ltd,20,204.0,4080.0,2025-08-26 11:17:38.784999
2025-08-26,43071,2025082604000413,AKJCL,Sewa Securities Pvt. Ltd.,ABC Securities Private Limited,25,203.9,5097.5,2025-08-26 11:18:24.282703
2025-08-26,42917,2025082604000456,AKJCL,Aryatara Investment & Securities,Aryatara Investment & Securities,60,205.0,12300.0,2025-08-26 11:19:27.853759
2025-08-26,42916,2025082604000457,AKJCL,Aryatara Investment & Securities,BHOLE GANESH SECURITIES LTD,100,205.0,20500.0,2025-08-26 11:19:27.853939
2025-08-26,42915,2025082604000458,AKJCL,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,30,205.8,6174.0,2025-08-26 11:19:27.854020
2025-08-26,42914,2025082604000459,AKJCL,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,178,205.9,36650.2,2025-08-26 11:19:27.854092
2025-08-26,42138,2025082604000601,AKJCL,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,30,204.1,6123.0,2025-08-26 11:24:16.847153
2025-08-26,42137,2025082604000602,AKJCL,Himalayan Securities Limited,Naasa Securities Co. Ltd.,30,204.0,6120.0,2025-08-26 11:24:16.847341
2025-08-26,42136,2025082604000603,AKJCL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,220,204.0,44880.0,2025-08-26 11:24:16.847416
2025-08-26,41897,2025082604000662,AKJCL,Sani Securities Company Ltd.,ABC Securities Private Limited,10,204.0,2040.0,2025-08-26 11:26:13.915651
2025-08-26,41763,2025082604000691,AKJCL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,20,204.0,4080.0,2025-08-26 11:27:09.967555
2025-08-26,41762,2025082604000692,AKJCL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,730,204.0,148920.0,2025-08-26 11:27:09.967762
2025-08-26,41582,2025082604000722,AKJCL,Sewa Securities Pvt. Ltd.,Sipla Securities Private Limited,50,204.0,10200.0,2025-08-26 11:28:36.105415
2025-08-26,41541,2025082604000735,AKJCL,Sewa Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,15,204.0,3060.0,2025-08-26 11:28:52.309291
2025-08-26,40572,2025082604000967,AKJCL,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,50,204.0,10200.0,2025-08-26 11:35:50.945574
2025-08-26,40571,2025082604000968,AKJCL,Thrive Brokerage House Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,450,203.8,91710.0,2025-08-26 11:35:50.945695
