Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-26,44939,2025082604000034,CHL,Opal Securities Investment (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,150,289.3,43395.0,2025-08-26 11:02:13.656953
2025-08-26,44866,2025082604000050,CHL,Opal Securities Investment (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,150,289.3,43395.0,2025-08-26 11:03:06.192101
2025-08-26,44831,2025082604000060,CHL,Opal Securities Investment (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,700,289.3,202510.0,2025-08-26 11:03:37.982965
2025-08-26,44793,2025082604000063,CHL,Sundhara Securities Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,100,289.3,28930.0,2025-08-26 11:04:01.165424
2025-08-26,44677,2025082604000079,CHL,Oxford Securities Pvt. Ltd.,Asian Securities Private Ltd.,165,290.5,47932.5,2025-08-26 11:05:26.447757
2025-08-26,44636,2025082604000085,CHL,Global IME Securities Limited,Shree Krishna Securities Ltd.,10,294.9,2949.0,2025-08-26 11:05:51.986902
2025-08-26,44444,2025082604000126,CHL,Aryatara Investment & Securities,Shree Krishna Securities Ltd.,90,294.9,26541.0,2025-08-26 11:07:43.813433
2025-08-26,44443,2025082604000127,CHL,Aryatara Investment & Securities,Sundhara Securities Limited,910,295.0,268450.0,2025-08-26 11:07:43.813533
2025-08-26,43176,2025082604000386,CHL,Sundhara Securities Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,294.0,14700.0,2025-08-26 11:17:40.284236
2025-08-26,42169,2025082604000594,CHL,Aryatara Investment & Securities,Sundhara Securities Limited,100,291.0,29100.0,2025-08-26 11:23:56.472822
2025-08-26,42056,2025082604000628,CHL,Aryatara Investment & Securities,Sundhara Securities Limited,100,290.2,29020.0,2025-08-26 11:24:53.657285
2025-08-26,41999,2025082604000635,CHL,Deevyaa Securities & Stock House Pvt. Ltd,Himalayan Brokerage Company Limited,15,290.1,4351.5,2025-08-26 11:25:25.037644
