Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-26,44857,2025082604000051,HDHPC,Sri Hari Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,230,197.1,45333.0,2025-08-26 11:03:11.953425
2025-08-26,44795,2025082604000062,HDHPC,Naasa Securities Co. Ltd.,Kalika Securities Pvt. Ltd.,70,197.1,13797.0,2025-08-26 11:03:59.311415
2025-08-26,44478,2025082604000118,HDHPC,Kumari Securities Private Limited,Arun Securities (PVT) Ltd.,150,197.0,29550.0,2025-08-26 11:07:18.854778
2025-08-26,44477,2025082604000119,HDHPC,Naasa Securities Co. Ltd.,Arun Securities (PVT) Ltd.,50,197.0,9850.0,2025-08-26 11:07:18.854929
2025-08-26,44465,2025082604000123,HDHPC,Dynamic Money Managers Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,10,197.0,1970.0,2025-08-26 11:07:24.753925
2025-08-26,44406,2025082604000133,HDHPC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Arun Securities (PVT) Ltd.,30,196.5,5895.0,2025-08-26 11:08:03.595356
2025-08-26,44350,2025082604000150,HDHPC,Sumeru Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,260,196.5,51090.0,2025-08-26 11:08:30.021425
2025-08-26,44227,2025082604000171,HDHPC,Online Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,25,197.1,4927.5,2025-08-26 11:09:39.254033
2025-08-26,44225,2025082604000172,HDHPC,ABC Securities Private Limited,Kalika Securities Pvt. Ltd.,175,197.1,34492.5,2025-08-26 11:09:41.320630
2025-08-26,44117,2025082604000199,HDHPC,Secured Securities Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,199.0,1990.0,2025-08-26 11:10:27.264006
2025-08-26,43875,2025082604000260,HDHPC,Sewa Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,44,199.0,8756.0,2025-08-26 11:12:23.984416
2025-08-26,43626,2025082604000310,HDHPC,Opal Securities Investment (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,20,199.0,3980.0,2025-08-26 11:14:06.919873
2025-08-26,42759,2025082604000509,HDHPC,Linch Stock Market Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,199.0,1990.0,2025-08-26 11:20:17.613586
2025-08-26,42283,2025082604000575,HDHPC,Linch Stock Market Ltd.,Pragyan Securities (PVT) Ltd.,200,198.0,39600.0,2025-08-26 11:23:12.347433
2025-08-26,42282,2025082604000576,HDHPC,Naasa Securities Co. Ltd.,Pragyan Securities (PVT) Ltd.,50,198.0,9900.0,2025-08-26 11:23:12.347683
2025-08-26,42281,2025082604000577,HDHPC,Malla & Malla Stock Broking Company Pvt. Limited,Pragyan Securities (PVT) Ltd.,250,198.0,49500.0,2025-08-26 11:23:12.347911
2025-08-26,42196,2025082604000586,HDHPC,Aryatara Investment & Securities,Miyo Securities Pvt Ltd,53,197.6,10472.8,2025-08-26 11:23:44.416232
