Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-26,44843,2025082604000055,SHEL,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,10,310.0,3100.0,2025-08-26 11:03:28.266151
2025-08-26,44839,2025082604000058,SHEL,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,10,307.0,3070.0,2025-08-26 11:03:29.928175
2025-08-26,44766,2025082604000066,SHEL,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,10,310.0,3100.0,2025-08-26 11:04:12.956688
2025-08-26,44644,2025082604000083,SHEL,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,10,306.0,3060.0,2025-08-26 11:05:46.356429
2025-08-26,44361,2025082604000142,SHEL,J.F. Securites (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,100,308.9,30890.0,2025-08-26 11:08:25.623427
2025-08-26,44360,2025082604000143,SHEL,J.F. Securites (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,500,309.0,154500.0,2025-08-26 11:08:25.623545
2025-08-26,44359,2025082604000144,SHEL,J.F. Securites (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,400,309.7,123880.0,2025-08-26 11:08:25.623621
2025-08-26,44163,2025082604000189,SHEL,Vision Securities Pvt. Ltd,Kumari Securities Private Limited,1000,308.0,308000.0,2025-08-26 11:10:09.946310
2025-08-26,43970,2025082604000232,SHEL,Online Securities Pvt. Ltd.,Sagarmatha Securities Private Limited,320,307.0,98240.0,2025-08-26 11:11:37.611302
2025-08-26,43969,2025082604000233,SHEL,Linch Stock Market Ltd.,Sagarmatha Securities Private Limited,90,307.0,27630.0,2025-08-26 11:11:37.611481
2025-08-26,43855,2025082604000264,SHEL,Imperial Securities Company Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,105,306.5,32182.5,2025-08-26 11:12:36.160292
2025-08-26,43698,2025082604000295,SHEL,Imperial Securities Company Pvt. Ltd.,ABC Securities Private Limited,395,306.5,121067.5,2025-08-26 11:13:42.882608
2025-08-26,43697,2025082604000296,SHEL,Vision Securities Pvt. Ltd,ABC Securities Private Limited,10,306.5,3065.0,2025-08-26 11:13:42.882781
2025-08-26,43696,2025082604000297,SHEL,Nepal Investment And Securities Trading Private Limited,ABC Securities Private Limited,80,306.4,24512.0,2025-08-26 11:13:42.882834
2025-08-26,43695,2025082604000298,SHEL,Trishakti Securities Public Limited,ABC Securities Private Limited,50,306.3,15315.0,2025-08-26 11:13:42.882889
2025-08-26,43694,2025082604000299,SHEL,Vision Securities Pvt. Ltd,ABC Securities Private Limited,200,306.1,61220.0,2025-08-26 11:13:42.882944
2025-08-26,43693,2025082604000300,SHEL,Trishakti Securities Public Limited,ABC Securities Private Limited,300,306.0,91800.0,2025-08-26 11:13:42.882993
2025-08-26,43350,2025082604000360,SHEL,KALASH STOCK MARKET PVT. LTD.,Premier Securities Company Ltd.,50,305.2,15260.0,2025-08-26 11:16:22.268116
2025-08-26,43264,2025082604000374,SHEL,KALASH STOCK MARKET PVT. LTD.,Sumeru Securities Pvt. Ltd.,10,305.2,3052.0,2025-08-26 11:17:04.843657
2025-08-26,43100,2025082604000406,SHEL,KALASH STOCK MARKET PVT. LTD.,Secured Securities Ltd.,40,305.2,12208.0,2025-08-26 11:18:15.599637
2025-08-26,43099,2025082604000407,SHEL,Vision Securities Pvt. Ltd,Secured Securities Ltd.,10,305.2,3052.0,2025-08-26 11:18:15.599807
2025-08-26,43098,2025082604000408,SHEL,Sri Hari Securities Pvt. Ltd.,Secured Securities Ltd.,408,305.1,124480.8,2025-08-26 11:18:15.599872
2025-08-26,43082,2025082604000410,SHEL,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,92,305.1,28069.2,2025-08-26 11:18:22.311258
2025-08-26,43081,2025082604000411,SHEL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,58,305.1,17695.8,2025-08-26 11:18:22.311443
2025-08-26,42995,2025082604000434,SHEL,Elite Stock House Limited,ABC Securities Private Limited,195,306.0,59670.0,2025-08-26 11:18:58.337200
2025-08-26,42994,2025082604000435,SHEL,Elite Stock House Limited,J.F. Securites (PVT) Ltd.,50,306.5,15325.0,2025-08-26 11:18:58.337387
2025-08-26,42993,2025082604000436,SHEL,Elite Stock House Limited,ABC Securities Private Limited,50,307.0,15350.0,2025-08-26 11:18:58.337457
2025-08-26,42292,2025082604000572,SHEL,ABC Securities Private Limited,KALASH STOCK MARKET PVT. LTD.,84,306.9,25779.6,2025-08-26 11:23:07.918229
2025-08-26,42291,2025082604000573,SHEL,ABC Securities Private Limited,Pragyan Securities (PVT) Ltd.,16,307.0,4912.0,2025-08-26 11:23:07.918642
2025-08-26,41689,2025082604000707,SHEL,Thrive Brokerage House Pvt. Ltd,Pragyan Securities (PVT) Ltd.,130,307.0,39910.0,2025-08-26 11:27:50.399682
2025-08-26,40948,2025082604000871,SHEL,Opal Securities Investment (PVT) Ltd.,Primo Securities (PVT) Ltd.,640,306.0,195840.0,2025-08-26 11:33:05.040557
