Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-27,72508,2025082701000007,KBL,Sri Hari Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,205.0,2050.0,2025-08-27T10:46:00.031215
2025-08-27,72467,2025082701000023,KBL,Sani Securities Company Ltd.,Sani Securities Company Ltd.,42,202.0,8484.0,2025-08-27T10:46:00.265839
2025-08-27,72319,2025082701000045,KBL,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,46,202.0,9292.0,2025-08-27T11:02:04.812222
2025-08-27,72206,2025082701000072,KBL,Kohinoor Investment & Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,11,203.0,2233.0,2025-08-27T11:03:14.736088
2025-08-27,72172,2025082701000078,KBL,Himalayan Securities Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,579,203.0,117537.0,2025-08-27T11:03:38.32222
2025-08-27,72169,2025082701000079,KBL,Himalayan Securities Limited,Thrive Brokerage House Pvt. Ltd,80,203.0,16240.0,2025-08-27T11:03:40.634445
2025-08-27,72147,2025082701000084,KBL,Himalayan Securities Limited,Imperial Securities Company Pvt. Ltd.,7000,203.0,1421000.0,2025-08-27T11:03:56.437838
2025-08-27,72069,2025082701000103,KBL,Himalayan Securities Limited,Sundhara Securities Limited,341,203.0,69223.0,2025-08-27T11:04:34.246125
2025-08-27,72068,2025082701000104,KBL,Kalika Securities Pvt. Ltd.,Sundhara Securities Limited,19,203.0,3857.0,2025-08-27T11:04:34.246288
2025-08-27,71605,2025082701000185,KBL,Stoxkarts Securities Limited,Sanima Securities Limited,20,202.5,4050.0,2025-08-27T11:08:02.593227
2025-08-27,71581,2025082701000193,KBL,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,375,203.0,76125.0,2025-08-27T11:08:14.16567
2025-08-27,71580,2025082701000194,KBL,Naasa Securities Co. Ltd.,KALASH STOCK MARKET PVT. LTD.,1000,203.0,203000.0,2025-08-27T11:08:14.165945
2025-08-27,71579,2025082701000195,KBL,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,400,203.0,81200.0,2025-08-27T11:08:14.166135
2025-08-27,71524,2025082701000204,KBL,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,225,203.0,45675.0,2025-08-27T11:08:31.529472
2025-08-27,71523,2025082701000205,KBL,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,407,202.0,82214.0,2025-08-27T11:08:31.529623
2025-08-27,71522,2025082701000206,KBL,Premier Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,24,202.0,4848.0,2025-08-27T11:08:31.529702
2025-08-27,71480,2025082701000210,KBL,Midas Stock Broking Company Private Limited,Online Securities Pvt. Ltd.,45,202.1,9094.5,2025-08-27T11:08:48.298267
2025-08-27,71443,2025082701000218,KBL,Midas Stock Broking Company Private Limited,Nepal Stock House (PVT) Ltd.,255,202.1,51535.5,2025-08-27T11:08:58.411962
2025-08-27,71442,2025082701000219,KBL,Premier Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,26,202.0,5252.0,2025-08-27T11:08:58.412258
2025-08-27,71441,2025082701000220,KBL,Opal Securities Investment (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,11,202.0,2222.0,2025-08-27T11:08:58.412427
2025-08-27,71440,2025082701000221,KBL,ABC Securities Private Limited,Nepal Stock House (PVT) Ltd.,133,202.0,26866.0,2025-08-27T11:08:58.412598
2025-08-27,71387,2025082701000234,KBL,ABC Securities Private Limited,Nepal Stock House (PVT) Ltd.,97,202.0,19594.0,2025-08-27T11:09:15.769105
2025-08-27,71386,2025082701000235,KBL,Online Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,158,202.0,31916.0,2025-08-27T11:09:15.769287
2025-08-27,71318,2025082701000254,KBL,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,42,202.0,8484.0,2025-08-27T11:09:43.433838
2025-08-27,71317,2025082701000255,KBL,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,50,201.5,10075.0,2025-08-27T11:09:43.433892
2025-08-27,71316,2025082701000256,KBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,49,201.0,9849.0,2025-08-27T11:09:43.433921
2025-08-27,71315,2025082701000257,KBL,Sani Securities Company Ltd.,Aryatara Investment & Securities,1934,201.0,388734.0,2025-08-27T11:09:43.43394
2025-08-27,71217,2025082701000273,KBL,Kohinoor Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,10,203.0,2030.0,2025-08-27T11:10:24.362519
2025-08-27,70500,2025082701000412,KBL,Naasa Securities Co. Ltd.,Sundhara Securities Limited,100,202.9,20290.0,2025-08-27T11:14:25.128096
2025-08-27,70277,2025082701000448,KBL,Dynamic Money Managers Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,500,201.3,100650.0,2025-08-27T11:15:38.285465
2025-08-27,70223,2025082701000458,KBL,Dynamic Money Managers Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,1000,201.2,201200.0,2025-08-27T11:16:03.653733
2025-08-27,70222,2025082701000459,KBL,Nepal Stock House (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,164,201.2,32996.8,2025-08-27T11:16:03.654112
2025-08-27,70058,2025082701000489,KBL,Kohinoor Investment & Securities Pvt. Ltd.,Sundhara Securities Limited,10,202.9,2029.0,2025-08-27T11:17:07.69533
2025-08-27,69981,2025082701000498,KBL,Nepal Investment And Securities Trading Private Limited,Sani Securities Company Ltd.,15,202.0,3030.0,2025-08-27T11:17:29.949789
2025-08-27,69660,2025082701000550,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,85,202.0,17170.0,2025-08-27T11:19:18.7689
2025-08-27,69659,2025082701000551,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Trisul Securities & Invt. Ltd.,150,202.0,30300.0,2025-08-27T11:19:18.769091
2025-08-27,69658,2025082701000552,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,500,202.9,101450.0,2025-08-27T11:19:18.769184
2025-08-27,69657,2025082701000553,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Vision Securities Pvt. Ltd,110,203.0,22330.0,2025-08-27T11:19:18.769271
2025-08-27,69656,2025082701000554,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Kumari Securities Private Limited,500,203.0,101500.0,2025-08-27T11:19:18.769357
2025-08-27,69655,2025082701000555,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Oxford Securities Pvt. Ltd.,365,203.0,74095.0,2025-08-27T11:19:18.769444
2025-08-27,69654,2025082701000556,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Oxford Securities Pvt. Ltd.,165,203.0,33495.0,2025-08-27T11:19:18.769607
2025-08-27,69590,2025082701000564,KBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Aryatara Investment & Securities,125,203.0,25375.0,2025-08-27T11:19:42.177193
2025-08-27,68795,2025082701000631,KBL,Premier Securities Company Ltd.,Aryatara Investment & Securities,275,203.0,55825.0,2025-08-27T11:22:57.769391
2025-08-27,68583,2025082701000672,KBL,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,100,203.0,20300.0,2025-08-27T11:23:59.57164
2025-08-27,68490,2025082701000700,KBL,Premier Securities Company Ltd.,Sundhara Securities Limited,75,203.0,15225.0,2025-08-27T11:24:34.384172
2025-08-27,68205,2025082701000762,KBL,APPLE SECURITIES PRIVATE LIMITED,Capital Max Securities Ltd,2000,203.3,406600.0,2025-08-27T11:25:48.369877
2025-08-27,68204,2025082701000763,KBL,APPLE SECURITIES PRIVATE LIMITED,South Asian Bulls Pvt. Ltd.,100,203.9,20390.0,2025-08-27T11:25:48.370101
2025-08-27,68203,2025082701000764,KBL,APPLE SECURITIES PRIVATE LIMITED,Bhrikuti Stock Broking Co. Pvt. Ltd.,400,204.0,81600.0,2025-08-27T11:25:48.370213
2025-08-27,67635,2025082701000874,KBL,Oxford Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,50,203.9,10195.0,2025-08-27T11:28:01.754038
2025-08-27,67612,2025082701000876,KBL,Kalika Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,1,203.0,203.0,2025-08-27T11:28:08.317873
