Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-08-27,71808,2025082703000086,MDB,Siprabi Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,20,629.0,12580.0,2025-08-27T11:06:31.103299
2025-08-27,67164,2025082703000725,MDB,Sundhara Securities Limited,Sumeru Securities Pvt. Ltd.,100,624.0,62400.0,2025-08-27T11:29:57.834748
2025-08-27,66934,2025082703000765,MDB,Sundhara Securities Limited,Sumeru Securities Pvt. Ltd.,100,624.0,62400.0,2025-08-27T11:31:01.074153
2025-08-27,66575,2025082703000838,MDB,Aryatara Investment & Securities,Sumeru Securities Pvt. Ltd.,316,624.0,197184.0,2025-08-27T11:32:25.485661
2025-08-27,66279,2025082703000886,MDB,Sundhara Securities Limited,Imperial Securities Company Pvt. Ltd.,10,626.0,6260.0,2025-08-27T11:33:28.715973
2025-08-27,66156,2025082703000902,MDB,Sundhara Securities Limited,Malla & Malla Stock Broking Company Pvt. Limited,20,627.0,12540.0,2025-08-27T11:33:49.778548
2025-08-27,66063,2025082703000928,MDB,Sundhara Securities Limited,Linch Stock Market Ltd.,70,627.8,43946.0,2025-08-27T11:34:07.838206
2025-08-27,65497,2025082703001032,MDB,Sipla Securities Private Limited,Linch Stock Market Ltd.,10,627.8,6278.0,2025-08-27T11:35:45.881879
2025-08-27,65113,2025082703001097,MDB,Sipla Securities Private Limited,Himalayan Brokerage Company Limited,10,627.8,6278.0,2025-08-27T11:36:54.498087
2025-08-27,64421,2025082703001252,MDB,Sundhara Securities Limited,Himalayan Brokerage Company Limited,50,627.0,31350.0,2025-08-27T11:39:57.1824
2025-08-27,64336,2025082703001276,MDB,Vision Securities Pvt. Ltd,Himalayan Brokerage Company Limited,340,627.0,213180.0,2025-08-27T11:40:11.343782
2025-08-27,64174,2025082703001300,MDB,Vision Securities Pvt. Ltd,South Asian Bulls Pvt. Ltd.,100,627.0,62700.0,2025-08-27T11:40:51.676164
2025-08-27,64118,2025082703001309,MDB,Vision Securities Pvt. Ltd,Trisul Securities & Invt. Ltd.,400,627.0,250800.0,2025-08-27T11:41:09.738257
2025-08-27,63844,2025082703001356,MDB,Cristal Kanchanjanga Securites Pvt. Ltd.,Vision Securities Pvt. Ltd,100,627.9,62790.0,2025-08-27T11:42:02.738862
2025-08-27,63843,2025082703001357,MDB,Cristal Kanchanjanga Securites Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,100,628.0,62800.0,2025-08-27T11:42:02.738957
2025-08-27,63629,2025082703001401,MDB,Sundhara Securities Limited,Sumeru Securities Pvt. Ltd.,50,628.9,31445.0,2025-08-27T11:42:54.833493
2025-08-27,63562,2025082703001417,MDB,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,160,627.0,100320.0,2025-08-27T11:43:10.906701
2025-08-27,63501,2025082703001426,MDB,Cristal Kanchanjanga Securites Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,500,627.0,313500.0,2025-08-27T11:43:29.058038
2025-08-27,63487,2025082703001429,MDB,Aryatara Investment & Securities,Opal Securities Investment (PVT) Ltd.,339,627.0,212553.0,2025-08-27T11:43:33.92391
2025-08-27,62981,2025082703001512,MDB,Deevyaa Securities & Stock House Pvt. Ltd,Sumeru Securities Pvt. Ltd.,50,628.9,31445.0,2025-08-27T11:45:42.769481
2025-08-27,62980,2025082703001513,MDB,Deevyaa Securities & Stock House Pvt. Ltd,Sweta Securities Private Limited,20,629.0,12580.0,2025-08-27T11:45:42.76968
2025-08-27,62979,2025082703001514,MDB,Deevyaa Securities & Stock House Pvt. Ltd,Sumeru Securities Pvt. Ltd.,100,630.0,63000.0,2025-08-27T11:45:42.769805
