Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-28,75608,2025082805000948,CIT,Sundhara Securities Limited,Malla & Malla Stock Broking Company Pvt. Limited,10,1932.0,19320.0,2025-08-28 11:11:31.854570
2025-08-28,71973,2025082805002127,CIT,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Online Securities Pvt. Ltd.,10,1932.1,19321.0,2025-08-28 11:23:00.307795
2025-08-28,71972,2025082805002128,CIT,South Asian Bulls Pvt. Ltd.,Online Securities Pvt. Ltd.,50,1932.0,96600.0,2025-08-28 11:23:00.307915
2025-08-28,71971,2025082805002129,CIT,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,50,1932.0,96600.0,2025-08-28 11:23:00.307962
2025-08-28,71970,2025082805002130,CIT,Primo Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,50,1932.0,96600.0,2025-08-28 11:23:00.308007
2025-08-28,71969,2025082805002131,CIT,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,25,1932.0,48300.0,2025-08-28 11:23:00.308048
2025-08-28,71968,2025082805002132,CIT,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,100,1932.0,193200.0,2025-08-28 11:23:00.308090
2025-08-28,71967,2025082805002133,CIT,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,15,1931.3,28969.5,2025-08-28 11:23:00.308130
2025-08-28,71633,2025082805002270,CIT,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,25,1931.4,48285.0,2025-08-28 11:23:43.740035
2025-08-28,71065,2025082805002435,CIT,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,35,1931.3,67595.5,2025-08-28 11:25:02.438055
2025-08-28,71064,2025082805002436,CIT,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,51,1931.3,98496.3,2025-08-28 11:25:02.438167
2025-08-28,71063,2025082805002437,CIT,Asian Securities Private Ltd.,Online Securities Pvt. Ltd.,100,1931.1,193110.0,2025-08-28 11:25:02.438236
2025-08-28,71062,2025082805002438,CIT,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,14,1931.0,27034.0,2025-08-28 11:25:02.438293
2025-08-28,70746,2025082805002531,CIT,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,64,1931.0,123584.0,2025-08-28 11:25:54.758457
2025-08-28,70745,2025082805002532,CIT,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,200,1930.1,386020.0,2025-08-28 11:25:54.758524
2025-08-28,70744,2025082805002533,CIT,Pragyan Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,15,1930.0,28950.0,2025-08-28 11:25:54.758563
2025-08-28,70743,2025082805002534,CIT,Opal Securities Investment (PVT) Ltd.,Online Securities Pvt. Ltd.,10,1930.0,19300.0,2025-08-28 11:25:54.758609
2025-08-28,70742,2025082805002535,CIT,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,20,1930.0,38600.0,2025-08-28 11:25:54.758637
2025-08-28,70741,2025082805002536,CIT,Asian Securities Private Ltd.,Online Securities Pvt. Ltd.,11,1930.0,21230.0,2025-08-28 11:25:54.758661
2025-08-28,70740,2025082805002537,CIT,Agrawal Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,50,1930.0,96500.0,2025-08-28 11:25:54.758688
2025-08-28,70739,2025082805002538,CIT,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,28,1928.2,53989.6,2025-08-28 11:25:54.758714
2025-08-28,70738,2025082805002539,CIT,Asian Securities Private Ltd.,Online Securities Pvt. Ltd.,50,1928.1,96405.0,2025-08-28 11:25:54.758737
2025-08-28,70737,2025082805002540,CIT,Asian Securities Private Ltd.,Online Securities Pvt. Ltd.,42,1928.1,80980.2,2025-08-28 11:25:54.758760
2025-08-28,70112,2025082805002767,CIT,Asian Securities Private Ltd.,Online Securities Pvt. Ltd.,10,1928.1,19281.0,2025-08-28 11:27:41.742724
2025-08-28,67771,2025082805003561,CIT,Siprabi Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,40,1928.6,77144.0,2025-08-28 11:34:36.085076
2025-08-28,67770,2025082805003562,CIT,Sagarmatha Securities Private Limited,Vision Securities Pvt. Ltd,53,1928.5,102210.5,2025-08-28 11:34:36.085239
2025-08-28,67769,2025082805003563,CIT,Nepal Investment And Securities Trading Private Limited,Vision Securities Pvt. Ltd,39,1928.3,75203.7,2025-08-28 11:34:36.085292
2025-08-28,67768,2025082805003564,CIT,Pragyan Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,20,1928.2,38564.0,2025-08-28 11:34:36.085351
2025-08-28,67767,2025082805003565,CIT,Asian Securities Private Ltd.,Vision Securities Pvt. Ltd,48,1928.1,92548.8,2025-08-28 11:34:36.085401
2025-08-28,63832,2025082805005028,CIT,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,15,1932.0,28980.0,2025-08-28 11:50:24.027217
2025-08-28,62837,2025082805005320,CIT,Aryatara Investment & Securities,Deevyaa Securities & Stock House Pvt. Ltd,100,1931.1,193110.0,2025-08-28 11:53:53.885139
2025-08-28,62836,2025082805005321,CIT,Premier Securities Company Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,1931.0,193100.0,2025-08-28 11:53:53.885549
2025-08-28,62614,2025082805005394,CIT,Deevyaa Securities & Stock House Pvt. Ltd,Deevyaa Securities & Stock House Pvt. Ltd,50,1931.0,96550.0,2025-08-28 11:54:31.296978
2025-08-28,62601,2025082805005405,CIT,South Asian Bulls Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,50,1931.0,96550.0,2025-08-28 11:54:32.466739
2025-08-28,62439,2025082805005481,CIT,Pragyan Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,17,1930.0,32810.0,2025-08-28 11:55:11.680391
2025-08-28,62438,2025082805005482,CIT,Citizens Share Broker Limited,Deevyaa Securities & Stock House Pvt. Ltd,100,1930.0,193000.0,2025-08-28 11:55:11.680582
2025-08-28,62437,2025082805005483,CIT,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,1930.0,19300.0,2025-08-28 11:55:11.680644
2025-08-28,62321,2025082805005532,CIT,ABC Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,43,1930.0,82990.0,2025-08-28 11:55:36.088611
2025-08-28,61877,2025082805005702,CIT,Agrawal Securities (PVT) Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,4,1928.0,7712.0,2025-08-28 11:57:20.814711
2025-08-28,61737,2025082805005774,CIT,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2,1928.0,3856.0,2025-08-28 11:57:48.016030
2025-08-28,61703,2025082805005793,CIT,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,15,1933.0,28995.0,2025-08-28 11:57:54.900283
2025-08-28,59560,2025082805006645,CIT,Linch Stock Market Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,35,1936.0,67760.0,2025-08-28 12:05:41.015802
2025-08-28,59559,2025082805006646,CIT,Agrawal Securities (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,20,1936.0,38720.0,2025-08-28 12:05:41.016173
2025-08-28,59558,2025082805006647,CIT,Trishakti Securities Public Limited,Dynamic Money Managers Securities Pvt. Ltd.,66,1936.0,127776.0,2025-08-28 12:05:41.016410
2025-08-28,59070,2025082805006873,CIT,Trishakti Securities Public Limited,Dakshinkali Investment & Securities Pvt. Ltd.,14,1936.0,27104.0,2025-08-28 12:07:46.582563
2025-08-28,59069,2025082805006874,CIT,South Asian Bulls Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,50,1935.1,96755.0,2025-08-28 12:07:46.582655
2025-08-28,59068,2025082805006875,CIT,Online Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,50,1935.0,96750.0,2025-08-28 12:07:46.582685
2025-08-28,59067,2025082805006876,CIT,Sri Hari Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,86,1933.0,166238.0,2025-08-28 12:07:46.582711
2025-08-28,58989,2025082805006903,CIT,Sri Hari Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,14,1933.0,27062.0,2025-08-28 12:08:01.666367
2025-08-28,58988,2025082805006904,CIT,Linch Stock Market Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,50,1932.5,96625.0,2025-08-28 12:08:01.666454
2025-08-28,58987,2025082805006905,CIT,Online Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,80,1932.0,154560.0,2025-08-28 12:08:01.666482
2025-08-28,58986,2025082805006906,CIT,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,56,1932.0,108192.0,2025-08-28 12:08:01.666507
2025-08-28,56326,2025082805007879,CIT,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,10,1940.0,19400.0,2025-08-28 12:15:48.102108
2025-08-28,56130,2025082805007943,CIT,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,44,1932.0,85008.0,2025-08-28 12:16:35.429516
2025-08-28,56129,2025082805007944,CIT,Capital Max Securities Ltd,Sri Hari Securities Pvt. Ltd.,25,1932.0,48300.0,2025-08-28 12:16:35.429715
2025-08-28,56128,2025082805007945,CIT,Sumeru Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,10,1932.0,19320.0,2025-08-28 12:16:35.429796
2025-08-28,56127,2025082805007946,CIT,ABC Securities Private Limited,Sri Hari Securities Pvt. Ltd.,107,1931.5,206670.5,2025-08-28 12:16:35.429869
2025-08-28,56126,2025082805007947,CIT,Sewa Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,200,1931.0,386200.0,2025-08-28 12:16:35.429948
2025-08-28,56125,2025082805007948,CIT,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sri Hari Securities Pvt. Ltd.,15,1931.0,28965.0,2025-08-28 12:16:35.430026
2025-08-28,56124,2025082805007949,CIT,Online Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,50,1930.0,96500.0,2025-08-28 12:16:35.430100
2025-08-28,56123,2025082805007950,CIT,Sani Securities Company Ltd.,Sri Hari Securities Pvt. Ltd.,30,1930.0,57900.0,2025-08-28 12:16:35.430183
2025-08-28,56122,2025082805007951,CIT,Imperial Securities Company Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,19,1930.0,36670.0,2025-08-28 12:16:35.430287
2025-08-28,56077,2025082805007975,CIT,Midas Stock Broking Company Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,1940.0,19400.0,2025-08-28 12:16:46.337939
2025-08-28,54924,2025082805008397,CIT,Aryatara Investment & Securities,SHUBHAKAMANA SECURITIES PVT. LTD,100,1931.1,193110.0,2025-08-28 12:22:15.976729
2025-08-28,54923,2025082805008398,CIT,Asian Securities Private Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,250,1931.0,482750.0,2025-08-28 12:22:15.976946
2025-08-28,54922,2025082805008399,CIT,Vision Securities Pvt. Ltd,SHUBHAKAMANA SECURITIES PVT. LTD,16,1930.2,30883.2,2025-08-28 12:22:15.977033
2025-08-28,54690,2025082805008452,CIT,Midas Stock Broking Company Private Limited,Capital Max Securities Ltd,10,1938.0,19380.0,2025-08-28 12:23:19.846814
2025-08-28,52898,2025082805009114,CIT,Capital Max Securities Ltd,Capital Max Securities Ltd,10,1930.4,19304.0,2025-08-28 12:30:00.547260
2025-08-28,52897,2025082805009115,CIT,Nepal Investment And Securities Trading Private Limited,Capital Max Securities Ltd,60,1930.3,115818.0,2025-08-28 12:30:00.547667
2025-08-28,51515,2025082805009598,CIT,Nepal Investment And Securities Trading Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,115,1930.3,221984.5,2025-08-28 12:33:09.374189
2025-08-28,51514,2025082805009599,CIT,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,120,1930.3,231636.0,2025-08-28 12:33:09.374436
2025-08-28,49508,2025082805010204,CIT,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,32,1930.0,61760.0,2025-08-28 12:37:39.647489
2025-08-28,49507,2025082805010205,CIT,Sumeru Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,23,1930.0,44390.0,2025-08-28 12:37:39.647806
2025-08-28,49291,2025082805010289,CIT,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,26,1930.0,50180.0,2025-08-28 12:38:14.844005
2025-08-28,49185,2025082805010329,CIT,Sumeru Securities Pvt. Ltd.,Premier Securities Company Ltd.,89,1930.0,171770.0,2025-08-28 12:38:29.083106
2025-08-28,49184,2025082805010330,CIT,Kumari Securities Private Limited,Premier Securities Company Ltd.,50,1930.0,96500.0,2025-08-28 12:38:29.083333
2025-08-28,49183,2025082805010331,CIT,Sewa Securities Pvt. Ltd.,Premier Securities Company Ltd.,10,1930.0,19300.0,2025-08-28 12:38:29.083410
