Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-28,78258,2025082801000018,EBL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,20,745.0,14900.0,2025-08-28 11:00:41.511119
2025-08-28,78257,2025082801000019,EBL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,180,745.0,134100.0,2025-08-28 11:00:41.511259
2025-08-28,78107,2025082801000057,EBL,Primo Securities (PVT) Ltd.,Sweta Securities Private Limited,93,750.0,69750.0,2025-08-28 11:01:37.819631
2025-08-28,78021,2025082801000082,EBL,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,90,745.0,67050.0,2025-08-28 11:02:13.323596
2025-08-28,78020,2025082801000083,EBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,410,745.0,305450.0,2025-08-28 11:02:13.323753
2025-08-28,77230,2025082801000296,EBL,Sewa Securities Pvt. Ltd.,Secured Securities Ltd.,50,745.3,37265.0,2025-08-28 11:05:13.680613
2025-08-28,77169,2025082801000314,EBL,Imperial Securities Company Pvt. Ltd.,Kumari Securities Private Limited,50,746.0,37300.0,2025-08-28 11:05:29.743792
2025-08-28,76992,2025082801000355,EBL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,1081,746.0,806426.0,2025-08-28 11:06:11.823042
2025-08-28,76662,2025082801000456,EBL,South Asian Bulls Pvt. Ltd.,Vision Securities Pvt. Ltd,100,746.1,74610.0,2025-08-28 11:07:36.783643
2025-08-28,76661,2025082801000457,EBL,Primo Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,100,746.1,74610.0,2025-08-28 11:07:36.783733
2025-08-28,76660,2025082801000458,EBL,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,300,746.0,223800.0,2025-08-28 11:07:36.783783
2025-08-28,76628,2025082801000463,EBL,Imperial Securities Company Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,513,748.5,383980.5,2025-08-28 11:07:45.608227
2025-08-28,76627,2025082801000464,EBL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,356,748.9,266608.4,2025-08-28 11:07:45.608322
2025-08-28,76602,2025082801000471,EBL,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,746.0,149200.0,2025-08-28 11:07:50.774454
2025-08-28,76213,2025082801000548,EBL,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,10,748.9,7489.0,2025-08-28 11:09:15.905996
2025-08-28,76186,2025082801000555,EBL,Sani Securities Company Ltd.,Aryatara Investment & Securities,100,746.0,74600.0,2025-08-28 11:09:26.854519
2025-08-28,76185,2025082801000556,EBL,Sani Securities Company Ltd.,Aryatara Investment & Securities,225,746.0,167850.0,2025-08-28 11:09:26.854726
2025-08-28,76184,2025082801000557,EBL,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,175,746.0,130550.0,2025-08-28 11:09:26.854861
2025-08-28,75990,2025082801000594,EBL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,134,748.9,100352.6,2025-08-28 11:10:12.349020
2025-08-28,75989,2025082801000595,EBL,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,17,749.0,12733.0,2025-08-28 11:10:12.349134
2025-08-28,75988,2025082801000596,EBL,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,849,750.0,636750.0,2025-08-28 11:10:12.349178
2025-08-28,75960,2025082801000602,EBL,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,151,750.0,113250.0,2025-08-28 11:10:19.420509
2025-08-28,75959,2025082801000603,EBL,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,50,750.0,37500.0,2025-08-28 11:10:19.420608
2025-08-28,75268,2025082801000754,EBL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,10,747.0,7470.0,2025-08-28 11:12:49.485505
2025-08-28,75230,2025082801000763,EBL,Secured Securities Ltd.,Naasa Securities Co. Ltd.,30,750.0,22500.0,2025-08-28 11:13:01.511132
2025-08-28,74650,2025082801000888,EBL,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,10,752.9,7529.0,2025-08-28 11:14:57.863437
2025-08-28,74337,2025082801000936,EBL,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,40,752.9,30116.0,2025-08-28 11:15:46.926069
2025-08-28,74336,2025082801000937,EBL,Sweta Securities Private Limited,Aryatara Investment & Securities,1000,753.0,753000.0,2025-08-28 11:15:46.926186
2025-08-28,74262,2025082801000951,EBL,Sweta Securities Private Limited,Shree Krishna Securities Ltd.,10,755.0,7550.0,2025-08-28 11:15:59.025615
2025-08-28,72726,2025082801001365,EBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Neev Securities Pvt. Ltd.,90,749.0,67410.0,2025-08-28 11:20:52.219437
2025-08-28,72725,2025082801001366,EBL,Imperial Securities Company Pvt. Ltd.,Neev Securities Pvt. Ltd.,20,749.0,14980.0,2025-08-28 11:20:52.219581
2025-08-28,72724,2025082801001367,EBL,Sani Securities Company Ltd.,Neev Securities Pvt. Ltd.,166,748.7,124284.2,2025-08-28 11:20:52.219648
