Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-08-28,78083,2025082805000084,HIDCL,Investment Management Nepal Pvt. Ltd.,Nagarik Stock Dealer ,10,291.0,2910.0,2025-08-28 11:01:49.024156
2025-08-28,78077,2025082805000087,HIDCL,Investment Management Nepal Pvt. Ltd.,Oxford Securities Pvt. Ltd.,10,291.0,2910.0,2025-08-28 11:01:51.447667
2025-08-28,77337,2025082805000300,HIDCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,200,291.3,58260.0,2025-08-28 11:04:51.119659
2025-08-28,77336,2025082805000301,HIDCL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,800,291.3,233040.0,2025-08-28 11:04:51.119744
2025-08-28,77194,2025082805000344,HIDCL,Arun Securities (PVT) Ltd.,Online Securities Pvt. Ltd.,150,292.0,43800.0,2025-08-28 11:05:23.075173
2025-08-28,76610,2025082805000542,HIDCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Agrawal Securities (PVT) Ltd.,11,292.5,3217.5,2025-08-28 11:07:49.643364
2025-08-28,76312,2025082805000674,HIDCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Oxford Securities Pvt. Ltd.,189,292.5,55282.5,2025-08-28 11:08:48.289159
2025-08-28,76311,2025082805000675,HIDCL,Arun Securities (PVT) Ltd.,Oxford Securities Pvt. Ltd.,111,292.5,32467.5,2025-08-28 11:08:48.289280
2025-08-28,76245,2025082805000696,HIDCL,MILKY WAY SHARE BROKER COMPANY LTD ,Capital Max Securities Ltd,500,294.0,147000.0,2025-08-28 11:09:08.341434
2025-08-28,76162,2025082805000728,HIDCL,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,408,294.0,119952.0,2025-08-28 11:09:34.559294
2025-08-28,74848,2025082805001186,HIDCL,Arun Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,21,294.0,6174.0,2025-08-28 11:14:28.827003
2025-08-28,74847,2025082805001187,HIDCL,Arun Securities (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,100,294.0,29400.0,2025-08-28 11:14:28.827148
2025-08-28,74211,2025082805001425,HIDCL,MILKY WAY SHARE BROKER COMPANY LTD ,Dynamic Money Managers Securities Pvt. Ltd.,500,295.0,147500.0,2025-08-28 11:16:09.428721
2025-08-28,74198,2025082805001428,HIDCL,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,100,294.1,29410.0,2025-08-28 11:16:11.801962
2025-08-28,74197,2025082805001429,HIDCL,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,50,294.1,14705.0,2025-08-28 11:16:11.802124
2025-08-28,73787,2025082805001573,HIDCL,Kalika Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,1000,295.9,295900.0,2025-08-28 11:17:28.803890
2025-08-28,72965,2025082805001808,HIDCL,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,295.1,29510.0,2025-08-28 11:20:05.715289
2025-08-28,72964,2025082805001809,HIDCL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,44,295.1,12984.4,2025-08-28 11:20:05.715337
2025-08-28,72826,2025082805001860,HIDCL,Nabil Stock Dealer Ltd.,Roadshow securities limited,68,295.3,20080.4,2025-08-28 11:20:33.277925
2025-08-28,72825,2025082805001861,HIDCL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Roadshow securities limited,2446,295.1,721814.6,2025-08-28 11:20:33.278028
2025-08-28,72824,2025082805001862,HIDCL,ABC Securities Private Limited,Roadshow securities limited,500,295.0,147500.0,2025-08-28 11:20:33.278132
2025-08-28,72823,2025082805001863,HIDCL,Aryatara Investment & Securities,Roadshow securities limited,786,295.0,231870.0,2025-08-28 11:20:33.278202
2025-08-28,72187,2025082805002068,HIDCL,Aryatara Investment & Securities,Roadshow securities limited,14,295.0,4130.0,2025-08-28 11:22:24.565105
2025-08-28,72186,2025082805002069,HIDCL,Trishakti Securities Public Limited,Roadshow securities limited,85,295.0,25075.0,2025-08-28 11:22:24.565375
2025-08-28,71746,2025082805002235,HIDCL,Trisul Securities & Invt. Ltd.,Sumeru Securities Pvt. Ltd.,200,294.4,58880.0,2025-08-28 11:23:26.173011
2025-08-28,71210,2025082805002384,HIDCL,Online Securities Pvt. Ltd.,Linch Stock Market Ltd.,18,294.1,5293.8,2025-08-28 11:24:42.049765
2025-08-28,71081,2025082805002426,HIDCL,Sani Securities Company Ltd.,Aryatara Investment & Securities,10,295.0,2950.0,2025-08-28 11:25:01.506354
