Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-08-28,78336,2025082804000016,UPPER,Naasa Securities Co. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,199.2,1992.0,2025-08-28 10:46:00.050181
2025-08-28,78294,2025082804000025,UPPER,Nepal Stock House (PVT) Ltd.,Sewa Securities Pvt. Ltd.,10,196.0,1960.0,2025-08-28 11:00:21.701737
2025-08-28,78007,2025082804000111,UPPER,Naasa Securities Co. Ltd.,Sewa Securities Pvt. Ltd.,14,196.0,2744.0,2025-08-28 11:02:18.733475
2025-08-28,77958,2025082804000132,UPPER,Sri Hari Securities Pvt. Ltd.,Sewa Securities Pvt. Ltd.,19,196.0,3724.0,2025-08-28 11:02:31.711997
2025-08-28,77944,2025082804000134,UPPER,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,20,195.1,3902.0,2025-08-28 11:02:36.903742
2025-08-28,77943,2025082804000135,UPPER,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,200,195.1,39020.0,2025-08-28 11:02:36.903824
2025-08-28,77942,2025082804000136,UPPER,J.F. Securites (PVT) Ltd.,Online Securities Pvt. Ltd.,280,195.0,54600.0,2025-08-28 11:02:36.903859
2025-08-28,77700,2025082804000216,UPPER,Nepal Stock House (PVT) Ltd.,Sewa Securities Pvt. Ltd.,57,196.0,11172.0,2025-08-28 11:03:32.251721
2025-08-28,77344,2025082804000355,UPPER,J.F. Securites (PVT) Ltd.,Naasa Securities Co. Ltd.,115,195.0,22425.0,2025-08-28 11:04:49.571330
2025-08-28,77311,2025082804000372,UPPER,Imperial Securities Company Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,25,196.0,4900.0,2025-08-28 11:04:54.651135
2025-08-28,77016,2025082804000458,UPPER,Nepal Stock House (PVT) Ltd.,Nabil Stock Dealer Ltd.,70,196.0,13720.0,2025-08-28 11:06:04.705078
2025-08-28,76878,2025082804000485,UPPER,Sani Securities Company Ltd.,Nabil Stock Dealer Ltd.,10,196.0,1960.0,2025-08-28 11:06:41.155558
2025-08-28,76754,2025082804000508,UPPER,J.F. Securites (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,40,195.0,7800.0,2025-08-28 11:07:10.163355
2025-08-28,76569,2025082804000554,UPPER,J.F. Securites (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,16,195.0,3120.0,2025-08-28 11:07:57.042544
2025-08-28,76518,2025082804000574,UPPER,J.F. Securites (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,149,195.0,29055.0,2025-08-28 11:08:08.463554
2025-08-28,76517,2025082804000575,UPPER,Linch Stock Market Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,30,195.0,5850.0,2025-08-28 11:08:08.463752
