Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-01,68749,2025090104000005,CHL,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,946,265.0,250690.0,2025-09-01 10:46:00.030997
2025-09-01,67896,2025090104000069,CHL,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,20,270.3,5406.0,2025-09-01 11:03:12.821524
2025-09-01,67132,2025090104000131,CHL,Linch Stock Market Ltd.,Midas Stock Broking Company Private Limited,30,266.0,7980.0,2025-09-01 11:06:19.835063
2025-09-01,66931,2025090104000149,CHL,Arun Securities (PVT) Ltd.,Aryatara Investment & Securities,10,265.0,2650.0,2025-09-01 11:07:03.021122
2025-09-01,66930,2025090104000150,CHL,Secured Securities Ltd.,Aryatara Investment & Securities,100,265.0,26500.0,2025-09-01 11:07:03.021218
2025-09-01,66929,2025090104000151,CHL,Opal Securities Investment (PVT) Ltd.,Aryatara Investment & Securities,100,265.0,26500.0,2025-09-01 11:07:03.021248
2025-09-01,66928,2025090104000152,CHL,K.B.L. Securities Limited ,Aryatara Investment & Securities,100,264.0,26400.0,2025-09-01 11:07:03.021277
2025-09-01,66889,2025090104000155,CHL,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,10,266.0,2660.0,2025-09-01 11:07:13.826542
2025-09-01,66499,2025090104000195,CHL,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,10,266.0,2660.0,2025-09-01 11:08:22.380190
2025-09-01,66371,2025090104000224,CHL,Capital Max Securities Ltd,Aryatara Investment & Securities,357,266.0,94962.0,2025-09-01 11:08:53.852743
2025-09-01,66120,2025090104000272,CHL,Capital Max Securities Ltd,Ashutosh Brokerage & Securities (PVT) Ltd.,643,266.0,171038.0,2025-09-01 11:09:48.781990
2025-09-01,66119,2025090104000273,CHL,N.I.M.B. Stock Markets Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,357,265.0,94605.0,2025-09-01 11:09:48.782184
2025-09-01,65830,2025090104000323,CHL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,10,269.5,2695.0,2025-09-01 11:10:36.901483
2025-09-01,65132,2025090104000414,CHL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,10,266.0,2660.0,2025-09-01 11:12:59.749495
2025-09-01,65098,2025090104000417,CHL,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,55,266.0,14630.0,2025-09-01 11:13:08.314570
