Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-01,68727,2025090104000016,LEC,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,10,239.0,2390.0,2025-09-01 10:46:00.045385
2025-09-01,68726,2025090104000017,LEC,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,10,239.0,2390.0,2025-09-01 10:46:00.045405
2025-09-01,68725,2025090104000018,LEC,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,10,239.0,2390.0,2025-09-01 10:46:00.045422
2025-09-01,68724,2025090104000019,LEC,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,10,239.0,2390.0,2025-09-01 10:46:00.045439
2025-09-01,68395,2025090104000034,LEC,Sani Securities Company Ltd.,Creative Securities Pvt Ltd,100,239.0,23900.0,2025-09-01 11:01:38.300723
2025-09-01,68344,2025090104000036,LEC,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,1000,241.9,241900.0,2025-09-01 11:01:50.521245
2025-09-01,68320,2025090104000039,LEC,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,100,242.0,24200.0,2025-09-01 11:01:56.516503
2025-09-01,68319,2025090104000040,LEC,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,1000,242.1,242100.0,2025-09-01 11:01:56.516541
2025-09-01,68318,2025090104000041,LEC,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,633,243.0,153819.0,2025-09-01 11:01:56.516567
2025-09-01,68317,2025090104000042,LEC,Naasa Securities Co. Ltd.,Creative Securities Pvt Ltd,300,243.5,73050.0,2025-09-01 11:01:56.516595
2025-09-01,68316,2025090104000043,LEC,Naasa Securities Co. Ltd.,J.F. Securites (PVT) Ltd.,1050,243.6,255780.0,2025-09-01 11:01:56.516618
2025-09-01,68315,2025090104000044,LEC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,1000,243.7,243700.0,2025-09-01 11:01:56.516660
2025-09-01,68314,2025090104000045,LEC,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,500,243.7,121850.0,2025-09-01 11:01:56.516681
2025-09-01,68313,2025090104000046,LEC,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,300,243.7,73110.0,2025-09-01 11:01:56.516701
2025-09-01,68239,2025090104000052,LEC,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,10,238.8,2388.0,2025-09-01 11:02:11.687583
2025-09-01,67966,2025090104000061,LEC,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,20,238.8,4776.0,2025-09-01 11:02:50.491538
2025-09-01,67965,2025090104000062,LEC,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,20,238.7,4774.0,2025-09-01 11:02:50.491597
2025-09-01,67964,2025090104000063,LEC,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,50,238.6,11930.0,2025-09-01 11:02:50.491623
2025-09-01,67963,2025090104000064,LEC,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,10,238.5,2385.0,2025-09-01 11:02:50.491647
2025-09-01,67827,2025090104000078,LEC,Opal Securities Investment (PVT) Ltd.,SUN SECURITIES PVT LTD,400,238.5,95400.0,2025-09-01 11:03:32.693506
2025-09-01,67617,2025090104000094,LEC,Midas Stock Broking Company Private Limited,Naasa Securities Co. Ltd.,10,235.0,2350.0,2025-09-01 11:04:23.511749
2025-09-01,67616,2025090104000095,LEC,Hatemalo Financial Services Private Limited,Naasa Securities Co. Ltd.,590,235.0,138650.0,2025-09-01 11:04:23.511811
2025-09-01,67126,2025090104000132,LEC,Hatemalo Financial Services Private Limited,Naasa Securities Co. Ltd.,100,238.7,23870.0,2025-09-01 11:06:21.847772
2025-09-01,67125,2025090104000133,LEC,Hatemalo Financial Services Private Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,10,239.0,2390.0,2025-09-01 11:06:21.847914
2025-09-01,67041,2025090104000140,LEC,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,10,235.3,2353.0,2025-09-01 11:06:42.268646
2025-09-01,66814,2025090104000160,LEC,Opal Securities Investment (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,18,235.6,4240.8,2025-09-01 11:07:30.936067
2025-09-01,66813,2025090104000161,LEC,Midas Stock Broking Company Private Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,182,235.5,42861.0,2025-09-01 11:07:30.936155
2025-09-01,66439,2025090104000208,LEC,Online Securities Pvt. Ltd.,Kumari Securities Private Limited,200,238.0,47600.0,2025-09-01 11:08:36.677676
2025-09-01,66438,2025090104000209,LEC,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,10,240.0,2400.0,2025-09-01 11:08:36.677784
2025-09-01,66383,2025090104000222,LEC,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,790,240.0,189600.0,2025-09-01 11:08:48.784351
2025-09-01,66382,2025090104000223,LEC,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,10,235.6,2356.0,2025-09-01 11:08:48.784389
2025-09-01,65841,2025090104000321,LEC,Dakshinkali Investment & Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,10,236.0,2360.0,2025-09-01 11:10:33.955892
2025-09-01,65753,2025090104000335,LEC,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,200,236.0,47200.0,2025-09-01 11:10:54.400917
2025-09-01,65751,2025090104000337,LEC,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,150,236.0,35400.0,2025-09-01 11:10:54.661494
2025-09-01,65692,2025090104000352,LEC,Imperial Securities Company Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,140,236.0,33040.0,2025-09-01 11:11:08.514889
2025-09-01,65292,2025090104000395,LEC,Opal Securities Investment (PVT) Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,500,236.0,118000.0,2025-09-01 11:12:31.632298
2025-09-01,64874,2025090104000449,LEC,Kumari Securities Private Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,500,237.8,118900.0,2025-09-01 11:13:53.240044
2025-09-01,64502,2025090104000479,LEC,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,10,236.1,2361.0,2025-09-01 11:15:01.214965
2025-09-01,62920,2025090104000653,LEC,Nepal Investment And Securities Trading Private Limited,Property Wiard Limited,400,238.0,95200.0,2025-09-01 11:19:47.579308
2025-09-01,62839,2025090104000660,LEC,Creative Securities Pvt Ltd,Naasa Securities Co. Ltd.,10,237.0,2370.0,2025-09-01 11:20:02.298823
2025-09-01,62736,2025090104000678,LEC,Creative Securities Pvt Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,237.0,2370.0,2025-09-01 11:20:22.796484
2025-09-01,62556,2025090104000688,LEC,K.B.L. Securities Limited ,Property Wiard Limited,500,238.0,119000.0,2025-09-01 11:21:01.270003
2025-09-01,62500,2025090104000689,LEC,Creative Securities Pvt Ltd,Naasa Securities Co. Ltd.,10,237.0,2370.0,2025-09-01 11:21:13.054148
2025-09-01,62390,2025090104000708,LEC,Kumari Securities Private Limited,Property Wiard Limited,100,238.0,23800.0,2025-09-01 11:21:30.454015
2025-09-01,62389,2025090104000709,LEC,Kumari Securities Private Limited,Malla & Malla Stock Broking Company Pvt. Limited,100,238.0,23800.0,2025-09-01 11:21:30.454154
2025-09-01,62001,2025090104000756,LEC,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,300,239.0,71700.0,2025-09-01 11:22:39.170307
2025-09-01,61693,2025090104000791,LEC,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,10,238.0,2380.0,2025-09-01 11:23:33.843461
2025-09-01,60695,2025090104000915,LEC,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,200,239.9,47980.0,2025-09-01 11:26:58.112047
2025-09-01,60694,2025090104000916,LEC,Naasa Securities Co. Ltd.,Market Securities & Exchange (PVT) Ltd.,500,240.0,120000.0,2025-09-01 11:26:58.112339
2025-09-01,60641,2025090104000917,LEC,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,10,238.1,2381.0,2025-09-01 11:27:11.204888
2025-09-01,60634,2025090104000918,LEC,Imperial Securities Company Pvt. Ltd.,Indira securities pvt. ltd,90,238.1,21429.0,2025-09-01 11:27:12.167287
2025-09-01,60612,2025090104000919,LEC,Market Securities & Exchange (PVT) Ltd.,Indira securities pvt. ltd,110,238.1,26191.0,2025-09-01 11:27:17.917719
2025-09-01,60608,2025090104000921,LEC,Market Securities & Exchange (PVT) Ltd.,Capital Max Securities Ltd,10,238.2,2382.0,2025-09-01 11:27:20.405460
2025-09-01,60607,2025090104000922,LEC,Kumari Securities Private Limited,Capital Max Securities Ltd,290,238.0,69020.0,2025-09-01 11:27:20.405708
2025-09-01,60426,2025090104000937,LEC,R.B.B. Securities Company Ltd,Capital Max Securities Ltd,1000,238.0,238000.0,2025-09-01 11:27:52.917445
2025-09-01,60283,2025090104000984,LEC,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,10,237.3,2373.0,2025-09-01 11:28:19.798266
2025-09-01,60197,2025090104000999,LEC,Imperial Securities Company Pvt. Ltd.,Oxford Securities Pvt. Ltd.,40,237.3,9492.0,2025-09-01 11:28:41.059191
2025-09-01,60140,2025090104001007,LEC,Online Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,460,237.2,109112.0,2025-09-01 11:28:53.119383
2025-09-01,59370,2025090104001132,LEC,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,108,237.7,25671.6,2025-09-01 11:31:15.738616
2025-09-01,59246,2025090104001150,LEC,Asian Securities Private Ltd.,Sweta Securities Private Limited,42,237.7,9983.4,2025-09-01 11:31:41.207761
2025-09-01,59245,2025090104001151,LEC,Opal Securities Investment (PVT) Ltd.,Sweta Securities Private Limited,590,237.3,140007.0,2025-09-01 11:31:41.208024
2025-09-01,59244,2025090104001152,LEC,Online Securities Pvt. Ltd.,Sweta Securities Private Limited,540,237.2,128088.0,2025-09-01 11:31:41.208199
2025-09-01,59243,2025090104001153,LEC,Creative Securities Pvt Ltd,Sweta Securities Private Limited,180,237.0,42660.0,2025-09-01 11:31:41.208387
2025-09-01,59242,2025090104001154,LEC,Trisul Securities & Invt. Ltd.,Sweta Securities Private Limited,200,237.0,47400.0,2025-09-01 11:31:41.208570
2025-09-01,58122,2025090104001309,LEC,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,10,236.5,2365.0,2025-09-01 11:35:41.534561
2025-09-01,57045,2025090104001460,LEC,Opal Securities Investment (PVT) Ltd.,Kumari Securities Private Limited,30,236.5,7095.0,2025-09-01 11:39:44.513595
2025-09-01,56872,2025090104001490,LEC,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,29,236.5,6858.5,2025-09-01 11:40:24.687228
2025-09-01,56636,2025090104001526,LEC,Oxford Securities Pvt. Ltd.,Linch Stock Market Ltd.,10,236.6,2366.0,2025-09-01 11:41:24.624100
2025-09-01,56282,2025090104001584,LEC,Oxford Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,60,236.6,14196.0,2025-09-01 11:42:54.703608
2025-09-01,56281,2025090104001585,LEC,Opal Securities Investment (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,440,236.5,104060.0,2025-09-01 11:42:54.703784
2025-09-01,55822,2025090104001654,LEC,Trisul Securities & Invt. Ltd.,Sweta Securities Private Limited,10,237.0,2370.0,2025-09-01 11:44:42.529160
2025-09-01,55323,2025090104001728,LEC,Linch Stock Market Ltd.,ABC Securities Private Limited,100,236.6,23660.0,2025-09-01 11:46:31.781203
2025-09-01,55322,2025090104001729,LEC,Opal Securities Investment (PVT) Ltd.,ABC Securities Private Limited,91,236.5,21521.5,2025-09-01 11:46:31.781553
2025-09-01,55321,2025090104001730,LEC,Sharepro Securities Private Limited,ABC Securities Private Limited,1000,236.3,236300.0,2025-09-01 11:46:31.781769
2025-09-01,55206,2025090104001751,LEC,Naasa Securities Co. Ltd.,ABC Securities Private Limited,419,236.3,99009.7,2025-09-01 11:46:54.050055
2025-09-01,55164,2025090104001754,LEC,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,38,237.0,9006.0,2025-09-01 11:47:05.194874
2025-09-01,55124,2025090104001757,LEC,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,43,238.0,10234.0,2025-09-01 11:47:16.337082
2025-09-01,55078,2025090104001768,LEC,Malla & Malla Stock Broking Company Pvt. Limited,Naasa Securities Co. Ltd.,10,236.2,2362.0,2025-09-01 11:47:24.478926
2025-09-01,54335,2025090104001849,LEC,Naasa Securities Co. Ltd.,Premier Securities Company Ltd.,15,236.9,3553.5,2025-09-01 11:50:36.175614
2025-09-01,54334,2025090104001850,LEC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,150,237.0,35550.0,2025-09-01 11:50:36.175983
2025-09-01,54333,2025090104001851,LEC,Naasa Securities Co. Ltd.,ABC Securities Private Limited,35,237.0,8295.0,2025-09-01 11:50:36.176188
2025-09-01,53894,2025090104001948,LEC,Linch Stock Market Ltd.,ABC Securities Private Limited,30,237.0,7110.0,2025-09-01 11:52:29.109296
2025-09-01,53893,2025090104001949,LEC,Linch Stock Market Ltd.,Premier Securities Company Ltd.,15,237.0,3555.0,2025-09-01 11:52:29.109651
2025-09-01,53892,2025090104001950,LEC,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,15,237.0,3555.0,2025-09-01 11:52:29.109876
2025-09-01,53881,2025090104001952,LEC,Linch Stock Market Ltd.,Capital Max Securities Ltd,40,237.0,9480.0,2025-09-01 11:52:31.154579
2025-09-01,53880,2025090104001953,LEC,Opal Securities Investment (PVT) Ltd.,Capital Max Securities Ltd,100,236.7,23670.0,2025-09-01 11:52:31.154916
2025-09-01,53879,2025090104001954,LEC,Opal Securities Investment (PVT) Ltd.,Capital Max Securities Ltd,100,236.7,23670.0,2025-09-01 11:52:31.155126
2025-09-01,53878,2025090104001955,LEC,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,100,236.7,23670.0,2025-09-01 11:52:31.155339
2025-09-01,53877,2025090104001956,LEC,Opal Securities Investment (PVT) Ltd.,Capital Max Securities Ltd,100,236.7,23670.0,2025-09-01 11:52:31.155549
2025-09-01,53876,2025090104001957,LEC,Opal Securities Investment (PVT) Ltd.,Capital Max Securities Ltd,100,236.7,23670.0,2025-09-01 11:52:31.155761
2025-09-01,53875,2025090104001958,LEC,Opal Securities Investment (PVT) Ltd.,Capital Max Securities Ltd,100,236.7,23670.0,2025-09-01 11:52:31.155958
2025-09-01,53874,2025090104001959,LEC,Opal Securities Investment (PVT) Ltd.,Capital Max Securities Ltd,300,236.6,70980.0,2025-09-01 11:52:31.156244
2025-09-01,53873,2025090104001960,LEC,Kohinoor Investment & Securities Pvt. Ltd.,Capital Max Securities Ltd,200,236.6,47320.0,2025-09-01 11:52:31.156487
2025-09-01,53872,2025090104001961,LEC,Linch Stock Market Ltd.,Capital Max Securities Ltd,100,236.5,23650.0,2025-09-01 11:52:31.156685
2025-09-01,53871,2025090104001962,LEC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Capital Max Securities Ltd,417,236.5,98620.5,2025-09-01 11:52:31.156878
2025-09-01,52650,2025090104002121,LEC,Opal Securities Investment (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,500,236.7,118350.0,2025-09-01 11:57:27.836907
2025-09-01,52649,2025090104002122,LEC,Linch Stock Market Ltd.,Sri Hari Securities Pvt. Ltd.,85,236.6,20111.0,2025-09-01 11:57:27.837100
2025-09-01,51769,2025090104002226,LEC,R.B.B. Securities Company Ltd,Premier Securities Company Ltd.,20,237.9,4758.0,2025-09-01 12:00:15.450057
2025-09-01,51768,2025090104002227,LEC,R.B.B. Securities Company Ltd,Opal Securities Investment (PVT) Ltd.,50,238.0,11900.0,2025-09-01 12:00:15.450431
2025-09-01,51718,2025090104002240,LEC,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,238.3,23830.0,2025-09-01 12:00:23.943122
2025-09-01,51489,2025090104002305,LEC,Online Securities Pvt. Ltd.,Premier Securities Company Ltd.,15,238.4,3576.0,2025-09-01 12:01:07.870030
2025-09-01,50884,2025090104002393,LEC,Creative Securities Pvt Ltd,Trishakti Securities Public Limited,200,239.7,47940.0,2025-09-01 12:03:38.067345
2025-09-01,50883,2025090104002394,LEC,Creative Securities Pvt Ltd,Linch Stock Market Ltd.,50,239.8,11990.0,2025-09-01 12:03:38.067568
2025-09-01,50755,2025090104002416,LEC,R.B.B. Securities Company Ltd,Online Securities Pvt. Ltd.,750,238.0,178500.0,2025-09-01 12:04:18.337536
2025-09-01,50627,2025090104002427,LEC,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,1000,239.0,239000.0,2025-09-01 12:04:43.932388
2025-09-01,50588,2025090104002432,LEC,R.B.B. Securities Company Ltd,Naasa Securities Co. Ltd.,10,238.0,2380.0,2025-09-01 12:04:53.988838
2025-09-01,49402,2025090104002610,LEC,R.B.B. Securities Company Ltd,Kumari Securities Private Limited,15,238.0,3570.0,2025-09-01 12:09:21.962393
2025-09-01,49388,2025090104002612,LEC,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,100,239.0,23900.0,2025-09-01 12:09:25.664358
2025-09-01,48969,2025090104002679,LEC,Creative Securities Pvt Ltd,Trishakti Securities Public Limited,60,239.7,14382.0,2025-09-01 12:10:53.792067
2025-09-01,48968,2025090104002680,LEC,Creative Securities Pvt Ltd,Linch Stock Market Ltd.,450,239.8,107910.0,2025-09-01 12:10:53.792279
2025-09-01,48967,2025090104002681,LEC,Creative Securities Pvt Ltd,Market Securities & Exchange (PVT) Ltd.,500,240.0,120000.0,2025-09-01 12:10:53.792423
2025-09-01,48966,2025090104002682,LEC,Creative Securities Pvt Ltd,Sundhara Securities Limited,231,240.0,55440.0,2025-09-01 12:10:53.792502
2025-09-01,48965,2025090104002683,LEC,Creative Securities Pvt Ltd,Imperial Securities Company Pvt. Ltd.,30,240.0,7200.0,2025-09-01 12:10:53.792589
2025-09-01,48964,2025090104002684,LEC,Creative Securities Pvt Ltd,Imperial Securities Company Pvt. Ltd.,30,240.0,7200.0,2025-09-01 12:10:53.792699
2025-09-01,48963,2025090104002685,LEC,Creative Securities Pvt Ltd,Linch Stock Market Ltd.,50,240.0,12000.0,2025-09-01 12:10:53.792811
2025-09-01,48962,2025090104002686,LEC,Creative Securities Pvt Ltd,Online Securities Pvt. Ltd.,149,240.0,35760.0,2025-09-01 12:10:53.792923
2025-09-01,48512,2025090104002721,LEC,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,451,240.0,108240.0,2025-09-01 12:11:43.618658
2025-09-01,48511,2025090104002722,LEC,Naasa Securities Co. Ltd.,Secured Securities Ltd.,30,240.0,7200.0,2025-09-01 12:11:43.619047
2025-09-01,48510,2025090104002723,LEC,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,1287,240.0,308880.0,2025-09-01 12:11:43.619282
2025-09-01,48509,2025090104002724,LEC,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,232,240.0,55680.0,2025-09-01 12:11:43.619525
2025-09-01,48202,2025090104002758,LEC,R.B.B. Securities Company Ltd,Naasa Securities Co. Ltd.,10,238.0,2380.0,2025-09-01 12:12:45.286111
2025-09-01,46494,2025090104002986,LEC,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,238.1,23810.0,2025-09-01 12:17:13.975515
2025-09-01,46493,2025090104002987,LEC,R.B.B. Securities Company Ltd,Imperial Securities Company Pvt. Ltd.,145,238.0,34510.0,2025-09-01 12:17:13.975949
2025-09-01,46492,2025090104002988,LEC,Sewa Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,10,238.0,2380.0,2025-09-01 12:17:13.976241
2025-09-01,46491,2025090104002989,LEC,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,45,238.0,10710.0,2025-09-01 12:17:13.976562
2025-09-01,46363,2025090104002997,LEC,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,30,239.0,7170.0,2025-09-01 12:17:22.787182
2025-09-01,46300,2025090104003013,LEC,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,450,239.0,107550.0,2025-09-01 12:17:34.037634
2025-09-01,46279,2025090104003014,LEC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,20,239.0,4780.0,2025-09-01 12:17:36.242830
2025-09-01,45015,2025090104003239,LEC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,180,239.0,43020.0,2025-09-01 12:22:54.355164
2025-09-01,44781,2025090104003271,LEC,Secured Securities Ltd.,Trishakti Securities Public Limited,200,239.5,47900.0,2025-09-01 12:23:53.449665
2025-09-01,44708,2025090104003279,LEC,Secured Securities Ltd.,Linch Stock Market Ltd.,300,239.5,71850.0,2025-09-01 12:24:19.600031
2025-09-01,44302,2025090104003360,LEC,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,20,239.0,4780.0,2025-09-01 12:26:02.519085
2025-09-01,44301,2025090104003361,LEC,Midas Stock Broking Company Private Limited,Naasa Securities Co. Ltd.,10,238.0,2380.0,2025-09-01 12:26:02.519187
2025-09-01,44191,2025090104003377,LEC,Midas Stock Broking Company Private Limited,Thrive Brokerage House Pvt. Ltd,45,238.0,10710.0,2025-09-01 12:26:25.653720
2025-09-01,44190,2025090104003378,LEC,Ashutosh Brokerage & Securities (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,955,238.0,227290.0,2025-09-01 12:26:25.654133
2025-09-01,44077,2025090104003404,LEC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trishakti Securities Public Limited,11,239.5,2634.5,2025-09-01 12:26:46.282698
2025-09-01,43825,2025090104003437,LEC,Secured Securities Ltd.,Naasa Securities Co. Ltd.,10,238.1,2381.0,2025-09-01 12:27:56.481674
2025-09-01,43418,2025090104003516,LEC,Secured Securities Ltd.,Sani Securities Company Ltd.,490,238.1,116669.0,2025-09-01 12:29:30.875415
2025-09-01,43417,2025090104003517,LEC,Siprabi Securities Pvt. Ltd.,Sani Securities Company Ltd.,200,238.1,47620.0,2025-09-01 12:29:30.875635
2025-09-01,43416,2025090104003518,LEC,Ashutosh Brokerage & Securities (PVT) Ltd.,Sani Securities Company Ltd.,545,238.0,129710.0,2025-09-01 12:29:30.875750
2025-09-01,43415,2025090104003519,LEC,Ashutosh Brokerage & Securities (PVT) Ltd.,Sani Securities Company Ltd.,1500,238.0,357000.0,2025-09-01 12:29:30.875858
2025-09-01,43414,2025090104003520,LEC,Ashutosh Brokerage & Securities (PVT) Ltd.,Sani Securities Company Ltd.,655,238.0,155890.0,2025-09-01 12:29:30.875944
2025-09-01,43413,2025090104003521,LEC,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,6610,238.0,1573180.0,2025-09-01 12:29:30.876029
2025-09-01,43128,2025090104003573,LEC,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,10,239.4,2394.0,2025-09-01 12:30:42.634873
2025-09-01,42978,2025090104003610,LEC,South Asian Bulls Pvt. Ltd.,Naasa Securities Co. Ltd.,1000,238.0,238000.0,2025-09-01 12:31:25.982470
