Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-01,67725,2025090103000068,SADBL,Deevyaa Securities & Stock House Pvt. Ltd,Midas Stock Broking Company Private Limited,50,425.0,21250.0,2025-09-01 11:04:03.222735
2025-09-01,66460,2025090103000184,SADBL,Deevyaa Securities & Stock House Pvt. Ltd,Midas Stock Broking Company Private Limited,50,422.0,21100.0,2025-09-01 11:08:31.336210
2025-09-01,65421,2025090103000273,SADBL,Nepal Stock House (PVT) Ltd.,Himalayan Brokerage Company Limited,50,420.6,21030.0,2025-09-01 11:12:06.491891
2025-09-01,64878,2025090103000323,SADBL,Thrive Brokerage House Pvt. Ltd,Midas Stock Broking Company Private Limited,2000,421.0,842000.0,2025-09-01 11:13:51.671687
2025-09-01,64144,2025090103000383,SADBL,Elite Stock House Limited,South Asian Bulls Pvt. Ltd.,100,421.5,42150.0,2025-09-01 11:16:11.661254
2025-09-01,63797,2025090103000409,SADBL,Midas Stock Broking Company Private Limited,Sundhara Securities Limited,100,424.0,42400.0,2025-09-01 11:17:10.027912
2025-09-01,60322,2025090103000736,SADBL,Linch Stock Market Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,424.0,4240.0,2025-09-01 11:28:13.383322
2025-09-01,60321,2025090103000737,SADBL,Kohinoor Investment & Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,90,423.0,38070.0,2025-09-01 11:28:13.383439
2025-09-01,59536,2025090103000849,SADBL,Kohinoor Investment & Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,10,423.0,4230.0,2025-09-01 11:30:41.405666
2025-09-01,59535,2025090103000850,SADBL,Agrawal Securities (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,20,423.0,8460.0,2025-09-01 11:30:41.405835
2025-09-01,59210,2025090103000882,SADBL,Agrawal Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,80,423.0,33840.0,2025-09-01 11:31:45.733642
2025-09-01,59145,2025090103000893,SADBL,Sewa Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,20,423.0,8460.0,2025-09-01 11:32:02.082539
2025-09-01,58992,2025090103000914,SADBL,Sewa Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,10,423.0,4230.0,2025-09-01 11:32:38.598422
2025-09-01,58991,2025090103000915,SADBL,Sweta Securities Private Limited,Agrawal Securities (PVT) Ltd.,50,422.3,21115.0,2025-09-01 11:32:38.598518
2025-09-01,58990,2025090103000916,SADBL,Deevyaa Securities & Stock House Pvt. Ltd,Agrawal Securities (PVT) Ltd.,500,422.2,211100.0,2025-09-01 11:32:38.598588
2025-09-01,58989,2025090103000917,SADBL,Shree Krishna Securities Ltd.,Agrawal Securities (PVT) Ltd.,500,422.1,211050.0,2025-09-01 11:32:38.598653
2025-09-01,58988,2025090103000918,SADBL,Imperial Securities Company Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,440,422.0,185680.0,2025-09-01 11:32:38.598718
2025-09-01,56865,2025090103001171,SADBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sundhara Securities Limited,100,425.0,42500.0,2025-09-01 11:40:26.153100
2025-09-01,56864,2025090103001172,SADBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sanima Securities Limited,100,425.0,42500.0,2025-09-01 11:40:26.153216
2025-09-01,56025,2025090103001281,SADBL,Sweta Securities Private Limited,Infinity Securities Limited,10,424.0,4240.0,2025-09-01 11:44:00.979090
2025-09-01,55806,2025090103001303,SADBL,Primo Securities (PVT) Ltd.,Infinity Securities Limited,240,424.0,101760.0,2025-09-01 11:44:48.454159
2025-09-01,54395,2025090103001455,SADBL,Sani Securities Company Ltd.,Sanima Securities Limited,190,425.0,80750.0,2025-09-01 11:50:19.064551
2025-09-01,53156,2025090103001629,SADBL,Agrawal Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,500,425.0,212500.0,2025-09-01 11:55:31.681088
2025-09-01,53064,2025090103001643,SADBL,Midas Stock Broking Company Private Limited,Nepal Investment And Securities Trading Private Limited,92,426.0,39192.0,2025-09-01 11:55:53.460223
2025-09-01,53008,2025090103001649,SADBL,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,317,426.8,135295.6,2025-09-01 11:56:04.937824
2025-09-01,53007,2025090103001650,SADBL,Sani Securities Company Ltd.,J.F. Securites (PVT) Ltd.,183,427.0,78141.0,2025-09-01 11:56:04.938083
2025-09-01,52928,2025090103001657,SADBL,Agrawal Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,55,425.0,23375.0,2025-09-01 11:56:28.713306
2025-09-01,52685,2025090103001679,SADBL,Secured Securities Ltd.,J.F. Securites (PVT) Ltd.,17,427.0,7259.0,2025-09-01 11:57:17.345415
2025-09-01,52645,2025090103001681,SADBL,Agrawal Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,1000,428.0,428000.0,2025-09-01 11:57:28.437240
2025-09-01,51515,2025090103001779,SADBL,Online Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,100,428.0,42800.0,2025-09-01 12:00:58.768901
2025-09-01,51381,2025090103001793,SADBL,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,428.9,85780.0,2025-09-01 12:01:33.576503
2025-09-01,51236,2025090103001813,SADBL,Agrawal Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,300,428.9,128670.0,2025-09-01 12:02:09.344145
2025-09-01,50916,2025090103001866,SADBL,Secured Securities Ltd.,Primo Securities (PVT) Ltd.,500,429.8,214900.0,2025-09-01 12:03:32.252277
2025-09-01,50915,2025090103001867,SADBL,Secured Securities Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,150,429.9,64485.0,2025-09-01 12:03:32.252390
2025-09-01,50914,2025090103001868,SADBL,Secured Securities Ltd.,KALASH STOCK MARKET PVT. LTD.,1000,429.9,429900.0,2025-09-01 12:03:32.252442
2025-09-01,50913,2025090103001869,SADBL,Secured Securities Ltd.,Infinity Securities Limited,500,430.0,215000.0,2025-09-01 12:03:32.252491
2025-09-01,50912,2025090103001870,SADBL,Secured Securities Ltd.,SUN SECURITIES PVT LTD,2850,430.0,1225500.0,2025-09-01 12:03:32.252553
2025-09-01,50869,2025090103001875,SADBL,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,300,429.8,128940.0,2025-09-01 12:03:43.006672
2025-09-01,50742,2025090103001892,SADBL,Midas Stock Broking Company Private Limited,SUN SECURITIES PVT LTD,11,430.0,4730.0,2025-09-01 12:04:21.542822
2025-09-01,50583,2025090103001910,SADBL,Agrawal Securities (PVT) Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,100,430.0,43000.0,2025-09-01 12:04:55.448507
2025-09-01,50582,2025090103001911,SADBL,Agrawal Securities (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,20,430.0,8600.0,2025-09-01 12:04:55.448662
2025-09-01,49103,2025090103002102,SADBL,Agrawal Securities (PVT) Ltd.,Aryatara Investment & Securities,50,431.0,21550.0,2025-09-01 12:10:19.827840
2025-09-01,48993,2025090103002116,SADBL,Sani Securities Company Ltd.,Aryatara Investment & Securities,50,431.0,21550.0,2025-09-01 12:10:47.479919
2025-09-01,48371,2025090103002165,SADBL,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,150,431.0,64650.0,2025-09-01 12:12:08.904584
2025-09-01,48201,2025090103002180,SADBL,Oxford Securities Pvt. Ltd.,J.F. Securites (PVT) Ltd.,133,430.0,57190.0,2025-09-01 12:12:45.299395
2025-09-01,48127,2025090103002194,SADBL,J.F. Securites (PVT) Ltd.,Sundhara Securities Limited,115,430.0,49450.0,2025-09-01 12:13:02.894300
2025-09-01,47986,2025090103002202,SADBL,Kohinoor Investment & Securities Pvt. Ltd.,Asian Securities Private Ltd.,100,429.0,42900.0,2025-09-01 12:13:31.916476
2025-09-01,47985,2025090103002203,SADBL,Premier Securities Company Ltd.,Asian Securities Private Ltd.,1000,429.0,429000.0,2025-09-01 12:13:31.916625
2025-09-01,47850,2025090103002213,SADBL,Elite Stock House Limited,Sundhara Securities Limited,385,428.5,164972.5,2025-09-01 12:13:56.073849
2025-09-01,47068,2025090103002267,SADBL,Nepal Stock House (PVT) Ltd.,Neev Securities Pvt. Ltd.,500,428.6,214300.0,2025-09-01 12:15:23.070735
2025-09-01,47067,2025090103002268,SADBL,Elite Stock House Limited,Neev Securities Pvt. Ltd.,115,428.5,49277.5,2025-09-01 12:15:23.070908
2025-09-01,47066,2025090103002269,SADBL,Deevyaa Securities & Stock House Pvt. Ltd,Neev Securities Pvt. Ltd.,250,428.0,107000.0,2025-09-01 12:15:23.070978
2025-09-01,47065,2025090103002270,SADBL,Kohinoor Investment & Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,100,427.5,42750.0,2025-09-01 12:15:23.071041
2025-09-01,47064,2025090103002271,SADBL,Sharepro Securities Private Limited,Neev Securities Pvt. Ltd.,1000,427.0,427000.0,2025-09-01 12:15:23.071090
2025-09-01,47063,2025090103002272,SADBL,Sundhara Securities Limited,Neev Securities Pvt. Ltd.,35,427.0,14945.0,2025-09-01 12:15:23.071141
2025-09-01,46906,2025090103002303,SADBL,Miyo Securities Pvt Ltd,Neev Securities Pvt. Ltd.,500,428.7,214350.0,2025-09-01 12:15:54.299196
2025-09-01,46905,2025090103002304,SADBL,Kohinoor Investment & Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,200,428.7,85740.0,2025-09-01 12:15:54.299319
2025-09-01,46618,2025090103002326,SADBL,Sani Securities Company Ltd.,Asian Securities Private Ltd.,880,429.0,377520.0,2025-09-01 12:16:55.128056
2025-09-01,45933,2025090103002395,SADBL,Sani Securities Company Ltd.,Elite Stock House Limited,100,429.0,42900.0,2025-09-01 12:18:54.106065
2025-09-01,45856,2025090103002401,SADBL,Sani Securities Company Ltd.,Neev Securities Pvt. Ltd.,33,430.0,14190.0,2025-09-01 12:19:10.168103
2025-09-01,45309,2025090103002456,SADBL,KALASH STOCK MARKET PVT. LTD.,Neev Securities Pvt. Ltd.,10,430.0,4300.0,2025-09-01 12:21:29.518444
2025-09-01,43346,2025090103002718,SADBL,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,20,429.0,8580.0,2025-09-01 12:29:46.949992
2025-09-01,43177,2025090103002744,SADBL,Aakashbhairab Securities Ltd.,Secured Securities Ltd.,50,427.1,21355.0,2025-09-01 12:30:28.191180
2025-09-01,43176,2025090103002745,SADBL,Sundhara Securities Limited,Secured Securities Ltd.,65,427.0,27755.0,2025-09-01 12:30:28.191336
2025-09-01,43175,2025090103002746,SADBL,Sweta Securities Private Limited,Secured Securities Ltd.,10,426.2,4262.0,2025-09-01 12:30:28.191416
2025-09-01,43174,2025090103002747,SADBL,Sri Hari Securities Pvt. Ltd.,Secured Securities Ltd.,200,426.1,85220.0,2025-09-01 12:30:28.191490
2025-09-01,43173,2025090103002748,SADBL,Sri Hari Securities Pvt. Ltd.,Secured Securities Ltd.,175,426.0,74550.0,2025-09-01 12:30:28.191564
2025-09-01,42295,2025090103002846,SADBL,Miyo Securities Pvt Ltd,Naasa Securities Co. Ltd.,100,425.1,42510.0,2025-09-01 12:34:34.221766
2025-09-01,41415,2025090103002946,SADBL,Miyo Securities Pvt Ltd,Malla & Malla Stock Broking Company Pvt. Limited,100,425.1,42510.0,2025-09-01 12:39:18.259205
2025-09-01,41023,2025090103003008,SADBL,Nepal Stock House (PVT) Ltd.,J.F. Securites (PVT) Ltd.,5,420.0,2100.0,2025-09-01 12:40:46.731754
2025-09-01,40730,2025090103003054,SADBL,Miyo Securities Pvt Ltd,Secured Securities Ltd.,290,425.1,123279.0,2025-09-01 12:42:06.824551
2025-09-01,40729,2025090103003055,SADBL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Secured Securities Ltd.,20,425.1,8502.0,2025-09-01 12:42:06.824790
2025-09-01,40728,2025090103003056,SADBL,Naasa Securities Co. Ltd.,Secured Securities Ltd.,190,425.0,80750.0,2025-09-01 12:42:06.824939
2025-09-01,40504,2025090103003088,SADBL,Naasa Securities Co. Ltd.,N.I.M.B. Stock Markets Limited,310,425.0,131750.0,2025-09-01 12:43:11.664669
2025-09-01,40503,2025090103003089,SADBL,Miyo Securities Pvt Ltd,N.I.M.B. Stock Markets Limited,50,425.0,21250.0,2025-09-01 12:43:11.664834
2025-09-01,40502,2025090103003090,SADBL,ABC Securities Private Limited,N.I.M.B. Stock Markets Limited,1000,424.0,424000.0,2025-09-01 12:43:11.664892
2025-09-01,40402,2025090103003096,SADBL,Nepal Stock House (PVT) Ltd.,Midas Stock Broking Company Private Limited,20,429.9,8598.0,2025-09-01 12:43:27.403340
2025-09-01,35549,2025090103003687,SADBL,Secured Securities Ltd.,J.F. Securites (PVT) Ltd.,2,425.0,850.0,2025-09-01 13:06:47.547930
2025-09-01,34782,2025090103003768,SADBL,Malla & Malla Stock Broking Company Pvt. Limited,J.F. Securites (PVT) Ltd.,57,426.1,24287.7,2025-09-01 13:10:29.633165
2025-09-01,34704,2025090103003773,SADBL,Malla & Malla Stock Broking Company Pvt. Limited,Kumari Securities Private Limited,20,426.1,8522.0,2025-09-01 13:10:58.401220
2025-09-01,34463,2025090103003823,SADBL,Siprabi Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,14,428.0,5992.0,2025-09-01 13:11:58.664051
2025-09-01,33471,2025090103003971,SADBL,Malla & Malla Stock Broking Company Pvt. Limited,Deevyaa Securities & Stock House Pvt. Ltd,32,426.1,13635.2,2025-09-01 13:16:52.049613
2025-09-01,33470,2025090103003972,SADBL,Malla & Malla Stock Broking Company Pvt. Limited,Deevyaa Securities & Stock House Pvt. Ltd,92,425.2,39118.4,2025-09-01 13:16:52.049822
2025-09-01,30915,2025090103004377,SADBL,Secured Securities Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,1,425.0,425.0,2025-09-01 13:28:23.420866
2025-09-01,28097,2025090103004725,SADBL,Malla & Malla Stock Broking Company Pvt. Limited,Nepal Investment And Securities Trading Private Limited,21,425.7,8939.7,2025-09-01 13:40:15.204290
2025-09-01,28000,2025090103004743,SADBL,Imperial Securities Company Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,15,425.6,6384.0,2025-09-01 13:40:41.357421
2025-09-01,26767,2025090103004930,SADBL,Imperial Securities Company Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,50,425.6,21280.0,2025-09-01 13:46:19.174869
2025-09-01,23974,2025090103005289,SADBL,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,10,428.9,4289.0,2025-09-01 13:58:37.686496
2025-09-01,23460,2025090103005335,SADBL,Miyo Securities Pvt Ltd,Midas Stock Broking Company Private Limited,50,428.9,21445.0,2025-09-01 14:00:47.601094
2025-09-01,20688,2025090103005596,SADBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Linch Stock Market Ltd.,200,428.8,85760.0,2025-09-01 14:10:09.562518
2025-09-01,20687,2025090103005597,SADBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nepal Investment And Securities Trading Private Limited,700,428.9,300230.0,2025-09-01 14:10:09.562686
2025-09-01,20686,2025090103005598,SADBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Neev Securities Pvt. Ltd.,1957,429.0,839553.0,2025-09-01 14:10:09.562748
2025-09-01,20685,2025090103005599,SADBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,38,429.0,16302.0,2025-09-01 14:10:09.562820
2025-09-01,20684,2025090103005600,SADBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,105,429.0,45045.0,2025-09-01 14:10:09.562876
2025-09-01,18288,2025090103005867,SADBL,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,39,429.0,16731.0,2025-09-01 14:17:30.347198
