Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-09-01,67510,2025090104000106,SJCL,Sewa Securities Pvt. Ltd.,Linch Stock Market Ltd.,30,300.0,9000.0,2025-09-01 11:04:53.515356
2025-09-01,67509,2025090104000107,SJCL,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,10,299.3,2993.0,2025-09-01 11:04:53.515431
2025-09-01,67035,2025090104000141,SJCL,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,40,299.3,11972.0,2025-09-01 11:06:43.558972
2025-09-01,66955,2025090104000145,SJCL,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,10,305.0,3050.0,2025-09-01 11:06:58.593241
2025-09-01,65620,2025090104000361,SJCL,Nepal Investment And Securities Trading Private Limited,Premier Securities Company Ltd.,40,299.5,11980.0,2025-09-01 11:11:22.836075
2025-09-01,65116,2025090104000416,SJCL,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,304.0,3040.0,2025-09-01 11:13:04.791116
2025-09-01,63811,2025090104000553,SJCL,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,299.6,2996.0,2025-09-01 11:17:07.185462
2025-09-01,62145,2025090104000729,SJCL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,20,300.0,6000.0,2025-09-01 11:22:11.480461
2025-09-01,61246,2025090104000839,SJCL,Agrawal Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,301.0,30100.0,2025-09-01 11:25:06.042342
2025-09-01,61230,2025090104000843,SJCL,Agrawal Securities (PVT) Ltd.,ABC Securities Private Limited,10,304.0,3040.0,2025-09-01 11:25:10.070293
2025-09-01,60885,2025090104000896,SJCL,Agrawal Securities (PVT) Ltd.,Shree Krishna Securities Ltd.,10,300.1,3001.0,2025-09-01 11:26:17.238151
2025-09-01,60845,2025090104000899,SJCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,ABC Securities Private Limited,10,304.0,3040.0,2025-09-01 11:26:28.281510
2025-09-01,60844,2025090104000900,SJCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Imperial Securities Company Pvt. Ltd.,90,305.0,27450.0,2025-09-01 11:26:28.281609
2025-09-01,59705,2025090104001070,SJCL,Agrawal Securities (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,20,300.1,6002.0,2025-09-01 11:30:07.608420
2025-09-01,57953,2025090104001334,SJCL,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,20,300.1,6002.0,2025-09-01 11:36:25.521964
2025-09-01,57952,2025090104001335,SJCL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,10,300.0,3000.0,2025-09-01 11:36:25.522114
2025-09-01,57951,2025090104001336,SJCL,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,299.6,2996.0,2025-09-01 11:36:25.522202
2025-09-01,56085,2025090104001618,SJCL,Secured Securities Ltd.,Linch Stock Market Ltd.,50,299.7,14985.0,2025-09-01 11:43:42.135587
2025-09-01,56058,2025090104001623,SJCL,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,20,301.0,6020.0,2025-09-01 11:43:47.905309
2025-09-01,55763,2025090104001659,SJCL,Secured Securities Ltd.,Asian Securities Private Ltd.,50,299.7,14985.0,2025-09-01 11:44:56.743575
2025-09-01,55762,2025090104001660,SJCL,Agrawal Securities (PVT) Ltd.,Asian Securities Private Ltd.,80,299.6,23968.0,2025-09-01 11:44:56.743620
2025-09-01,55761,2025090104001661,SJCL,Midas Stock Broking Company Private Limited,Asian Securities Private Ltd.,30,299.6,8988.0,2025-09-01 11:44:56.743646
