Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-02,85273,2025090203000071,JBBL,Vision Securities Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,335.0,100500.0,2025-09-02 11:06:28.773571
2025-09-02,84485,2025090203000087,JBBL,Linch Stock Market Ltd.,Secured Securities Ltd.,20,333.0,6660.0,2025-09-02 11:07:43.622229
2025-09-02,84484,2025090203000088,JBBL,Online Securities Pvt. Ltd.,Secured Securities Ltd.,300,333.0,99900.0,2025-09-02 11:07:43.622295
2025-09-02,84483,2025090203000089,JBBL,Linch Stock Market Ltd.,Secured Securities Ltd.,25,333.0,8325.0,2025-09-02 11:07:43.622330
2025-09-02,84482,2025090203000090,JBBL,Secured Securities Ltd.,Secured Securities Ltd.,655,333.0,218115.0,2025-09-02 11:07:43.622375
2025-09-02,76374,2025090203000352,JBBL,MILKY WAY SHARE BROKER COMPANY LTD ,Sagarmatha Securities Private Limited,149,333.0,49617.0,2025-09-02 11:24:06.322537
2025-09-02,76373,2025090203000353,JBBL,Kohinoor Investment & Securities Pvt. Ltd.,Sagarmatha Securities Private Limited,300,333.0,99900.0,2025-09-02 11:24:06.322622
2025-09-02,74910,2025090203000411,JBBL,Creative Securities Pvt Ltd,Sagarmatha Securities Private Limited,50,333.0,16650.0,2025-09-02 11:27:33.367436
2025-09-02,66524,2025090203000820,JBBL,Opal Securities Investment (PVT) Ltd.,Midas Stock Broking Company Private Limited,500,332.0,166000.0,2025-09-02 11:47:38.534755
2025-09-02,65504,2025090203000995,JBBL,Trishakti Securities Public Limited,Nepal Stock House (PVT) Ltd.,100,332.1,33210.0,2025-09-02 11:50:02.716009
2025-09-02,65503,2025090203000996,JBBL,Opal Securities Investment (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,400,332.0,132800.0,2025-09-02 11:50:02.716103
2025-09-02,65222,2025090203001022,JBBL,Opal Securities Investment (PVT) Ltd.,Midas Stock Broking Company Private Limited,100,332.0,33200.0,2025-09-02 11:50:44.302584
2025-09-02,65221,2025090203001023,JBBL,Secured Securities Ltd.,Midas Stock Broking Company Private Limited,300,332.0,99600.0,2025-09-02 11:50:44.302692
2025-09-02,65069,2025090203001037,JBBL,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,100,332.0,33200.0,2025-09-02 11:51:06.934340
2025-09-02,63854,2025090203001114,JBBL,Midas Stock Broking Company Private Limited,Midas Stock Broking Company Private Limited,100,331.1,33110.0,2025-09-02 11:53:50.211327
2025-09-02,62465,2025090203001196,JBBL,Midas Stock Broking Company Private Limited,Asian Securities Private Ltd.,250,331.1,82775.0,2025-09-02 11:56:53.616185
2025-09-02,61689,2025090203001285,JBBL,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,350,331.1,115885.0,2025-09-02 11:58:51.419827
2025-09-02,61688,2025090203001286,JBBL,Secured Securities Ltd.,Imperial Securities Company Pvt. Ltd.,45,331.0,14895.0,2025-09-02 11:58:51.419925
2025-09-02,61687,2025090203001287,JBBL,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,300,331.0,99300.0,2025-09-02 11:58:51.419985
2025-09-02,61686,2025090203001288,JBBL,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,331.0,33100.0,2025-09-02 11:58:51.420048
2025-09-02,59890,2025090203001432,JBBL,Pragyan Securities (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,200,330.4,66080.0,2025-09-02 12:03:41.450035
2025-09-02,59889,2025090203001433,JBBL,Arun Securities (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,85,330.4,28084.0,2025-09-02 12:03:41.450151
2025-09-02,59876,2025090203001436,JBBL,Arun Securities (PVT) Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,90,330.4,29736.0,2025-09-02 12:03:43.092906
2025-09-02,59835,2025090203001437,JBBL,Arun Securities (PVT) Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,10,330.4,3304.0,2025-09-02 12:03:52.121526
2025-09-02,57587,2025090203001665,JBBL,Arun Securities (PVT) Ltd.,KALASH STOCK MARKET PVT. LTD.,200,330.4,66080.0,2025-09-02 12:10:09.537513
2025-09-02,56579,2025090203001738,JBBL,Deevyaa Securities & Stock House Pvt. Ltd,Nepal Stock House (PVT) Ltd.,50,330.5,16525.0,2025-09-02 12:13:15.317062
2025-09-02,56578,2025090203001739,JBBL,Pragyan Securities (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,50,330.5,16525.0,2025-09-02 12:13:15.317211
2025-09-02,56577,2025090203001740,JBBL,Arun Securities (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,502,330.4,165860.8,2025-09-02 12:13:15.317261
2025-09-02,56576,2025090203001741,JBBL,Asian Securities Private Ltd.,Nepal Stock House (PVT) Ltd.,30,330.3,9909.0,2025-09-02 12:13:15.317307
2025-09-02,56575,2025090203001742,JBBL,Neev Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,208,330.1,68660.8,2025-09-02 12:13:15.317364
2025-09-02,56473,2025090203001751,JBBL,Dynamic Money Managers Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,331.0,33100.0,2025-09-02 12:13:42.577839
2025-09-02,55239,2025090203001826,JBBL,Opal Securities Investment (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,105,331.0,34755.0,2025-09-02 12:18:07.966846
2025-09-02,51840,2025090203002143,JBBL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,85,331.2,28152.0,2025-09-02 12:29:40.797212
2025-09-02,45325,2025090203002619,JBBL,Imperial Securities Company Pvt. Ltd.,ABC Securities Private Limited,1,328.0,328.0,2025-09-02 12:53:38.414037
2025-09-02,45092,2025090203002634,JBBL,Imperial Securities Company Pvt. Ltd.,Online Securities Pvt. Ltd.,8,328.0,2624.0,2025-09-02 12:54:37.900588
2025-09-02,44751,2025090203002673,JBBL,ABC Securities Private Limited,Sumeru Securities Pvt. Ltd.,10,333.0,3330.0,2025-09-02 12:55:53.991445
2025-09-02,43938,2025090203002783,JBBL,Opal Securities Investment (PVT) Ltd.,Aryatara Investment & Securities,400,332.0,132800.0,2025-09-02 12:59:16.158615
2025-09-02,43746,2025090203002790,JBBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,64,333.0,21312.0,2025-09-02 13:00:06.899881
2025-09-02,43745,2025090203002791,JBBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,200,333.0,66600.0,2025-09-02 13:00:06.900006
2025-09-02,43744,2025090203002792,JBBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Secured Securities Ltd.,11,333.0,3663.0,2025-09-02 13:00:06.900072
2025-09-02,43743,2025090203002793,JBBL,Cristal Kanchanjanga Securites Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,725,333.2,241570.0,2025-09-02 13:00:06.900130
2025-09-02,43072,2025090203002850,JBBL,Miyo Securities Pvt Ltd,KALASH STOCK MARKET PVT. LTD.,50,333.2,16660.0,2025-09-02 13:02:52.805792
2025-09-02,41565,2025090203002994,JBBL,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,750,333.0,249750.0,2025-09-02 13:08:59.920696
2025-09-02,41564,2025090203002995,JBBL,Nepal Stock House (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,17,333.0,5661.0,2025-09-02 13:08:59.920889
2025-09-02,41521,2025090203003001,JBBL,Nepal Stock House (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,20,333.0,6660.0,2025-09-02 13:09:13.266320
2025-09-02,41219,2025090203003022,JBBL,Vision Securities Pvt. Ltd,KALASH STOCK MARKET PVT. LTD.,100,333.2,33320.0,2025-09-02 13:10:19.687879
2025-09-02,40391,2025090203003132,JBBL,Sani Securities Company Ltd.,Secured Securities Ltd.,75,333.2,24990.0,2025-09-02 13:13:36.512356
2025-09-02,40390,2025090203003133,JBBL,Nepal Stock House (PVT) Ltd.,Secured Securities Ltd.,213,333.0,70929.0,2025-09-02 13:13:36.512393
2025-09-02,40389,2025090203003134,JBBL,Vision Securities Pvt. Ltd,Secured Securities Ltd.,35,332.2,11627.0,2025-09-02 13:13:36.512415
2025-09-02,40388,2025090203003135,JBBL,Opal Securities Investment (PVT) Ltd.,Secured Securities Ltd.,2542,332.0,843944.0,2025-09-02 13:13:36.512437
2025-09-02,40092,2025090203003154,JBBL,Opal Securities Investment (PVT) Ltd.,Oxford Securities Pvt. Ltd.,100,332.0,33200.0,2025-09-02 13:14:42.717736
2025-09-02,39995,2025090203003158,JBBL,Opal Securities Investment (PVT) Ltd.,Sweta Securities Private Limited,67,332.0,22244.0,2025-09-02 13:15:12.484381
2025-09-02,37112,2025090203003462,JBBL,Aryatara Investment & Securities,Investment Management Nepal Pvt. Ltd.,30,332.1,9963.0,2025-09-02 13:27:10.346948
2025-09-02,36978,2025090203003475,JBBL,Opal Securities Investment (PVT) Ltd.,Investment Management Nepal Pvt. Ltd.,20,332.0,6640.0,2025-09-02 13:27:24.411730
2025-09-02,36293,2025090203003529,JBBL,Sumeru Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,49,332.1,16272.9,2025-09-02 13:29:53.339894
2025-09-02,36292,2025090203003530,JBBL,Opal Securities Investment (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,766,332.0,254312.0,2025-09-02 13:29:53.340047
2025-09-02,34369,2025090203003699,JBBL,Property Wiard Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,49,332.1,16272.9,2025-09-02 13:36:41.802244
2025-09-02,33658,2025090203003769,JBBL,Naasa Securities Co. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,30,332.0,9960.0,2025-09-02 13:39:12.534634
2025-09-02,32736,2025090203003885,JBBL,Naasa Securities Co. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,150,331.3,49695.0,2025-09-02 13:42:34.482410
2025-09-02,32735,2025090203003886,JBBL,South Asian Bulls Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,20,331.2,6624.0,2025-09-02 13:42:34.482696
2025-09-02,31705,2025090203003995,JBBL,South Asian Bulls Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,30,331.2,9936.0,2025-09-02 13:45:42.542963
2025-09-02,31704,2025090203003996,JBBL,Linch Stock Market Ltd.,Agrawal Securities (PVT) Ltd.,150,331.2,49680.0,2025-09-02 13:45:42.543129
2025-09-02,31703,2025090203003997,JBBL,Sumeru Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,11,331.0,3641.0,2025-09-02 13:45:42.543210
2025-09-02,31702,2025090203003998,JBBL,ABC Securities Private Limited,Agrawal Securities (PVT) Ltd.,309,331.0,102279.0,2025-09-02 13:45:42.543273
2025-09-02,31503,2025090203004020,JBBL,ABC Securities Private Limited,Kumari Securities Private Limited,160,331.0,52960.0,2025-09-02 13:46:14.677043
2025-09-02,30996,2025090203004073,JBBL,Primo Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,10,331.0,3310.0,2025-09-02 13:47:52.010985
2025-09-02,29432,2025090203004315,JBBL,Pragyan Securities (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,50,330.2,16510.0,2025-09-02 13:52:43.062628
2025-09-02,29431,2025090203004316,JBBL,Aryatara Investment & Securities,South Asian Bulls Pvt. Ltd.,50,330.2,16510.0,2025-09-02 13:52:43.062916
2025-09-02,28796,2025090203004402,JBBL,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,50,330.2,16510.0,2025-09-02 13:54:39.525330
2025-09-02,28795,2025090203004403,JBBL,Neev Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,92,330.1,30369.2,2025-09-02 13:54:39.525635
2025-09-02,28794,2025090203004404,JBBL,Nagarik Stock Dealer ,Primo Securities (PVT) Ltd.,76,330.0,25080.0,2025-09-02 13:54:39.525828
2025-09-02,27105,2025090203004617,JBBL,Nagarik Stock Dealer ,Sani Securities Company Ltd.,324,330.0,106920.0,2025-09-02 14:00:15.722900
2025-09-02,27104,2025090203004618,JBBL,Creative Securities Pvt Ltd,Sani Securities Company Ltd.,40,330.0,13200.0,2025-09-02 14:00:15.723084
2025-09-02,27103,2025090203004619,JBBL,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,105,330.0,34650.0,2025-09-02 14:00:15.723149
2025-09-02,27102,2025090203004620,JBBL,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,175,330.0,57750.0,2025-09-02 14:00:15.723219
2025-09-02,27101,2025090203004621,JBBL,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,500,330.0,165000.0,2025-09-02 14:00:15.723284
2025-09-02,27100,2025090203004622,JBBL,Aryatara Investment & Securities,Sani Securities Company Ltd.,30,330.0,9900.0,2025-09-02 14:00:15.723348
2025-09-02,27099,2025090203004623,JBBL,South Asian Bulls Pvt. Ltd.,Sani Securities Company Ltd.,50,330.0,16500.0,2025-09-02 14:00:15.723409
