Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-02,84991,2025090204000117,JOSHI,Trishakti Securities Public Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,40,306.0,12240.0,2025-09-02 11:06:58.236435
2025-09-02,79525,2025090204000314,JOSHI,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,20,302.0,6040.0,2025-09-02 11:17:30.374028
2025-09-02,78441,2025090204000355,JOSHI,Siprabi Securities Pvt. Ltd.,Aryatara Investment & Securities,15,302.0,4530.0,2025-09-02 11:19:19.947290
2025-09-02,77621,2025090204000426,JOSHI,Creative Securities Pvt Ltd,Kumari Securities Private Limited,10,301.0,3010.0,2025-09-02 11:21:04.429415
2025-09-02,77620,2025090204000427,JOSHI,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,26,300.1,7802.6,2025-09-02 11:21:04.429515
2025-09-02,77619,2025090204000428,JOSHI,Trishakti Securities Public Limited,Kumari Securities Private Limited,364,300.0,109200.0,2025-09-02 11:21:04.429556
2025-09-02,76516,2025090204000476,JOSHI,Trishakti Securities Public Limited,Midas Stock Broking Company Private Limited,33,300.0,9900.0,2025-09-02 11:23:46.788007
2025-09-02,75192,2025090204000546,JOSHI,Trishakti Securities Public Limited,Kohinoor Investment & Securities Pvt. Ltd.,55,300.0,16500.0,2025-09-02 11:26:52.443884
2025-09-02,74847,2025090204000570,JOSHI,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,48,300.0,14400.0,2025-09-02 11:27:42.085746
2025-09-02,74715,2025090204000576,JOSHI,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,10,300.0,3000.0,2025-09-02 11:28:05.081550
2025-09-02,74230,2025090204000596,JOSHI,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,10,300.0,3000.0,2025-09-02 11:29:11.324472
2025-09-02,71133,2025090204000853,JOSHI,Investment Management Nepal Pvt. Ltd.,Aryatara Investment & Securities,140,302.0,42280.0,2025-09-02 11:36:38.683813
2025-09-02,70113,2025090204000933,JOSHI,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,70,301.5,21105.0,2025-09-02 11:39:04.209753
2025-09-02,70112,2025090204000934,JOSHI,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,14,301.0,4214.0,2025-09-02 11:39:04.209860
2025-09-02,66454,2025090204001217,JOSHI,ABC Securities Private Limited,Naasa Securities Co. Ltd.,60,301.0,18060.0,2025-09-02 11:47:53.445565
2025-09-02,65633,2025090204001281,JOSHI,Imperial Securities Company Pvt. Ltd.,Linch Stock Market Ltd.,10,304.0,3040.0,2025-09-02 11:49:40.847992
2025-09-02,65455,2025090204001297,JOSHI,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,133,300.9,40019.7,2025-09-02 11:50:08.656694
2025-09-02,65454,2025090204001298,JOSHI,Sani Securities Company Ltd.,Sani Securities Company Ltd.,12,300.0,3600.0,2025-09-02 11:50:08.656774
2025-09-02,65453,2025090204001299,JOSHI,Kalika Securities Pvt. Ltd.,Sani Securities Company Ltd.,500,300.0,150000.0,2025-09-02 11:50:08.656808
2025-09-02,65452,2025090204001300,JOSHI,Investment Management Nepal Pvt. Ltd.,Sani Securities Company Ltd.,77,300.0,23100.0,2025-09-02 11:50:08.656832
2025-09-02,65009,2025090204001335,JOSHI,Investment Management Nepal Pvt. Ltd.,Secured Securities Ltd.,261,300.0,78300.0,2025-09-02 11:51:13.016708
2025-09-02,64864,2025090204001348,JOSHI,Neev Securities Pvt. Ltd.,Linch Stock Market Ltd.,90,301.0,27090.0,2025-09-02 11:51:37.582668
2025-09-02,63136,2025090204001455,JOSHI,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,1,295.0,295.0,2025-09-02 11:55:19.619054
2025-09-02,62018,2025090204001548,JOSHI,Neev Securities Pvt. Ltd.,Trishakti Securities Public Limited,115,301.0,34615.0,2025-09-02 11:58:10.859487
2025-09-02,61954,2025090204001553,JOSHI,Investment Management Nepal Pvt. Ltd.,Trishakti Securities Public Limited,135,300.0,40500.0,2025-09-02 11:58:19.959411
2025-09-02,61656,2025090204001580,JOSHI,Investment Management Nepal Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,20,300.0,6000.0,2025-09-02 11:58:57.258757
2025-09-02,59966,2025090204001750,JOSHI,ABC Securities Private Limited,Sanima Securities Limited,10,300.0,3000.0,2025-09-02 12:03:31.661017
2025-09-02,59721,2025090204001767,JOSHI,ABC Securities Private Limited,Sri Hari Securities Pvt. Ltd.,15,300.0,4500.0,2025-09-02 12:04:14.666192
2025-09-02,58550,2025090204001934,JOSHI,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,17,300.0,5100.0,2025-09-02 12:07:09.599178
2025-09-02,58175,2025090204001960,JOSHI,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,5,300.0,1500.0,2025-09-02 12:08:11.719347
2025-09-02,56973,2025090204002125,JOSHI,Sani Securities Company Ltd.,ABC Securities Private Limited,20,300.0,6000.0,2025-09-02 12:11:55.732735
2025-09-02,56672,2025090204002164,JOSHI,Sani Securities Company Ltd.,Oxford Securities Pvt. Ltd.,63,300.0,18900.0,2025-09-02 12:12:58.058511
2025-09-02,56671,2025090204002165,JOSHI,Online Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,75,300.0,22500.0,2025-09-02 12:12:58.058589
2025-09-02,56670,2025090204002166,JOSHI,Bhrikuti Stock Broking Co. Pvt. Ltd.,Oxford Securities Pvt. Ltd.,19,300.0,5700.0,2025-09-02 12:12:58.058626
2025-09-02,56669,2025090204002167,JOSHI,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,23,300.0,6900.0,2025-09-02 12:12:58.058676
2025-09-02,55579,2025090204002294,JOSHI,South Asian Bulls Pvt. Ltd.,Infinity Securities Limited,40,300.1,12004.0,2025-09-02 12:16:53.642646
2025-09-02,55578,2025090204002295,JOSHI,Naasa Securities Co. Ltd.,Infinity Securities Limited,560,300.0,168000.0,2025-09-02 12:16:53.642771
2025-09-02,51995,2025090204002605,JOSHI,Aryatara Investment & Securities,Aryatara Investment & Securities,20,300.1,6002.0,2025-09-02 12:29:19.234957
2025-09-02,50818,2025090204002727,JOSHI,Bhrikuti Stock Broking Co. Pvt. Ltd.,Sweta Securities Private Limited,60,301.0,18060.0,2025-09-02 12:33:23.624446
2025-09-02,48307,2025090204003147,JOSHI,Market Securities & Exchange (PVT) Ltd.,Naasa Securities Co. Ltd.,58,300.9,17452.2,2025-09-02 12:42:06.128494
2025-09-02,47342,2025090204003244,JOSHI,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,700,300.1,210070.0,2025-09-02 12:45:38.950069
2025-09-02,46531,2025090204003307,JOSHI,Aryatara Investment & Securities,Ashutosh Brokerage & Securities (PVT) Ltd.,72,300.1,21607.2,2025-09-02 12:49:04.359561
2025-09-02,46186,2025090204003351,JOSHI,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,18,301.0,5418.0,2025-09-02 12:50:19.674055
2025-09-02,44331,2025090204003576,JOSHI,Nepal Investment And Securities Trading Private Limited,Sweta Securities Private Limited,10,301.0,3010.0,2025-09-02 12:57:40.139428
2025-09-02,42556,2025090204003769,JOSHI,Aryatara Investment & Securities,Oxford Securities Pvt. Ltd.,100,300.1,30010.0,2025-09-02 13:05:05.912013
2025-09-02,39680,2025090204004185,JOSHI,Aryatara Investment & Securities,Miyo Securities Pvt Ltd,10,300.1,3001.0,2025-09-02 13:16:21.723463
2025-09-02,39388,2025090204004210,JOSHI,Aryatara Investment & Securities,Linch Stock Market Ltd.,98,300.1,29409.8,2025-09-02 13:17:40.899887
2025-09-02,38974,2025090204004246,JOSHI,Siprabi Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,20,300.1,6002.0,2025-09-02 13:19:13.957208
2025-09-02,38256,2025090204004322,JOSHI,Siprabi Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,20,300.1,6002.0,2025-09-02 13:22:38.170249
2025-09-02,38191,2025090204004340,JOSHI,Siprabi Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,20,300.1,6002.0,2025-09-02 13:22:49.720180
2025-09-02,38190,2025090204004341,JOSHI,Trishakti Securities Public Limited,Primo Securities (PVT) Ltd.,320,300.1,96032.0,2025-09-02 13:22:49.720331
2025-09-02,38130,2025090204004353,JOSHI,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,360,300.0,108000.0,2025-09-02 13:23:08.880532
2025-09-02,37912,2025090204004369,JOSHI,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,18,300.0,5400.0,2025-09-02 13:23:57.047473
2025-09-02,37731,2025090204004399,JOSHI,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,39,300.0,11700.0,2025-09-02 13:24:39.096982
2025-09-02,37730,2025090204004400,JOSHI,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,60,300.0,18000.0,2025-09-02 13:24:39.097106
2025-09-02,37397,2025090204004435,JOSHI,ABC Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,20,300.0,6000.0,2025-09-02 13:25:59.829272
2025-09-02,37396,2025090204004436,JOSHI,ABC Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,10,300.0,3000.0,2025-09-02 13:25:59.829500
2025-09-02,35860,2025090204004638,JOSHI,ABC Securities Private Limited,Premier Securities Company Ltd.,10,300.0,3000.0,2025-09-02 13:31:27.583527
2025-09-02,35766,2025090204004650,JOSHI,ABC Securities Private Limited,Sunrise Securities Limited,20,300.0,6000.0,2025-09-02 13:31:48.669066
