Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-02,89759,2025090205000008,NRN,SUN SECURITIES PVT LTD,Vision Securities Pvt. Ltd,10,2100.2,21002.0,2025-09-02 10:46:00.027230
2025-09-02,87182,2025090205000222,NRN,Siprabi Securities Pvt. Ltd.,R.B.B. Securities Company Ltd,10,2140.0,21400.0,2025-09-02 11:03:18.131633
2025-09-02,86854,2025090205000265,NRN,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,10,2182.0,21820.0,2025-09-02 11:03:50.468111
2025-09-02,86010,2025090205000358,NRN,Siprabi Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,15,2175.0,32625.0,2025-09-02 11:05:11.176419
2025-09-02,85798,2025090205000380,NRN,Shree Krishna Securities Ltd.,Shree Krishna Securities Ltd.,11,2132.0,23452.0,2025-09-02 11:05:32.283033
2025-09-02,82630,2025090205000825,NRN,Kumari Securities Private Limited,Sewa Securities Pvt. Ltd.,1,2100.0,2100.0,2025-09-02 11:11:01.924181
2025-09-02,80812,2025090205001027,NRN,KALASH STOCK MARKET PVT. LTD.,Naasa Securities Co. Ltd.,10,2135.1,21351.0,2025-09-02 11:14:32.575704
2025-09-02,80474,2025090205001073,NRN,Kumari Securities Private Limited,Aryatara Investment & Securities,1,2095.0,2095.0,2025-09-02 11:15:13.462928
2025-09-02,80288,2025090205001098,NRN,KALASH STOCK MARKET PVT. LTD.,Dynamic Money Managers Securities Pvt. Ltd.,100,2155.0,215500.0,2025-09-02 11:15:39.553554
2025-09-02,79705,2025090205001189,NRN,Sharepro Securities Private Limited,ABC Securities Private Limited,200,2159.0,431800.0,2025-09-02 11:17:02.309865
2025-09-02,79656,2025090205001192,NRN,Sri Hari Securities Pvt. Ltd.,ABC Securities Private Limited,200,2159.0,431800.0,2025-09-02 11:17:11.821585
2025-09-02,79355,2025090205001238,NRN,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,35,2159.9,75596.5,2025-09-02 11:17:46.060084
2025-09-02,79354,2025090205001239,NRN,Imperial Securities Company Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,100,2160.0,216000.0,2025-09-02 11:17:46.060263
2025-09-02,79353,2025090205001240,NRN,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,65,2160.0,140400.0,2025-09-02 11:17:46.060385
2025-09-02,77725,2025090205001410,NRN,KALASH STOCK MARKET PVT. LTD.,Trishakti Securities Public Limited,15,2140.1,32101.5,2025-09-02 11:20:49.986628
